nodename,nodeclass,describe,properties
"干咳","症状","干性咳嗽简称干咳，是一种呼吸道常见症状，由于气管、支气管黏膜或胸膜受炎症、异物、物理或化学性刺激引起，表现先是声门关闭、呼吸肌收缩、肺内压升高，然后声门张开，肺内空气喷射而出，通常伴随声音。咳嗽具有清除呼吸道异物和分泌物的保护性作用。不同部位如鼻，气管，肺，胃，食管的病变均可引起干咳，其病因也多种多样，感染，炎症，过敏，反流等均可引起咳嗽。","中文名：干咳；外文名：dry cough；别名：干咳嗽；临床表现：无痰或痰极少；常见病因：感染，炎症，过敏，反流等；"
"咽干","症状","咽干，中医认为是以脏腑阴虚为主因，阴虚火旺，虚火上扰，以致咽喉失养，治宜滋阴降火。是慢性咽炎的症状之一，常在用嗓过度、气候突变、环境温度及湿度变化时加重，其他症状如咽异物感、咽痒、干燥、疼痛、刺激性干咳等。","中文名：咽干；外文名：dry pharynx；传染病：否；就诊科室：内科；发病部位：咽部；是否进入医保：是；主要原因：慢性咽炎；显状部位：咽部；是否医保：是；所属科室：内科 - 呼吸内科；传染性：无传染性；"
"胸闷","症状","胸闷（chest distress）是一种主观感觉，即呼吸费力或气不够用。轻者无不适，重者觉得难受，似乎被石头压住胸膛，甚至发生呼吸困难，可伴随其他症状如胸痛、压迫感、心悸、喘、灼热感、吐酸水、冒冷汗、恶心、呕吐等。胸闷可能是身体器官的功能性表现，也可能是人体发生疾病的最早症状之一。","中文名：胸闷；外文名：chest distress；主要原因：病理、生理；季节分布：四季；传染病：否；症状表现：呼吸费力或气不够用；就诊科室：内科；显状部位：呼吸道；"
"脘痞","症状","（1）若脘痞且有胃脘作痛者，多系胃的病变，如胃痿、胃胀、胃疡、胃络痛、胃缓、胃石等。 2.脾虚气滞证：脘腹痞胀，甚或疼痛，饮食减少，食后作胀，嗳气不适，身困不适，大便不爽，矢气多，脉弦细。 4.脾虚气陷证：脘痞腹胀，身体困重，食少纳呆，少气懒言，气怯乏力，胃脘下垂，或肛门坠胀，舌质淡，苔薄，脉弱。","中文名：脘痞；"
"便溏","症状","便溏是指大便不成形，形似溏泥，俗称薄粪。与腹泻不同，一般排便次数可不增多，也可次数稍有增多；大便排泄不畅，或有排不尽的感受为大便粘滞不爽。两者可单独存在，有时也可交替发生。便溏的临床表现为大便时溏时泻，迁延反复，完谷不化，饮食减少，食后脘闷不舒，稍进油腻食物则大便次数明显增加，面色萎黄，神疲倦怠，舌淡苔白，脉细弱。便溏可通过中医调理，注意饮食来治疗。","中文名：便溏；外文名：loose stool；临床表现：大便时溏时泻，迁延反复；俗 称：薄粪；症 状：大便稀薄；病 因：脾虚；"
"苍术","中药","苍术（学名：Atractylodes Lancea （Thunb.） DC.）：菊科苍术属多年生草本植物。根状茎平卧或斜升，不定根。茎直立，高可达100厘米，单生或少数茎成簇生，基部叶花期脱落；中下部茎叶几无柄，圆形、倒卵形、偏斜卵形、卵形或椭圆形，中部以上或仅上部茎叶不分裂，倒长卵形、倒卵状长椭圆形或长椭圆形，全部叶硬纸质，两面绿色，无毛，边缘或裂片边缘有针刺状缘毛或三角形刺齿或重刺齿。头状花序单生茎枝顶端，总苞钟状，苞叶针刺状羽状全裂或深裂。小花白色，瘦果倒卵圆状，被稠密的顺向贴伏的白色长直毛，冠毛刚毛褐色或污白色，6-10月开花结果。苍术根状茎入药，为运脾药，性味苦温辛烈，有燥湿、化浊、止痛之效。该种有许多药材商品名称，如汉苍术和矛术（矛苍术）；但诸多的商品名称，大体可以分为两大类，即北方产的北苍术和南方产的南苍术。（概述图参考来源：中国自然标本馆 ）","中文学名：苍术；外文名：Atractylodes Lancea （Thunb.） DC.；界：植物界；族：菜蓟族；门：被子植物门；纲：双子叶植物纲；亚纲：合瓣花亚纲；目：桔梗目；科：菊科；亚科：管状花亚科；属：苍术属；种：苍术；命名者及年代：（Thunb.） DC.，1838；分布区域：黑龙江、辽宁、吉林、内蒙古、河北、山西、甘肃、陕西、河南；"
"N95口罩","医学术语","N95型口罩，是NIOSH（美国国家职业安全卫生研究所，National Institute for Occupational Safety and Health）认证的9种防颗粒物口罩中的一种。“N”的意思是不适合油性的颗粒（炒菜产生的油烟就是油性颗粒物，而人说话或咳嗽产生的飞沫不是油性的）；“95”是指，在NIOSH标准规定的检测条件下，过滤效率达到95%。N95不是特定的产品名称。只要符合N95标准，并且通过NIOSH审查的产品就可以称为“N95型口罩”，可以对空气动力学直径0.075µm±0.020µm的颗粒的过滤效率达到95%以上。","中文名：N95型口罩；类型：有呼吸阀的口罩；过滤率：95%以上；认证机构：美国国家职业安全卫生研究所；"
"新型冠状病毒","病毒","新型冠状病毒（COVID-19），因2019年武汉病毒性肺炎病例而被发现，2020年1月12日被世界卫生组织命名。冠状病毒是一个大型病毒家族，已知可引起感冒以及中东呼吸综合征（MERS）和严重急性呼吸综合征（SARS）等较严重疾病。新型冠状病毒是以前从未在人体中发现的冠状病毒新毒株。2019年12月以来，湖北省武汉市持续开展流感及相关疾病监测，发现多起病毒性肺炎病例，均诊断为病毒性肺炎/肺部感染。人感染了冠状病毒后常见体征有呼吸道症状、发热、咳嗽、气促和呼吸困难等。在较严重病例中，感染可导致肺炎、严重急性呼吸综合征、肾衰竭，甚至死亡。目前对于新型冠状病毒所致疾病没有特异治疗方法。但许多症状是可以处理的，因此需根据患者临床情况进行治疗。此外，对感染者的辅助护理可能非常有效。做好自我保护包括：保持基本的手部和呼吸道卫生，坚持安全饮食习惯，并尽可能避免与任何表现出有呼吸道疾病症状（如咳嗽和打喷嚏等）的人密切接触。世界卫生组织将新冠状病毒命名为“COVID-19”。","中文学名：新型冠状病毒；别名：2019新型冠状病毒；外文名：COVID-19；界：病毒界；目：网巢病毒目（Nidovirales）；科：冠状病毒科（Coronaviridae）；属：冠状病毒属（Coronavirus）；中文名：新型冠状病毒；病原学：冠状病毒；传染病：是；传播途径：唾液，呼吸道，密切接触；潜伏期：14天；临床表现：发热、乏力、干咳为主；疫苗预防：否；预防措施：戴口罩；就诊科室：勤洗手；"
"疑似病例","医学术语","疑似病例是指根据病例的流行病学接触史、临床表现，高度怀疑为某一疾病，但尚未获得病原学证据不能确诊者。","中文名：疑似病例；英文名：疑似病例；定义：类似的病理；常用的：临床诊断病例；"
"确诊病例","医学术语","确诊病例是指出现某传染病的流行病学史和临床表现，同时有一种或几种实验室病原学检测结果阳性者就可被诊断为确诊病例。","中文名：确诊病例；"
"超级传播者","医学术语","世界卫生组织提出，把病毒传染给十人以上的病人被称为超级传播者。非典期间，广东一男子染病50天，先后传染130余人，包括18位亲属及几十名医务人员。2020年1月22日，在国务院新闻办公室召开的新闻发布会上，中国疾控中心主任高福回应，转移病房不能算“已出现超级传播者”，还没有证据说已经有了“超级传播者”。","中文名：超级传播者；定义：传染给十人以上的病人；提出者：卫生部疾病控制专家；"
"发病率","医学术语","发病率表示在一定期间内，一定人群中某病新发生的病例出现的频率。是反映疾病对人群健康影响和描述疾病分布状态的一项测量指标。发病率可用来反映疾病对人群健康的影响，发病率高说明疾病对健康影响大，发病率低说明疾病对健康影响较小。发病率可用作描述疾病的分布情况。通过比较不同特征人群的某病发病率，可探讨病因和对防治措施进行评价。","中文名：发病率；英文名：incidence；别称：發病率；拼音：fā bìng lǜ；定义：在一定期间内，一定人群中某病新发生的病例出现的频率；计算公式：发病率=（新病例人数/同时期内暴露人数）×K；应用学科：医学；注音：ㄈㄚ ㄅㄧㄥˋ ㄌㄩˋ；K：100%、1000‰、10000/万等；发病率标化：年龄、性别等构成的差别；"
"发热门诊","医学术语","发热门诊，是正规医院门诊部在防控急性传染病期间根据上级指示设立的，专门用于排查疑似传染病人，治疗发热患者的专用诊室。","中文名：发热门诊；"
"潜伏期","医学术语","潜伏期是指病原体侵入人体至最早出现临床症状的这段时间。不同的潜伏期长短不同，有的疾病短至几小时，有的则长达数年。但同一种传染病有固定的潜伏期。","中文名：潜伏期；别称：隐蔽期；定义：指病原体侵入人体至最早出现临床症状的这段时间；类型：医学名词；存在疾病：一般存在于相关传染病中；时 间：不同疾病长短不一；"
"同舟共济","口号","同舟共济是一个成语，读音是tóng zhōu gòng jì，本意是坐一条船，共同渡河。比喻团结互助，同心协力，战胜困难。也比喻利害相同。","名称：同舟共济；拼音：tóng zhōu gòng jì；出处：先秦·孙武《孙子·九地》：“夫吴人与越人相恶也，当其同舟而济。遇风，其相救也若左右手。”；释义：济：渡水。比喻团结互助，同心协力，战胜困难。；用法：褒义 谓语；结构：联合式；例句：“我是谁，您是谁，咱们是患难之交，～还来不及哪！”；作品名称：《艳阳天》；"
"共克时艰","口号","共克时艰，是新华社造的词语，意思是共同克服时下艰难，是一种当前比较流行的缩略式造词方式。综合起来就是，全国人民团结一致，同心协力，一起来克服当前我们面临的自然灾害和生活困难。就是要加强团结、顾全大局，自觉维护全党的团结统一，保持党同人民群众的血肉联系，巩固全国各族人民的大团结，加强海内外中华儿女的大团结，团结一切可以团结的力量，调动一切积极因素，汇聚起攻坚克难的强大力量。”","名称：共克时艰；"
"筛检","医学术语","筛检是运用快速简便的实验检查或其他手段，自表面健康的人群中去发现那些未被识别的可疑病人或有缺陷者。筛检试验不是诊断试验，仅是一个初步检查，对筛检试验阳性和可疑阳性的人必须进行确诊检查，确诊后的病人进行治疗。",""
"疫区","医学术语","疫区是指病毒或病菌所能传播的地区。疫区的范围大小受传播方式和环境条件的限制。","中文名：疫区；英文名：epidemic region；其他外文名：Zone épidémique；拼音：yiqu；定义：范围较大为疫区；类型：医学术语；释义：传染病流行而隔离的地区；"
"核酸检测","医学术语","艾滋病核酸检测包含HIV-1 DNA检测和HIV-1 RNA检测，直击艾滋病病毒的RNA或DNA结构，检测血液中是否存在病毒核酸，诊断有无病原体感染。采用PCR技术，使用分子生物学实验室通用的扩增试剂和自行研究开发设计的复合引物，覆盖常见的HIV毒株，具有很高的灵敏度。使用二次扩增的套式PCR扩增方法，提高检测的特异性，降低假阳性的概率。核酸检测将艾滋病病毒的检测窗口期缩短至11天，并且核酸检测这项技术目前可将乙肝、丙肝病毒的检测“窗口期”分别由原来的50天、72天缩短到25天、59天。","中文名：核酸检测；目 标：RNA或DNA结构；方 法：PCR扩增方法；领 域：医学；"
"疫苗","医学术语","疫苗是指用各类病原微生物制作的用于预防接种的生物制品。其中用细菌或螺旋体制作的疫苗亦称为菌苗。疫苗分为活疫苗和死疫苗两种。常用的活疫苗有卡介苗，脊髓灰质炎疫苗、麻疹疫苗、鼠疫菌苗等。常用的死疫苗有百日咳菌苗、伤寒菌苗、流脑菌苗、霍乱菌苗等。不同疫苗的生产时间各不相同，有的疫苗可能需要22个月才能生产出一个批次。疫苗的开发是一个漫长而复杂的过程，且成本很高。接种疫苗是预防和控制传染病最经济、有效的公共卫生干预措施，对于家庭来说也是减少成员疾病发生、减少医疗费用的有效手段。据估计，免疫接种每年能避免200万至300万例因白喉、破伤风、百日咳和麻疹导致的死亡。全球疫苗接种覆盖率（全球获得推荐疫苗的儿童所占的比例）在过去几年中一直保持稳定。","中文名：疫苗；外文名：Vaccine；拼音：yì miáo；"
"消毒","医学术语","消毒 是指杀死病原微生物、但不一定能杀死细菌芽孢的方法。通常用化学的方法来达到消毒的作用。用于消毒的化学药物叫做消毒剂。灭菌 是指把物体上所有的微生物（包括细菌芽孢在内）全部杀死的方法，通常用物理方法来达到灭菌的目的。防腐是指防止或抑制微生物生长繁殖的方法。用于防腐的化学药物叫做防腐剂。无菌 不含活菌的意思，是灭菌的结果。防止微生物进入机体或物体的操作技术称为无菌操作。","名称：消毒；释义：杀死病原微生物的等病菌的方法；其目的：防止病原体播散到社会中等；种类：分疫源地消毒和预防性消毒两种；"
"SARS","疾病","重症急性呼吸综合征（SARS）为一种由SARS冠状病毒（SARS-CoV）引起的急性呼吸道传染病，世界卫生组织（WHO）将其命名为重症急性呼吸综合征。此病在2004年之后再无发病报道。主要传播方式为近距离飞沫传播或接触患者呼吸道分泌物。现有资料表明，患者是最主要传染源，极少数患者在刚出现症状时即具有传染性。临床上以发热、乏力、头痛、肌肉关节酸痛等全身症状和干咳、胸闷、呼吸困难等呼吸道症状为主要表现，部分病例可有腹泻等消化道症状。重症病例表现明显的呼吸困难，并可迅速发展成为急性呼吸窘迫综合征。重症急性呼吸综合征相关冠状病毒（SARS-CoV）及近日武汉新型肺炎相关的新型冠状病毒（2019-nCoV）同属于冠状病毒科，可引起肺炎、甚至重症肺炎，且可在人际间传播。","中文名：重症急性呼吸综合征；外文名：severe acute respiratory syndrome；别名：严重急性呼吸综合征、SARS、非典、；季节分布：四季；传染病：是；传播途径：近距离飞沫传播或接触患者呼吸道分泌物传播；临床表现：发热、头痛、肌肉酸痛、呼吸衰竭；就诊科室：传染科；常见病因：SARS冠状病毒感染；英文别名：severe acute respiratory syndrome，SARS；"
"MERS","疾病","由中东呼吸综合征冠状病毒（MERS-CoV）引起的病毒性呼吸道疾病。常呈现发热、咳嗽和气短等症状。严重病例可发生急性呼吸窘迫综合征及急性肾衰竭而死亡，病死率高。2012年9月沙特首次报告了2例临床表现类似于SARS的新型冠状病毒感染病例。2013 年5月23日，世界卫生组织（WHO）将这种新型冠状病毒感染疾病命名为“中东呼吸综合征”（Middle East Respiratory Syndrome，MERS）。中东呼吸综合征冠状病毒（MERS-CoV）的确切来源和向人类传播的准确模型尚不清楚。中东呼吸综合征冠状病毒（MERS-CoV）与武汉新型肺炎致病病毒（2019-nCoV）同属于冠状病毒科，在病原体和症状上有类似之处。","中文名：中东呼吸综合征；外文名：MERS-CoV；别名：MERS；病原学：冠状病毒；季节分布：四季；传染病：是；传播途径：呼吸道传播；临床表现：发热、发热伴畏寒寒战、咳嗽、气短、肌肉酸痛；就诊科室：内科；常见病因：新型冠状病毒感染引起；"
"乙类传染病","医学术语","乙类传染病，英文为category B infectious disease。《中华人民共和国传染病防治法》规定管理的传染病分甲类、乙类、丙类三类。 乙类传染病是指传染性非典型肺炎、艾滋病、病毒性肝炎、脊髓灰质炎等。2020年1月20日，新型冠状病毒感染的肺炎疫情防控工作电视电话会议在京召开。中共中央政治局委员、国务院副总理孙春兰在会上表示，新型冠状病毒感染的肺炎已纳入乙类传染病。","中文名：乙类传染病；外文名：category B infectious disease；传染病：是；疫苗预防：是；"
"甲类传染病","医学术语","甲类传染病（category A infectious disease）是《中华人民共和国传染病防治法》中规定管理的传染病甲类，甲类传染病指鼠疫、霍乱。《中华人民共和国传染病防治法》规定管理的传染病分甲类、乙类、丙类三类，共37种。城市2小时内，农村2小时内电话报告防疫站。上述规定以外，其他乙类传染病和突发原因不明的传染病需要采取甲类传染病的预防、控制措施的，由国务院卫生行政部门及时报经国务院批准后予以公布、实施。对乙类传染病中传染性非典型肺炎、炭疽中的肺炭疽、人感染高致病性禽流感和新型冠状病毒感染的肺炎，采取甲类传染病的预防、控制措施。","中文名：甲类传染病；外文名：category A infectious disease；类别：鼠疫、霍乱；拼音：jia lei chuan ran bin；"
"病毒携带者","医学术语","美国西部，旷野四望，渺无人烟。沿着公路，一辆汽车呼啸着驶来，车内搭乘着四个死党——哥哥瑞恩（克里斯·派恩）、他的女友波比（派珀·佩拉博）、弟弟丹尼（卢·泰勒·普齐），还有丹尼的同学凯特（艾米莉·凡坎普）。","中文名：病毒携带者；外文名：virus carrier；别名：携带者 / 末日病毒；主演：克里斯·派恩（Chris Pine） 卢·泰勒·普奇（Lou；类别：剧情 科幻；导演：阿列克斯·帕斯特（Alex Pastor） 大卫·帕斯特（David Pastor）；出品人：高师傅；电影公司：热诚影片公司；影片片长：84分钟；画面颜色：彩色；出品公司：Paramount Vantage；发行公司：Paramount Vantage；"
"超级传播者","医学术语","世界卫生组织提出，把病毒传染给十人以上的病人被称为超级传播者。非典期间，广东一男子染病50天，先后传染130余人，包括18位亲属及几十名医务人员。2020年1月22日，在国务院新闻办公室召开的新闻发布会上，中国疾控中心主任高福回应，转移病房不能算“已出现超级传播者”，还没有证据说已经有了“超级传播者”。","中文名：超级传播者；定义：传染给十人以上的病人；提出者：卫生部疾病控制专家；"
"飞沫传播","医学术语","感染者在呼吸、咳嗽、打喷嚏时将带有病原体的口鼻腔飞沫喷射出来被易感者吸入或沾染，从而引起疾病传播的方式。是呼吸道传染病的主要传播途径。","中文名：飞沫传播；别称：空气飞沫传播；类型：传染性疾病的一种传播方式；传播媒介：指带有病原微生物的飞沫；"
"接触传播","医学术语","病原体通过直接接触传播或间接接触传播的方式。接触传播可以分为直接接触传播和间接接触传播两种。直接接触传播指病原体从传染源直接传播至易感者合适的侵入门户，间接接触传播指间接接触了被污染的物品所造成的传播。","中文名：接触传播；英文名：contact transmission；定义：病原体通过媒介物直接间接接触；传播途径：接触；"
"不明原因肺炎","医学术语","“不明原因肺炎”是继SARS流行之后，卫生部为了更好地及时发现和处理SARS、人禽流感以及其他表现类似、具有一定传染性的肺炎而提出的一个名词。","中文名：不明原因肺炎；就诊科室：传染科；"
"中东呼吸综合征","疾病","由中东呼吸综合征冠状病毒（MERS-CoV）引起的病毒性呼吸道疾病。常呈现发热、咳嗽和气短等症状。严重病例可发生急性呼吸窘迫综合征及急性肾衰竭而死亡，病死率高。2012年9月沙特首次报告了2例临床表现类似于SARS的新型冠状病毒感染病例。2013 年5月23日，世界卫生组织（WHO）将这种新型冠状病毒感染疾病命名为“中东呼吸综合征”（Middle East Respiratory Syndrome，MERS）。中东呼吸综合征冠状病毒（MERS-CoV）的确切来源和向人类传播的准确模型尚不清楚。中东呼吸综合征冠状病毒（MERS-CoV）与武汉新型肺炎致病病毒（2019-nCoV）同属于冠状病毒科，在病原体和症状上有类似之处。","中文名：中东呼吸综合征；外文名：MERS-CoV；别名：MERS；病原学：冠状病毒；季节分布：四季；传染病：是；传播途径：呼吸道传播；临床表现：发热、发热伴畏寒寒战、咳嗽、气短、肌肉酸痛；就诊科室：内科；常见病因：新型冠状病毒感染引起；"
"呼吸系统","医学术语","呼吸系统（Respiratory System），人体与外界空气进行气体交换的一系列器官的总称，包括鼻、咽、喉、气管、支气管及由大量的肺泡、血管、淋巴管、神经构成的肺，以及胸膜等组织。临床上常将鼻、咽、喉称为上呼吸道，气管以下的气体通道（包括肺内各级支气管）部分称为下呼吸道。","生物组成：呼吸道、肺；治疗方法：负离子自然疗法；"
"病毒变异","医学术语","由于各种原因致使的病毒的遗传物质发生改变。许多化学和物理因素均可以用来诱发突变，诸如亚硝酸、羟胺、高温等，另外，病毒变异时有时会产生机体赖药性。","中文名：病毒变异；英文名：Virus variation；类型：病毒；释义：病毒的遗传物质发生改变；"
"二代病例","医学术语","二代病例是指在一个家庭内、病房、集体宿舍、托儿所、幼儿园班组中第一个传染病例发生后，在该病最短与最长潜伏期之间出现的病例；有时也称为续发病例。","中文名：二代病例；定义：在一个家庭内、病房、集体宿舍、托儿所、幼儿园班组中第一个传染病例发生后，在该病最短与最长潜伏期之间出现的病例；有时也称为续发病例；类型：医学术语；"
"冠状病毒","病毒","1937年，冠状病毒（Coronaviruses）首先从鸡身上分离出来。1965年，分离出第一株人的冠状病毒。由于在电子显微镜下可观察到其外膜上有明显的棒状粒子突起，使其形态看上去像中世纪欧洲帝王的皇冠，因此命名为“冠状病毒”。在2002年冬到2003年春肆虐全球的SARS（严重急性呼吸综合征）病毒，以及2012在沙特发现的MERS（中东呼吸综合征）病毒，均为冠状病毒属中的一种。2020年1月20日，国家卫健委高级别专家组成员高福院士表示，2019新型冠状病毒是目前已知的第7种冠状病毒。","中文学名：冠状病毒；外文名：Coronavirus；界：病毒界；科：冠状病毒科；属：冠状病毒属；分布区域：活细胞；性情：具有多形性；体征：呈球形或椭圆形；所属科：冠状病毒科；平均直径：100nm；特 点：呈球形或椭圆形，具有多形性；例 子：猪传染性胃肠炎病毒；"
"疫情","医学术语","【拼音】yì qíng【注音】ㄧˋ ㄑㄧㄥˊ【条目】疫情【引证解释】[epidemic situation;information about the appraisal of an epidemic] 疫病的发生和蔓延疫病的发生和发展情况。如：疫情严重。","中文名称：疫情；作者：朝雨MR；小说类型：末世危机；发布状态：连载中；"
"德国","国家","德意志联邦共和国（德语：die Bundesrepublik Deutschland），简称德国（两德统一前简称西德或联邦德国），是位于中欧的联邦议会共和制国家，北邻丹麦，西部与荷兰、比利时、卢森堡和法国接壤，南邻瑞士和奥地利，东部与捷克和波兰接壤，该国由16个联邦州组成，首都为柏林，领土面积357167平方公里，以温带气候为主，人口约8267万人，是欧洲联盟中人口最多的国家，以德意志人为主体民族。德国人的祖先是古代居住在中欧的日耳曼人。10世纪时日耳曼人建立神圣罗马帝国，后发生分裂。1871年普鲁士王国统一除奥地利帝国以外的日耳曼各邦国建立德意志帝国。1914年和1939年，德国先后挑起两次世界大战并战败。1945年分裂为东西两部分。1990年10月3日，德意志民主共和国（简称东德或民主德国）正式加入联邦德国，实现两德统一。目前，德国是欧洲第一大经济体，也是欧盟的创始会员国之一、还是北约、申根公约、八国集团、联合国等国际组织的重要成员国。","中文名：德国；英文名：The Federal Republic of Germany；别名：德意志；国歌：《德意志之歌》；货币：欧元；国鸟：白鹳；所属洲：欧洲；国庆日：1990年10月3日；政体：议会制共和制；现任领导人：弗兰克·瓦尔特·施泰因迈尔；面积：安格拉·默克尔；主要民族：357376平方公里；主要宗教：德意志人，索布人；官方语言：基督新教，天主教；GDP：德语；首都：3.997万亿美元（2018年，国际汇率）；主要城市：柏林；国家代码：汉堡，慕尼黑，科隆，法兰克福，斯图加特，多特蒙德，波恩；时区：DEU；国家结构：UTC+1（夏时制：UTC+2）；著名企业：复合制；最大城市：戴姆勒-克莱斯勒，西门子等；地理最高点：柏林；中央银行：阿尔卑斯山脉楚格峰；高等学府：德意志联邦银行；人类发展指数：柏林大学，波恩大学，哥廷根大学；水域率：0.931（世界第6，极高，2014年）；人均GDP：2.416%；国际电话区号：48196美元（2018年，国际汇率）；道路通行：+49；人口数量：靠右驾驶；人口密度：82，927，922（2018年）；国际域名缩写：237.4人/平方公里（2018年）；汽车品牌：.de；最大行政区：保时捷，奔驰，宝马，奥迪，大众；行政区划：巴伐利亚州（亦称拜仁州）；著名汽车赛事：16个州；著名赛道：德国房车大师赛（DTM）；著名景点：纽博格林赛道；"
"日本","国家","日本国（日语：にっぽんこく、にほんこく；英语：Japan），简称“日本”，位于东亚、国名意为“日出之国”，领土由北海道、本州、四国、九州四个大岛及6800多个小岛组成，总面积37.8万平方公里。主体民族为大和族，通用日语，总人口约1.26亿。日本三大都市圈是东京都市圈、大阪都市圈和名古屋都市圈。日本是一个太平洋西岸的岛国。西隔东海、黄海、朝鲜海峡、日本海与中国、朝鲜、韩国等国相望。属温带海洋性季风气候，终年温和湿润。6月多梅雨，夏秋季多台风。3世纪中叶，其境内出现大和国。645年，日本向中国唐朝学习，进行大化改新。12世纪后期，天皇皇权旁落，进入幕府统治时代。19世纪50年代中期，黑船事件迫使日本放弃“锁国政策”，签订一系列不平等条约。1868年，明治天皇重新掌权，进行明治维新，建立日本帝国，迅速跻身资本主义列强行列，对外走上侵略扩张的军国主义道路，曾多次侵略中国、朝鲜等亚洲国家。二战战败后，颁布新宪法，由天皇制国家变为以天皇为国家象征的议会内阁制国家。日本是高度发达的资本主义国家，世界第三大经济体，八国集团成员。其资源匮乏并极端依赖进口，发达的制造业是国民经济的支柱。科研、航天、制造业、教育水平均居世界前列。此外，以动漫、游戏产业为首的文化产业和发达的旅游业也是其重要象征。日本在环境保护、资源利用等许多方面堪称世界典范，其国民普遍拥有良好的教育、生活水平和国民素质。至今保存着以茶道、花道、书道等日本传统文化。","中文名：日本国；英文名：Japan；别名：日本；国歌：《君之代》；货币：日元（円、￥、JPY、yen）；所属洲：亚洲；现任领导人：天皇：德仁、首相：安倍晋三；面积：377972.28平方公里；主要民族：大和族、琉球族、阿伊努族；主要宗教：神道教、佛教；常用语言：日语；GDP：4.872万亿美元（2017年，国际汇率）；首都：东京；主要城市：横滨，大阪，名古屋，札幌，福冈，神户，京都，千叶，埼玉等；国家代码：JPN；时区：UTC+9；名人：山口百惠、高仓健、宇津井健等；著名企业：丰田、本田、索尼、三菱、东芝等；地理最高点：富士山（3775.63米）；中央银行：日本银行；高等学府：东京大学、京都大学；法律体系：欧陆法系；人类发展指数：0.903（极高，2016年）；水域率：0.8%；人均GDP：38428美元（2017年，国际汇率）；国际电话区号：81；道路通行：靠左驾驶；风景名胜：银座、京都、富士山、平城京；人口数量：1.268亿（2017年）；人口密度：347.8人/平方公里（2017年）；国际域名缩写：.jp；政治体制：议会制君主立宪制；国家象征：天皇、樱花、菊花、绿雉等；气候：温带季风气候、亚热带季风气候；民族象征：太阳、天照大神、樱花等；历史人物：织田信长、丰臣秀吉、德川家康等；年号：平成（1989年—）；国旗：日章旗；"
"韩国","国家","大韩民国（韩语：대한민국，英语：Republic of Korea），简称“韩国”（South Korea）。位于东亚朝鲜半岛南部，总面积约10万平方公里（占朝鲜半岛面积的45%），主体民族为韩民族，通用韩语，总人口约5147万。 首都为首尔。韩国三面环海，西濒临黄海，东南是朝鲜海峡，东边是日本海，北面隔着“三八线”非军事区与朝鲜相邻。1910年朝鲜半岛沦为日本殖民地，1945年8月15日光复取得独立。1948年8月和9月，依北纬38度线，朝鲜半岛南北先后成立大韩民国和朝鲜民主主义人民共和国。1950年爆发朝鲜战争，1953年7月27日依朝鲜停战协定，朝韩双方停战。20世纪60年代以来，韩国政府实行了“出口主导型”开发经济战略，创造了被称为“汉江奇迹”的经济高速增长期，并跻身“亚洲四小龙”之一。韩国是一个发达的资本主义国家，是APEC、世界贸易组织和东亚峰会的创始成员国，也是经合组织、二十国集团和联合国等重要国际组织成员。1997年亚洲金融危机后，韩国经济进入中速增长期。产业以制造业和服务业为主，半导体、电子、汽车、造船、钢铁、化工、机械、纺织、化妆品等产业产量均进入世界前10名。大企业集团在韩国经济中占有十分重要的地位，主要的大企业集团有三星、现代集团、SK集团、LG、浦项制铁、韩华集团等。2020年3月3日，韩国总统文在寅表示，随着大邱和附近的庆尚北道新冠病毒危机达到顶峰，韩国宣布对新冠病毒“作战”，政府所有机构进入24小时全面戒备状态。","中文名：大韩民国；英文名：Republic of Korea；别名：韩国；国歌：《爱国歌》；货币：韩元（KRW，₩）；国鸟：喜鹊；国花：木槿花；所属洲：亚洲；国庆日：1948年8月15日；政体：总统制共和制；面积：约10万平方公里；人口：51，466，201（2017年）；主要民族：朝鲜族；主要宗教：基督新教、佛教、天主教；官方语言：韩语；GDP：1.531万亿美元（2017年，国际汇率）；首都：首尔；主要城市：釜山，仁川，蔚山，大邱，大田，光州，水原，济州市等；国家代码：KOR；时区：UTC+9；著名企业：三星、LG、现代、起亚、大宇；地理最高点：汉拿山；中央银行：韩国银行；高等学府：国立首尔大学、韩国科学技术院等；法律体系：大陆法系和英美法系；人类发展指数：0.901（极高，2016年）；水域率：0.3%；人均GDP：29743美元（2017年，国际汇率）；国际电话区号：+82；道路通行：靠右驾驶；风景名胜：南山塔 乐天世界 雪岳山 济州岛；人口密度：528人/平方公里（2017年）；国际域名缩写：.kr；国家领袖：总统：文在寅；国旗：太极旗；主要气候：温带季风气候和亚热带季风气候；"
