走马观花998,#外国人永久居留管理条例#杨宜勇你是想引进黑人传播爱兹病？
零陵发布,:#【组图】谢谢你们！医护工作者是战“疫”中最美的身影#2020庚子年到来前，抗击新型冠状病毒感染的肺炎疫情战役在全国打响！位于零陵区的永州市中心医院（零陵院区）、永州市第四人民医院、零陵区中医医院的医护人员加入到抗击疫情的激烈战斗中——你们是这场疫情中最美丽的身影，向你们致敬！【http://t.cn/A679m8wV】
御景国际能够,:#浙江新增7例均为意大利输入病例#武汉现在差不多好了，你浙江又开始给我闹妖蛾子，你是想让全国人民陪你们一起不上班不挣钱不工作是吧，那我问你你浙江华侨捐了物资可以回来，那我其余30个省市捐了物资的华侨凭什么不可以回来?我建议欧洲，美国韩国华侨感染了的都回来治疗，既然你浙江能回来我们其他省也应该都能回，你要问我为什么，我xx省都没说什么，轮不到你外省人!
zoomin2,:#美股##美国疫情#1.今天苹果反弹近10%，特斯拉涨了11%，惊讶于市场的乐观，于是搜寻些美国对当前疫情看法的报道。2.视频是3月2日CNBC对两位纽约市emergencyroom的医生做的采访，划重点，以下都是原话：-医生刚从医院来，手边没有检测试剂，“身处一线却没有工具”；-下周美国的感染人数可能达几千；-有些国家一天能测10000例，而美国的检测数量和速度完全不够，可以说是scandal了，呼吁提高检测试剂数量。当前有100个实验室，每个实验室能检测100个，所以每天的检测速度是一万个，到了下周预估可以翻一倍到两万个；-美国的死亡率模型是参考韩国的，死亡率2%-4%，算非常严重的流感；-不改变生活方式完全不ok；-他们也认为韩国的处理措施要比日本严格的多；-有位医生说一两周后才能得到真实的数据，现在大众对于数据的认知还很盲目。3.视频被删了几次，只能截图了【删视频的规则是啥？
点赞Video,:【衡阳新冠肺炎患者清零，最后两名患者出院市长到场迎接】#两患者出院市长迎接#湖南衡阳最后2例新冠肺炎患者治愈出院，衡阳市委副书记、代理市长朱健到场看望。随后，3名已出院的患者完成了衡阳首次带抗体血浆的捐献。至此衡阳48例确诊患者全部治愈出院，且医务人员零感染。@点赞Videohttp://t.cn/A67ooI9B
华发传媒,:从2月中旬开始，在国家法律政策的允许下，我国开始陆续进行新冠肺炎患者的遗体解剖工作。近日，首例新冠肺炎尸检报告发布，记者专访主持首例新冠肺炎逝者遗体解剖的刘良教授。这份报告中包含了哪些重要信息？　　1、新冠肺炎病变与SARS有类似也有自身特点　　刘良教授表示，新冠肺炎的病变与SARS有类似之处，也有自己的特点。从目前的病理结果来看，一些死者的肺部切面上，能看到有黏液性的分泌物，他认为这是临床治疗需要警惕的地方。　　刘良介绍，新冠肺炎患者出现的症状不像我们平常的感冒、病毒感染引起的流清鼻涕等症状，解剖发现这些患者肺部的分泌物是黏稠的，而且在较深的气道里，如果在早期没有发现、不去针对性地做处理的话，治疗可能会起反作用。　　此外，刘良介绍，正常的肺含气，握上去感觉像海绵，但感染新冠病毒的肺一摸就感觉它已经实变了，肺里面被别的东西取代了。http://t.cn/A679miY1
张小贝贝贝贝贝贝,:昨天早上我在看书，豆糕一把抢过去非要自己看，咱也不懂她看要看什么！
彭鸿鉴赏玉器文玩大师,:彭鸿玉器文玩鉴赏大师向全国股民献大礼隆重登场推出含金量最高A股低价股票王2020年个人投资者最伟大最安全投资，新冠状肺炎疫情影响全世界各个国家感染者越来越多，中国最伟大低价基因股票隆重登场002030达安基因隆重登场。快速10分钟检测核酸检测试剂盒工厂定单爆满业绩今年估计翻10多倍，呆在家不怕失业打开电脑买入达安基因轻松挣钱推荐买入价16元以下中长线持有合理股价30元以上。达安基因投资收购国内200多个创投医药基因优质项目拥有专利技术300多项，2月5日核酸检测试剂盒通过欧盟CE认证意味者随时可以出口全世界任何国家，随着全世界疫情越来越严重各国对核酸检测试剂盒需求量爆增。此次疫情最大收益股，一季度产品销量暴增超过去年全年业绩。实体经济未来越来越萧条买入达安基因就当定期存款2年股价必翻倍。国家大力发展大健康产业未来生物基因行业是最有发展钱途行业。达安基因股票比华大基因股票更有发展空间，华大基因股价在80元以上，达安基因股价在16元下方两者比较达安基因股票补涨空间巨大合理股价50元。http://t.cn/A6vtJpCj
陈氏风水堪舆,:3月2日，日本感染症学会日前公布了新型冠状病毒疾病治疗方案，不满50岁的患者多数能够自愈，不一定需要用抗病毒药进行治疗，仅采取对症疗法等持续观察即可。方案一出，与中国同行们的结论相差甚远。看来，过度恐慌有失科学和严谨性。日美的医学水平的确比我国的钟南山们的认知要高出一大截。从现有的日本国内疫情发展态势来看，佛系的日本方案无论成本还是伤亡都要比我们小很多！
新金融观察报,:【#伊朗派30万个医疗小组排查疫情#，#伊朗将中国诊疗方案译成波斯语#向公众公布】为尽快遏制新冠肺炎疫情蔓延，伊朗日前采取了一系列措施。据当地媒体报道，伊朗卫生部长纳马基称，从3月2日起伊朗在全国各地派出30万个医疗小组上门逐户排查疫情。纳马基表示，这些小组将主动前往人们家中，而不是等待患者来就诊，平均每个小组大约会入到访270名伊朗人，所有医疗小组均配备有必要的诊断装备，诊断出的病例将被送到医疗机构接受治疗。纳马基说，如果能在早期就诊断出感染新冠肺炎，患者将得到更快更好的治疗，死亡率也将因此降低。另据伊朗驻华使馆消息，相关的措施还包括：将中国诊疗方案翻译成波斯语向公众发布、全国所有学校停学、取消包括婚礼和葬礼在内的一切集会、在公共场所实施体温监测等。伊朗驻华使馆在其微博上表示，“我们相信，只要众志成城、团结一心，就一定能战胜疫情。就像任何困难都打不倒中华民族一样，也不会有任何困难能打倒伊朗人民。”（人民日报）
运河发布,:#抗击疫情，有你有我#【张建虎：“走，回娘家！疫情不退我不退！”】“疫情就是命令、岗位就是战场”，在打赢新型冠状病毒感染的肺炎疫情防控阻击战中，水月寺办事处把人民群众生命安全和身体健康放在第一位，周密部署，迅速行动，建立以疫情防控为主的三级网格管理，筑牢夯实联防联控、群防群控抵御疫情的严密防线，在水月寺办事处疫情防控大军中，有这样一群同志，他们下沉一线，充实保障一线力量，积极配合街道、社区工作人员的工作安排，他们就是水月寺办事处的包联单位的同志们。下面我们来认识一下运河区水务局副局长张建虎。http://t.cn/A679XSWg
东西湖发布,:#武汉临空港##武汉抗疫防线#【8处卡口，24小时值守，严控车辆出入】为切实减少和切断病源的传播感染途径，慈惠街沙咀大队在辖区内设置了8处卡口值守点，为大队居民筑起了第一道安全防线。2月28日，记者来到朝阳路三环线路口，这里是沙咀大队的第一处卡口。现场，大货车、面包车、小轿车排着长长的队，依次等待卡口守卫员的“检测”。经过体温测量、车辆通行证检验及信息登记等层层把关之后，才能够通行。沙咀大队主干道向外通往朝阳路三环线，向内通往东西湖区慈惠街。该辖区涵盖有集贸市场、物流企业，且居民区比较分散。沙咀大队党总支部副书记朱杰介绍，因为大队所在位置属于交通要道，来往车辆较多，特别是三环线，要确保只有疫情保障车辆通过，而且车辆人员无发热情况才能放行。为了更好地保证居民群众的安全及重点企业的正常运转，大队设置了8处卡口值守点，除了朝阳路三环线路口，其他7处进出口分别分布在滨江康居还建小区、沙咀村湾、余氏墩、网船湾、果品宿舍、港机宿舍、亚东宿舍。每处卡口均采取24小时值班值守制，严格落实“逢车必查，逢人必检”。（记者周玉微金齐天）
孝义发布,:#俺孝义#【公告||孝义市人民医院二级响应期间健康体检管理公告】尊敬的患者、家属朋友：2月24日起，我省突发公共卫生事件一级响应调整为二级响应，随着各地有序复工复产，人群流动逐步恢复常态，为科学抗击新冠疫情，避免人群聚集和交叉感染风险，满足市民复工复产前健康体检需求，开展好二级响应下更高标准的精准防控工作，维护科学合理的医疗秩序，现将我院新冠肺炎二级响应期间健康体检管理公告如下，敬请大家知悉，感谢您的理解与配合。
平度环保,:【远程视频“云”评审助力企业复工复产】近日，青岛市生态环境局平度分局做足资料上传、核定现场、审核资料修改等前期工作，帮助企业顺利通过建设用地土壤污染状况调查报告专家评审会议。该会议由青岛市生态环境局土壤固废处会同环科院首次利用远程视频形式组织召开，经过质询讨论，平度市东阁街道金悦府项目顺利通过专家评审，实现全省首例建设用地土壤污染状况调查报告专家“云”评审。新冠肺炎疫情防控期间，青岛市生态环境局平度分局主动服务，创新方式，实施召开会议“不见面”，审批服务“网上见”，开辟“绿色直通车”等措施，尽最大可能减少人员聚集、降低感染风险，做到疫情防控与工作推进“两不误”，为企业复工复产，相关项目加快推进提供了有力支持。http://t.cn/A679X6ll
张眼看微博,你好
CHICHIBOOM,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
ConAltura,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
大连户口身份证,:【因检测盒质量问题#美疾控中心误放一名新冠患者#：带回前已逛商场】据美媒报道，当地时间2日，得克萨斯州圣安东尼奥市市长宣布，该州疾病预防与控制中心上周误将一名新冠肺炎感染患者解除隔离。目前该患者被再次隔离，但已与多人接触，并逛过当地商场。青蜂侠Bee的秒拍视频
人民日报传媒海南,:【一位世卫工作人员在伊朗确诊#中国境外新增病例约为中国9倍#】3月2日，世界卫生组织通报新冠疫情最新情况，称过去24小时内在中国境外通报的确诊病例几乎是中国国内的9倍，其中日本、韩国、伊朗、意大利情况最令人担忧。当日，#世卫组织工作人员在伊朗感染新冠病毒#。#聚焦新冠肺炎疫情#@世面（新京报）（ZMM）http://t.cn/A6794nb6
年一轻一嫂一子一夜一援,:“姜灵呢？姜灵在哪！？怎么能这么不负责任！我孩子还这么小，医生说他肺部可能感染，要出点什么意外你们赔的起么？你们拿什么陪？姓姜的那个女老师呢？滚出来见我！”宸荨樱桃，不吃香菜yui，新郎扒皮新娘，虎牙古阿扎，6W女兔兔，留学生刘玥，91风月海棠，鹿少女，秦先生，河南实验中学
大精灵之家园,:《安徽合肥发现一例无症状感染者密切接触者达177人》此外，为进一步扩大筛查范围，高新区还组织对安徽国风塑业股份有限公司一分厂另外269名员工开展了第三方快速筛查，结果正常。http://t.cn/A679M5g3
安阳草根,:世上没有不弯的路，人间没有不谢的花，人这一生能力有限，但是努力无限。努力做一个善良的人，做一个心态阳光的人，做一个积极向上的人，用正能量激发自己，也感染身边的朋友，你阳光，世界也会因你而精彩，一辈子要记住三句话：看人长处、帮人难处、记人好处！#岁月践行##草根交流[超话]#网络配图
快跑啊我要追你了,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
济宁任城检察,:【#白岩松对话中国驻韩大使#】截至当地时间下午16时，韩国新冠肺炎感染者总数升至4335人，韩国将如何加强疫情防控？需要哪些帮助？目前，武汉社区如何保障困难人群、外地滞留人群生活供应？白岩松连线中国驻韩国大使邢海明，武昌中南路街道百瑞景社区党委书记王涯玲↓央视新闻的微博视频
L_懒猫,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
秋水无痕易jiajia,2.5发出一句“你好”2.28说不出一句“再见”
T-shirt沉迷于屁股深爱盾冬,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
YYYYYYYYYYYYYYY·,湖北省真的不止武汉一个城市，还有很多其他的城市，我就是其他城市中的一员，我们真的身处在水深火热之中，可能会有外省的人来抬杠，大家都一样啊，但是请你相信我，真的不一样。下面我就来一一分析湖北省内除武汉以外其他城市的状况。1:基本物资，出门是决不允许的，必须联系小区物业统一采购，我江苏浙江的朋友拥有通行证可以正常出门了，虽然商场很多店铺没开门，但是出门买杯咖啡便利店买个吃的完全没问题，对于在湖北的人来说，想出门，痴心妄想。2:迟迟不能返岗。外省的交通方式已经陆续恢复，而湖北，火车不通，飞机没有。肯定会有人说，疫情就是从武汉传出去的，湖北管控的严格一点是合理的。可是湖北省除武汉以外的部分城市也实现多日增长为0了啊。再给大家举个例子，距离武汉300公里的河南和湖南部分城市解封了，可是距离武汉500公里的湖北恩施还未解封，这是为什么呢？河南信阳市的感染人数甚至多于湖北恩施，就因为恩施地处湖北省内吗？还是说这个病毒只在湖北省内传播呢？很明显一刀切的政策就是不合理的。湖北省人口除开武汉市还有近5000万人口，而这5000万人口却迟迟不能返岗工作。谁替健康的湖北人考虑过吗？我给北京的社区打电话，社区叫我别回来，表妹给深圳的社区打电话，社区说已经把你们湖北的水电全断了，别回来了，公司也叫湖北的员工别回来，但是却变相的开始裁员了。从封城开始，已经隔离了40天了，我们愿意为了防护疫情做最大的牺牲，但是现在想要返岗却遥遥无期。人都是需要生活，没有工资，就无法偿还肩负的高额的房贷车贷等等贷款，还有私营业主，无法承担房租和员工各种开销，对于滞留在湖北的外省人以及外省务工人员来说，湖北人付出的代价远比你想象中多的多。很多人说忍一忍，配合一下，可是为什么外省的部分城市能返岗开工，偏偏湖北除武汉以外的城市不能呢？我支持封禁，但也希望官方能考虑下务工人员的感受，考虑一下除开武汉市以外湖北其他的居民，我们只想要正常的生活，努力工作，普普通通的活着。浙江省也有感染严重的地区，为什么湖北省不能参考一下浙江省的做法，按疫情轻重程度分区制定方案呢？疫情较轻的地区，在不影响防疫情况下给予适量放开，以科学的方式来控制疫情，保障群众的生产和生活呢？我相信每一个人都能配合健康的检查，做好防护，去工作的城市隔离14天再回到工作岗位上的。我们只想要生活下去，活下去。
阿楠厉害,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
葫芦岛市公安,【5000人的社区无一人感染探寻武汉市吹笛派出所社区民警马建国守好无疫情社区的秘诀】#疫情当前警察不退#“实行硬隔离是基础，做好软服务是关键，真正起关键作用的还是通过入脑入心的宣传，让居民安心待在家里隔离啊！”说起自己守护的这个无疫情社区，马建国滔滔不绝，“社区干部给力，辖区群众配合，才有我们现在的安全。”http://t.cn/A67KBGJC
PAPPY部长,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
淄博警方,:【小大人！5岁女童劝爷爷别去上班“密度输出”一个多小时】“你被感染上了，我们家几个人也得抓进去！”爷爷想去上班，家里人怎么劝都不听，5岁的豆豆着急了，劝了有一个多小时，爷爷最终被说服
王木木795,【#美国当年让6000万人感染H1N1#，能防住新冠吗？】上海交通大学医学院公共卫生学院副教授蔡雨阳提到，2009年美国处理H1N1的情况，值得我们警惕。美国对H1N1防治基本失败，用美国人自己的总结叫“谨慎而幸运”，最终导致了6000万人感染，并进一步传播到全世界，最终幸运在H1N1的杀伤力总体上没有那么可怕，但是面对各方面都“升级”的新冠病毒，如果我们只采取美国那样的应对方式，那可能全世界都要付出惨重代价。http://t.cn/A67VS5ED
请给劳资滚开,:#浙江新增7例均为意大利输入病例#特殊时期，特殊对待，不能大意，不要放松警惕，避免更多的人被感染！
水心_做球迷而不是做粉丝,【#浙江新增7例均为意大利输入病例#，均为丽水报告】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。其中：新增出院病例中，杭州市5例、宁波市2例、温州市9例、湖州市1例、绍兴市1例、金华市2例、舟山市2例、台州市4例、省十里丰监狱10例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市10例、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市5例、嘉兴市1例、省十里丰监狱1例；死亡病例中，温州市1例；出院病例中，杭州市170例（其中划归外省病例12例）、宁波市151例、温州市456例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市112例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41130人，当日解除医学观察118人，尚有580人正在接受医学观察。
蒲江史志,【这条病毒感染时间线告诉你：一人确诊，影响有多大？】近日，某地通报一起案例，一男子外地回家后未隔离观察14天就参加家族聚餐，6个家庭受到影响。这起家族感染病例中，谁是“一号病人”？我们通过病毒感染时间线找出了答案⬇️长江日报的微博视频
安心,【钟南山院士团队：如管控措施迟5天实施，疫情规模预估将扩大至3倍】近日，钟南山院士团队在JournalofThoracicDisease发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章。该研究预测了COVID-19疫情全国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国大陆的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。（环球时报）
柳城警方,【5000人的社区无一人感染探寻武汉市吹笛派出所社区民警马建国守好无疫情社区的秘诀】#疫情当前警察不退#“实行硬隔离是基础，做好软服务是关键，真正起关键作用的还是通过入脑入心的宣传，让居民安心待在家里隔离啊！”说起自己守护的这个无疫情社区，马建国滔滔不绝，“社区干部给力，辖区群众配合，才有我们现在的安全。”http://t.cn/A67KBGJC
So丶尐緢168,:#黄石两村民发热打牌致多人感染#湖北一些农村老人真的绝了⋯⋯害死了打工年轻人这样下去还能结束封禁不？能不能为其他人着想一下啊⋯⋯
龙立新Aaron,:【#韩国累计确诊4812例新冠肺炎#】据韩国卫生部门消息，截至当地时间3日0时，韩国再次确诊新增477例新型冠状病毒感染病例，感染者总数升至4812人，死亡29人。#韩国新增477例新冠肺炎#
珍珠奶茶少加冰,2.5发出一句“你好”2.28说不出一句“再见”
遵义政务微博,:【贵州首批“抗疫”血浆已用于临床救治】3月2日，按照贵州省新冠肺炎康复者恢复期血浆治疗重症、危重症患者医疗专家组的意见，省血液中心前期采集的首批新冠肺炎康复者恢复期血浆安全运抵省将军山医院并用于临床救治。当天，省血液中心得知省将军山医院有新冠肺炎感染患者需要输注A型血浆200ml的消息后，立即按规定流程组织协调，并将已采集的第一批康复者恢复期血浆送到将军山医院输血科。医院已于当天23:40输入收治的新冠肺炎患者体内，开展康复治疗。据悉，截至目前，省血液中心已于2月24日和28日顺利完成2例新冠肺炎康复者恢复期血浆采集，共计800毫升。下一步，省血液中心将继续采集新冠肺炎康复者恢复期血浆。省血液中心再次呼吁，希望能有更多的治愈康复者志愿捐献恢复期血浆，用于新冠肺炎重症、危重症患者的治疗。（贵州综合广播黄小胜）
l烟火里的尘埃l,:#韩国累计确诊4812例新冠肺炎#应该是之前遭感染了不重视这段时间爆发了估计还有很多
浆果味可爱多,2.5发出一句“你好”2.28说不出一句“再见”
蒲江史志,:【多国疫情升级，世卫给出10项预防建议】①清洁双手可降低病毒传播风险；②定期用消毒剂清洁物品表面；③自学新冠肺炎相关知识；④发烧或咳嗽期应避免旅行；⑤咳嗽或打喷嚏时用衣袖遮挡或使用纸巾；⑥有基础疾病者，感染后出现重症的风险可能更高；⑦一旦感觉不舒服，请待在家中并打电话给医生；⑧生病时，吃饭和睡觉与家人分开；⑨如出现呼吸急促，应立即就医
汉卓律师事务所,:复工后，员工怕感染不上班怎么办?关于企业复工后工资支付等12个问题详细解答！#企业复工##复工后上班有多难##复工后上班有多难#
追剧少女叮叮当,:#电视剧[超话]##电视剧奋进的旋律#☁️🈶1-35集点赞平仑取👇👇央视一套《奋进的旋律》本周末收官，演员演技在线，可放心食用！李东学还蛮有感染力的，“果郡王”的固有印象被打破了，鲜明的看到一个创业青年的成长史，原声台词也好听[good]#奋进的旋律#央视一套的秒拍视频
夏叶开红药,【“我的穴位注射剂已申请专利”#自称治愈副厅长新冠肺炎医生被查#】感染后拒绝隔离的湖北省司法厅原副厅长陈北洋，在他的“致歉信”中称，“李医生”治好了他们一家三口的新冠肺炎，李跃华备受关注。在陈北洋“致歉信”发出后不久，李跃华承认：陈厅长说的是事实。他还介绍自己为15例确诊或疑似新冠肺炎患者治病，其中9例治愈。他发明的穴位注射剂，已申请专利，也写了文章向柳叶刀投稿。3月1日晚，湖北省卫生计生委表示，李跃华涉嫌在新冠肺炎疫情防控期间非法行医。http://t.cn/A67S4woNhttp://t.cn/A67CMxFG
朱一龙Verysweet,:#武汉外地滞留者可申领3000元政府救助#支持这两个月太难了不容易他们做出的牺牲很大#世卫组织工作人员在伊朗感染新冠病毒#一定要做好防护措施啊，不光是一线工作人员普通人也要
法治贵州网,:【世卫组织：#新冠肺炎重症患者死亡率超过50%#】世卫组织指出，大约80%患者症状较轻，14%左右发展为严重疾病，5%左右属于重症病例。早期研究显示，感染后的严重程度和患者的年龄以及是否患有基础性疾病有关。对于重症患者，氧气治疗是主要的治疗手段，所有国家都应该完善脉搏血氧仪和医用氧气系统的可用性。世卫组织指出，重症患者的死亡率超过50%，因此应优化现行的重症患者治疗措施，如肺保护性通气。世卫组织报告指出，目前尚无针对冠状病毒病（COVID-19）的有效治疗方法，因此世卫组织和研发蓝图（R&DBlueprint）目前将研究治疗方案为优先事项。
广西政法,:【因检测盒质量问题美疾控中心误放一名新冠患者：带回前已逛商场】据美媒报道，当地时间2日，得克萨斯州圣安东尼奥市市长宣布，该州疾病预防与控制中心上周误将一名新冠肺炎感染患者解除隔离。目前该患者被再次隔离，但已与多人接触，并逛过当地商场。青蜂侠Bee的秒拍视频
英之cai,【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。http://t.cn/A67KTKaw
孝感网槐荫论坛,:#我们共度难关孝感加油#【应城市应急管理局向疫区乡镇调拨疫情防控物资】通讯员陶智伶近日，应城市应急管理局已向城中、长江埠街道办事处，郎君、义和等疫区乡镇及市直单位调拔救灾帐篷、棉被、棉衣、折叠床等物资用于抗击疫情。疫情发生以来，该局积极与该市新冠病毒感染的肺炎防控指挥部对接，争取省应急管理厅、孝感市应急管理局支持，及时从武汉、孝感拉回划拔救灾物资，支持全市抗击疫情。截至目前，已向该市17个镇、场、办事处、开发区及市直单位发放帐篷470顶、棉被1123床、棉衣743件、折叠床483，用于疫情人员隔离、卡口值班值守等，保障了防疫工作的顺利开展。此外，他们还协调应城市金蔚化工有限公司、应城市金蔚化工有限公司2家爱心企业向省内兄弟县市捐赠消毒液2465吨。
南阳城市广播,:【#美国累计确诊100例新冠肺炎#】美国《纽约时报》援引美国卫生部门官员表态称，截至当地时间2日晚，美国境内新冠病毒感染病例数已达100例，其中包括6例死亡病例（全部发生在美国西北部华盛顿州）。另据卫生部门对感染病例基因分析显示，新冠病毒在华盛顿州宣布发现首例感染病例前至少6周，就已在当地社区传播。（总台记者刘旭）来源：@央视新闻
