凤凰网山东,:#山东累计治愈出院511例#【3日0-12时，山东新增治愈出院14例，累计治愈出院511例】2020年3月3日0-12时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院14例，累计治愈出院511例。截至目前，追踪到密切接触者16963人，尚有526人正在接受医学观察。
甬城万事通,:#甬城万事通[超话]#【一位世卫工作人员在伊朗确诊#中国境外新增病例约为中国9倍#】#伊朗将中国诊疗方案译成波斯语#3月2日，世界卫生组织通报新冠疫情最新情况，称过去24小时内在中国境外通报的确诊病例几乎是中国国内的9倍，其中日本、韩国、伊朗、意大利情况最令人担忧。当日，#世卫组织工作人员在伊朗感染新冠病毒#。#聚焦新冠肺炎疫情#@世面http://t.cn/A6794nb6#万事通新闻##特朗普称现在举行集会安全#
鹤壁日报,:#豫见疫情防控#【3月2日河南省无新增新冠肺炎确诊病例出院18例】2020年3月2日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例18例。　　截至3月2日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例5例，现有危重病例2例，累计死亡病例22例，累计出院病例1223例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。　　目前累计追踪到密切接触者39220人，3月2日已解除观察219人，共有966人正在接受医学观察。
沙雕语录,:#浙江新增7例均为意大利输入病例#【#slivki#瑞典军粮有什么？】这次尝试的瑞典军粮可以说是很惊喜了，分量是我们以往试过的口粮里最足的，味道也不错，饮料品种很多，还搭配了很多小零食，比较遗憾的就是缺少了加热的工具。我们依旧在狐狸洞口放了摄像头，不过这次我们学聪明了，对摄像头进行了更好的伪装，想知道狐狸去哪了，又是谁破坏它们的洞穴，可以关注我们的后续视频！http://t.cn/A67S0qCq
雨之微评,:上海张文宏说：“现在发现中国控制住了，世界出事了”。有可能中国上半场，境外下半场。近日，全国多地现境外输入病例。2月29日北京2例自伊朗入境。3月1日宁夏2例从伊朗德黑兰经莫斯科回国入境。同日深圳1例由英国途经香港入境。3月2日浙江新增7例，都是在意大利一餐馆工作回国。境外疫情也同中国息息相关。严防境外输入，当前不可掉以轻心。
黧子酱,:#浙江新增7例均为意大利输入病例#这事就真的挺尴尬，毕竟是华侨同胞，不让回确实让人寒心，我记得之前还有个丽水华侨因为国内买不到口罩直接买下口罩厂的新闻，真的蛮感动的。现在意大利对戴口罩都这么不重视，说难听点，在国外真的只能等死了。人性面前，真没啥好说的。倒是好多浙江网友吧，这时候就不要分浙江省内省外了，这个不是你们没意见就能控制的事情。病毒可不分地方，其他省的人担心并有什么不妥，回来的华侨确实做的挺好的，一下飞机就包车回的青田，但在飞机上呢，飞机上的其他乘客不无辜么？他们在飞机上即使戴了口罩，对其他人来说也是风险啊。假如你或者你的某个亲人在那个飞机上，真的还能这么坦然吗？浙江真的做的蛮好的，幸亏浙江防疫及时检测出来了，但现在担心的是飞机上其他地区的人回去后没有隔离，一传十，十传百。现在我们国内本来疫情控制的蛮好了，这时候从国外回来，本来就是很让人担心的事。不懂有什么好吵的，只能说事不关己高挂起吧，一旦自己受到威胁，有几个心甘情愿被拖累的。微博哦，果真是大型双标现场。
汕头e京网,:#潮汕身边事#【揭阳确诊病例清零！最后2例新冠肺炎患者今天上午出院】3月3日，在揭阳市委市政府和市卫生健康局的坚强领导下，经揭阳市人民医院医护人员的精心诊治，揭阳市现有最后两例新冠肺炎确诊患者陆某和庄某相关指标符合国家卫生健康委《新型冠状病毒肺炎诊疗方案(试行第六版)》出院标准，于上午出院。至此，揭阳全市累计报告的8例新冠肺炎确诊病例，已全部出院。
北京大兴瀛海健康教育,:病毒与耳病-特殊时期的爱耳日科普3月3日是全国爱耳日，冬春之交的这场新冠肺炎疫情，让大众对病毒有了新的认知。其实，病毒是介于生物与非生物之间的简单生命形式，广泛分布于自然界，可以引起多种疾病，具有流行广泛、传播途径多、传染性强、易发生并发症、后遗症严重、死亡率高等特点，此次新型冠状病毒主要攻击呼吸系统，引起严重肺部病变。那么病毒会导致耳科疾病吗？会引起哪些耳科疾病呢？事实上，耳病与病毒感染密切相关，病毒感染可以导致外耳、中耳以及内耳、耳神经病变，引发耳病的主要症状，包括耳聋、眩晕、面瘫、耳鸣、耳漏以及耳痛，有的还会引起严重的全身并发症，需要引起重视。　　病毒感染与耳聋　　耳聋逐渐成为一个普遍的社会问题，与病毒感染有关的耳聋主要包括突聋及感染性聋。　　突发性聋指突然发生的感音神经性听力损失，通常在数分钟、数小时或一天之内患者听力下降至最低点，至少在相连的频率听力下降大于30dB，临床并不少见，近年来发病年龄有向年轻偏移的趋势。突聋的发生与病毒感染密切相关，临床上观察到，部分突聋患者约在发病1个月前有上呼吸道病毒样感染的症状。其血清学检查常示抗病毒抗体滴度增高，有直接证据表明某些病毒可引起突聋。　　感染性聋亦称传染性聋，是指听觉神经系统受细菌、病毒、立克次氏体、原虫等病原微生物侵袭，结构与功能遭到损害所致的听力下降，是防聋治聋的一个重要课题。引起致聋的病毒主要有以下几种：风疹病毒，在西方国家，风疹为最常见的妊娠期致聋原因。此病防治关键在于预防孕期感染，若有病史，应加强围产期检查，及早发现畸形胎儿，以减少残疾儿出生率。腮腺炎病毒，是儿童时期发病的后天性聋的重要原因，耳聋进展快，可在流行性腮腺炎发病之后的早期、中期或晚期出现。但亦有部分病例腮腺并无明显肿大而听力急剧下降。早期注射腮腺炎疫苗是最有效的预防方法，发病后治疗难以收效。麻疹病毒，麻疹引起耳聋轻重可不一致，轻者表现为高频听力下降，重者可以全频下降，严重影响语言交流。推行幼儿疫苗接种是最有效的预防方法。　　病毒感染与眩晕　　病毒感染可以损伤内耳前庭，出现眩晕症状，常见的疾病为梅尼埃病及前庭神经炎。　　梅尼埃病也就是美尼尔综合征，是一种原因不明的、以膜迷路积水为主要病理特征的内耳病。目前认为病毒感染可能破坏内淋巴管和内淋巴囊，引起内耳积水从而出现眩晕症状。前庭神经炎又称为流行性眩晕，现认为是由病毒感染所致的前庭神经疾病。以突发性单侧前庭功能减退或前庭功能丧失为特征。临床观察到，约23％～100％的前庭神经炎病人发病前有上呼吸道前驱感染病史。病人血清中疱疹病毒抗体滴度增加、部分病人伴有皮肤带状疱疹。病毒感染学说为目前多数学者所接受。病毒感染与面瘫　　病毒可以感染耳神经，包括听神经、面神经，引发相应症状。贝尔（Bell）面瘫是最常见的周围性面瘫，目前认为可能和单纯疱疹病毒感染有关。另外有一种耳带状疱疹感染引起的面瘫，命名为Hunt综合征，也是面瘫常见原因。　　病毒感染与中耳炎、耳流脓　　急性中耳炎是中耳粘膜的急性普通炎性疾病，多数由细菌的急性感染引起。其中由麻疹等病毒引起急性上呼吸道传染病，一方面原发病的病原体可经咽鼓管侵袭中耳，迅速破坏中耳及其周围组织，导致急性坏死性中耳炎，另一方面也可经该途径发生继发性细菌感染，尤其在小儿的全身及中耳局部的免疫功能较差，容易导致严重的急性中耳炎。另外一种常见的分泌性中耳炎，通过应用PCR等现代检测技术发现，其中耳积液中可检出如流感病毒、呼吸道合孢病毒、腺病毒、等病毒，因此，病毒也可能是分泌性中耳炎主要致病微生物。另外，病毒感染导致的外耳、中耳、内耳疾病也可以引起耳鸣、耳痛等症状。　　疫情当前，除了做好常规的耳部保护措施、及时诊治耳病外，我们还要提高对病毒引发耳病的认识，了解病毒对耳病的影响，及时诊治病毒相关性耳病，保护听力、减少严重耳源性并发症发生。
财经961,:【#浙江新增7例意大利输入病例情况公布#：均与浙江首例境外输入病例在意大利同一餐厅工作】2日，#浙江新增7例新冠肺炎均为输入病例#。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。@央视新闻
每日头条播报,:#浙江新增7例均为意大利输入病例#据浙江省卫健委通报，2020年3月1日0-24时，浙江省无本地新增新型冠状病毒肺炎确诊病例，新增出院病例23例。截至3月1日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1205例，现有重症病例10例（其中危重4例），累计死亡1例，累计出院1050例。2020年3月1日0-24时，新增境外（意大利）输入性确诊病例1例。
广西师大环境与资源学院,:【环环简报】03月03日今日天气桂林中雨9～12℃①国家发展改革委最新调度数据显示，2月29日我国口罩日产能达到1.1亿只、日产量达到1.16亿只，双双突破1亿只。（图一）②2日，嫦娥四号着陆器完成月夜设置，进入第十五月夜休眠期。3月1日，“玉兔二号”月球车顺利完成第十五月昼的科学探测工作，进入月夜休眠。（图二）③中央气象台预计，2日20时至3日20时，内蒙古中东部、东北地区中南部、西藏东部、青海东部和南部、甘肃南部、华北北部、川西高原北部等地的部分地区有小到中雪或雨夹雪，部分地区有大雪，内蒙古东南部等地局地暴雪。（图三）④广西完成首例新冠肺炎康复者血浆捐献。（图四）⑤两部门：常见病、慢性病网上复诊医保可报销。（图五）⑥截止3月3日上午9时，全国累计确诊新型冠状病毒患者80302例，疑似587例，死亡2946例，治愈47260例。3月3日上午，广西壮族自治区卫生健康委发布通报，3月2日0-24时，桂林市新增治愈出院病例1例，无新增新型冠状病毒肺炎确诊病例。（图六）@广西师范大学@广西师范大学团委
经济杂志,:【#武汉疫情快速上升态势得到控制#】3月2日在#国务院联防联控机制#新闻发布会上，国家卫生健康委新闻发言人米锋说，全国新增确诊病例数和新增疑似病例数，近2周总体呈下降趋势。新增出院病例数呈持续波动上升，近几日在3000例上下波动。武汉疫情快速上升态势得到控制，湖北除武汉外，局部暴发的态势也得到控制，湖北以外省份疫情形势积极向好。下一步要从统筹推进疫情防控和经济社会发展出发，紧紧围绕社区防控和医疗救治两个重点，由全面防控向群专结合、精准防控转变。（新华视点）http://t.cn/A67aRJsZ
一鸣心理,:【多名侨胞从意大利回国，#浙江干部教科书式劝侨胞隔离#】#浙江新增7例均为意大利输入病例#近日，浙江青田县侨联党组书记张伟华的一段视频获点赞。原来因意大利疫情爆发，不少侨胞欲返乡，他发表了一段真挚的讲话，一方面欢迎大家回来，劝导大家统一隔离，另一方面规劝其他侨胞在意大利家里隔离，不要返乡。#意大利议员戴口罩被嘲怒摔话筒#http://t.cn/A67S99gP
齐齐哈尔市人民检察院,:【黑龙江连续9天零新增！新增治愈出院8例！】2020年3月2日0-24时，黑龙江省无新增确诊病例。无新增疑似病例。新增治愈出院病例8例。无新增死亡病例。截至3月2日24时，黑龙江省报告新型冠状病毒肺炎现有治愈出院病例358例，其中：哈尔滨市140例、双鸭山市39例、绥化市35例、齐齐哈尔市35例、鸡西市35例、大庆市19例、佳木斯市15例、七台河市13例、黑河市11例、牡丹江市9例、鹤岗市4例、大兴安岭地区2例、伊春市1例。现有确诊病例109例，其中：哈尔滨市54例、鸡西市11例、双鸭山市10例、绥化市8例、齐齐哈尔市7例、大庆市6例、牡丹江市5例、七台河市4例、黑河市3例、鹤岗市1例。现有重症病例39例。无疑似病例。死亡确诊病例13例。全省当日发热门诊诊疗人数1528人。目前追踪到密切接触者16212人，已解除医学观察15653人，尚有430人正在接受医学观察。http://t.cn/A679C2Dh
机投桥街道,:【#纽约首例患者未在医院治疗#纽约州长：80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。L青蜂侠Bee的秒拍视频http://t.cn/A67KYPSC
中国西藏旅游,:#进藏来拉萨者须持居住地健康证明#
妈咪爱宝贝来了,:#浙江新增7例均为意大利输入病例#输入病例无可避免，全世界已经都是疫区，入境一定要做定点隔离，保护中国来之不易的战疫成果#伊朗将中国诊疗方案译成波斯语#看到有国家真的重视起来，也很感动。其他地方如果一直这么吊儿郎当，不知道会不会死很多人…然后他们再后悔也来不及了呀。疫情大范围蔓延的话，还怎么控制啊
会睡觉的叶子,:#浙江新增7例均为意大利输入病例#唉，好难
沈阳皇姑公安,:【#不要再靠近我怕身上有病毒#】昨天，武汉硚口武体方舱医院外，一群医护人员偶遇摄影记者，请他帮忙拍合影。记者想走近一点，把每个人的脸都拍清楚。医护人员却让他“不要再靠近了”，她们担心自己身上沾染着病毒。拍完照，记者鞠躬感谢，一名医护人员也鞠躬回礼↓这一幕，让大家的眼睛都湿润了。#辽宁新增3例确诊均为丹东病例#http://t.cn/A67asQ0X@长江日报
大城小爱Blue--789,:#中国境外日新增确诊病例连续3天超中国#我觉得这是有可能的。因为中国是开放式国家，天都会有很多其他国家的人到中国来，中国也会有很多人到外国去，只要外国还有一例患者，就有风险。会将病毒带到中国来。我们要防止这种事情的发生，就要严格管控来到中国的旅游者，或者是来中国。有其他事情的外国人。一旦发现有疑似病例，就要进行。劝返或者从一开始在机场，就开始隔离，隔离满14天之后再放行，中国严防病毒侵入中国，就要做好入境的，防疫工作一旦发生了，病毒入侵入中国。之前国内的各种努力，又将化为泡影，相信国家不会让这种事发生。http://t.cn/A67M0LzQ
青蜂侠Bee,:【#美国新冠肺炎死亡人数升至6人#他们均在同一家医院接受治疗】当地时间2日，美国华盛顿州举办发布会。据当地卫生部官员确认，#美国新增4名死亡病例#。美国因新冠病毒感染而死亡人数增加到6人，均来自西部华盛顿州金县的同一家医院，且年龄均为50岁以上老年人。青蜂侠Bee的秒拍视频
酈麗,:《世卫组织：过去24小时中国境外新增病例几乎是境内9倍》谭德塞表示，韩国、意大利、伊朗和日本的情况最令人担忧，其中韩国新冠肺炎病例数占中国境外总病例数的一半以上。http://t.cn/A67KTQLV
叶文新,【#纽约首例患者未在医院治疗#纽约州长：80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。青蜂侠Bee的秒拍视频
杨祖耀,【#纽约首例患者未在医院治疗#纽约州长：80%都能自愈没必要去医院】当地时间2日，美国纽约州举办发布会通报当地新冠肺炎疫情情况。对于纽约州出现首例新冠肺炎确诊病例，纽约市长安德鲁.科莫表示，该病例并没有在医院治疗，因为80%的新冠肺炎病例都会自愈，不用去医院。青蜂侠Bee的秒拍视频
成都市红十字会,#关注新冠肺炎#【#西班牙新增40例新冠肺炎#，#西班牙累计确诊123例新冠肺炎#】据西班牙《国家报》报道，西班牙2日新增新冠肺炎确诊病例40例，累计确诊病例达123例，其中超过5人病情较为严重。此外，西班牙邻国安道尔2日也报告首例新冠肺炎确诊病例，该病患近期曾有意大利旅行史。（人民日报）
谁知盘中粽,华盛顿州新添三例死亡病例，全美死亡病例增至五人。
女王8927,:#美国新增4名死亡病例#必须重视起来，戴口罩，勤洗手，不去人流聚集的地方，如果蔓延开来，后果不堪设想。上海
