驻马店广视网,:最新！驻马店0新增！钟南山团队：建议严格防控措施实施至4月底2020年3月3日驻马店新型冠状病毒感染的肺炎疫情情况　2020年3月3日0:00-24:00，我市无新增确诊病例。截至2020年3月3日24:00，累计治愈出院139例。累计报告确诊病例139例。目前累计追踪到密切接触者4336人，已解除医学观察4326人，尚在医学观察10人。2020年3月3日驻马店新型冠状病毒感染的肺炎疫情情况　2020年3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。3月2日，据广州呼吸健康研究院消息，钟南山院士团队近日在《JournalofThoracicDisease》期刊发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19（新冠肺炎）暴发趋势预测”的研究文章。该研究把1月23日前后的人口迁徙数据以及最新的COVID-19流行病学数据整合到经典传染病学预测模型（SEIR）中并得出流行曲线。预测显示：疫情4月底趋于平缓预测显示，本次疫情中国在2月下旬达到高峰，4月底趋于平缓。如管控措施推迟5天实施，中国内地的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。其中，优化的模型预测表明，截至4月底中国内地有9万例至12万例的疫情规模。同时该研究团队也提醒，模型预测与现实存在一定差距，若政府继续严格实行管控政策，提高诊断水平，推出使用药物，该疫情规模将得到极大控制。文章称，SEIR优化模型及成功建立的人工智能模型能有效预测新冠病毒的流行趋势，证实1月23日起实施的公共卫生干预措施有效控制了疫情发展。严格的防控措施如“早期筛查”最好实施至2020年4月底。
胡一秒,:今天是#世界野生动植物日#。野生动物是生态系统的重要组成部分，保护野生动物对维护生物多样性和生态系统平衡起着十分重大的作用。肆虐的新冠疫情，再次给人类敲响警钟，滥食野生动物问题及其对公共卫生安全构成的重大隐患引发了社会各界广泛关注。保护野生动物，不仅是维护国家生态安全的必然要求，也是保障人类身体健康的迫切需要。#保护野生动物##拒吃野生动物#！#正能量##生物多样性##为生命呐喊#！#每日一善##阳光信用#
树本狮山,:【钟南山团队：建议严格防控措施实施至4月底！】中国工程院院士钟南山团队近日在《JournalofThoracicDisease》期刊发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19(新冠肺炎)暴发趋势预测”的研究文章。该文称，SEIR优化模型可精准预测新冠病毒的流行趋势，同时，人工智能预测模型已成功建立并且显示与SEIR模型相似的趋势，证实1月23日起实施的公共卫生干预措施有效控制了疫情发展。同时，严格的防控措施如“早期筛查”最好实施至2020年4月底。http://t.cn/A67Ne1Af
VantageFX万致外汇,:#外汇、黄金、原油、股票、基金##今日看盘##财经#黄金反弹，有望开启新一轮涨势。市场已经押注美联储将引领全球一轮货币宽松潮，但是质疑其他央行实施宽松政策的潜在规模是否能够有效应对全球公共卫生事件带来的经济损失，美元相对其他主要货币汇率料继续承压。
饮水思源lawyer,:面对突发公共卫生事件，社会主义制度的优越性体现的淋漓尽致；资本主义国家倡导的民主人权，拒不戴口罩，只会造成更大的恐慌；没有一种制度是绝对好或者绝对坏的，存在即是合理的！成都
VantageFX万致-汇市攻略,:#外汇、黄金、原油、股票、基金##今日看盘##财经#黄金反弹，有望开启新一轮涨势。市场已经押注美联储将引领全球一轮货币宽松潮，但是质疑其他央行实施宽松政策的潜在规模是否能够有效应对全球公共卫生事件带来的经济损失，美元相对其他主要货币汇率料继续承压。
财经新媒体,:【应对公共卫生危机主要靠公立医院？你怎么看？
大牛哥runner,:#泰国隔离#疫情早发生的这些输入性国家，泰国、越南、印度、尼泊尔、柬埔寨、斯里兰卡，这些不看好的国家，甚至是穷国、落后的国家，医疗水平不怎么好的国家，#战疫打卡行动#全部治愈，没有在本国蔓延。而日本、韩国、美国、意大利这些发达国家，全面爆发，现在几乎无法应对了。公共卫生应急管理是检验政府综合能力的重要标杆。发达国家怎么了？
晨报李国平,:【张文宏：为确保新冠肺炎患者康复后不复阳，上海还要做肛拭子测试】网红医生张文宏表示，到目前为止，上海的新冠肺炎康复病人没有一例出现再复阳的。因为在上海，新冠状病毒感染的病人两次核酸检测为阴性后，会对病人进行肛拭子检测，以确保康复后不会重新呈阳性。3月3日，上海市公共卫生临床中心康复随访门诊医生林逸骁在接受本报采访时也确认，复查时，除了咽拭子、胸部CT、血常规、小便、肝功能等检查之外，必要时还会对患者进行肛拭子检测。http://t.cn/A67NftgU
襄阳国安,:【钟南山：若封城晚5天，疫情规模将扩至3倍！】日前，钟南山院士团队在医学期刊《JournalofThoracicDisease》发表“基于SEIR优化模型和AI对公共卫生干预下的中国COVID-19暴发趋势预测”的文章，对疫情态势进行了预测。研究显示，1月23日实施控制措施后，新冠肺炎传染几率降低。一定数量易感人群的存在使平均每日新感染人数稳定增加。基于一系列干预措施，预计疫情于2月28日达到高峰，截至4月底趋于平缓，预计疫情最终规模预估共计122122例。如果延迟5天实施干预措施，中国内地的疫情规模预估将扩大至3倍。由于感染者平均每天接触的次数增加，传染系数（率）将会更大。病例数量呈指数增加，可能在3月4日达到高峰，达到173372例现存确诊病例，疫情最终规模预估为351874例确诊病例。如果提前5天实施干预措施，全国疫情最终规模可能减少至40991例确诊病例。如果减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。钟南山团队建议，严格的防控措施如“早期筛查”最好实施至2020年4月底。（健康时报王真）
魏氏思语,:《23名议员确诊新冠肺炎！伊朗整体进入备战状态_手机网易网》中新网3月3日电据美联社报道，伊朗最高领袖哈梅内伊3日下令军队协助政府卫生部门防控新冠肺炎传播，令该国整体进入备战状态。哈梅内伊说：“任何有助于公共卫生和预防疾病传播的方法都是好的，而有助于传播疾病的东西则是罪恶的。http://t.cn/A67NDb1k
趣味囧事资讯,:【44名痊愈者26人复阳，专家建议出院标准要严，上海要查肛拭子】最近，成都、武汉与广东等多地出现了出院患者复检呈阳性的情况，其中广东14%的出院患者都存在复检阳性现象。武汉大学人民医院呼吸与危重症医学科副主任医师、副教授张旃日前表示：“我们的出院标准太宽了！”2月24日，张旃发文称，“我们在患者（本院医护人员组成）的配合下，将符合国家指南出院标准的患者共18人延迟出院，继续复查咽拭子核酸共至5次，发现13名患者第三次出现阳性结果。5名患者继续5次核酸检测结果均为阴性，随即办理出院。”为持续研究这一问题，张旃对包括前述18人在内的44名两次阴性结果的医护人员新冠肺炎患者进行了多次病毒核酸检测。在这44人中，有大约26人第三次核酸结果为阳性，概率非常高。张旃表示，目前江苏、浙江、上海和广东实行出院标准比现行《诊疗方案》的解除隔离标准更加严格。上海市公共卫生临床中心党委书记卢洪洲教授介绍说，上海的患者在出院时，不仅要符合肺部渗出性病变明显吸收、临床症状改善和咽拭子病毒核酸检测阴性的标准，还要求出院患者的肛拭子（粪便）核酸检测为阴性。他表示，由于上海的出院标准较《诊疗方案》更加严格，到目前为止，上海出院患者未出现一例核酸转阳。
火速头条,:#火速头条#【有出院病人出现复阳情况康复患者随访检查增加咽拭子】今天，21位新冠肺炎出院病人再次来到上海市公共卫生临床中心进行随访。上海市公共卫生临床中心康复随访门诊医生林逸骁告诉记者，广州、武汉等地有出院病人出现复阳的情况以后，上海对出院后的病人随访也增加了检查项目，包括对所有患者进行咽拭子的随访，对有些患者还会进行大便检查。#上海加油#http://t.cn/A67p7fiQ和病毒博弈的辛苦日子已过，出院后他们接受了...
modern秀才,:荷兰国家公共卫生和环境研究院表示，荷兰新增新冠肺炎感染病例6例。目前荷兰确诊总人数为24例。几乎所有确诊患者都有意大利北部旅行史或者于之前的确诊病例接触史。荷兰卫生部门现在正在密切调查密切接触者。
闻来闻往,:【黄金多头酝酿新攻势，美元继续承压；全球协同应对公共卫生危机？真能使上力的仅有一家_手机搜狐网】分享给你一起看http://t.cn/A67p7sKG分享来自绿茶浏览器！
泉州那些事儿,:#泉州爆料#【泉州安溪：蓝天救援队奋战在防疫一线】自打响新型冠状病毒感染的肺炎疫情以来，在抗疫战斗中，面对严峻的疫情防控形势，安溪县蓝天救援中心全体队员，不畏艰辛、迎难而上，配合安溪各级部门奋战在疫情防控的第一线。广播宣传车打头阵自进入发布公共卫生事件一级响应以来，队员们放弃春节与家人的团聚，主动集结，针对茶乡百姓防疫意识警戒、防疫手段不足的问题，队员兵分两路、组织广播宣传车，主动下乡流动宣传，连续10多天、每天12小时以上，覆盖全县24个乡镇，针对性进行疫情防控知识普及，进而提高茶乡百姓防疫知识。配合高速设卡排查在疫情防控阻击战中，安溪县蓝天救援中心派出队员，分三班倒，在安溪高速出口协助卫健、交警、交通局等部门对过往车辆驾乘人员进行排查，开展防疫宣传、劝导返乡人员自行隔离、劝散扎堆人员、劝返外来车辆，协助做好人员登记、测量体温。极大缓解了我县一线防疫队伍压力。深入社区公共场所消杀新型冠状病毒感染的肺炎疫情防控工作仍在持续，安溪县蓝天救援中心紧急协调，爱心人士捐赠4套专业消杀设备、次氯酸钠消毒液、口罩等，配备专业人员，对我县政府机构、社区、学校、村居等提供免费的消杀服务。据安溪蓝天救援中心队长天龙表示，全体队员将继续积极备战，继续开展各项防控工作，直至疫情结束。#泉州那些事儿#
新闻晨报,:【有出院病人出现复阳情况康复患者随访检查增加咽拭子】今天，21位新冠肺炎出院病人再次来到上海市公共卫生临床中心进行随访。上海市公共卫生临床中心康复随访门诊医生林逸骁告诉记者，广州、武汉等地有出院病人出现复阳的情况以后，上海对出院后的病人随访也增加了检查项目，包括对所有患者进行咽拭子的随访，对有些患者还会进行大便检查。#上海加油#http://t.cn/A67p75H5
古玩哥,:美国媒体erohedge援引经济学家查尔斯·休·史密斯的观点称，新冠病毒是一起严重的公共卫生安全事件，如果任其扩散，美国的重症病患很有可能导致在短短数日内烧掉美国5万亿美元财富。除了防控、治疗、停工损失之外，新冠病毒导致的投资撤离和消费下降也计算在内。#武汉被打配菜员发声##钟南山李兰娟等10个院士团队齐聚湖北#
