杨杨不是轴二呆,:瓜吃晚了。读过书的都知道，打小报告的人最恶心。
广安播报,:【疫情速报丨广安连续21天零新增，严格落实落细各项防控措施，严防聚集性疫情发生】2020年3月2日0-24时，广安市无新增新型冠状病毒肺炎确诊病例。截至3月2日24时，我市累计报告新型冠状病毒肺炎确诊病例30例，其中广安区15例（含枣山园区4例）、华蓥市2例、岳池县5例、武胜县6例、邻水县2例；男性15例，女性15例；年龄最大74岁，最小21岁。确诊病例中，治愈出院25人，现有5例病例全部在定点医院隔离治疗。我市现无疑似病例，正在接受医学观察12人。
趯趯阜螽Z,:我有一个老师是清华的本科、宾夕法尼亚大学的博士，刚刚小组作报告，又让她夸了，开心到飞起新泰市
淮北面孔,:#淮北生活[超话]##淮北生活#【3月3日安徽省报告新冠肺炎疫情情况，淮北无新增确诊和疑似病例】2020年3月2日0-24时，安徽省报告无新增确诊病例，无新增疑似病例，新增治愈出院病例29例。新增治愈出院病例中，合肥6例、阜阳6例、六安5例、亳州4例、蚌埠2例、芜湖2例、淮南1例、马鞍山1例、池州1例、黄山1例。截至3月2日24时，安徽省累计报告确诊病例990例，累计治愈出院病例917例，累计死亡病例6例，累计医学观察密切接触者28235人，尚在医学观察504人。具体如下↓↓↓http://t.cn/R2WxW4y
内蒙古旅游报,:【新闻发布|内蒙古：无新增确诊病例新增出院确诊病例3例新增死亡病例1例】2020年3月2日7时至3日8时，内蒙古自治区报告无新增新冠肺炎确诊病例，无新增疑似病例，新增出院确诊病例3例，新增死亡病例1例。　　新增出院确诊病例3例为包头市土右旗2例、通辽市的霍林郭勒市1例；巴彦淖尔市临河区1例危重病例死亡。　　截至3月3日8时，内蒙古自治区累计报告新冠肺炎确诊病例75例，现存确诊病例20例，确诊病例出院54例，死亡病例1例，疑似病例出院8例，重症病例1例，危重病例2例。　　其中，现存确诊病例20例为：　　1.锡林郭勒盟6例（锡林浩特市2例、多伦县4例）　　2.包头市3例（土默特右旗2例、昆都仑区1例）　　3.呼和浩特市3例(玉泉区2例、赛罕区1例)　　4.通辽市的霍林郭勒市3例　　5.呼伦贝尔市莫力达瓦旗2例　　6.鄂尔多斯市达拉特旗1例　　7.乌兰察布市化德县1例　　8.赤峰市翁牛特旗1例　　确诊病例出院54例为：　　1.鄂尔多斯市10例（东胜区1例、鄂托克前旗1例、达拉特旗8例）　　2.包头市8例（昆都仑区2例、东河区1例、土右旗5例）　　3.赤峰市8例（松山区2例、元宝山区2例、红山区1例、林西县1例、翁牛特旗2例）　　4.巴彦淖尔市7例（乌拉特中旗4例、五原县2例、临河区1例）　　5.呼伦贝尔市5例（满洲里市1例、牙克石市1例、莫力达瓦旗3例）　　6.呼和浩特市4例（新城区2例、玉泉区1例、回民区1例）　　7.通辽市4例（经济开发区1例、霍林郭勒市3例）　　8.锡林郭勒盟3例（锡林浩特市2例、二连浩特市1例）　　9.乌海市海勃湾区2例　　10.乌兰察布市2例（四子王旗1例、化德县1例）　　11.兴安盟乌兰浩特市1例　　疑似病例出院8例（呼和浩特市回民区1例，锡林郭勒盟多伦县1例，通辽市的霍林郭勒市1例、库伦旗1例，呼伦贝尔市莫力达瓦旗3例、海拉尔区1例）　　重症病例1例（呼伦贝尔市莫力达瓦旗1例）；危重病例2例（包头市昆都仑区1例、锡林郭勒盟锡林浩特市1例）。　　疑似病例2例（呼伦贝尔市莫力达瓦旗1例、包头市土默特右旗1例）。均在定点医院接受隔离治疗。目前，尚在接受医学观察的密切接触者149人。当日解除医学观察2人。　　自治区党委、政府高度重视我区疫情防控工作，各项工作正在按照国家疫情防控工作的统一部署，紧张有序的推进落实中。（皇利华供稿）（内蒙古自治区卫生健康委员会）
电波小喵喵,主检官先是承认本次检查无效，IDTM公司经理（电话指示）让主检官找个借口，对我们说“血样你可以保留，外包装我们要带走！至于怎么分离，是你的事情。”然后才出现了分离外包装和血样瓶的举动，血样至今还完好无损地保留。#孙杨公布完整血样瓶#
广视频,:【拐点瞭望台|15秒视频了解广州市疫情数据】2020年3月2日0时至24时，广州市报告新冠肺炎新增确诊病例0例，无疑似病例。新增治愈出院7例。截至3月2日24时，广州市累计报告新冠肺炎确诊病例346例，累计治愈出院271例，累计死亡1例。（广州日报全媒体记者罗知锋）广州日报的秒拍视频
大连网警巡查执法,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
唐僧姥姥,:好不容易把表格填完了，开开心心给领导打电话汇报，领导让我这周把报告赶出来。我🙃🙃🙃早上被大领导突然进门的声音，吓得从座位上跳起来不说，还嗷了一嗓子，隔壁屋同事都听到了，反过来把大领导又吓了一跳。我……这一天天的，真开心
共青团盘锦市委,:3月2日0时至24时，辽宁省3例新型冠状病毒肺炎确诊病例2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。
荆门广播电视台,:#荆门市新型冠状病毒感染的肺炎疫情日报#【荆门市新冠肺炎疫情日报（3月3日）】2020年3月2日0—24时，全市新增新冠肺炎确诊病例1例，按现住址统计，地区分布为：钟祥市1例（本地1例），无病亡病例，新增出院28例。截至2020年3月2日24时，全市累计报告新冠肺炎确诊病例928例，按现住址统计，地区分布为：沙洋县130例（本地75例、外地6例、其他49例）、钟祥市319例（本地310例、外地9例）、京山市229例（本地225例、外地4例）、东宝区104例（本地98例、外地6例）、掇刀区102例（本地90例、外地12例）、漳河新区22例（本地22例）、屈家岭22例（本地22例）。全市累计治愈出院650例，累计病亡39例。目前仍在院治疗239例，其中重症28例、危重症13例。现有疑似病例8例（按现住址统计，沙洋县2例、京山市1例、东宝区3例、掇刀区1例、漳河新区1例），当日新增1例，当日排除3例。累计追踪到密切接触者7047人，尚在医学观察的密切接触者872人。（荆门市卫生健康委员会）
小萌货的傻三,【10:00播报】截至3月3日10:00国内疫情数据：现存确诊30095，现存疑似587，现存重症6806，累计确诊80302，累计死亡2947，累计治愈47260国外疫情数据：现存确诊9636，累计确诊10415，累计死亡168，累计治愈6113月3日早间疫情动态国外：1、国外累计确诊病例破万，世卫组织：中国境外疫情状况不容乐观2、韩国累计确诊数量达4812人，2日全天新增确诊600例国内：1、湖北以外新增确诊病例出现反弹，新增确诊数为11例，其中浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例）2、湖北以外连续两天无新增死亡病例3、湖北除武汉外新增确诊3例，湖北14个市州新增病例为0
太原共青团,:#太原身边事##万众一心百毒不侵#【山西连续7天0新增！疑似病例0例】3月2日0时至24时，山西省无新增确诊病例，累计报告确诊病例133例。新增治愈出院3例，累计治愈出院119例。现有在院隔离治疗确诊病例14例，其中危重症1例。无新增疑似病例，现有疑似病例0例。目前太原已经连续11天0新增了，太原、阳泉、长治、朔州、临汾、吕梁六个地市的确诊患者已全部治愈，实现清零！
东阳新闻网,:【2020年3月3日东阳市新冠肺炎疫情通报】2020年3月2日0-24时，东阳市无新增新冠肺炎确诊病例，新增出院病例2例。自2月13日起，我市已连续19天未出现新增确诊病例。截至3月2日24时，东阳市累计报告新冠肺炎确诊病例19例，已全部治愈出院。
四川监狱,:【#浙江新增7例均为意大利输入病例#，均为丽水报告】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。其中：新增出院病例中，杭州市5例、宁波市2例、温州市9例、湖州市1例、绍兴市1例、金华市2例、舟山市2例、台州市4例、省十里丰监狱10例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市10例、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市5例、嘉兴市1例、省十里丰监狱1例；死亡病例中，温州市1例；出院病例中，杭州市170例（其中划归外省病例12例）、宁波市151例、温州市456例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市112例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41130人，当日解除医学观察118人，尚有580人正在接受医学观察。@人民日报
厦门的那点事,:#厦门身边事#【截至3月2日24时厦门尚有34人在接受医学观察】3月2日0时—24时，厦门市报告新增新型冠状病毒肺炎确诊病例0例，疑似病例0例。截至3月2日24时，厦门市累计报告新型冠状病毒肺炎确诊病例35（思明区13例、海沧区2例、湖里区3例、集美区4例、翔安区3例、泉州市石狮市1例、湖北省武汉市9例）。累计治愈出院病例34例，目前住院病例1例。现有报告新型冠状病毒肺炎疑似病例0例。疾控专业人员对新增新型冠状病毒肺炎疑似病例开展流行病学调查，判定相关密切接触者并组织医学观察。3月2日0-24时，新增密切接触者0人，累计追踪密切接触者753人（含密切接触者共同居住家属），尚在接受医学观察34人（含确诊病例出院医学观察人数）。
蒲江史志,#蒲江分享#【湖北新增例196新冠肺炎，湖北累计报告新冠肺炎67103例】2020年3月1日0—24时，全省新增新冠肺炎确诊病例196例，其中：武汉市193例、荆门市2例、荆州市1例，其他14个市州均为0例。全省新增病亡42例，其中：武汉市32例、荆州市2例、荆门市2例、孝感市2例、黄石市1例、鄂州市1例、黄冈市1例、天门市1例，十堰市、襄阳市、宜昌市、咸宁市、随州市、恩施州、仙桃市、潜江市、神农架林区均为0例。全省新增出院2570例，其中：武汉市1958例、孝感市182例、黄冈市89例、荆州市62例、咸宁市38例、襄阳市35例、黄石市32例、随州市30例、鄂州市30例、宜昌市29例、仙桃市23例、天门市22例、荆门市18例、十堰市18例、潜江市3例、恩施州1例、神农架林区0例。截至2020年3月1日24时，湖北省累计报告新冠肺炎确诊病例67103例，其中：武汉市49315例、孝感市3518例、黄冈市2905例、荆州市1580例、鄂州市1391例、随州市1307例、襄阳市1175例、黄石市1014例、宜昌市931例、荆门市927例、咸宁市836例、十堰市672例、仙桃市575例、天门市496例、恩施州252例、潜江市198例、神农架林区11例。全省累计治愈出院33757例，其中：武汉市21185例、孝感市2397例、黄冈市2260例、荆州市1096例、襄阳市885例、随州市865例、鄂州市814例、咸宁市730例、黄石市729例、荆门市622例、宜昌市535例、仙桃市461例、十堰市459例、天门市393例、恩施州193例、潜江市122例、神农架林区11例。全省累计病亡2803例，其中：武汉市2227例、孝感市120例、黄冈市116例、鄂州市48例、荆州市48例、随州市40例、荆门市39例、黄石市35例、襄阳市34例、宜昌市31例、仙桃市19例、天门市14例、咸宁市12例、潜江市9例、十堰市7例、恩施州4例、神农架林区0例。目前仍在院治疗26901例，其中：重症5646例、危重症1226例，均在定点医疗机构接受隔离治疗。现有疑似病例527人，当日新增80人，当日排除199人，集中隔离527人。累计追踪密切接触者267585人，尚在接受医学观察32143人。（人民日报）
南海卫生健康,:#抗击新冠疫情南海在行动##早安南海#【
893音乐广播,:【#浙江新增7例均为意大利输入病例#，均为丽水报告】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。其中：新增出院病例中，杭州市5例、宁波市2例、温州市9例、湖州市1例、绍兴市1例、金华市2例、舟山市2例、台州市4例、省十里丰监狱10例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市10例、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市5例、嘉兴市1例、省十里丰监狱1例；死亡病例中，温州市1例；出院病例中，杭州市170例（其中划归外省病例12例）、宁波市151例、温州市456例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市112例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41130人，当日解除医学观察118人，尚有580人正在接受医学观察。
仙草牛奶冰淇淋,:我们老师终于催着交开题报告了然后下一句就是马上就要答辩了
漯河日报,:2020年3月2日0-24时，漯河市无新增新型冠状病毒肺炎确诊病例，新增出院病例1例。截至3月2日24时，全市累计报告新型冠状病毒肺炎确诊病例35例，无死亡病例，累计出院病例34例。其中：确诊病例中，临颍县4例、舞阳县7例、召陵区8例、郾城区9例、源汇区7例。目前累计追踪到密切接触者1344人，3月2日已解除观察0人，共有13人正在接受医学观察。
用爱发电的大如,:在我昏天黑地冲浪吃瓜的时候@和这个世界说拜拜不吭不声把开题报告写完了今早看到信息的我噢有急迫的感觉了！
__玩的就是心跳_,:老师：同学们打开一下视频，我截个图报告一下学校同学们：不要了吧老师老师：那要不班长代表一下，开一下视频班长：那老师您等一下，我穿个衣服哈哈哈哈哈哈
独立思想人,:【世卫组织：#韩意伊日疫情最让人担心#】应该再加上美国的，美国不检测就没有疫情吗？这算是为了大选掩耳盗铃吗？3月2日，世卫组织公布，中国3月1日新增206例新发病例，为1月22日以来的最低水平，湖北省外仅新增8例。#过去24小时境外新增是中国9倍#。在过去的24小时里，中国之外报告的病例数几乎是中国的9倍。韩国、意大利、伊朗和日本的疫情最让世卫组织担心。http://t.cn/A679tENJ
揉碎冬日脸红的小姜奶周淳守,:我的老天野啊我啥时候能把这些看完就能写出来前期报告了吗
505zjhz,:《意大利新冠肺炎病例超2000；美国新增4例死亡，累计确诊破百》与前一日报告相比，中国境外新增新冠肺炎1598例，新增6个国家出现新冠肺炎病例。http://t.cn/A679x4y1
广东预警发布2015,:【饶平天气报告】预计，4日傍晚起，将有中等冷空气自北向南影响我县，我县将有中雨并伴有雷电等强对流天气，气温也将明显下降。详情请见下图。http://t.cn/R2TuaaC
蒲江生态环境,【#31省区市新增125例新冠肺炎##31省区市累计报告80151例新冠肺炎#】#最新疫情报道##关注新冠肺炎#3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。（信息来自国家卫生健康委员会官方网站）
893音乐广播,:福州市新型冠状病毒肺炎疫情情况　　3月2日0-24时，福州市无新增新型冠状病毒肺炎确诊病例、疑似病例。　　截至3月2日24时，福州市累计报告新型冠状病毒肺炎确诊病例72例，其中：鼓楼区2例、仓山区10例、晋安区11例、长乐区8例（湖北武汉2例，航班经停长乐机场）、福清市16例、闽侯县3例、连江县8例、闽清县7例、罗源县1例、永泰县2例、宁德古田1例、南平延平1例、湖北武汉2例。　　累计治愈出院70例，其中：鼓楼区2例、仓山区10例、晋安区10例、长乐区8例、福清市16例、闽侯县2例、连江县8例、闽清县7例、罗源县1例、永泰县2例、宁德古田1例、南平延平1例、湖北武汉2例。死亡1例，为晋安区病例。　　累计排除新型冠状病毒肺炎疑似病例206例，现无新型冠状病毒肺炎疑似病例。　　目前，累计追踪到的密切接触者1857人，已解除医学观察1751人，其余正在接受医学观察。
Rhinoceros_M,:电脑写作业Pad放网课桌上摊着政治英语老师催着中期报告狗头警告
郭靖五五,:#辽宁新增3例确诊均为丹东病例#本来辽宁都已经连续12天没有新增病例了，生产生活逐渐恢复中，这三天之内突然新增4个病例，都奇怪了是怎么传染的？也没有报告传染途径和行动轨迹，这下又人心惶惶了
国际融资,:【2月中国汽车经销商库存预警指数超81%】3月2日，中国汽车流通协会发布调查报告显示，2020年2月汽车经销商库存预警指数为81.2%，环比上升29.5%，同比上升27.7%，库存预警指数位于警戒线之上。从库存预警分品牌类型指数看，今年2月进口和豪华品牌指数、主流合资品牌指数、自主品牌指数都较上月大幅上升，分别为82.3%、81.2%和78.9%。
令狐盛云,作家、人民禁毒杂志社社长郭毅发文曝光网上疯传的一段有关瞒报对话，吁请核实微信语音真伪，谁在毁掉14亿人的坚守？本文同时见《人民禁毒网》《人民禁毒》杂志。瞒报？请核实微信语音真伪，谁在毁掉14亿人的坚守？
伊春市友好区法院,【#31省区市新增125例新冠肺炎#，#31省区市累计报告80151例新冠肺炎#】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。
佛坪检察,【#31省区市新增125例新冠肺炎#，新增治愈出院病例2742例】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例。当日新增治愈出院病例2742例。截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，累计治愈出院病例47204例，累计报告确诊病例80151例。#防控新型冠状病毒肺炎#http://t.cn/A67KmpeP
深蓝财经,:【防止接触传染，#默克尔与内政部长握手被拒#：好吧！你是正确的】3月2日，在柏林举行的一场会议上，德国内政部长霍斯特·泽霍费尔拒绝了总理默克尔的握手请求。默克尔笑着表示理解，并表示“这是正确的做法”。2日，德国首都柏林确诊了首例感染新冠肺炎的病患。截至2日15时，德国报告确诊人数增至157人。http://t.cn/A6795iZy
