盘龙MoreLife,:#盘龙君和你一起战疫##疫情最新情况#【连续13天无新增！截至3月4日24时，云南累计治愈出院169例，现有确诊病例3例】3月4日12时至24时，无新增确诊病例。截至3月4日24时，已连续13天新增病例为0，全省累计确诊病例174例，治愈出院169例，死亡2例，现有确诊病例3例，无重症、危重症病例。现有疑似病例5例。密切接触者当日解除医学观察39人，正在观察60人。各州市累计确诊病例：昆明市53例（治愈出院52例）昭通市25例（治愈出院25例）西双版纳州15例（治愈出院14例、死亡1例）玉溪市14例（治愈出院13例、死亡1例）曲靖市13例（治愈出院12例）大理州13例（治愈出院13例）保山市9例（治愈出院9例）红河州9例（治愈出院9例）丽江市7例（治愈出院7例）德宏州5例（治愈出院4例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）全省129个县市区均为低风险。（云南发布）@昆明盘龙发布
大理融媒,:【《书香大理》第六期：将大爱传播出去诗歌朗诵《逆行的英雄》】新冠肺炎疫情发生以来，我市迅速反应、立即行动、周密部署，启动突发公共卫生事件I级响应，全面打响疫情防控阻击战。在我们身边有这样一群人一直奋战在抗疫一线：公安警察和一批批青年志愿者不分昼夜地守护着每一个卡点，维护着这座城市的公共安全；医护人员全力以赴开展医疗救治，保障着全市人民的生命安全；大理市的一批批医务人员还逆向前行，先后奔赴武汉的抗疫现场…等等…他们舍身忘我、英勇无畏的精神无不打动着我们每一个人的心。在这样的特殊时期，大理市的一些文学创作者也就此情此景，用文字记录下了心底的感慨，用诗歌传递着大爱、鼓舞着人心。近期，李智红老师创作的一首诗歌《逆行的英雄》在广大文学爱好者中间得到了广泛的传颂。今天的节目当中，我们用电话连线的方式和大理州文联党组成员、中国作家协会会员李智红老师，聊一聊他创作这首诗的心路历程。http://t.cn/A67wiC0Mhttp://t.cn/RxnDutB
大天圣主,:大理州发布任前公示严启红拟提名为大理市长候选人http://t.cn/A67Prvxk
漾濞团县委,:【从小学先锋，长大当先锋】近日，在漾濞县少工委的号召下，大理州漾濞县上街完小的少先队员们在家录制了手语舞视频《不放弃》，以此向奋战在各自岗位上的医护人员、人民警察、行政执法人员和后勤保障人员等身处抗“疫”一线的人们致敬，为武汉加油！大理白族自治州·漾濞彝族自治县漾濞团县委的微博视频
鹤庆旅游,:大理州银都水乡新华村景区关于对全国医务工作者实行免费游览的通告为致敬在抗击疫情中奋战的全国医务工作者，我公司积极响应州委州政府、县委县政府及州、县文旅局的倡议，开展“向白衣天使致敬”的暖心回馈活动，大理州银都水乡新华村景区自恢复运营之日起对全国医务工作者全年实行门票免费的优惠政策，具体实施通告如下：一、免票时间：自景区正式恢复运营之日起至2020年12月31日。二、免票对象：1、全国医务工作者免门票游览；2、湖北医务工作者在本人免门票的基础上，同行的一位家属也可以享受免费入景区游览。三、入园方式：凭本人有效医师证、护士证或其它医务岗位工作证及身份证入园游览。大理州银都水乡新华村景区鹤庆银艺旅游开发有限责任公司2020年2月25日
wolly官人,:浅析谈话提醒和提醒谈话的主要区别-大理州纪检监察网@QQ浏览器http://t.cn/A67Zk3RN
文旅新闻,:【“艺”起抗疫丨#大理#州文艺工作者团结“艺”心同抗疫系列报道（二）】鼠年春节，新冠肺炎疫情牵动着全国人民的心，也牵动着大理州文艺工作者的心。#守护云南共抗疫情##武汉加油##战疫中的最美文旅人#为宣传抗击疫情知识，助力打好疫情防控狙击战，表达对战斗在疫情一线的英雄们的崇高敬意，大理州文化和旅游局认真落实省文化和旅游厅的相关文件精神，积极组织全州文艺工作者创作了一批滋养心灵、鼓舞士气、凝心聚力的文化艺术作品。今天，小编邀您欣赏剑川县白曲宣讲团带来的剑川白族调《白乡齐心战疫情》。【精彩视频请点击：http://t.cn/A67ZDX7G】
科普永平,:［抗疫防控科普］重要发现：新冠病毒不仅损害肺，还包括免疫系统及其他器官！@手机浏览器http://t.cn/A67ZD4ig大理科普@大理州科学素质行动@美丽云南微科普@科普中国
科普永平,:来自【mp.weixin.qq.com】的分享http://t.cn/A67ZDvbS大理科普@大理州科学素质行动@美丽云南微科普@科普中国
科普永平,:［抗疫防控科普］出院患者出现"复阳"，还具传染性？专家回应来了@手机浏览器http://t.cn/A67ZeTC8大理科普@大理州科学素质行动@美丽云南微科普@科普中国
健康大理,:¡¾在武汉战“疫”一线，大理州中医医院9朵金花向组织火线递交入党申请书¡¿2月22日，大理州中医医院9名援助湖北抗疫医疗队员向组织递交了入党申请书。作为大理州中医医院第一批援助湖北抗疫医疗队员，在危难关头，勇于担当，她们用自己的实际行动践行着入...在武汉战“疫”一线，大理州中医医院9朵金花向组织火线递交入党申请书
大理那点事儿,:#大理爆料#【宾川县确诊新冠肺炎病例通报（终报）：该病例感染来源尚不清楚】关于宾川县积极应对处置大理州一例新冠肺炎病例有关情况的通报（终报）2月10日云南省卫健委公布的第147例新型冠状病毒肺炎确诊病例，已于2月22日治愈出院。我县已排查出的所有密切接触者均已解除集中医学隔离观察。2月24日上午，经省、州、县专家组会商认定，该病例感染来源尚不清楚。截止2月24日19:00，宾川县无确诊病例和疑似病例。宾川县新型冠状病毒感染肺炎疫情防控工作指挥部2020年2月24日消息来源：今日宾川@大理同城#大理爆料[超话]#
大理电视台,:【赞！大理万余间疗休房已备好！向全国一线医护人员和家属免费开放
大理检察,:【抗疫众志成城办案永不停步——大理州检察院全力以赴办好民事检察案件】民事检察监督作为检察机关法律监督的重要组成部分，在性质上是对公权力的监督，监督对象是人民法院确有错误的生效判决、裁定，损害国家利益、社会公共利益的调解书，审判程序中审判人员的违法行为，以及人民法院在执行活动中的违法情形，监督的主要方式有抗诉和检察建议等，通过办理民事检察监督案件，维护国家利益和社会公共利益，维护司法公正和司法权威，化解社会矛盾，维护社会和谐稳定，服务经济社会发展。大理州人民检察院第六检察部正是承担着这项民事检察监督职责的检察业务部门。2020年伊始，大理州人民检察院第六检察部受理的各类案件呈井喷式增长，年初收到当事人申请监督的民事生效裁判监督案件58件，与去年同期受理7件相比较，受理案件数同比上升了729%，超过2019年全年受理生效裁判监督案件数的7.4%。此时正处于新冠病毒感染肺炎疫情肆虐时期，第六检察部的全体成员均感受到了肩上沉甸甸的责任。州检察院党组对此高度重视，及时进行安排部署，杨永华检察长多次强调现阶段疫情防控是重中之重，但依法办案是检察机关的神圣职责，要防止只防疫不办案，又要防止只讲办案而忽视防疫两种情况。虽然疫情防控形势严峻，但第六检察部的检察官们深知“疫情就是命令！办案就是责任！”就在积极响应疫情防控工作要求的同时，第六检察部全体人员第一时间到岗待命恢复工作，并认真做好防控、值班及情况报告，同时充分利用疫情期间会议、外出相对减少的有利条件积极投入办案之中。期间，主管副检察长带头办案，两名员额检察官全力以赴，基层院给予积极协助，在规范办案流程的同时，进一步实行繁简分流办案机制，优化案件材料送达方式，提高了办案效率。截至目前，第六检察部在不到两个月的时间内共办结民事生效裁判监督案件54件，与去年同期办结8件相比较，办结案件数同比上升575%。其中提请省院抗诉1件、向大理州中级人民法院提出抗诉1件，向大理州中级人民法院发出再审检察建议1件，中级法院已采纳建议裁定再审。非常时期，第六检察部用实际行动彰显了民事检察官的初心和使命，案件办出了效率、办出了效果，真正做到抗疫办案两手抓、两不误，充分体现了非常时期的检察担当。@大理政法
茶韵2,:科协超话#社区科普#为进一步弘扬中华优秀传统文化，丰富社区科普文化，营造文明、和谐的春节氛围，1月18日，大理市宁和社区邀请大理州书协书法培训基地书法老师、剪纸爱好者开展写春联、剪窗花、送祝福主题活动。02ZVPKJ26。过此次活动，让大家体验到了中华传统民俗文化的魅力，也感受到了春节即将到来的欢...全文
问政永平,:大理白族自治州政务服务管理局关于全面恢复政务服务、公共资源交易集中服务工作的通告全州广大办事企业、群众：根据省卫生健康委员会2020年2月25日发布调整后的疫情风险列表显示，大理州12县市均列入低风险地区。为全面贯彻落实中共云南省委、云南省人民政府应对新型冠状病毒感染肺炎疫情工作领导小组指挥部第10号通告《云南省应对新冠肺炎疫情分区分级防控的实施意见》各项要求，全州政务服务、公共资源交易工作全面恢复到疫情发生前的正常状态，请前来政务服务中心、公共资源交易中心办事的企业、群众做好个人防护，自觉服从工作人员的现场管理，共同维护好办事秩序。特此公告大理白族自治州政务服务管理局2020年2月25日
问政大理,:大理白族自治州政务服务管理局关于全面恢复政务服务、公共资源交易集中服务工作的通告全州广大办事企业、群众：根据省卫生健康委员会2020年2月25日发布调整后的疫情风险列表显示，大理州12县市均列入低风险地区。为全面贯彻落实中共云南省委、云南省人民政府应对新型冠状病毒感染肺炎疫情工作领导小组指挥部第10号通告《云南省应对新冠肺炎疫情分区分级防控的实施意见》各项要求，全州政务服务、公共资源交易工作全面恢复到疫情发生前的正常状态，请前来政务服务中心、公共资源交易中心办事的企业、群众做好个人防护，自觉服从工作人员的现场管理，共同维护好办事秩序。特此公告大理白族自治州政务服务管理局2020年2月25日
大理环保,:【抗“疫”生产两不误大理州生态环境局全力支持企业复工复产】大理州生态环境局本着疫情防控期间防疫、生态环保“两手抓”的原则，进一步优化服务，切实保障疫情防控期间企业复工复产，企业各项生态环保工作落实到位，确保环境安全，全州经济社会稳定发展。按照州委州政府一手抓疫情防控、一手抓经济发展的工作部署，大理州生态环境局深入企业送服务，全力支持建设项目及生产经营企业复工复产。近日，州生态环境局陈体韬副局长带领州局有关科室及分局对云南白药清逸堂实业有限公司、楚大高速公路九顶山隧道工程施工现场进行实地调研，对防疫物资生产、综合交通工程复工等情况进行现场检查指导，帮助企业做好项目建设及复工复产有关生态环保工作，确保重点项目重大工程顺利复工建设。 为帮助企业复工复产，大理州生态环境局制定了《关于贯彻落实全力支持项目和企业复工复产度难关稳发展意见的通知》，要求全州生态环境部门进一步强化责任落实和服务保障，关心和指导企业在做好疫情防控基础上加紧做好复工复产。建立企业沟通联系机制，了解各个企业在复工复产过程中存在的生态环保问题和困难，帮助企业解决面临的困难和诉求。对疫情防控相关工程项目以及其他重点项目重大工程主动服务，重点做好环评审批工作，推进项目落地，全力支持建设项目和生产经营企业复工复产。对州内属于疫情防控急需的医疗卫生、物资生产、研究实验等三类建设项目，开辟环评“绿色通道”，做到随到随审、科学审批。坚持“超前思考、提前介入、积极协调、主动服务”的原则，切实加快相关工程项目前期工作，确保工程项目顺利落地建设，推动全州经济社会平稳发展。
问政大理,:大理州交通运输局关于有序恢复部分市际班线客运服务的通告 根据省、州关于做好当前疫情防控和交通运输保障的有关要求，结合我州疫情防控实际，按照“分类、有序、逐步”的原则，经州应对新冠肺炎疫情防控工作领导小组指挥部批准，从2月25日起有序恢复有关市际班线运营。具体恢复线路如下：一、大理州至普洱市市际客运班线：下关至景东，下关至镇沅，下关至普洱，下关至孟连，南涧至景东，南涧至景谷，祥云至景东，祥云至澜沧。二、大理州至怒江州市际客运班线：下关至通甸（兰坪），下关至六库，下关至兰坪，下关至福贡，鹤庆至兰坪，云龙至六库，剑川至兰坪，马登至兰坪，洱源至兰坪。三、大理州至德宏州市际客运班线：下关至瑞丽，下关至盈江，下关至芒市。四、大理州至楚雄州市际客运班线：下关至楚雄，下关至广通，下关至永仁，下关至元谋，下关至大姚，下关至南华，下关至姚安，下关至牟定，祥云至楚雄，祥云至大姚，弥渡至五顶山（南华）。五、大理州至迪庆州市际客运班线：下关至香格里拉，下关至维西，下关至塔城（维西），下关至德钦，下关至拖顶（德钦），鹤庆至香格里拉，剑川至香格里拉，洱源至香格里拉，鹤庆至维西，鹤庆至德钦。六、大理州至玉溪市市际客运班线：下关至玉溪。七、大理州至西双版纳州市际客运班线：下关至景洪。旅客进入客运站场、搭乘班线车辆必须佩戴口罩，并配合运营单位做好体温筛检、实名登记等工作。来源：州政府门户网站
端懋,:大理州人在这次疫情中做了什么？@新浪博客http://t.cn/A67zdXll
端懋,:扣押口罩的是云南省大理州所属大理（县级）市少数相关责任人，已被云南省长阮成发（武汉人）等云南省领导全部追责，事情也已处理。看来，“罪魁祸首”湖北武汉该被追责的人当中，已追责、该追责而尚未追责的人不少！《武汉市委书记暗访训斥官员：不要明天今天就要办》武汉市委书记暗访训斥官员：不要明天今天就要办http://t.cn/A677uzmF
思想的芦苇5,:#【轻松筹】爱心接力！-希望得到帮助，妈妈的透析治疗也要坚持下去。-轻松筹##轻松筹#各位爱心人士大家好！我妈妈叫代来秀，今年56岁是个特别好的人，2014年在大理州人民医院被查出来患有尿毒症。己透析6年多，...http://t.cn/A67zfMPl
广安勇哥,#请你参与志愿者普法宣传#【中华人民共和国野生动物保护法】第二十三条
广安同城会,#请你参与志愿者普法宣传#【中华人民共和国野生动物保护法】第二十三条
共青团昆明市委,:#加强疫情防控云南在行动#【大理万余间疗休房准备完毕，将免费提供给一线抗疫医护人员和家属】2月12日，大理州客栈民宿行业协会、大理市客栈协会联合发起倡议，呼吁文旅住宿业企业捐赠度假疗休房，送给战斗在大理及全国20家疫情比较严重地区医院的医务工作者，以及在背后默默支持他们的家人，以此感谢他们为抗疫的坚守与付出。倡议发出后，大理州各高星级酒店、精品民宿客栈和精品酒店纷纷捐房献爱心。截至2月22日24时，累计捐赠度假疗休房10605间和帐篷70顶。http://t.cn/A67z29y2
FM99香格里拉之声,:#抗击疫情云南在行动#【大理万余间疗休房准备完毕，将免费提供给一线抗疫医护人员和家属】2月12日，大理州客栈民宿行业协会、大理市客栈协会联合发起倡议，呼吁文旅住宿业企业捐赠度假疗休房，送给战斗在大理及全国20家疫情比较严重地区医院的医务工作者，以及在背后默默支持他们的家人，以此感谢他们为抗疫的坚守与付出。倡议发出后，大理州各高星级酒店、精品民宿客栈和精品酒店纷纷捐房献爱心。截至2月22日24时，累计捐赠度假疗休房10605间和帐篷70顶。
云南日报,:#抗击疫情云南在行动#【大理万余间疗休房准备完毕，将免费提供给一线抗疫医护人员和家属】2月12日，大理州客栈民宿行业协会、大理市客栈协会联合发起倡议，呼吁文旅住宿业企业捐赠度假疗休房，送给战斗在大理及全国20家疫情比较严重地区医院的医务工作者，以及在背后默默支持他们的家人，以此感谢他们为抗疫的坚守与付出。倡议发出后，大理州各高星级酒店、精品民宿客栈和精品酒店纷纷捐房献爱心。截至2月22日24时，累计捐赠度假疗休房10605间和帐篷70顶。
玉蕊红梅,#请你参与志愿者普法宣传#【中华人民共和国野生动物保护法】第二十三条
云南发布,:#加强疫情防控云南在行动#【大理万余间疗休房准备完毕，将免费提供给一线抗疫医护人员和家属】2月12日，大理州客栈民宿行业协会、大理市客栈协会联合发起倡议，呼吁文旅住宿业企业捐赠度假疗休房，送给战斗在大理及全国20家疫情比较严重地区医院的医务工作者，以及在背后默默支持他们的家人，以此感谢他们为抗疫的坚守与付出。倡议发出后，大理州各高星级酒店、精品民宿客栈和精品酒店纷纷捐房献爱心。截至2月22日24时，累计捐赠度假疗休房10605间和帐篷70顶。http://t.cn/A677BhYf
大理微博在线,:#大理爆料#【大理州援助湖北医疗队顺利入驻武汉市中心医院后湖院区】大理州援助湖北医疗队（即云南省第六批医疗队）顺利入驻武汉市中心医院后湖院区，整体接管一个40床的病区，正式开始诊疗新冠肺炎患者！视频中，医护人员们默默埋头吃盒饭、互相帮忙穿戴着防护服，虽然只是一扫而过的几个镜头，却能感受到他们紧张的工作状态。http://t.cn/A67PyRw7http://t.cn/z80iWD3
大理融媒,:大理州第五批非物质文化遗产代表性项目，大理市13项获推荐！为进一步加强大理州非物质文化遗产保护工作，加快推进“大理文化生态保护实验区”建设步伐，大理州文化和旅游局积极组织开展大理州第五批州级非物质文化遗产代表性项目的申报和评审工作。经审核，大理州第五批州级非物质文化遗产代表性项目推荐名单已出炉，共涉及10个项目类别，101个项目。其中大理市州级非物质文化遗产代表性项目11项，项目名录扩展2项。公告全文如下：http://t.cn/A6778GPP
云南省人民检察院,:【大理州检察院：妇女儿童工作考核获优秀】近日，大理州人民政府妇女儿童工作委员会公布了2019年度全州妇女儿童工作考核结果，大理州检察院被评为优秀等次，这是对大理州检察机关深入推进妇女儿童工作的充分肯定，也是激励他们继续前行的动力。【基层播报】大理州检察院：妇女儿童工作考核获优秀
勐腊政法,【护“逆行者”出征盼“勇士”平安归来
老金2035,:大理快清零了[加油]各州市累计确诊病例：昆明市53例（治愈出院36例）昭通市25例（治愈出院15例）西双版纳州15例（治愈出院12例、死亡1例）玉溪市14例（治愈出院12例、死亡1例）曲靖市13例（治愈出院10例）大理州13例（治愈出院12例）保山市9例（治愈出院7例）红河州9例（治愈出院5例）丽江市7例（治愈出院7例）德宏州5例（治愈出院2例）普洱市4例（治愈出院4例）楚雄州4例（治愈出院4例）文山州2例（治愈出院2例）临沧市1例（治愈出院1例）http://t.cn/z8ypOgj
博爱周再杰,:清零倒计时！2月24日大理州第12例新冠肺炎患者治愈出院清零倒计时！2月24日大理州第12例新冠肺炎患者治愈出院
qhp223134,:清零倒计时！2月24日大理州第12例新冠肺炎患者治愈出院清零倒计时！2月24日大理州第12例新冠肺炎患者治愈出院
晨曦若兮若,:大理州发布任前公示严启红拟提名为大理市长候选人http://t.cn/A6hsSyWV
心声聚焦,:《大理有序恢复普洱、怒江、楚雄、德宏、迪庆、玉溪班线客运服务》大理州交通运输局关于有序恢复部分市际班线客运服务的通告。http://t.cn/A67hfZvk
大理融媒,:【致敬最美“逆行者”！大理万间疗休房和大美景区已备好，就等您来！】2月12日起，大理州文旅行业企业积极响应州委、州政府的号召，在州市（县）文化和旅游局的指导下，全力发挥文旅行业的优势，为打赢新冠肺炎疫情防控这场“战疫”贡献自己的力量。致敬最美“逆行者”！大理万间疗休房和大美景区已备好，就等您来！大理市
科普永平,:辟谣：体温枪竟会伤眼，且造成永久伤害…下面这些谣言你信了几个？@手机浏览器http://t.cn/A67hAVIo大理科普@美丽云南微科普@科普中国@大理州科学素质行动
科普永平,:［抗疫防控科普］部分疫苗品种已进入动物试验阶段！@手机浏览器http://t.cn/A67hALqN大理科普@美丽云南微科普@科普中国@大理州科学素质行动
科普永平,:［抗疫防控科普］低风险地区还需要戴口罩吗？@手机浏览器http://t.cn/A67hwkQk美丽云南微科普@科普中国@大理州科学素质行动
科普永平,:［抗疫防控科普］低风险地区还需要戴口罩吗？@手机浏览器http://t.cn/A67hwkQk美丽云南微科普@科普中国@大理州科学素质行动
科普永平,:除了肺部，新冠病毒还可能攻击哪些器官？@手机浏览器http://t.cn/A67hwEvN永平科素@大理科普@大理州科学素质行动@美丽云南微科普@科普中国
科普永平,:哪种消毒剂更有效？家用酒精如何存储？一文全都告诉你@手机浏览器http://t.cn/A67hw6sk永平科素@大理科普@大理州科学素质行动@美丽云南微科普@科普中国
科普永平,:［抗疫防控科普］外出回家后，我们需要洗头吗？……这些关于新冠肺炎防控的疑问？@手机浏览器http://t.cn/A67hwZli大理科普@大理州科学素质行动@美丽云南微科普@科普中国
科普永平,:［抗疫防控科普］新冠病毒会不会像流感一样经常性爆发？@手机浏览器http://t.cn/A67hZ9kA大理州科学素质行动@美丽云南微科普@科普中国
柴璐是我皇后,:《大理州交通运输局关于有序恢复部分市际班线客运服务的通告》大理州交通运输局关于有序恢复部分市际班线客运服务的通告http://t.cn/A67PFv5x
大洋芋68098,:#腾讯新闻#关于宾川县积极应对处置大理州一例新冠肺炎病例有关情况的通报（终报）打开腾讯新闻，参与评论抢沙发来自@腾讯新闻
健康大理,:¡¾新冠病毒不可怕科学预防要掌握¡¿新型冠状病毒来势汹汹，比疫情更可怕的是恐慌和焦虑情绪的泛滥。大理州第二人民医院公卫科在医院新冠肺炎领导组的指导下，结合工作实际多措并举，切实做好新型冠状病毒感染的肺炎疫情预防宣传工作，第一时间传播新冠健...新冠病毒不可怕科学预防要掌握
健康大理,:¡¾州医院隔离病房首批轮休医护人员解除隔离平安回家¡¿2月24日上午，大理州医院第一批进入隔离病房的6名医护人员平安度过14天的定点集中隔离观察期后，全部解除隔离。第一梯队的医护人员从1月28日进入隔离病房，2月10日撤出隔离病房开始休整，如今平安...州医院隔离病房首批轮休医护人员解除隔离平安回家
微博大理,:【现场视频】大理州援助湖北医疗队（即云南省第六批医疗队）顺利入驻武汉市中心医院后湖院区，整体接管一个40床的病区，正式开始诊疗新冠肺炎患者！视频中，医护人员们默默埋头吃盒饭、互相帮忙穿戴着防护服，虽然只是一扫而过的几个镜头，却能感受到他们紧张的工作状态。大理电视台的微博视频
大理电视台,:【现场视频】大理州援助湖北医疗队（即云南省第六批医疗队）顺利入驻武汉市中心医院后湖院区，整体接管一个40床的病区，正式开始诊疗新冠肺炎患者！视频中，医护人员们默默埋头吃盒饭、互相帮忙穿戴着防护服，虽然只是一扫而过的几个镜头，却能感受到他们紧张的工作状态。大理电视台的微博视频
丽江616,:#2020省考#官方发布：云南这10个地方或将加大公务员招录力度!这10个地方分别是：昆明市嵩明县小街镇曲靖市宣威市热水镇玉溪市新平县戛洒镇保山市隆阳区板桥镇楚雄州禄丰县广通镇红河州个旧市鸡街镇文山州砚山县平远镇普洱市景谷县永平镇大理州大理市大理镇临沧市耿马县孟定镇
大理电视台,:【最新前线动态：大理州医护人员顺利入驻武汉市中心医院上岗接诊！】2月25日，大理州援助湖北医疗队（即云南省第六批医疗队）经过5天的岗前适应训练后，顺利入驻武汉市中心医院后湖院区，整体接管一个40床的病区，正式开始诊疗新冠肺炎患者！目前，该病区收治新冠肺炎患者38人，有危重症病例、重症病、普通病例。上午，医疗队对所有患者进行了查房，优化了诊疗方案……出隔离区时，所有医护人员汗水已湿透衣背，脸上是最美的压痕！致敬最美逆行者！期待早传捷报！期待平安凯旋！（通讯员：张建波）
