宋旗,:#4128万多名党员捐款47.3亿元#众志成城，共克时艰日照
登封市广播电视台,:逆行医护人员的子女有人“疼”爱心企业线上线下送教育在抗击新型冠状病毒疫情前线，全国广大医务工作者身先士卒，义无反顾冲上疫情防控第一线，同时间赛跑，与疫情较量。在后方，天一教育集团联合郑州慈善总会共同开展“同舟共济共克时艰”天一教育集团课程捐赠公益慈善活动，让逆行医护人员安心“抗疫”。本次活动的受众群体为父母是医务工作者的全国高中学生，河南省辖各地医务工作者高中子女，父母为医务工作者的湖北省辖各地专升本学生，以及参与湖北省、河南省、河北省、山东省等地区，全国范围（全国范围通用课程）教资招教医务工作者子女。天一教育集团将向上述符合条件的人员免费捐赠总价值100万元的教辅资料和辅导课程。即日起至疫情结束，全国范围内凡医务工作者子女（高中阶段），在天一教育所有合作书店均可领取高中教辅资料一套。疫情结束后，河南地区医务工作者子女（高中阶段），在郑州即可免费报名高三全日制精讲班（免学费，不免住宿生活费，需自备生活品、被褥、换洗衣物等）。湖北、河南、河北、山东地区的医务工作者子女，可在线上免费领取专升本相关课程、教师资格、教师招聘相关课程。官方联系电话：400-6529-888
黑花大小姐,战疫当前，人人有责！#万和“安全家”行动#全面启动了！热水器、厨电有问题→云义诊，宅家难题全搞定；云端下单→“零接触“”安心装，战疫时期不用慌！我号召：用云端服务和零接触服务标准助力战疫#为家守护共克时艰#！带话题转发+评论本微博，说说战疫期间温暖你的小事，3月31日抽3位送神秘礼物！
宝洁招聘,:于细微处见真情！截至今日，@宝洁中国携手旗下品牌累计捐资捐物1645万元人民币，驰援湖北。前线的需求时刻牵动着我们的心。第八批援鄂物资由@SK-II出资采购了价值200万人民币的呼吸器和防护服送往武汉，支援一线抗疫工作。希望我们贡献出一份力，助力医护在前线守护更多生命！宝洁驰援，共克时艰！
西安张显,:校友们逆行武汉，无愧良心；无愧母校的培养;无愧长江的滋养；。。。向英雄们致敬！
滑雪的高级赛道,【珍惜身边人相信#爱不隔离#会创造奇迹】“在一起，拥抱所有勇气，活下去，爱会创造奇迹”。让我们一起为奋斗在一线的劳动者加油！@中国青年报@共青团中央http://t.cn/A67p0FQe
山西新闻,#抗击疫情山西在行动#【一起回顾这个没有硝烟的战场
江西联通,:#一线动态·南昌#南昌：共克时艰，力求网络畅通一场突如其来的新冠肺炎疫情，搅乱了全国人民的正常生活。南昌这个英雄的城市也无法置身事外，二月上旬疫情在洪城日渐肆虐蔓延，大家响应国家号召少出门、少聚集。南昌：共克时艰，力求网络畅通
不生气也不鼓包的河豚贝贝,【#张文宏预测新冠病毒最终发展#：你相信好了我的预测一定是对的】疫情，依旧是当前最大的主题。国内新增病例持续走低意味着什么？境外传播加剧该如何应对？复工和防疫要怎么权衡？层出不穷的试用药究竟如何？我们离正常的生活还有多远……@许研敏在上海对话张文宏医生，来听听他怎么说。#出圈专访张文宏##聚焦新冠肺炎疫情#@新京报我们视频@微博节目http://t.cn/A67pXirJ
升达大学校社团联合会,:#全民抗疫共克时艰#话题：经济防控当前，新冠疫情正在以一种我们从未见过的方式影响着中国和世界经济，因为疫情不少餐饮、旅游、电影、交通运输等行业开始告急不少人认为这会影响到国家经济的发展。但是，疫情发生后，中国举国一心，采取了坚决有效的防控措施，同时通过一系列宏观和微观政策帮助企业和民众渡过难关。办法多应对快，中国经济韧劲十足，在面对疫情的突然来袭，中国始终保持大国风范，及时做出行动有效应对，我们相信中国一定会打赢这场疫情防卫战。发改委也回应疫情对中国经济的影响:不会影响中国经济长期向好的基本面。作为校社联财务审计部的一份子，我们一定严格遵守学校的通知，从你我做起，积极的带动大家参与到抗击新型冠状病毒的大队伍中，用我们严谨认真的态度去感染身边每一位朋友！武汉加油！中国加油🇨🇳！投稿：校社联财务审计部
抹茶杏仁芬芬,战疫当前，人人有责！#万和“安全家”行动#全面启动了！热水器、厨电有问题→云义诊，宅家难题全搞定；云端下单→“零接触“”安心装，战疫时期不用慌！我号召：用云端服务和零接触服务标准助力战疫#为家守护共克时艰#！带话题转发+评论本微博，说说战疫期间温暖你的小事，3月31日抽3位送神秘礼物！
