北京华军中医医院中医血液科,:谢别录主任用手机与患者进行远程会诊指导诊疗.mp4生活咨讯的优酷视频@优酷
爱问医生诊间故事,发布了头条文章：《疫情期间“云复诊”，常医生建议您这样做》疫情期间“云复诊”，常医生建议您这样做#常医生让牙齿大不同[超话]#@赛德阳光口腔@赛德阳光口腔临床研究院@齐呗
無愛戀人,:#伊朗将中国诊疗方案译成波斯语#身为中国人我们都应该感到自豪！大家都看到了，短时间内只有我国才能完成闭户封城的创举！短时间内只有我国能建造那么多的医院！短时间内只有我国有无数八方支援的同胞，一线工作者辛苦了！#日本累计确诊新冠肺炎962例#
是你的小瓶子-,:#浙江新增7例均为意大利输入病例#欢迎同胞回国治疗，但前提是保障机场直接隔离，以免发生大规模感染。保护中国来之不易的战疫结果！#伊朗将中国诊疗方案译成波斯语#结合本国国情找到适合自己国家特点的诊断方案祝福伊朗人民早日战胜疾病。每个疫区都要重视起来，做好防范！
锁忠玉,:#伊朗将中国诊疗方案译成波斯语#希望能迅速控制好疫情，不再更多人中招。
是你的小瓶子-,:#进藏来拉萨者须持居住地健康证明#严格防控保护我们的净土#伊朗将中国诊疗方案译成波斯语#希望诊疗方案能帮助到他们
上海崇明,:【助力伊朗抗疫！张文宏主编防控手册波斯语版出炉，免费供伊朗民众下载】#伊朗将中国诊疗方案译成波斯语##上海加油##上海战疫#上观新闻记者今天获悉，由上海科学技术出版社出版的《张文宏教授支招防控新型冠状病毒》波斯语版已经翻译完成，目前由伊朗总统府下属战略研究中心发布电子版并提交伊朗卫生部，供伊朗民众免费下载阅读。伊朗资深出版人通过中国文化译研网（CCTSS）平台寻求防疫图书版权合作，得到国内多家出版社响应与支持，29家出版社提供了40多本相关图书简介与样章，CCTSS第一时间将符合需求的31本图书推荐给伊方。伊朗方面选定了三本急需作品，《张文宏教授支招防控新型冠状病毒》翻译最先启动。德黑兰大学孔子学院外方院长BazrafshanAmin带领团队加班加点翻译。为支持伊朗抗击疫情，上海科学技术出版社免费提供伊方版权翻译出版。http://t.cn/A679EypF
李苦舟,:#伊朗将中国诊疗方案译成波斯语#伊朗宣布全国所有学校停学，取消一切集会。唉，为什么非要去挨一下打才懂得什么是疼呢？
雨鲸人,:#伊朗将中国诊疗方案译成波斯语#【世卫组织专家积极评价中国抗“疫”举措
O记校长,:#伊朗将中国诊疗方案译成波斯语#跟着中国走，不会掉坑的
王扶摇,:#伊朗将中国诊疗方案译成波斯语#很快就会被翻译成上百种语言
和小汀晒月亮,#浙江新增7例均为意大利输入病例#现在全世界已经都是疫区，入境一定要做定点隔离，千万不能掉以轻心，希望疫情早日结束吧#伊朗将中国诊疗方案译成波斯语#看到有国家真的重视起来，也很感动。其他国家如果一直这样不配合不重视，也只会越来越严重……
小pupppupupupup,#浙江新增7例均为意大利输入病例#要加强防控注意安全#伊朗将中国诊疗方案译成波斯语#希望对他们有帮助吧
我家房子不会塌,#浙江新增7例均为意大利输入病例#要加强防控注意安全#伊朗将中国诊疗方案译成波斯语#希望对他们有帮助吧
上海杨亮,:不戴口罩不隔离就是新加坡的“佛系”防控？很多人看到的只是表象#伊朗将中国诊疗方案译成波斯语##新加坡##新加坡女性同时感染登革热和新冠肺炎##口罩还要戴多久#上海杨亮的微博视频
我家房子不会塌,#浙江新增7例均为意大利输入病例#要加强防控注意安全#伊朗将中国诊疗方案译成波斯语#希望对他们有帮助吧
爱峰哥的echo,:#浙江新增7例均为意大利输入病例#还是要注意吧输入病例无可避免入境一定要做定点隔离保护来之不易的战疫成果
新闻110,:#福建战疫#【守护宜昌！《新冠肺炎诊疗“福宜”方案》正式发布】3月1日，由福建、宜昌医疗工作者联合制定的《新冠肺炎诊疗“福宜”方案》正式发布。3月2日下午，近百册《方案》被紧急送到宜昌当阳市和夷陵区新冠肺炎定点救治医院，其余县市区将陆续推广。“福宜”方案涵盖医疗、护理、康复与心理、临床药学与营养四个方面，将为宜昌一线医务人员开展诊疗工作提供更多的帮助。#宜建钟情#http://t.cn/A67C7sTo
三岁玩家,:#浙江新增7例均为意大利输入病例#欢迎同胞回国治疗，但前提是保障机场直接隔离，以免发生大规模感染。保护中国来之不易的战疫结果！#伊朗将中国诊疗方案译成波斯语#结合本国国情找到适合自己国家特点的诊断方案祝福伊朗人民早日战胜疾病。每个疫区都要重视起来，做好防范！
灵灵狗的茅草屋,:#伊朗将中国诊疗方案译成波斯语#简直是抓起作业本狂抄啊，都不用用脑了，记得改名字哦！
辽视说天下,:【丹东新增3例确诊病例，行程轨迹公布
山水陆沉,:#伊朗将中国诊疗方案译成波斯语#伊朗可谓是内忧外患呀。忻州·定襄县
邵阳共青团,:#伊朗将中国诊疗方案译成波斯语#向公众公布伊朗驻华使馆在其微博上表示，“我们相信，只要众志成城、团结一心，就一定能战胜疫情。就像任何困难都打不倒中华民族一样，也不会有任何困难能打倒伊朗人民。”青年湖南的微博视频
宋薯薯的小17,:#浙江新增7例均为意大利输入病例#欢迎同胞回国治疗，但前提是保障机场直接隔离，以免发生大规模感染。保护中国来之不易的战疫结果！#伊朗将中国诊疗方案译成波斯语#结合本国国情找到适合自己国家特点的诊断方案祝福伊朗人民早日战胜疾病。每个疫区都要重视起来，做好防范！
大年初一123456,:#伊朗将中国诊疗方案译成波斯语#伊朗伊朗
河北日报,:【刚刚，张家口市又有2名确诊患者治愈出院，累计出院37名】#关注河北肺炎疫情#3月3日，张家口市又有2位被确诊为新冠肺炎的患者在医护人员的精心观察、治疗和护理下符合出院标准，从张家口市传染病医院治愈出院。张某某，女，68岁，察北管理区人。2月27日，在隔离医学观察期间确诊。董某某，男，46岁，察北管理区人。2月26日，在隔离医学观察期间确诊。经过定点医院和市医疗专家全力救治，目前两位患者已恢复正常体温3天以上，呼吸道症状明显好转，肺部影像学显示急性渗出性病变明显吸收好转，连续2次呼吸道病原核酸检测阴性，根据国家卫健委《新型冠状病毒肺炎诊疗方案》（第六版）规定的治愈出院标准，经市核心专家组评估，符合治愈出院标准。至此，我市已有37名新冠肺炎确诊患者治愈出院。来源|张家口发布[编辑|李硕]
咸阳身边事,:【疫情期间，#常见病患者网上复诊医保可报销#】国家医保局、国家卫生健康委日前联合印发指导意见，明确常见病、慢性病患者在互联网医疗机构复诊可依规进行医保报销。《意见》明确，对符合要求的互联网医疗机构为参保人提供的常见病、慢性病线上复诊服务，各地可依规纳入医保基金支付范围。互联网医疗机构为参保人在线开具电子处方，线下采取多种方式灵活配药，参保人可享受医保支付待遇。医保部门加强与互联网医疗机构等的协作，诊疗费和药费医保负担部分在线直接结算，参保人如同在实体医院刷卡购药一样，仅需负担自付部分。为防止出现虚构医疗服务等违规行为，《意见》还要求落实线上实名制就医和处方审核等措施，确保医保基金安全。（总台央视记者张萍）via央视新闻
本溪老刘,:伊朗：将把中国诊疗方案译成波斯语向公众发布伊朗：将把中国诊疗方案译成波斯语向公众发布
Technology-Daren,:#武汉加油#
Lin志丹顺,感觉呆梨这次有点严重了
甜你Justin0105,#浙江新增7例均为意大利输入病例#输入病例无可避免，全世界已经都是疫区，入境一定要做定点隔离，保护中国来之不易的战疫成果#伊朗将中国诊疗方案译成波斯语#看到有国家真的重视起来，也很感动。其他地方如果一直这么吊儿郎当，不知道会不会死很多人…然后他们再后悔也来不及了呀。疫情大范围蔓延的话，还怎么控制啊
安灬格子,:#浙江新增7例均为意大利输入病例#要加强防控注意安全#伊朗将中国诊疗方案译成波斯语#希望对他们有帮助吧
南里落意笙笙离,#浙江新增7例均为意大利输入病例#输入病例无可避免，入境一定要做定点隔离，保护中国来之不易的战疫成果#伊朗将中国诊疗方案译成波斯语#希望能帮助到他们伊朗要赶快好起来🙏🙏🙏
木堇LMWH,:#浙江新增7例均为意大利输入病例#境外输入再控制不住，我估计开学又要遥遥无期了#伊朗将中国诊疗方案译成波斯语#国际社会帮帮这些中东国家吧，不仅是诊疗方案，还有药物、设备等等
Dr_WuGH,:#伊朗将中国诊疗方案译成波斯语#向公众公布，不知道有没有人把它重新翻译成中文，看看中国具体给了伊朗什么样的防疫建议
