卓明信援通讯社,:#最新疫情地图##疫情地图#湖北省新型冠状病毒肺炎县级现有确诊病例数据分布图，数据截至3月2日24时。3月2日，湖北全省现有病例28216例，较前一日下降2327例，降速7.62%。#应急管理[超话]#
香港紫荆卫视,:#关注新冠肺炎#【湖北省副省长：#湖北消化存量任务依然艰巨#】#紫荆快讯#3月3日，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会。湖北省人民政府副省长杨云彦介绍，目前湖北疫情形势依然严峻复杂，还要继续采取最严格的防控措施。当前面临的主要问题是：①消化存量的任务依然艰巨，全省还有20000多名患者在院救治，6000多名重症、危重症患者仍需加大救治力度；②增量风险仍然没有得到根本控制；③疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；④疫情防控积极变化的基础还比较脆弱，像老旧社区、特殊场所等地方，还存在着薄弱环节。
武汉同城,:#万众一心抗击新冠肺炎#【财政部：#湖北养老金可以按时足额发放#】财政部社会保障司司长符金陵3日在新闻发布会上说，从2月起，湖北省全部企业可以免除最多5个月的3项社保费。其中，企业养老保险免除5个月缴费，基金将减收220亿元，但是湖北到2019年底仍有1000亿元以上的累计结余。同时，今年养老保险基金中央调剂制度和中央财政养老保险补助资金会对湖北重点关照。通过中央调剂、中央财政补助，再加上以前的结余，完全可以确保湖北全省退休人员按时足额领到养老金。（中国新闻网）
我们直播,:【财政部：#全国小规模纳税人增值税降至1%#湖北免征三个月】3月3日，财政部税政司司长王建凡介绍，对湖北省小规模纳税人免征三个月的增值税，湖北省以外的小规模纳税人由现有的征收率3%减到1%，并最大限度地扩大税收优惠的覆盖面。#聚焦新冠肺炎疫情#@新京报我们视频新京报我们视频的秒拍视频
瓦屋春哥,二0一八年十二月十九日择学网成为湖北省首家挂牌“青创板”的“互联网+成人学历”平台股权代码：Y00117ZEXUE择学网的微博视频
西北信息报,:#关注新冠肺炎#【湖北省副省长：#湖北消化存量任务依然艰巨#】3月3日，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会。湖北省人民政府副省长杨云彦介绍，目前湖北疫情形势依然严峻复杂，还要继续采取最严格的防控措施。当前面临的主要问题是：①消化存量的任务依然艰巨，全省还有20000多名患者在院救治，6000多名重症、危重症患者仍需加大救治力度；②增量风险仍然没有得到根本控制；③疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；④疫情防控积极变化的基础还比较脆弱，像老旧社区、特殊场所等地方，还存在着薄弱环节。（上官云）
西北信息报,:#关注新冠肺炎#【#武汉新冠肺炎患者病亡率正逐渐下降#】3日，湖北省人民政府副省长杨云彦在发布会上介绍，目前湖北省各地市危重症床位配置已基本能满足重症病人的救治需求，武汉市通过加快建设重症救治床位，由“人等床”转变为“床等人”。截至3月2日，同济光谷、协和医院等10家危重症救治定点医院共开放危重症床位7286张，共收治危重症、重症患者3728名，武汉市新冠肺炎患者病亡率正逐渐下降。（任思雨）
当涂检察,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2ihttp://t.cn/A67NvF2i
西北信息报,:#关注新冠肺炎#【财政部：#湖北养老金可以按时足额发放#】财政部社会保障司司长符金陵3日在新闻发布会上说，从2月起，湖北省全部企业可以免除最多5个月的3项社保费。其中，企业养老保险免除5个月缴费，基金将减收220亿元，但是湖北到2019年底仍有1000亿元以上的累计结余。同时，今年养老保险基金中央调剂制度和中央财政养老保险补助资金会对湖北重点关照。通过中央调剂、中央财政补助，再加上以前的结余，完全可以确保湖北全省退休人员按时足额领到养老金。（李金磊）
红星视频,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。@成都商报http://t.cn/A67Nz9bX
珂珂珂珂kk-,上月初毒舌君偶然看到#新疆无差别隔离#这个话题里，有不少当地民众反馈的防疫期间的诸多问题，所以把话题下的一些微博截图汇总发了出来，后来嘛，这个话题就被取消了！
长春新闻广播,:#长春新闻广播#【最美逆行团队——交通之声】疫情防控工作开展以来，长春广播电视台交通之声坚持“快速反应、髙效动作、跨区域联动，扩大宣传效果”的原则做好相关宣传报道。长春广播电视台交通之声自1月23日起就开始关注武汉疫情，迅速调整工作状态，发挥自身在广播收听市场占有率第一、收听率第一的优势，通过早晚新闻节目和新闻伴随类节目，宣传党和政府在疫情防控工作中的政策措施，报道疫情信息；通过民生服务类节目进行医学健康宣传、连线；通过滚动播出各类宣传疫情防控科普知识、生活常识，为抗击疫情加油鼓劲；从农历腊月三十开始，交通之声的年轻党员记者徐涛作为特派记者全面承担了省内各级各部门的新闻发布会、情况通报会的采访工作，每天坚守在新闻采访一线。徐涛说：“疫情不结束，我们的工作也不会停止。虽然很辛苦，但是为了抗击疫情，为了新闻宣传报道，再苦再累也是值得的。毕竟作为一名党员，我感觉在这个时候我有责任有义务冲锋在前。”交通之声新闻部仅有五名记者，在他们的共同努力下，疫情期间截止2月29日累计刊播新闻稿件1100多条次，还播发转载权威媒体的新闻、科普稿件，通过广播及交通之声微信公众号、抖音号收听、收看的总量达到近6亿人次，发挥了主流媒体应有作用。长春广播电视台交通之声副主任飞扬介绍说：“微信公众平台我们也做了两百多的公益宣传，每天都在我们平台上滚动播出。另外，我们吉林省防疫的情况，每天我们都会在平台上滚动播出。这个还是深受广大听众喜欢，关注度还是很高的。”跨地域合作是交通之声始终坚持的一大特色，从2月3日开始，交通之声积极与全国各交通广播合作推出新闻专栏《抗击疫情我们在一起》，每天播出各地稿件，该专栏的子栏目《直通武汉》则以第一视角全面介绍武汉市抗击疫情的最新进展，让长春市民更好地了解了疫情之下的湖北省和武汉市。长春广播电视台交通之声副主任林兰表示，作为媒体我们的责任就是用客观理性又饱含深情的语言把这些传递出去，对于交通之声人来讲，传递好疫情防控信息，讲好疫情防控中的人和事，就是我们的责任。（记者：徐子晴）
太原日报,:#坚定信心打赢疫情阻击战#【#湖北省疫情快速上升势头得到遏制#】3月3日，湖北省召开新型冠状病毒感染的肺炎疫情防控工作例行新闻发布会上，湖北省人民政府副省长杨云彦介绍，新冠肺炎的医疗救治是重中之重，湖北抓住救治和阻隔两大环节，集中力量和资源向一线倾斜，做好新冠肺炎的救治。目前，全省疫情快速上升的势头得到遏制，取得积极进展。http://t.cn/A67N7u9f（长江日报）
腾讯新闻,:【湖北省司法厅连夜开会：向全国人民表示深深歉意】3月2日，在联合调查组公布“黄某英事件”调查结果后，湖湖北省司法厅党委连夜召开会议，一致认为：坚决拥护联合调查组的调查结果，坚决拥护省委、省纪委监委的处理决定。大家认为，“黄某英事件”虽然发生在武汉女子监狱，但根源在湖北省司法厅和湖北省监狱管理局，我们向全国人民表示深深的歉意。http://t.cn/A67Nz519
ZEXUE择学网,:二0一八年十二月十九日择学网成为湖北省首家挂牌“青创板”的“互联网+成人学历”平台股权代码：Y00117ZEXUE择学网的微博视频
大飘和她的朋友们,:每天都是隔着铁门给快递小哥一个个拿走运力有限，会优先发同城或者湖北省内的快件外省全部畅通的着急的朋友旺旺给我留言就行客服早就跑了，我就是客服哈
长江网_留言板,:【#湖北省疫情快速上升势头得到遏制#】3月3日，湖北省召开新型冠状病毒感染的肺炎疫情防控工作例行新闻发布会上，湖北省人民政府副省长杨云彦介绍，新冠肺炎的医疗救治是重中之重，湖北抓住救治和阻隔两大环节，集中力量和资源向一线倾斜，做好新冠肺炎的救治。目前，全省疫情快速上升的势头得到遏制，取得积极进展。http://t.cn/A67N7u9f（长江日报）
武汉晚报,:【#湖北省疫情快速上升势头得到遏制#】3月3日，湖北省召开新型冠状病毒感染的肺炎疫情防控工作例行新闻发布会上，湖北省人民政府副省长杨云彦介绍，新冠肺炎的医疗救治是重中之重，湖北抓住救治和阻隔两大环节，集中力量和资源向一线倾斜，做好新冠肺炎的救治。目前，全省疫情快速上升的势头得到遏制，取得积极进展。http://t.cn/A67N7u9f（长江日报）
楚天都市报,:#湖北发布会#【湖北新增治愈出院病例，连续13天超过新增确诊病例】3日下午，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会，介绍湖北省疫情防控进展。从2月19日起，湖北新增治愈出院数连续13天超过新增确诊病例数。会上，湖北省疾病预防控制中心副主任李阳介绍了湖北省新冠肺炎的最新情况。截止2020年3月2日24时，湖北省累计报告新冠肺炎确诊病例67217例，其中武汉市49426例，占全省74%，其他市州17791例，占全省26%。武汉市、孝感市、黄冈市、荆州市、鄂州市、随州市、襄阳市及黄石市等八个地市，累计确诊病例数均超过1000例。2020年3月2日0-24时，湖北省新增新冠肺炎确诊病例114例，占全国91%，新增确诊病例中武汉市111例，占全省的97%；黄冈市2例、荆门市1例，占全省的3%。黄石市、十堰市、宜昌市、襄阳市、鄂州市、孝感市、黄冈市、咸宁市、随州市、恩施州、仙桃市、天门市、潜江市、神农架林区共14个地市无新增确诊病例。截止2020年3月2日，全省仍住院治疗25050例，其中重症5407例，危重症1186例，共占住院治疗数的26%；截止2020年3月2日，全省累计病亡2834例；3月1日全省新增病亡31例，其中武汉市24例，占全省77%。截止2020年3月2日，累计治愈36167例，3月2日，新增出院病例2410例，其中武汉市1846例，占全省出院的77%。从2月19日起，新增治愈出院数连续13天超过新增确诊病例数。http://t.cn/A67NzmN2
CAI_JIS,:专供湖北省，大家可以囤点用得着[嘿哈]
鹦鹉螺核潜艇,#YY直播#YY户外-子...正在YY直播【封印中】，上YY陪你一起闯！http://t.cn/A67NhDdA@YY直播
交通954,:#关注新冠肺炎#【#武汉新冠肺炎患者病亡率正逐渐下降#】3日，湖北省人民政府副省长杨云彦在发布会上介绍，目前湖北省各地市危重症床位配置已基本能满足重症病人的救治需求，武汉市通过加快建设重症救治床位，由“人等床”转变为“床等人”。截至3月2日，同济光谷、协和医院等10家危重症救治定点医院共开放危重症床位7286张，共收治危重症、重症患者3728名，武汉市新冠肺炎患者病亡率正逐渐下降。
思想者5,:2020年3月2日湖北省新冠肺炎疫情情况http://t.cn/A67KBh53
带代太师兄,老胡今天又要说可能招骂的话了。中国需要及时调整政策，真正推动复工复产，推动城市恢复活力。前段时间，少数地方复工复产过程中出现个别的聚集性暴发病例，整个省、市都因此承受了巨大压力，相关单位的责任人还受到了追责。我认为应该改变这种局面了。大规模复工复产，难免出现个别病例向周围人的传染，这种事情发生的概率随着中国绝大部分省区已经连续多日病例零增长或偶发一两个新病例而越来越小。各地不能被这样的可能性吓住，整个国家更不能被它吓住。今天中国湖北以外广大地区与韩日、欧洲甚至美国比起来已经是最安全的地方，我们不能为追求“绝对安全”而行动迟缓，不敢放手抓经济，那样的静态防疫不是公共卫生的应有之义。只要世界上疫情仍在流行，中国也就不可能有绝对安全。中国的优势在于，我们已经建立起了卓为有效的全民防控体系，各地现在要做的是，让这个防控体系为经济和社会活动的全面恢复来服务，与它们有效对接，而不是让这个体系成为我们继续前行的障碍。浙江今天刚刚通报了7个新增病例，都是从意大利输入的病例，浙江能够迅速发现这些病例，阻断病毒的传播路径，这就是防控体系在起作用。这几个病例并不会实际提升浙江的防控风险，浙江的复工复产大局也根本无需受这些病例的影响。从武汉封城开始，中国的抗疫取得了巨大成绩，但我们决不能待在这个成绩里苟安，新增几个病例就让我们震动得不得了。偶尔新增几个病例，我们要有足够的信心和定力承受这样的情况。老胡深信，在已经形成了有效防控体系和大家保持着高度警惕性的情况下，几个新增病例绝对翻不了防控的大盘。我们不能夸大偶发的新增聚集性病例对全国防控体系的冲击。老胡主张，中国应继续不搞大型聚集活动，比如开大会、足球比赛、文艺汇演等等需再推后一段时间。但是一般性的商业活动应当开放了，而且不能光是商场、餐馆开着门，但谁都不敢进。其实大家都已经憋坏了，只要各地政府和媒体别再吓唬大家，人们自然会回到各类消费场所中去。防控要继续做，大家能戴口罩的场合继续戴口罩，这很重要。基层防控部门要继续掌握新冠疫情的所有蛛丝马迹。我们需要形成这样的动态体系，这当中要有组织和动员力、智慧、勇气的共同参与。只有在世界上仍有疫情火苗在燃烧的情况下把中国经济真正恢复起来，我们的抗疫才能最终被打一个高分。
长江云官方微博,:#湖北发布会#【湖北省副省长杨云彦：湖北实现确诊病人、疑似病人应收尽收、应治尽治】3月3日下午四点，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会，邀请湖北省人民政府副省长杨云彦，湖北省卫生健康委员会副主任涂远超，湖北省新冠肺炎疫情防控医疗救治专家组组长、华中科技大学同济医院呼吸与危重症医学科主任赵建平，湖北省疾病预防控制中心副主任李阳介绍情况并回答记者提问。湖北省人民政府副省长杨云彦介绍，按照“四早”原则，提升核酸检测效率，应检尽检，即送即检，着力提高收治能力，加大建院增床力度。优化医疗资源配置，实现确诊病人、疑似病人应收尽收、应治尽治。加强方舱医院集中隔离点医疗力量、力量设备的配备，提高医疗救治能力。截至3月2日24时，全省共有指定定点救治医院238家，全省在院治疗病人25050人，当日新增出院2410例，累计治愈出院36167人，治愈率大幅提升。#相信武汉##湖北加油武汉挺住#
济南说,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
宿州检察,:#检察资讯#【湖北浠水:网络出庭公诉两起速裁程序案】“审判员，根据中华人民共和国刑事诉讼法的规定，我受本院指派，以国家公诉人的身份，出席法庭支持公诉……”，3月2日下午3点，在庄严的检徽下，湖北省浠水县检察院第一检察部员额检察官万富国坐在自己的办公室里，通过云间网络在线平台，出庭支持公诉。详见http://t.cn/A67N7TB5
衡阳发布,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
三都检察,:#疫情动态播报#【直播：湖北疫情防控发布会介绍全省疫情医疗救治情况】目前，湖北全省新冠肺炎疫情医疗救治工作情况如何？今天，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开发布会，湖北省人民政府副省长杨云彦，湖北省卫健委副主任涂远超等介绍情况，并答记者问。#CD在现场#中国日报的微博视频
环球时报,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
中国新闻网,:#关注新冠肺炎#【湖北省副省长：#湖北消化存量任务依然艰巨#】3月3日，湖北省新型冠状病毒肺炎疫情防控工作指挥部召开第38场新闻发布会。湖北省人民政府副省长杨云彦介绍，目前湖北疫情形势依然严峻复杂，还要继续采取最严格的防控措施。当前面临的主要问题是：①消化存量的任务依然艰巨，全省还有20000多名患者在院救治，6000多名重症、危重症患者仍需加大救治力度；②增量风险仍然没有得到根本控制；③疫情防控仍具有不确定性，近期陆续发现一些无症状检测阳性患者，甚至极少数出院患者复检阳性的现象；④疫情防控积极变化的基础还比较脆弱，像老旧社区、特殊场所等地方，还存在着薄弱环节。（上官云）
孝感日报,:#湖北加油武汉挺住#【孝感市政协驻彭河村工作队打造“无疫村”】湖北省大悟县东新乡彭河村有1211人，春节前从武汉等外地返乡人员118人。疫情发生以来，孝感市政协驻村防疫工作队带领全村党员干部严防死守。目前，全村无疑似病例、无确诊病例，是大悟县“无疫村”。　　1月26日，工作队按指令改为防疫工作队，队长胡文涛带领队员第一时间赶赴村里，协同村“两委”迅速转战疫情防控工作。协同村级制定完善了防控工作方案，设立协调督查、宣传发动、卡口布控、体温检测、后勤保障、资料信息六个工作小组，各负其责，各尽其职。　　彭河村属于山区，出入路口有16个。经商议，他们决定在卡口布控中，封堵路口12个，只留4个，由工作队员和村干部带领群众，按照规定把控，严格人员进出。目前，全村14名共产党员、5名在乡大学生、21位村民主动参与到疫情防控中，成为彭河村战胜疫情的中坚力量。　　把宣传工作放在首位，张贴政策宣传标语，挂设横幅，发放病毒防范应知手册，建立村民微信联系群。购置3个音响，不间断滚动播放防疫政策，并采取既原始又有效的敲锣打鼓宣传，做到家喻户晓，人人皆知。　　组建纠察队，动员党员和村民自愿参加，每天早上8:00到晚上22:00在各自然湾巡逻，禁止人员扎堆，相户串门，湾间走动。　　严格体温检测，落实原在村村民一天测1次、回乡人员每天测2次制度，做到全覆盖，不漏一户一人，宁可“草木皆兵”，让工作人员多花气力，也要保全村百姓平安。　　疫情防控期间，彭河村有3名村民患其它疾病住院病愈回村，工作队对他们进行了严格的居家隔离和重点监测，确保万无一失。　　开展精准服务，让群众需求后顾无忧。为了保障群众生活，工作队安排3名党员干部、志愿者，负责全村老百姓物资集中代购并送货上门，还对车辆进行清扫消毒杀菌。对村民的特殊需求，他们特事特办。　　在驻村工作队和村“两委”的带领下，彭河村全民皆兵，全民奋战，将“无疫村”进行到底！（通讯员黄楠编辑叶一鸣）
扎西平措得勒,:就“黄某英事件”，湖北省司法厅连夜开会就“黄某英事件”，湖北省司法厅连夜开会
黄州声音,:黄州2例新增确诊病例从哪里来？疾控中心这样解释据湖北省卫健委3月3日通报，3月2日0—24时，黄冈市新增新冠肺炎确诊病例2例。黄冈疫情防控持续保持严格态势，新增病例从哪里来？3月3日，湖北日报全媒记者对此进行了解。据黄冈市卫健委信息，2月23日以来，黄冈10个县市区中，9个县市无新增确诊病例，2月29日新增的1例、3月2日新增的2例，均出现在黄州区。黄州区疾控中心主任汪明望介绍，2日新增病例患者分别是董某某、包某某，均为女性，均住黄州区赤壁街道。两人此前属于确诊患者的密切接触者，但本人症状不明显，且核酸检测结果阴性和阳性多次反复，导致确诊过程比较复杂。其中，董某某，61岁，2月7日至3月2日一直都在集中隔离点，未与其他人密切接触；包某某，57岁，2月20日至3月2日一直都在集中隔离点，未与其他人密切接触。重新出现新增病例，显示了黄冈疫情形势的复杂性。2月29日，在连续数日新增确诊病例为零之际，黄冈市新冠肺炎疫情防控工作指挥部曾致信市民指出，新增确诊病例为零，并不意味着以后一定为零，由于该市还存在一定数量的密切接触者正在隔离医学观察，通过检测筛查还发现部分无症状感染者，这些都是潜在的风险。据介绍，为进一步加强管控，2月下旬开始，黄冈市区将核酸检测范围扩大到了密接人群，对餐饮、商超、社区网格员、社会志愿者、复工企业员工等进行“核酸大排查”，截至3月1日22时，全市累计完成核酸采样81023份。来源：湖北日报记者：柯利华
云南共青团,:#加强疫情防控云南在行动#【保山市确诊的最后一名新冠肺炎患者刘某治愈出院，全市实现“清零”】3月3日上午，经过全力抢救治疗和精心护理，保山市确诊的最后一名新冠肺炎患者刘某治愈出院，全市实现“清零”。刘某，今年76岁，来自湖北省武汉市，2020年1月21日从武汉乘机直飞腾冲，入住和顺某客栈，期间曾在和顺景区游玩，1月26日被送往集中医学观察点进行隔离观察，1月29日，患者出现发热症状，由集中医学隔离点转送至腾冲市人民医院隔离治疗，因病情加重，2月14日转至保山市人民医院ICU重症监护室负压病房，2月17日转入感染病区的普通病房。连日来，在省市专家组的指导和一线医护人员的精心治疗护理下，刘某的病情好转，各项指标恢复正常。患者刘某：“感谢保山市委市政府‘一人一策’的精准治疗方案，对我进行有针对性的治疗；感谢疫情防控指挥部领导下的专家组，虽然我的病情有反复甚至转为重症，但省级专家、市级专家根据我的病情调整方案，力挽狂澜，让我的身体始终在平安的‘轨道’上运行；还要感谢保山市人民医院广大的医护工作者，竭尽所能对我的营养、生活无微不至的关心照顾。我要向所有关心我、帮助我的领导、医护工作者表示感谢！”保山市新冠肺炎医疗救治专家组组长杨文杰介绍说：“患者刘某，2月25日核酸检测就已转阴，但因老年人抵抗力比较差，继发支气管感染，治疗组对治疗方案进行再调整。目前，刘某的体温连续3天正常，患者的一般情况为良好，已经达到出院标准，并给予办结出院。这一例患者的出院就意味着保山市新冠肺炎确诊病例的救治工作暂时告一个段落。”据了解，刘某出院后还将到指定地点继续隔离观察一段时间。截至3月3日11时，保山市累计报告确诊病例9例，治愈出院9例，目前全部治愈出院清零，无死亡病例。现有疑似病例0例。（保山市委宣传部）
跨乐时空,#YY直播#YY户外-子...正在YY直播【封印中】，上YY陪你一起闯！http://t.cn/A67NhDdA@YY直播
斐清寒,【直播！#湖北通报疫情防控最新进展#】今天下午，湖北省政府新闻办公室召开新型冠状病毒感染的肺炎疫情防控工作新闻发布会，介绍全省新冠肺炎疫情医疗救治工作情况，并回答记者提问。看直播↓关注！（总台央视记者王伟超）央视新闻的微博视频.
网络资源学家,:【#湖北连续8天治愈出院超2千#】从2月24日至3月2日，湖北省当日新增治愈出院人数分别为2116人（24日）、2058人（25日）、2288人（26日）、3203人（27日）、2492人（28日）、2292人（29日）、2570人（1日）、2410人（2日）。截至3月2日24时，#湖北累计治愈出院36167例#。继续加油！
宜昌市文化和旅游局,:【中国乒协捐赠60万只口罩支持湖北抗击疫情】近日，中国乒乓球协会通过湖北省慈善总会和省体育局，捐赠的60万只医用外科口罩抵汉。虽然身处海外集训备战世乒赛，但国乒一直心系国内疫情。在多方努力下，中国乒协购置了60万个医用外科口罩，从希腊发货，辗转伊斯坦布尔、上海，最终抵达湖北。“等春来，让我们摘掉口罩，紧紧拥抱，去想去的地方，见想见的人！”在捐赠物资外包装上，贴着中国乒乓球队对疫区同胞的寄语！#共同战疫#@中国乒乓球协会会员中心
太陽花向曰葵,武汉第七医院有人不顾急诊科护士救人，要求护士打扫厕所
清华大学,:【#抗疫清小答#邀你来答题！】第10期我们问到：以下著名典故与湖北无关的是？正确答案是“胡服骑射”。你答对了吗？
家庭报官微,:#关注新冠肺炎#【财政部：#湖北养老金可以按时足额发放#】财政部社会保障司司长符金陵3日在新闻发布会上说，从2月起，湖北省全部企业可以免除最多5个月的3项社保费。其中，企业养老保险免除5个月缴费，基金将减收220亿元，但是湖北到2019年底仍有1000亿元以上的累计结余。同时，今年养老保险基金中央调剂制度和中央财政养老保险补助资金会对湖北重点关照。通过中央调剂、中央财政补助，再加上以前的结余，完全可以确保湖北全省退休人员按时足额领到养老金。@中国新闻网来源：中国新闻网
华声在线,:#关注新冠肺炎#【#武汉新冠肺炎患者病亡率正逐渐下降#】3日，湖北省人民政府副省长杨云彦在发布会上介绍，目前湖北省各地市危重症床位配置已基本能满足重症病人的救治需求，武汉市通过加快建设重症救治床位，由“人等床”转变为“床等人”。截至3月2日，同济光谷、协和医院等10家危重症救治定点医院共开放危重症床位7286张，共收治危重症、重症患者3728名，武汉市新冠肺炎患者病亡率正逐渐下降。（中新网任思雨）
