中国侨都-台山发布,:【江门保持0新增！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
鑫健me,:@百度@新浪新闻汕尾市目前治愈已有4例，请相应数据进行更新。
雪狼居士,:短文分享
深汕通,:#汕尾爆料##城市生活家##汕尾身边事#【最新！陆丰市教育局发出通知】广东省陆丰市教育局通知各中心小学、中学及九年制学校、职校，特校、市直幼儿园：按照广东省、汕尾市和陆丰市新冠肺炎疫情防控指挥部办公室的相关要求，为科学做好新冠肺炎疫情防控，有序推动我市教育系统复工复产工作，针对我市教职员工和学生(以下简称师生)通知如下：一、凡是在本地居住的师生外出陆丰到其他县(区)的，回陆丰时身体无异常，只需登陆“防疫报备登记”系统申报相关信息，无需隔离。二、在陆丰工作居住的其他外地户籍师生可以返陆，如能提供广东省内村(社区)或本人所在单位加盖公章的证明，证明14天内未离开广东、未到过疫情高发地区且身体无异常，无需隔离;不能提供证明的必须实行居家隔离14天。三、湖北籍、温州籍的师生暂缓返陆，返陆时间另行通知。详见陆教函[2020]22号文件。陆丰市教育局2020年2月23日
陈粤海,:汕尾战“疫”：小城大爱“硬核”担当http://t.cn/A6hkSR0k。说实话，汕尾市在防抗新冠肺炎前，虽然党政主帅双双履新，但表现可圈可点，无论是全面排查到封闭管理，还是及时启动复工复产到抢人大战，都体现出新班子的果断与远见💪，祝愿汕尾市在复工复产拉升经济复苏的方面越做越好[胜利]，先行点赞👍
中超100分,:#钟南山表示出院重新感染可能性很小#好消息！汕尾市又有2例出院！汕尾5例确诊患者已有4例治愈出院！
汕尾发布,本周我市天气平稳，气温稳中略升，湿度加大，云量增多，早晚轻雾或雾的天气会更加明显，能见度较低，大家出行要注意交通安全。午后最高气温来到27度左右，早晚的最低气温在15度上下，昼夜温差在10度以上，大家要根据气温的变化，注意适时增减衣物，以免着凉感冒。汕尾天气的微博视频
平安汕尾,:【关于公布汕尾市公安局打私支队打击走私犯罪活动举报方式的公告】
汕尾海洋预报台,:【汕尾市近岸海域】24小时海洋预报
汕尾海洋预报台,:【汕尾市重点渔港】24小时海洋预报
汕尾天气,:【晚间天气】预计今晚到明天：多云间阴天，有零星小雨，早晚有轻雾，汕尾城区17到25度，海丰15到27度，陆丰16到27度，陆河14到27度，东北到东风2到3级，阵风4级，相对湿度60%到95%。空气质量：良。汕尾市气象台2月24日晚发布
汕尾天气,:【汕尾海区天气】预计今晚到明天，汕尾附近海面：阵雨，18到23度，东北到东风5级，阵风6级，能见度8到18公里。汕尾市气象台2月24日发布
汕尾市民网,:【口罩诈骗，再抓人...】百姓利益无小事，自疫情防控工作开展以来，汕尾市城区公安机关全力出击，严打涉疫诈骗案件，快速查破涉口罩诈骗案2宗2人，协助外地警方抓获4名涉口罩诈骗案违法犯罪人员。继2月1日我局破获一起以售卖口罩为幌子诈骗他人钱财的违法案件之后，近日，又有违法犯罪分子开始趁“疫”作乱，抱着贪财侥幸心理从事诈骗等违法犯罪活动。2月14日，我局接重庆市开州公安局通报称，一受害人到该局报案称其于2月5日至10日...http://t.cn/A6hesez6
洗锅小猫-一直复读的不复读,:『汕尾市公安局关于公开悬赏通缉92名涉毒逃犯的通告』汕尾市公安局关于公开悬赏通缉92名涉毒逃犯的通告没事让你喝汽油就是想看看戴没戴面具，哦长包了啊，那就是没戴，害就完事了。反正肝硬化就完事了，死你一个也不差。抓到毒贩就行
海丰县公安局,:【汕尾市公安局关于公开悬赏通缉92名涉毒逃犯的通告】汕尾市公安局将在各县区原有的悬赏基础上，追加悬赏奖励：每抓获一名我市公安机关立案的涉毒逃犯，奖励举报人人民币5万元；每抓获一名外省、市公安机关立案的汕尾籍涉毒逃犯，奖励举报人人民币3万元。汕尾市公安局关于公开悬赏通缉92名涉毒逃犯的通告
汕尾天气预报,:汕尾市，今天多云，16~24℃，微风，空气良http://t.cn/EIN86UJ
汕尾天气,:【汕尾市安委办、市应急管理局】提醒:企业复工复产在做好疫情防控工作的同时要落实“六个一”揩施，达到“六个到位"要求。“六个一”就是企业主要负责人要主持召开一次领导班子安全生产专题会议、制定一份周密的复产复工方案、以适当形式召开一次全体员工大会、开展一次全员安全教育、制定一套应急处置方案、开展一次全厂的安全检查。“六个到位”就是企业风险分析研判到位、隐患整改到位、安全教育培训到位、应急救援保障到位、设备设施安全管理到位、危险作业安全管理到位。【汕尾市突发事件预警信息发布中心】
海丰微闻,:#汕尾爆料##城市生活家##汕尾身边事#【警情通报丨市区鸿景园小区红绿灯路口发生一宗交通事故】2020年02月22日20点43分，汕尾市公安局交通警察支队市区一大队接市局110指令：有群众报警，在市区鸿景园小区红绿灯路口发生一宗交通事故，需前往处理。接到指令后，市区一大队立即派出民警前往事故现场。经现场调查：驾驶人李某皓驾驶一辆悬挂粤N号牌的小型汽车沿香洲路由西向东行驶，途经鸿景园红绿灯路口时，逆向驶入西行车道，相继碰撞路口东侧等候信号灯放行的2辆小型客车和4辆摩托车，现场造成相关摩托车驾驶员及乘客共5人不同程度受伤，车辆不同程度损坏的道路交通事故。民警在控制好事故现场的同时，组织对现场伤者的救治，将伤者送院检查治疗，目前伤者情况稳定，没有生命危险。经现场测试，肇事司机李某皓涉嫌饮酒后驾驶车辆，正在办案部门接受调查。目前，该案件正在进一步调查办理中。汕尾市公安局交通警察支队2020年2月23日
汕尾天气预报,:汕尾市，今夜多云，15℃。明天多云，16~23℃，微风，空气良http://t.cn/EIN86UJ
汕尾发布,【主播说天气—春耕备耕】眼下是疫情防控的关键期，也是一年春耕生产的起步期，有春的播种才会有秋的收获，在被称为“可耕之候”的雨水时节，勤劳的农民朋友们陆续开始春耕备耕工作。
汕尾天气,:【汕尾海区天气】预计今晚到明天，汕尾附近海面：阵雨，早晚有轻雾，18到23度，东北到东风5到6级，阵风7级，能见度8到25公里。汕尾市气象台2月23日发布
宋冬梅2015,:《工程车辆自动灭火系统如何调试？-山东潍坊九通消防科技有限公司》中国广东省清远市、茂名市、肇庆市、惠州市、梅州市、汕尾市、河源市、阳江市、东莞市、中山市、潮州市、揭阳市、云浮市运输车辆灭火装置、矿用卡车自动灭火系统、特种工程车辆自动灭火系统、挖掘机灭火装备、井下运输车、自卸车、重型装载机、小松绞卡机、高空作业车辆、客运汽车、公交车灭火装置等的调试有一定的技巧http://t.cn/A6hhakHE
汕尾天气,:【汕尾海上强风警报】受冷空气影响，预计今晚到明天，汕尾附近海域风力较大，维持东北到东风5-6级，阵风7级。防御指引：请上述海域航行、作业的船舶和人员留意我台最新预报警报，注意航行安全。汕尾市气象台2020年02月23日15时发布：http://t.cn/EbghzHg
汕尾市民网,:【汕尾市可供应防控物资的相关企业联系方式在这里！】为方便企业、群众购买疫情防控物资，市医保局汇总了我市可供应防控物资的相关企业联系方式，供大家查询。http://t.cn/A6hBN7bt
汕尾海洋预报台,:【汕尾市近岸海域】24小时海洋预报
平安汕尾,:#警情通报#2020年02月22日20点43分，汕尾市公安局交通警察支队市区一大队接市局110指令：有群众报警，在市区鸿景园小区红绿灯路口发生一宗交通事故，需前往处理。接到指令后，市区一大队立即派出民警前往事故现场。经现场调查：驾驶人李某皓驾驶一辆悬挂粤N号牌的小型汽车沿香洲路由西向东行驶，途经鸿景园红绿灯路口时，逆向驶入西行车道，相继碰撞路口东侧等候信号灯放行的2辆小型客车和4辆摩托车，现场造成相关摩托车驾驶员及乘客共5人不同程度受伤，车辆不同程度损坏的道路交通事故。民警在控制好事故现场的同时，组织对现场伤者的救治，将伤者送院检查治疗，目前伤者情况稳定，没有生命危险。经现场测试，肇事司机李某皓涉嫌饮酒后驾驶车辆，正在办案部门接受调查。目前，该案件正在进一步调查办理中。http://t.cn/A6h1lkeb
汕尾市民网,:【警情通报！5人不同程度受伤...】2020年02月22日20点43分，汕尾市公安局交通警察支队市区一大队接市局110指令：有群众报警，在市区鸿景园小区红绿灯路口发生一宗交通事故，需前往处理。接到指令后，市区一大队立即派出民警前往事故现场。经现场调查：驾驶人李某皓驾驶一辆悬挂粤N号牌的小型汽车沿香洲路由西向东行驶，途经鸿景园红绿灯路口时，逆向驶入西行车道，相继碰撞路口东侧等候信号灯放行的2辆小型客车和4辆摩托车...详情：http://t.cn/A6h1W8OM
青青河边草64491,:#宝贝寻家#约1937年出生1940年左右从广东省汕尾市拐卖到江西省赣州市信丰县的志兰寻亲132779（女）http://t.cn/A6h1Wgot(出处:宝贝回家论坛)请大家转发各群及相关论坛，您的每一次转发都会给寻亲带来一份希望，谢谢！！！失踪经过：约1940年左右，被人从广东汕头汕尾市一带拐卖到江西赣州信丰县，记得家靠海，有橄榄树，地名叫家祖凯（谐音），记得家里有个大哥。
汕尾城区发布,:汕尾市城区餐饮服务业新冠肺炎防控工作指引一、总则(一)本指引是在新冠肺炎疫情期间，用于指导餐饮经营单位在疫情期间逐步恢复堂食服务，加强人员管理、经营管理等各项防控措施，保障餐饮服务业复工复产员工安全及公众用餐安全。(二)本指引适用于提供堂食服务的餐饮经营单位。(三)本指引由省疫情防控指挥部办公室疫情防控组发布。二、制定依据《广东省新型冠状病毒肺炎疫情防控指挥部办公室关于印发广东省应对新型冠状病毒肺炎疫情分区分级防控工作指引(试行)的通知》(粤防疫指办明电〔2020〕33号)《餐饮服务业新型冠状病毒感染的肺炎预防控制指引》《食品经营许可管理办法》《餐饮服务食品安全操作规范》。三、基本要求(一)严格遵循《广东省新型冠状病毒肺炎疫情防控指挥部办公室关于印发广东省应对新型冠状病毒肺炎疫情分区分级防控工作指引(试行)的通知》(粤防疫指办明电〔2020〕33号)关于分区分级防控工作要求，对于分级为Ⅲ级防控区的县(市、区)，餐饮经营单位限制堂食服务，对于分级为Ⅳ级防控区的县(市、区)，餐饮经营单位可以开放堂食服务。(二)餐饮企业需具有合法经营资格。(三)餐饮企业需落实疫情防控主体责任，要成立疫情防控工作小组，有专门机构和人员负责制定疫情防控期间企业经营防护方案和实际执行措施，并做好信息采集工作。(四)餐饮企业需具有防护物资储备能力，在开工和复工前，需要准备充足的防护物资(至少储备普通级别防护口罩、医用酒精/消毒水、体温计等)，保障工作人员日常工作防护需求。(五)停业后首次恢复堂食的餐饮单位需全面对营业场所、设备设施、餐用具等进行一次彻底的清洗消毒。四、从业人员管理(一)严格按照《机关、企业及工厂节后复工防控新型冠状病毒肺炎工作指引》(粤卫疾控函〔2020〕14号)，《餐饮服务食品安全操作规范》要求以及国家卫生健康委员会《新型冠状病毒感染的肺炎防控方案》《新型冠状病毒感染的肺炎公众防护指南》等防控要求，建立健全防控制度，压实防控责任，严格管理从业人员，杜绝从业人员带病上岗。(二)各餐饮经营单位对员工的健康管理负主体责任，员工要如实告知旅居史。餐饮经营单位要设立健康管理员，负责收集单位员工健康状况，按要求向有关部门报告员工健康状况。主动配合相关部门做好返粤员工健康信息登记和管理工作，对疫情高发地来粤工作人员必须进行14天隔离观察后才能上岗。(三)每日对从业人员进行晨检和体温监测，体温超过37.3℃或出现有发热、乏力、干咳及胸闷等症状的员工不得上岗。(四)强化企业内部员工卫生防疫知识宣传教育，提高工作人员的自我卫生管理能力。要配备完好的洗手设施及快速手消毒剂、皂液等卫生用品，从业人员制备餐食前、加工生食或熟食之后、餐前便后、接触垃圾后，要用流动水和皂液采用六步洗手法洗手，手部揉搓时间不少于15秒。从业人员应配戴口罩上岗。(五)若单位出现新冠肺炎疑似或确诊病例，应配合疾控机构做好密切接触者的追踪与管理，并做好终末消毒。五、用餐人员管理(一)用餐人员进入餐饮经营单位前必须测量体温，体温超过37.3℃或出现有发热、干咳、打喷嚏等症状的，一律不允许进入餐饮场所，一旦发现应立即登记造册并及时向当地社区卫生中心报告，并提醒其及时就诊。(二)在疫情防控解除前，餐饮服务企业禁止接待大规模聚餐活动，应通过采取减少桌椅摆放、隔桌安排就餐，快餐店一人一桌用餐等措施，以加大就餐者之间的距离。(三)有条件的餐饮经营单位要制定用餐人员可追溯制度，每桌登记至少一名就餐客人的姓名和联系方式。六、场所清洁消毒(一)食品加工制作要符合《餐饮服务食品安全操作规范》，确保餐具严格清洗消毒后使用，餐具的清洗消毒参照《推荐的餐具清洗消毒方法》。(二)每天对就餐场地、保洁设施、人员通道、电梯间等场所设施进行消毒保洁。(三)加强餐厅内部洗手间消毒工作，日常运营期间每2小时要对洗手间内所有便器洁具、各类扶手和把手、触摸式冲水按钮、洗手台和水龙头等重点部位进行消毒一次，做好相关消毒记录并每日公示消毒情况。洗手间内要备齐洗手液、手纸等便民服务用品，要确保洗手设备正常运行，同时保持良好通风，必要时可加装排气设备，强制排气。(四)保持食品加工场所和就餐场所的空气流通，定期对空气过滤装置进行清洁消毒。七、原材料采购验收、加工管理(一)坚决禁止购买、屠宰、储存、加工、烹饪野生动物等违法行为。(二)不得采购、饲养和现场宰杀活禽畜动物。(三)对每天送货原材料做好索证索票工作，提倡无接触收货。八、设备管理(一)空调管理。餐饮企业要严格按照《新冠肺炎流行期间办公场所和公共场所集中空调系统管理指引》要求，进行有关空调通风系统日常运营管理，要制定疫情期间通风系统和空调的检查、清洁、测试和维护计划，要根据空调使用要求和疫情应对，增加过滤器的清洁消毒和更换频次。同时尽量保持室内通风，定期开门、开窗。(二)电梯管理。1.电梯在保证安全运行的同时，应增加消毒的频次。2.应在电梯间张贴提示语，提醒在电梯间戴口罩并避免交谈。3.经营单位酌情限制乘坐电梯的人数，减少接触传染。三、冷冻冷藏和保鲜设备管理。1.对冷冻冷藏和保鲜设备进行全面维护保养和全面的清洁卫生。2.食品原材料坚持覆盖保鲜膜或加盖再进行储存，防止交叉污染。九、供餐服务要求(一)具有安全合规的食品加工场所，定时对食品加工场所进行卫生清理，并保证避免消毒液、酒精等直接接触餐具、食材和菜品。(二)食品加工制作要符合《餐饮服务食品安全操作规范》规定。(三)在用餐场所的显示屏显示或明显位置张贴公告和疫情防控知识海报，告知进店顾客需配合和注意的有关事项，如张贴禁止接待大规模聚餐活动的指示牌、进出公共场所必须佩带口罩等。(四)每桌客人就餐完毕离开后需对桌椅进行清洗消毒。(五)给予每桌客人提供双筷位勺或公筷公勺餐具，防止交叉污染。汕尾市城区市场监督管理局2020年2月21日
汕尾城区发布,:汕尾市城区小餐饮新冠肺炎防控工作指引一、从业人员管理(一)各餐饮单位应压实防控责任，严格管理从业人员，杜绝从业人员带病上岗。(二)各餐饮单位对员工的健康管理负主体责任，员工要如实告知旅居史。餐饮经营单位负责人负责收集单位员工健康状况，按要求向有关部门报告员工健康状况。主动配合相关部门做好返汕员工健康信息登记和管理工作，对疫情高发地来汕工作人员必须进行14天隔离观察后才能上岗。(三)每日对从业人员进行晨检和体温监测，体温超过37.3℃或出现有发热、乏力、干咳及胸闷等症状的员工不得上岗。(四)强化内部员工卫生防疫知识宣传教育，提高工作人员的自我卫生管理能力。要配备完好的洗手设施及快速手消毒剂、皂液等卫生用品，从业人员制备餐食前、加工生食或熟食之后、餐前便后、接触垃圾后，要用流动水和皂液采用六步洗手法洗手，手部揉搓时间不少于15秒。从业人员应配戴口罩上岗。(五)若单位出现新冠肺炎疑似或确诊病例，应配合疾控机构做好密切接触者的追踪与管理，并做好终末消毒。二、用餐人员管理(一)用餐人员进入餐饮经营单位前必须测量体温，体温超过37.3℃或出现有发热、干咳、打喷嚏等症状的，一律不允许进入餐饮场所，一旦发现应立即登记造册并及时向当地社区卫生中心报告，并提醒其及时就诊。(二)在疫情防控解除前，餐饮服务企业禁止接待大规模聚餐活动，应通过采取减少桌椅摆放、隔桌安排就餐，快餐店一人一桌用餐等措施，以加大就餐者之间的距离。(三)有条件的餐饮经营单位要制定用餐人员可追溯制度，每桌登记至少一名就餐客人的姓名和联系方式。三、场所清洁消毒(一)确保餐具严格清洗消毒后使用，每天对就餐场地、保洁设施、人员通道等场所设施进行消毒保洁。(二)加强餐厅内部洗手间消毒工作，日常运营期间每2小时要对洗手间内所有便器洁具、各类扶手和把手、触摸式冲水按钮、洗手台和水龙头等重点部位进行消毒一次，做好相关消毒记录并每日公示消毒情况。洗手间内要备齐洗手液、手纸等便民服务用品，要确保洗手设备正常运行，同时保持良好通风，必要时可加装排气设备，强制排气。(三)保持食品加工场所和就餐场所的空气流通，定期对空气过滤装置进行清洁消毒。四、原材料采购验收、加工管理(一)坚决禁止购买、屠宰、储存、加工、烹饪野生动物等违法行为。(二)不得采购、饲养和现场宰杀活禽畜动物。(三)对每天送货原材料做好索证索票工作，提倡无接触收货。五、供餐服务要求(一)具有安全合规的食品加工场所，定时对食品加工场所进行卫生清理，并保证避免消毒液、酒精等直接接触餐具、食材和菜品。(二)在用餐场所的显示屏显示或明显位置张贴公告和疫情防控知识海报，告知进店顾客需配合和注意的有关事项，如张贴禁止接待大规模聚餐活动的指示牌、进出公共场所必须佩带口罩等。(三)每桌客人就餐完毕离开后需对桌椅进行清洗消毒。(四)给予每桌客人提供双筷位勺或公筷公勺餐具，防止交叉污染。汕尾市城区市场监督管理局2020年2月21日
汕尾市民网,:【这些药店被立案调查...】为更好的维护疫情防控期间市场秩序，保障群众合法权益，汕尾市市场监管系统加大监管执法力度，加强对口罩、消毒杀菌用品、抗病毒药品等防疫用品的市场价格监督检查，查办了一批哄抬价格、不明码标价等价格违法案件，有力地维护了疫情防控用品市场秩序。现将疫情防控期间价格违法典型案例公布如下：案例一：1月28日，汕尾市海丰县市场监督管理局执法人员对汕尾市国荣广信药业连锁店有限公司公平分店依法进行检查...http://t.cn/A6h1NSSk
每日经济新闻,:#广东新增3例确诊病例#【广东23日通报：新增3例新冠肺炎确诊病例新增治愈出院20例】截至2月22日24时，广东省累计报告新冠肺炎确诊病例1342例，累计出院740例，累计死亡6例。22日当天广东省新增确诊病例3例，为广州市2例、东莞市1例。新增出院20例，均为普通型病例治愈出院。新增死亡病例1例，为深圳市1例。无疑似病例。有1696名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市417例、广州市345例、珠海市98例、东莞市94例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市13例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性661例，女性681例，年龄介于2月龄-90岁之间。截至2月22日24时，在院的596例确诊病例中，轻型57例，普通型484例，重型28例，危重型27例。新增死亡1例，因发生急性呼吸窘迫综合征、多器官功能衰竭，经抢救无效死亡。http://t.cn/A6h1GuIf
南方都市报,:【广东省卫健委：22日全省新增确诊病例3例新增死亡病例1例】截至2月22日24时，全省累计报告新冠肺炎确诊病例1342例，累计出院740例，累计死亡6例。22日当天全省新增确诊病例3例，为广州市2例、东莞市1例。新增出院20例，均为普通型病例治愈出院。新增死亡病例1例，为深圳市1例。无疑似病例。有1696名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市417例、广州市345例、珠海市98例、东莞市94例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市13例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性661例，女性681例，年龄介于2月龄-90岁之间。截至2月22日24时，在院的596例确诊病例中，轻型57例，普通型484例，重型28例，危重型27例。新增死亡1例，因发生急性呼吸窘迫综合征、多器官功能衰竭，经抢救无效死亡。信息来自广东省卫健委官网http://t.cn/A6h1LUwG
汕尾天气,:【早间天气】预计今天白天到夜间，我市晴到多云，夜间有轻雾，城区15到24度，海丰、陆丰13到25度，陆河11到26度，东北到东风2到3级，阵风5级，沿海阵风6级，相对湿度45%到85%。汕尾市气象台2月23日早发布
汕尾天气预报,:汕尾市，今天多云，15~24℃，微风，空气良http://t.cn/EIN86UJ
美丽的碧海蓝天白云,:【防控新型冠状病毒】汕尾市移动通信部门：全力做好疫情防控期间通信保障服务工作http://t.cn/A6h3Yf2Z
陈粤海,:汕尾市的饮食行业已经全面复工大家看到这些会不会饿呢？不管你饿不饿反正我是饿了
陈粤海,夺回失去的一个月！广东浙江又现神操作，一堆城市懵了。这就是管理水平的差距啊。夺回失去的一个月！广东浙江又现神操作，一堆城市懵了
汕尾天气,:【晚间天气】预计今晚到明天：晴到多云，早晚有轻雾，汕尾城区14到24度，海丰、陆丰13到25度，陆河11到26度，东北到东风3到4级，阵风5级，沿海阵风6级，相对湿度45%到85%。空气质量：良。汕尾市气象台2月22日晚发布
汕尾海洋预报台,:【汕尾市重点渔港】24小时海洋预报
平安汕尾,:#节目预告#在汕尾市公安局城区分局，有一位经历过两次心脏手术的便衣民警，坚持奋战在打击犯罪最前线。从警28年，他带领便衣队专门打击“两抢一盗”，创造了汕尾市300天“零案发”的记录。他就是广东唯一一位荣获“中国最美基层民警“称号的颜海龙。《南粤警视》节目《钢铁雄心颜海龙（上集）》将于2月23日（周日）18:05在中国网络电视台、央视网、广东卫视播出，敬请关注。http://t.cn/A6hnkOHS
汕尾天气,:【午间天气】预计今天下午到夜间，我市晴天，汕尾城区15到24度，海丰、陆丰13到25度，陆河12到25度，偏东风2到3级，阵风5级，相对湿度60%到95%。汕尾市气象台2月22日中午发
勿忘我随心所欲凌有,:菜稞是汕尾市最有名的小吃，有猪肠稞、重糕稞、菜头稞、薯粉稞、油炸稞、鼎溜稞、升煽稞、鸭蓝稞、铜盘卷、发稞、菜包稞、碗仔稞，还有各式各样的稞条汤，糯米丸、尖米丸等。#美食#
Daer-叶雪妮,:汕尾市城区启津国际园招聘：因幼儿园发展及分园成立，这学期招聘教学园长1名，保健医生1名，班主任6名，配班6名。要求：有经验者优先，薪资待遇面议，有意者可推荐或自荐，联系人：赖园13828953721或邮箱292411511@qq.com汕尾
深圳潮汕商会,:【潮商为“抗疫”助力（十）|深圳市潮汕商会向汕尾市红十字会捐赠50万元】为助力汕尾市抗击疫情，2月12日，深圳市潮汕商会向汕尾市红十字会捐赠抗疫专项资金50万元人民币，同时，商会还捐赠了免洗消毒液2000瓶。此次捐赠将用于汕尾市相关医院及防控单位的疫情防控工作，以及慰问一线医护人员。更多点击：http://t.cn/A6hnSvRP
平安汕尾,:汕尾市发布关于全面推广使用“粤省事·粤康码”的公告汕尾市发布关于全面推广使用“粤省事·粤康码”的公告
活力汕尾,:#汕尾身边事#【汕尾一线医护工作者演唱《火线姑娘》，向全国一线医护工作者致敬！】这是由汕尾市人民医院急诊科一线医护工作者演唱的改编歌曲《火线姑娘》，这首歌的曲来源于海伦的《桥边姑娘》，词由急诊科黄秦邶医师改编，希望能通过这首歌曲，给予抗战在疫情一线的全国医护工作者一份鼓励。http://t.cn/A6h8Y0Fx
金倩子瑜,:潮汕地区包不包括汕尾市？汕尾朋友分享了他的感受，分为以下四种情况：1，面对同市不同县区的人，一般就说自己是哪个县的人，如海丰人陆丰人。（这也符合任何一个地方的客观规律）2，面对省内市外的人，如果是面对客家区和粤语区的人，一般说自己是海丰人或者陆丰人。3，面对揭阳汕头潮州的人，也是说自己是海丰人还是陆丰人。有次在潮州，有个小老板问我哪里人，我说汕尾的（因为正常思路都是市区镇的顺序往下讲），小老板回答应该很近，在汕头附近吧。然后我说挺远的啊，我是海丰的，他听到海丰才明白。4，面对省外的，基本懒得解释自己不是潮汕人。为什么会这样呢，有个可能很重要的原因，潮汕话也好汕尾的方言也好，本质上都是闽南语的分支。离福建越远的地方就越有地方口音特色。但汕尾的口音与福建的口音差不多，这就进一步验证了，汕尾是闽南地区的人之间搬到过来的。所以在揭阳汕头潮州人眼里汕尾有“入侵者”的那点味儿。总之，潮汕地区不包括汕尾。而面对省外的人，解释起来太费劲，所以就干脆也称自己是潮汕人。
汕尾天气,:【晚间天气】预计今晚到明天：晴到多云，汕尾城区14到24度，海丰、陆丰13到25度，陆河12到25度，东北到东风2到3级，阵风4级，相对湿度45%到85%。空气质量：优。汕尾市气象台2月21日晚发布
汕尾天气,:【汕尾海区天气】预计今晚到明天，汕尾附近海面：多云为主，15到23度，东北风5到6级，阵风7级，能见度12到20公里。汕尾市气象台2月21日发布
深汕通,:#汕尾爆料##城市生活家##汕尾身边事#【汕尾派出返岗专车，赴广州接回首批外地返工人员】为全力做好疫情防控工作，更好地服务企业异地复工人员安全返岗，满足企业复工复产需求，助力企业健康发展，19日，汕尾派出疫情期间首批返岗专车。记者黄桂安：在汕尾市城区，通过镜头大家可以看到，安然身后的这一部车，是汕尾市人社局接送企业员工返岗专车，那么为了更好地服务企业复工人员安全、便捷返岗，我市提供了返岗专车将去往广州接送返岗的一些工作人员，那么接下来我们将和人社局的工作人员一起去往广州，开启“店小二”接送服务。　　据了解，本次需接送返工人员共7人。为做好接送工作，市人社部门细化疫情防控措施和运行线路、途中休息点和安全运行措施等内容，并加强对运输包车的消毒、检测、维护，加强对司乘人员疫情防控和应急处置等安全培训。汕尾市人社局劳动就业服务管理中心主任科员吴伟荣：我们按照省政府和省人社厅的安排，我们汕尾市今天（19号）就到广州南站，接这个从广西百色专列车过来的员工回汕尾务工。（他们）基本上都做了那些隔离的工作，一到汕尾马上就可以复工。记者黄桂安：经过3个多小时的车程，我们顺利抵达广州南站，那么接下来我们就跟随我们的工作人员一起去迎接从广西返汕的务工人员，我们一起去接他们回家。　　广西返汕务工人员已提前在约定的地点等候，与工作人员对接后，在工作人员的指引下，他们满怀欢喜地走出站口。记者黄桂安：大家通过画面可以看到我们的工作人员正在为返汕的务工人员测量体温，确认健康状况，同时给他们派发手套、口罩、消毒液等防疫用品，确保第一时间做好安全、消毒、防护工作。　　检测后，返工人员安置好行李并有序上车，他们告诉记者，虽然天气很冷，但是看到有汕尾特地来接他们的专车，心里感到暖洋洋的。广西返汕尾务工人员：非常感谢政府领导、各位领导，一路对我们热情接待，在此说声谢谢，你们辛苦了！广西返汕尾务工人员：专车接送的话就比较好一点，不像那些坐公交车，或者是那些大巴车，感受到了政府对我们人民的关心。汕尾市人社局劳动就业服务管理中心主任科员吴伟荣：结合汕尾市疫情防控部署的要求，我们提前与相关企业，提前沟通、对接，确保务工人员及时方便、快捷、健康安全到达汕尾的企业上岗。　　当天晚上9点30分，全体返工人员已安全抵达汕尾。
汕尾发布,:#汕尾新闻##汕尾在行动#【逾2亿元专项低息贷款！汕尾出台服务企业复工复产三十条】日前，汕尾市出台“服务企业复工复产三十条”，其中农村商业银行安排不少于2亿元额度的专项贷款，利率在同类贷款利率水平上下浮10%以上；市财政安排不少于2000万元，对受疫情影响较为直接明显的中小微企业新增贷款给予一定的贴息。（文件全文点击图片↓↓↓）
汕尾天气,:【午间天气】预计今天下午到夜间，我市多云到晴，汕尾城区13到22度，海丰11到23，陆丰12到23度，陆河10到23度，东北到东风2到3级，阵风5级，相对湿度45%到85%。汕尾市气象台2月20日中午发
Joy李宇洁,:#抗击新型肺炎我们在行动#这是由汕尾市人民医院急诊科一线医护工作者演唱的改编歌曲《火线姑娘》这首歌的曲来源于海伦的《桥边姑娘》词由急诊科黄秦邶主任改编希望能通过这首歌曲给予抗战在疫情一线的全国医护工作者一份鼓励Joy李宇洁的微博视频
汕尾天气,:【早间天气】预计今晚到明天：晴间多云，汕尾城区13到21度，海丰、陆丰12到22度，陆河10到21度，东北到东风2到3级，阵风5级，相对湿度45%到85%。汕尾市气象台2月20日早发布
