新浪广西,:#广西抗击新冠肺炎#【清零！广西玉林市11名确诊病例全部治愈出院
天津广播,:【天津连续96小时零新增】记者从市疾控中心获悉，3月2日6时至18时，本市无新增新冠肺炎确诊病例，治愈出院7人。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型1例、普通型13例、治愈出院118例，死亡3例。疑似病例34例。累计排查密切接触者2305人，尚有287人正在接受医学观察。从2月27日18时至3月2日18时，天津连续96小时无新增新冠肺炎确诊病例。（刘钊）
滨海时报,:【3月2日6时至18时天津无新增新冠肺炎确诊病例治愈出院7人】记者从市疾控中心获悉，3月2日6时至18时，本市无新增新冠肺炎确诊病例，治愈出院7人。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型1例、普通型13例、治愈出院118例，死亡3例。疑似病例34例。累计排查密切接触者2305人，尚有287人正在接受医学观察。（津云）
今晚报,:#津日疫情播报#【3月2日6时至18时天津无新增新冠肺炎确诊病例治愈出院7人】从市疾控中心获悉，3月2日6时至18时，本市无新增新冠肺炎确诊病例，治愈出院7人。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型1例、普通型13例、治愈出院118例，死亡3例。疑似病例34例。累计排查密切接触者2305人，尚有287人正在接受医学观察。
天津发布,:#津日疫情播报#【3月2日6时至18时天津无新增新冠肺炎确诊病例治愈出院7人】从市疾控中心获悉，3月2日6时至18时，本市无新增新冠肺炎确诊病例，治愈出院7人。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型1例、普通型13例、治愈出院118例，死亡3例。疑似病例34例。累计排查密切接触者2305人，尚有287人正在接受医学观察。
广西卫视,:【玉林又一名新冠肺炎患者治愈出院】3月2日，玉林又有1名新冠肺炎确诊患者在市级专家团队及玉林市红十字会医院医护人员的精心救治和护理下治愈出院。患者陈某某，男，28岁，玉林北流人，武汉市返乡务工人员。1月21日从武汉返回到北流。患者为普通型病例，3月2日经专家组评估，患者达到国家卫生健康委最新颁布的新冠肺炎诊疗方案的出院标准，已嘱其出院后居家隔离14天，并安排医务人员跟踪随访。玉林市红十字会医院为出院患者举办了简朴而温暖的欢送仪式，医务人员为他送上了鲜花并致以最真诚的祝福。截止3月2日，玉林市累计报告新冠肺炎确诊病例11例，累计治愈出院病例8例，其余3例病例均为普通型病例，病情稳定。玉林市连续12天无新增确诊病例、无疑似病例，新冠肺炎疑似病例、确诊病例的密切接触者已于3月1日全部解除集中隔离医学观察。（来源：玉林市卫生健康委员会、玉林新闻网）#广西抗击新冠肺炎##抗击新型肺炎我们在行动#
青海网络广播电视台,:#我为青海医疗队打call#【青海省支援湖北抗击疫情工作日报（3月1日）】一、医疗队工作情况我省赴湖北医疗队在武汉市新洲区人民医院和新洲区中医院开展医疗救治工作，医疗组当日救治病例93例，其中普通型88例、重型1例、危重型4例。治愈出院4例。护理组管理住院病例93例，鼻咽拭子采样21次。按照新洲区统一安排，第一批28名队员已到达新洲区指定轮休点开始3天的原地调休。二、护理队工作情况我省赴湖北护理队在武汉市洪山体育馆方舱医院开展护理工作，当日护理病例133例，治愈出院21例，体温检测713次，血氧饱和度检测383次，测血压436次，测血糖12次，心理疏导35次。医疗队和护理队医护人员：发热0人，疑似病例0人，确诊病例0人。http://t.cn/z8ShtiJ
天与地6524273622,:《清肺排毒汤_百度百科》清肺排毒汤来源于中医经典方剂组合。可用于治疗新型冠状病毒感染的肺炎轻型、普通型、重型患者，在危重症患者救治中也可结合患者实际情况合理使用。但该方为疾病治疗方剂，...
937江苏新闻广播,:#江苏两款中药制剂用于新冠肺炎防治#【江苏两款中药制剂通过应急审批，应用于新冠肺炎防治】自疫情发生以来，中医药在新冠肺炎防治中正发挥着越来越大的作用。2月21日，经江苏省药品监督管理局应急审批，江苏省中医院“芪参固表颗粒”和“羌藿祛湿清瘟合剂”获得备案号，用于新冠肺炎防治。连日来，江苏省中医院药学部、制剂部紧锣密鼓按照规范流程组织生产，3月2日，第一批制剂正式投入江苏省中医院临床使用。据江苏省中医院药学部主任束雅春介绍，“芪参固表颗粒”具有扶正固表、疏风理气、健脾祛湿的功效，可用于预防新冠肺炎及湿邪引起的病毒感染、流行性病毒性感冒，也适用于新冠肺炎恢复期肺脾气虚者及医学隔离期气虚易感人群。在新冠肺炎或流感流行期间，可以连续服用7-14天。“羌藿祛湿清瘟合剂”具有透表祛湿，芳香辟秽，宣肺健脾，清热解毒的功效，可用于新冠肺炎轻型、普通型早期、中期，及湿邪引起的病毒感染、流行性病毒性感冒治疗。“芪参固表颗粒”和“羌藿祛湿清瘟合剂”获得备案号后，即作为江苏省中医院院内制剂投入生产，以进一步扩大应用范围，方便患者及易感人群服用。此次疫情发生后，国家卫健委组织相关专家陆续制定《新冠肺炎诊疗方案》试行、试行第二、三、四、五、六版，提出医疗救治工作中要积极发挥中医药作用，加强中西医结合。《新冠肺炎诊疗方案》中明确指出，新冠肺炎属于中医疫病范畴，各地可根据病情、当地气候特点以及不同体质等情况，辨证论治。在此背景下，江苏省中医院成立了疫情防控专家组。根据前期中药治疗新冠肺炎的疗效评价数据，国家中医药管理局中医药传染病防治专家组专家、江苏省卫健委新冠肺炎防控专家组首席中医专家、江苏省名中医奚肇庆教授等专家认为中医药对患者症状的改善及恢复时间的缩短具有显著优势。省中医院药学部研发团队与临床专家的经过紧密合作，联合研究开发出“芪参固表汤”和“羌藿祛湿清瘟汤”这两方制剂。经过临床验证，这两方制剂对于新冠肺炎轻型、普通型早期、中期具有较好的疗效，能够有效减少重症的发生率。“肺为华盖，病邪侵犯人体，第一个遭殃的就是肺，因而提高免疫力，首先要益气固卫，把肺的正气提上来，从而达到‘正气存内，邪不可干’。”奚肇庆介绍，“芪参固表颗粒”不仅能预防新冠肺炎，对流行感冒特别是春季流感也可以起到预防作用。据悉，市民朋友可下载“江苏省中医院”APP，通过“云诊疗”与医生进行线上交流，经医生诊疗后，即可在线订购相应中药制剂。（江苏新闻广播记者张祖名）
少吃零食多买护肤品,:黛珂植物欣韵水乳普通型，成分主打保湿抗氧化，植物草本那挂的香味，还比较重，质地偏清爽，但保湿度还不错，先乳后水，都得用化妆棉擦拭，使用感舒适，用起来飞快，含酒精香精，敏感肌注意
湛泸剑,:【截至3月2日12时，贵州省无新增确诊病例】2020年3月2日0—12时，全省新型冠状病毒肺炎无新增确诊病例。截至3月2日12时，全省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例；男性74例，女性72例；年龄最大87岁，最小1个月（确诊时间）；贵阳市36例（治愈28例，死亡1例），遵义市32例（治愈19例），六盘水市10例（治愈8例，死亡1例），安顺市4例(治愈4例），毕节市23例（治愈16例），铜仁市10例（治愈10例），黔东南州10例（治愈10例），黔南州17例（治愈15例），黔西南州4例（治愈4例）。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2475人，尚在接受医学观察27人。（贵州省卫生健康委员会）
贵州综合广播,:疫情通报|3月2日0—12时贵州无新增确诊病例2020年3月2日0—12时，全省新型冠状病毒肺炎无新增确诊病例。截至3月2日12时，全省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例；男性74例，女性72例；年龄最大87岁，最小1个月（确诊时间）；贵阳市36例（治愈28例，死亡1例），遵义市32例（治愈19例），六盘水市10例（治愈8例，死亡1例），安顺市4例(治愈4例），毕节市23例（治愈16例），铜仁市10例（治愈10例），黔东南州10例（治愈10例），黔南州17例（治愈15例），黔西南州4例（治愈4例）。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2475人，尚在接受医学观察27人。（来源：贵州省卫生健康委官方网站）
惠州乐居,:【3月2日广东新冠肺炎疫情最新通报：深圳新增1例详情】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。　　累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。　　截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。
东莞商讯,:#东莞身边事#【东莞0新增3出院！治愈率66%！1例重症好转！】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。东莞昨日无新增确诊病例。出院3例，其中南城2例、东城1例，治愈率达66%。
保山文旅,:#保山旅行[超话]#【截至3月2日9时，保山市累计报告确诊病例9例（治愈出院8例）】截至3月2日9时，全市累计报告确诊病例9例，治愈出院8例，目前在定点医院接受隔离治疗1例（均为普通型），无死亡病例。现有疑似病例0例。截至3月2日9时，累计排查出确诊和疑似病例密切接触者548人，3月1日密切接触者医学观察0人，当天有0名密切接触者解除医学观察。（保山市应对新型冠状病毒感染的肺炎疫情防控工作领导小组指挥部办公室）#保山文化##云南旅游#@微博保山@保山时讯@保山新闻网
上海同城,:【#新冠肺炎救治上海方案#发布：同时满足6条标准才能出院】3月1日，《上海市2019冠状病毒病综合救治专家共识》发布。“共识”将新冠肺炎患者分为，轻型、普通型、重型、危重型四类，给予不同的治疗方案。对于关注出院患者管理问题，“上海方案”提出了6条标准，同时符合才能出院。（新京报）#上海[地点]#http://t.cn/A67awgOF
凤城之声,:【3月1日广东新增确诊1例，为境外输入病例】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例（了解病例详情请点击）。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。详情请看：http://t.cn/A67aYWIq
微博保山,:#抗击疫情保山在行动##抗击新冠肺炎云南在行动#【截至3月2日9时，保山市累计报告确诊病例9例（治愈出院8例）】截至3月2日9时，全市累计报告确诊病例9例，治愈出院8例，目前在定点医院接受隔离治疗1例（均为普通型），无死亡病例。现有疑似病例0例。截至3月2日9时，累计排查出确诊和疑似病例密切接触者548人，3月1日密切接触者医学观察0人，当天有0名密切接触者解除医学观察。保山市应对新型冠状病毒感染的肺炎疫情防控工作领导小组指挥部办公室2020年3月2日http://t.cn/R2WxB3N
保山新闻网,:#抗击疫情保山在行动##全国确诊新型肺炎病例#【截至3月2日9时，保山市累计报告确诊病例9例（治愈出院8例）】截至3月2日9时，全市累计报告确诊病例9例，治愈出院8例，目前在定点医院接受隔离治疗1例（均为普通型），无死亡病例。现有疑似病例0例。截至3月2日9时，累计排查出确诊和疑似病例密切接触者548人，3月1日密切接触者医学观察0人，当天有0名密切接触者解除医学观察。保山市应对新型冠状病毒感染的肺炎疫情防控工作领导小组指挥部办公室2020年3月2日http://t.cn/R2WxB3N
时代风向标栏目组,:#央视时代风向标栏目[超话]#【#新冠肺炎救治上海方案#发布：同时满足6条标准才能出院】3月1日，《上海市2019冠状病毒病综合救治专家共识》发布。“共识”将新冠肺炎患者分为，轻型、普通型、重型、危重型四类，给予不同的治疗方案。对于关注出院患者管理问题，“上海方案”提出了6条标准，同时符合才能出院。http://t.cn/A67awgOF
珠海国家高新区,:【疫情动态】3月1日，广东新增新冠肺炎确诊病例1例，新增出院25例#珠海高新区疫情防控一线#截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。
巡视南通,:#南通身边事#【南通市新型冠状病毒肺炎疫情通报】2020年3月1日0-24时，我市无新增新型冠状病毒肺炎确诊病例。截至3月1日24时，我市累计报告新型冠状病毒肺炎确诊病例40例，其中，普通型病例40例，出院病例37例。确诊病例中，海安市5例（高新区3例、其中出院3例，南莫镇2例、其中出院1例），如皋市7例（长江镇3例、其中出院3例，如城街道3例、其中出院3例，江安镇1例、其中出院1例），如东县3例（栟茶镇3例，其中出院3例），海门市14例（悦来镇2例、其中出院2例，高新区2例、其中出院2例，三厂街道5例、其中出院4例，滨江街道1例、其中出院1例，海门港新区1例、其中出院1例，开发区2例、其中出院2例，三星镇1例、其中出院1例），启东市3例（吕四港镇2例、其中出院2例，王鲍镇1例、其中出院1例），通州区8例（平潮镇3例、其中出院3例，张芝山镇4例、其中出院3例，金新街道1例、其中出院1例）。目前，共追踪密切接触者1318人，已解除医学观察1305人，尚有13人正在接受医学观察。南通市新型冠状病毒感染的肺炎疫情防控指挥部2020年3月2日
红桥发布,:3月1日18时至3月2日6时天津无新增新冠肺炎确诊病例记者从市疾控中心获悉，3月1日18时至3月2日6时，本市无新增新冠肺炎确诊病例。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型5例、普通型16例、治愈出院111例，死亡3例。疑似病例26例。累计排查密切接触者2292人，尚有303人正在接受医学观察。（来源于“津云”公众号）
环球老虎财经,:【#新冠肺炎救治上海方案#发布，同时满足6条标准才能出院】3月1日，《上海市2019冠状病毒病综合救治专家共识》发布。“共识”将新冠肺炎患者分为，轻型、普通型、重型、危重型四类，给予不同的治疗方案。对于关注出院患者管理问题，“上海方案”提出了6条标准，同时符合才能出院。新京报我们视频的秒拍视频
蓝鲸财经记者工作平台,:【鲸视频：#新冠肺炎救治上海方案#发布，同时满足6条标准才能出院】3月1日，《上海市2019冠状病毒病综合救治专家共识》发布。“共识”将新冠肺炎患者分为，轻型、普通型、重型、危重型四类，给予不同的治疗方案。对于关注出院患者管理问题，“上海方案”提出了6条标准，同时符合才能出院。#疫情防控蓝鲸快报#http://t.cn/A67awgOF
佛山本地资讯,:#佛山抗疫在行动#【3月1日广东新增确诊1例，佛山0新增】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。
泸州在线,:#泸州身边事#【泸州市连续11天无新增新冠肺炎确诊病例】截至3月1日24时，泸州市累计报告新型冠状病毒肺炎确诊病例24例，男性13例、女性11例，年龄在5岁至68岁之间，涉及5个县区，其中江阳区7例、龙马潭区8例、泸县6例、叙永县1例、古蔺县2例。在治确诊病例4例，其中轻型1例、普通型3例、重型0例、危重型0例。治愈出院20例，其中江阳区7例、龙马潭区8例、泸县2例、叙永县1例、古蔺县2例。无死亡病例。正在接受医学观察的密切接触者145人，已排除感染风险解除医学观察2049人。http://t.cn/SI1rzr（健康泸州）
广东发布,:【3月1日广东新增确诊1例，新增出院25例】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。
贵阳资讯,:【#新冠肺炎救治上海方案#发布：同时满足6条标准才能出院】3月1日，《上海市2019冠状病毒病综合救治专家共识》发布。“共识”将新冠肺炎患者分为，轻型、普通型、重型、危重型四类，给予不同的治疗方案。对于关注出院患者管理问题，“上海方案”提出了6条标准，同时符合才能出院。#聚焦新冠肺炎疫情#http://t.cn/A67awgOF
佛山市图书馆,:佛山：0，广东：1截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。http://t.cn/ExyOKhS
江海晚报,:2020年3月1日0-24时，我市无新增新型冠状病毒肺炎确诊病例。截至3月1日24时，我市累计报告新型冠状病毒肺炎确诊病例40例，其中，普通型病例40例，出院病例37例。确诊病例中，海安市5例（高新区3例、其中出院3例，南莫镇2例、其中出院1例），如皋市7例（长江镇3例、其中出院3例，如城街道3例、其中出院3例，江安镇1例、其中出院1例），如东县3例（栟茶镇3例，其中出院3例），海门市14例（悦来镇2例、其中出院2例，高新区2例、其中出院2例，三厂街道5例、其中出院4例，滨江街道1例、其中出院1例，海门港新区1例、其中出院1例，开发区2例、其中出院2例，三星镇1例、其中出院1例），启东市3例（吕四港镇2例、其中出院2例，王鲍镇1例、其中出院1例），通州区8例（平潮镇3例、其中出院3例，张芝山镇4例、其中出院3例，金新街道1例、其中出院1例）。目前，共追踪密切接触者1318人，已解除医学观察1305人，尚有13人正在接受医学观察。南通市新型冠状病毒感染的肺炎疫情防控指挥部2020年3月2日http://t.cn/A67XrGr5
攀枝花晚报,:【3月2日广东新增1例，为#深圳首例境外输入病例#，轨迹详情公布】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。深圳新增由英国途经香港输入病例25名密接者离深已请求异地协查3月1日，深圳首例报告境外输入新冠肺炎病例确诊，有密切接触者93人。据介绍，患者孙某，男，35岁，现居住于深圳市福田区福保街道红树福苑，近两年在英国布里斯托工作。2月27日，孙某由英国伦敦飞往香港（航班号CX250），http://t.cn/A67XmvKh，15时30分乘渡轮（船次3A109）从香港至深圳蛇口码头，在码头入境时体温无异常。随后，孙某打车回家。返程期间，孙某全程佩戴口罩。回家后，孙某自述没有外出。2月29日上午10时，孙某因出现发热症状、咳嗽，由妻子驾车送至中山大学附属第八医院（福田）就诊，21时其新冠病毒核酸初筛结果为阳性。3月1日凌晨，深圳市疾控中心复核，结果亦为阳性。目前孙某已被转到深圳市第三人民医院隔离治疗，病情稳定，疾控部门已对其住所等区域进行消杀。经过初步排查，截至3月1日，该病例的密切接触者共有93人，目前已有46人被集中隔离（家庭密接者4人、出租车司机1人、渡轮船员11人、渡轮乘客28人、海关密接者2人），他们均未出现异常情况。另有47名渡轮乘客（含港、台及外籍人士）正在排查中，其中22人在追查和转运至隔离点，对于离深的25人，深圳已发函请求异地协查。据初步了解，患者无湖北旅行史，在英国工作地点有两名同事出现咳嗽发热症状。羊城晚报全媒体记者丰西西宋毅王俊林清清http://t.cn/A67XiDx8
海安网,:2020年3月1日0-24时，我市无新增新型冠状病毒肺炎确诊病例。截至3月1日24时，我市累计报告新型冠状病毒肺炎确诊病例40例，其中，普通型病例40例，出院病例37例。确诊病例中，海安市5例（高新区3例、其中出院3例，南莫镇2例、其中出院1例），如皋市7例（长江镇3例、其中出院3例，如城街道3例、其中出院3例，江安镇1例、其中出院1例），如东县3例（栟茶镇3例，其中出院3例），海门市14例（悦来镇2例、其中出院2例，高新区2例、其中出院2例，三厂街道5例、其中出院4例，滨江街道1例、其中出院1例，海门港新区1例、其中出院1例，开发区2例、其中出院2例，三星镇1例、其中出院1例），启东市3例（吕四港镇2例、其中出院2例，王鲍镇1例、其中出院1例），通州区8例（平潮镇3例、其中出院3例，张芝山镇4例、其中出院3例，金新街道1例、其中出院1例）。目前，共追踪密切接触者1318人，已解除医学观察1305人，尚有13人正在接受医学观察。南通市新型冠状病毒感染的肺炎疫情防控指挥部2020年3月2日http://t.cn/A67XuFKf
画家刘云水,:【3月1日18时至3月2日6时天津无新增新冠肺炎确诊病例】记者从市疾控中心获悉，3月1日18时至3月2日6时，本市无新增新冠肺炎确诊病例。　　截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型5例、普通型16例、治愈出院111例，死亡3例。疑似病例26例。累计排查密切接触者2292人，尚有303人正在接受医学观察。
佛山乡情网,:【截至3月1日24时广东省新冠肺炎疫情情况】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。详情：http://t.cn/A67X2nxK
新浪上海,:【新冠肺炎救治“上海方案”发布，凝聚30位上海专家心血】#向上海表白##荆申抖擞携手战疫#据悉，《上海市2019冠状病毒病综合救治专家共识》已经网上发布，这也就是大家一直期待的“上海方案”。方案中将新冠肺炎患者分为轻型、普通型、重型、危重型四类，对出院患者的管理提出6条标准，其中包括：体温恢复正常大于3天；连续两次呼吸道标本核酸检测阴性；呼吸道标本核酸检测阴性后，粪便病原核酸检测也阴性等。该方案执笔专家是包括张文宏、胡必杰、卢洪洲等在内的18位来自上海各家医疗机构的相关学科专家，咨询专家为12位。http://t.cn/A6768MEp
羊城派,:【荆州·广东互联网医院接诊首位荆州患者，药品免费配送到家】截至3月1日24时，广东全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。http://t.cn/A67X8Q1U
流行东莞,:【东莞0新增3出院！治愈率66%！1例重症好转！】截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。东莞昨日无新增确诊病例。出院3例，其中南城2例、东城1例，治愈率达66%。截至2020年3月1日，东莞在院的确诊病例中，危重型2例，重型1例，普通型24例，轻型5例。累计出院66例，死亡1例。无医务人员感染。7镇（园区）已无在院确诊病例。
看看新闻KNEWS,:【张文宏、胡必杰、卢洪洲等18位专家执笔的“上海方案”公布】据悉，《上海市2019冠状病毒病综合救治专家共识》已经网上发布，这也就是大家一直期待的“上海方案”。方案中将新冠肺炎患者分为轻型、普通型、重型、危重型四类，对出院患者的管理提出6条标准，其中包括：体温恢复正常大于3天；连续两次呼吸道标本核酸检测阴性；呼吸道标本核酸检测阴性后，粪便病原核酸检测也阴性等。该方案执笔专家是包括张文宏、胡必杰、卢洪洲等在内的18位来自上海各家医疗机构的相关学科专家，咨询专家为12位。http://t.cn/A67XQ7pi
人民数字-江苏,:【
头条海安,:#海安事儿[超话]#【南通市新型冠状病毒肺炎疫情通报（3月2日）】2020年3月1日0-24时，我市无新增新型冠状病毒肺炎确诊病例。截至3月1日24时，我市累计报告新型冠状病毒肺炎确诊病例40例，其中，普通型病例40例，出院病例37例。确诊病例中，海安市5例（高新区3例、其中出院3例，南莫镇2例、其中出院1例），如皋市7例（长江镇3例、其中出院3例，如城街道3例、其中出院3例，江安镇1例、其中出院1例），如东县3例（栟茶镇3例，其中出院3例），海门市14例（悦来镇2例、其中出院2例，高新区2例、其中出院2例，三厂街道5例、其中出院4例，滨江街道1例、其中出院1例，海门港新区1例、其中出院1例，开发区2例、其中出院2例，三星镇1例、其中出院1例），启东市3例（吕四港镇2例、其中出院2例，王鲍镇1例、其中出院1例），通州区8例（平潮镇3例、其中出院3例，张芝山镇4例、其中出院3例，金新街道1例、其中出院1例）。目前，共追踪密切接触者1318人，已解除医学观察1305人，尚有13人正在接受医学观察。南通市新型冠状病毒感染的肺炎疫情防控指挥部2020年3月2日
十步读财,:【#3.6万治愈患者出院#，#全国出院占累计确诊的45.9%#】国家卫生健康委医政医管局监察专员郭燕红：我们分析了8400多份出院病历，轻型和普通型占90.8%，重型7.2%，危重症2%。轻型病例平均年龄43岁，重症和危重症平均年龄53岁。85%接受了抗病毒治疗，接近40%的病人接受了中西医结合治疗。http://t.cn/A67Gxopc
天津广播,:【天津连续84个小时0新增】从市疾控中心获悉，3月1日18时至3月2日6时，本市无新增新冠肺炎确诊病例。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、重型5例、普通型16例、治愈出院111例，死亡3例。疑似病例26例。累计排查密切接触者2292人，尚有303人正在接受医学观察。从2月27日18时至3月2日6时，天津连续84小时无新增新冠肺炎确诊病例。
南方农村报,:【最新】新增确诊1例！新增出院25例，累计出院1034例！截至3月1日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1034例，累计死亡7例。3月1日当天全省新增确诊病例1例，为深圳报告1例境外输入病例。新增出院25例，3例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有874名密切接触者正在接受医学观察。累计报告确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月1日24时，在院的309例确诊病例中，轻型30例，普通型242例，重型18例，危重型19例。
