天厨星-林功宇,:《伊朗新增586例新冠肺炎确诊病例累计2922例》伊朗新增586例新冠肺炎确诊病例累计2922例http://t.cn/A67l8YH4
凡眼看世界心语洒乾坤,:转发：全国28省(自治区、直辖市)昨日新增确诊病例为02020年03月04日10:59环球网　　原标题：全国28省（自治区、直辖市）昨日新增确诊病例为0　　据国家卫健委数据统计，3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，湖北新增确诊病例115例（武汉114例），全国除湖北外新增确诊病例4例，其中包括宁夏新增1例、北京新增3例。　　3月4日，宁夏应对新型冠状病毒肺炎疫情工作指挥部发布最新全区新冠肺炎疫情通报。2020年3月3日0-24时，全区新增1例新冠肺炎确诊病例（永宁县1例，疑似转确诊）。　　据北京市卫健委，3月3日0时至24时，北京市新增3例新冠肺炎确诊病例，其中2例为境外输入病例（1例为伊朗输入病例，1例为意大利输入病例），1例为我市本地病例，均已送至定点医疗机构进行救治。责任编辑：张义凌
字节匠人,:卫健委：武汉治愈率达50.2%，全国治愈率连续19日上升：国家卫生健康委新闻发言人、宣传司副司长米锋表示，截至3月3日，从确诊病例治愈率看，武汉治愈率为50.2%，湖北除武汉外治愈率为76.8%，其他省份87.3%，治愈率均连续19日上升。（证券时报）#互联网快讯##互联网资讯##互联网[超话]#
扎西德勒·天珠收藏,:#鬼鬼祟祟的美国#
枣庄聚焦,:疫情通报|3月3日12时至24时，枣庄市无新增确诊病例、疑似病例2020年3月3日12时-24时，枣庄市无新增新型冠状病毒肺炎确诊病例、疑似病例。截至3月3日24时，枣庄市累计报告新型冠状病毒肺炎确诊病例24例，其中已治愈出院23例，正在定点医院隔离治疗1例（薛城区）。目前追踪到密切接触者925人，已解除医学观察921人，尚有4人接受医学观察。枣庄市卫生健康委员会2020年3月4日
长沙同城,:【全省122个县市区中有114个连续14天以上无新增确诊病例】截至3月4日12时，全省累计报告确诊病例1018例，出院病例927例，在院治疗87例，累计治愈出院率达91.1%，累计报告重症病例147例，现有重症病例15例，死亡病例4例。近10天有8天为确诊病例零报告，接受医学观察者人数降至329人。全省122个县市区中有114个连续14天以上无新增确诊病例，有4个市州实现确诊患者治愈清零。（红网）
山西都市新闻,:#关注山西新型肺炎疫情#【好消息！山西11市连续8天0新增！现有疑似病例0例
宝坻发布,:【津云丨3月3日18时至3月4日6时天津无新增新冠肺炎确诊病例】#宝坻播报#记者从市疾控中心获悉，3月3日18时至3月4日6时，本市无新增新冠肺炎确诊病例。截至目前，我市累计报告新冠肺炎确诊病例136例，其中男性73例，女性63例；危重型1例、普通型8例、治愈出院124例，死亡3例。疑似病例35例。累计排查密切接触者2351人，尚有283人正在接受医学观察。
背着书包闯天下的我们,【5国首现确诊病例！#中国境外确诊病例超过1万#】#关注全球疫情地图#截至北京时间3月3日16时，各国公布的新冠肺炎疫情数据显示，中国境外新冠肺炎确诊病例已经超过1万例。据报道，目前，意大利新冠肺炎累计确诊病例已增至2084例；韩国增至5186例，日本增至985例，伊朗增至1501例。美国、德国、西班牙等确诊病例均过百。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#。#伊朗23名议员确诊新冠肺炎#，总统下令国家进入备战状态。http://t.cn/A67pLnMa
STINxx,#张文宏预测新冠病毒最终发展#待凛冬离去，雪融草青，武汉樱花定会更灿
神奈川_宫城良田,北京市新增3例新冠肺炎确诊病例其中2例为境外输入病例3月3日0时至24时，北京市新增3例新冠肺炎确诊病例，其中2例为境外输入病例（1例为伊朗输入病例，1例为意大利输入病例），1例为我市本地病例，均已送至定点医疗机构进行救治。报告新增疑似病例11例、密切接触者61人。治愈出院患者6例，分别从市区两级定点医院出院。其中有3名男性，3名女性，年龄最小的18岁，最大的60岁。截至3月3日24时，累计确诊病例417例，治愈出院病例294例，死亡病例8例。现有疑似病例38例。累计确定密切接触者2796人，其中309人尚在隔离医学观察中。确诊病例中东城区13例、西城区53例、朝阳区71例、海淀区63例、丰台区43例、石景山区14例、门头沟区3例、房山区16例、通州区19例、顺义区10例、昌平区29例、大兴区39例、怀柔区7例、密云区7例、延庆区1例，平谷区尚未有病例，外地来京人员25例，境外输入人员4例。全市有11个区已连续14天以上无新增确诊病例，具体为平谷区自有疫情以来无报告病例，延庆区40天，门头沟区30天，怀柔区26天，顺义区24天，东城区21天，密云区21天，石景山区19天，大兴区19天，房山区16天，昌平区15天。417例确诊病例中，男性病例202例，占48.4%，女性病例215例，占51.6%；年龄范围为6个月～94岁，其中5岁以下14例，占3.4%，6岁至17岁13例，占3.1%，18岁至59岁279例，占66.9%，60岁及以上111例，占26.6%。
新浪军事,:【美副总统彭斯：美国人不用买口罩，我们有4300万只库存】美国新冠肺炎确诊病例累计已达122例，病死9例。作为“战役总指挥”，副总统彭斯于当地时间3月3日召开新闻发布会，在不允许记者录音录像的情况下，介绍最新防控举措。彭斯在记者会上明确指出，一切与新冠肺炎检测相关的费用，将由医保承担。彭斯强调，美国民众无需购买口罩，因为美国有4300万只口罩的库存。(观察者网)#美国主持人##瑞士女议员戴口罩参会被逐#
SDP山栀花,:这几天有些省增加了输入性病例。当下新冠肺炎疫情已蔓延到70多个国家，中国之外的确诊病例数已突破1万。韩国、意大利、伊朗等国形势尤其严峻。据我们的防控经验，加强隔离是可行的办法。隔离不分内外，也不会区别对待，更不会有例外，只有一视同仁和严格执行。SDP山栀花的微博视频
stinnnna0522,:#湖北新增确诊病例115例#形式好转，稳住！一定能赢
中新浙里,:【#浙江多名华侨从意大利回国#：工作人员登机测温异常者周围乘客需留观】3月3日晚，由北京飞往杭州的CZ6163次航班降落在萧山国际机场，其中有6人为意大利华侨。杭州市疾控中心的人员对机上147名乘客进行体温测量。据浙江省卫健委通报，3月1日、2日，共有8例新增境外输入型确诊病例，均为意大利贝加莫省一家餐厅工作的华侨。http://t.cn/A67p90J4
花苞米真好吃,#张文宏预测新冠病毒最终发展#预测始终是预测，但希望疫情快点过去，希望所有人都能平安健康的挺过去，希望预测是对的，所有的医护人员都承受着巨大的压力，我们能做的就是少出门，戴口罩，相信希望，相信不久的将来武汉樱花开。#中国境外确诊病例超过1万#构建人类命运共同体！我们一起抗击疫情
承运债务重组茶茶,:#湖北新增确诊病例115例##韩国新冠肺炎增至1146例#疫情会导致多少人信用卡逾期？1月份账单4w还了1千，2月份账单4.1w知道为啥不？为啥越还越多，总是还不完～～还了1千，冲抵1月份的违约金＋利息共1134元，还没冲抵够。所以2月份按照4w再次产生违约金＋利息1268元。随着最低还款额的升高，产生的违约金和利息也会更多。
Levana坤,:#张文宏预测新冠病毒最终发展#那就期待各省继续努力[加油]一起打赢这场防疫战
吉视公共新闻频道,:【#中国境外累计确诊超1.2万例#】目前，新冠肺炎疫情仍在多国持续蔓延。截至北京时间4日10：00，中国境外累计确诊病例已超1.2万例。中国境外新增新冠肺炎患者80%来自于韩国、伊朗和意大利三个国家，3个国家确诊病例已合计过万。一图了解新冠肺炎世界疫情形势↓关注！
中山三院生殖中心,【3日广州新增确诊病例0例，新增治愈出院12例】广州市卫健委通报，2020年3月3日0时至24时，广州市报告新冠肺炎新增确诊病例0例。新增治愈出院12例。截至3月3日24时，广州市累计报告新冠肺炎确诊病例346例，其中白云区74例、海珠区66例、天河区45例、番禺区40例、越秀区35例、荔湾区21例、花都区21例、黄埔区18例、增城区17例、南沙区8例、从化区1例。男性167例、女性179例。年龄介于3个月至90岁之间。现有疑似病例0例。累计核实追踪密切接触者4651人，尚在医学观察319人。346例确诊病例中，已治愈出院283例，死亡1例。现有62例在定点医院隔离治疗，其中危重型9例、重型6例、普通型45例、轻型2例；35例在市八医院（含危重型1例）、17例在广医附一医院（含危重型8例、重型6例）、7例在市妇儿中心、3例在省二医院接受治疗。（广州日报全媒体记者伍仞罗知锋通讯员穗卫健宣）http://t.cn/A670FdZUhttp://t.cn/A67OPWNZ
铜仁日报,:【第七版诊疗方案官方解读来了！】注意这些变化：①传播途径上#应注意粪尿造成气溶胶或接触传播#；②患者以肺脏和免疫系统受损为主；③#确诊病例标准增加血清学检测#作为依据；④按照成人和儿童分别增加重型、危重型临床预警指标；⑤增加疑似病例排除标准...详戳↓（人民日报）
天眼新闻,:【第七版诊疗方案官方解读来了！】注意这些变化：①传播途径上#应注意粪尿造成气溶胶或接触传播#；②患者以肺脏和免疫系统受损为主；③#确诊病例标准增加血清学检测#作为依据；④按照成人和儿童分别增加重型、危重型临床预警指标；⑤增加疑似病例排除标准...详戳↓#第七版新冠肺炎诊疗方案#
期待未来0130,#张文宏预测新冠病毒最终发展#预测始终是预测，但希望疫情快点过去，希望所有人都能平安健康的挺过去，希望预测是对的，所有的医护人员都承受着巨大的压力，我们能做的就是少出门，戴口罩，相信希望，相信不久的将来武汉樱花开。#中国境外确诊病例超过1万#构建人类命运共同体！我们一起抗击疫情
CGTN,:【#湖北新增确诊病例115例#，将继续采取严格防控措施】Chinasaysthesituationattheepicenteroftheoutbreakiseasingoff.OfficialsinHubeiProvincesaythenumbersofconfirmedandsuspectedcaseshave，atleastforthemoment，droppeddramatically.IntheprovincialcapitalWuhan，whichhasbornethebruntoftheoutbreak，thenumberofnewconfirmedcaseshasdroppedbelow200aday.Butauthoritiessaystrictpreventionmeasureswillstayinplacefornow.http://t.cn/A67ODiCp
亿家旺城,:发布了头条文章：《浙江新增新冠肺炎确诊病例14例救治实现一人一方案》浙江新增新冠肺炎确诊病例14例救治实现一人一方案
浦东发布,:【#新冠肺炎诊疗方案第七版#来了！注意这些变化】据人民日报：①传播途径上#应注意粪尿造成气溶胶或接触传播#；②患者以肺脏和免疫系统受损为主；③#确诊病例标准增加血清学检测#作为依据；④按照成人和儿童分别增加重型、危重型临床预警指标；⑤增加疑似病例排除标准...详戳↓
火星跑步者,:#北京爆料#北京市新增3例新冠肺炎确诊病例其中2例为境外输入病例3月3日0时至24时，北京市新增3例新冠肺炎确诊病例，其中2例为境外输入病例（1例为伊朗输入病例，1例为意大利输入病例），1例为我市本地病例，均已送至定点医疗机构进行救治。报告新增疑似病例11例、密切接触者61人。治愈出院患者6例，分别从市区两级定点医院出院。其中有3名男性，3名女性，年龄最小的18岁，最大的60岁。截至3月3日24时，累计确诊病例417例，治愈出院病例294例，死亡病例8例。现有疑似病例38例。累计确定密切接触者2796人，其中309人尚在隔离医学观察中。确诊病例中东城区13例、西城区53例、朝阳区71例、海淀区63例、丰台区43例、石景山区14例、门头沟区3例、房山区16例、通州区19例、顺义区10例、昌平区29例、大兴区39例、怀柔区7例、密云区7例、延庆区1例，平谷区尚未有病例，外地来京人员25例，境外输入人员4例。
西安小升初,:海外网3月4日电据《今日印度》4日消息，15名在印度的意大利游客新冠肺炎检测结果呈阳性。目前印度的新冠肺炎确诊病例上升至21例。（海外网王珊宁）
北京吃喝游乐玩,:#北京爆料#【北京新增3例确诊病例
中新浙里,:【第七版诊疗方案官方解读来了！】注意这些变化：①传播途径上#应注意粪尿造成气溶胶或接触传播#；②患者以肺脏和免疫系统受损为主；③#确诊病例标准增加血清学检测#作为依据；④按照成人和儿童分别增加重型、危重型临床预警指标；⑤增加疑似病例排除标准...（via人民日报）详戳↓
小可·skkkky,#德国载有1200名乘客游轮检测结果出炉#看到结果呈阴性稍微放心了一点点🤏🏻#中国境外确诊病例超过1万#对境外输入的防控措施应该比现在更严格！境外真的还没有意识到事情的严重性！我们国家面对疫情是真的做的很棒了
经典1049,:【这个反超，来自武汉！】截至3日24时，武汉累计治愈出院24890例，现有确诊病例22368例，#武汉累计出院数首超现有确诊数#。武汉加油！
郭灯校,:媒体称韩国新冠肺炎确诊病例多，疫情蔓延速度快，与出现超级传染者也有关。
王云竟才,:邀请码【16881660】，截止到3月1日，浙江已经连续多日无新增确诊病例！浙江省疫情防...应用宝官网
娱综大玩家,:#湖北新增确诊病例115例#俺们这都一个星期没有增加的了，只减不加，反而还更严，要命啊
1039温州交通广播,:#1039疫情防控权威发布#【警惕！70多个国家！确诊人数超10000例！(附各国疫情统计)】当地时间3月3日16时，韩国新冠肺炎确诊病例累计达到5186例。到今天，除中国外，全球70多个国家出现新冠肺炎确诊病例累计确诊人数超过10000例。详见警惕！70多个国家！确诊人数超10000例！(附各国疫情统计)
·救赎熱望·,:#张文宏预测新冠病毒最终发展#预测始终是预测，但希望疫情快点过去，希望所有人都能平安健康的挺过去，希望预测是对的，所有的医护人员都承受着巨大的压力，我们能做的就是少出门，戴口罩，相信希望，相信不久的将来武汉樱花开。#中国境外确诊病例超过1万#构建人类命运共同体！我们一起抗击疫情
DELIGHTMILY,#张文宏预测新冠病毒最终发展#那就期待各省继续努力[加油]一起打赢这场防疫战
安顺中公教育,【5国首现确诊病例！#中国境外确诊病例超过1万#】#关注全球疫情地图#截至北京时间3月3日16时，各国公布的新冠肺炎疫情数据显示，中国境外新冠肺炎确诊病例已经超过1万例。据报道，目前，意大利新冠肺炎累计确诊病例已增至2084例；韩国增至5186例，日本增至985例，伊朗增至1501例。美国、德国、西班牙等确诊病例均过百。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#。#伊朗23名议员确诊新冠肺炎#，总统下令国家进入备战状态。http://t.cn/A67pLnMa
_水星林铨,#德国载有1200名乘客游轮检测结果出炉#千万不要再成为第二艘钻石公主号邮轮了！要注意个人公共卫生安全！#中国境外确诊病例超过1万#要谨慎防范，外放输入，内防输出希望一切都会好起来！
视频大队长,:这酸气，都快溢出屏幕了。。。#张文宏预测新冠病毒最终发展##湖北新增确诊病例115例#
期待未来0130,#浙江多名华侨从意大利回国#注意安全，也请自行隔离一段时间吧#张文宏预测新冠病毒最终发展#那就期待各省继续努力一起打赢这场防疫
芽野桔,:#张文宏预测新冠病毒最终发展#预测始终是预测，但希望疫情快点过去，希望所有人都能平安健康的挺过去，希望预测是对的，所有的医护人员都承受着巨大的压力，我们能做的就是少出门，戴口罩，相信希望，相信不久的将来武汉樱花开。#中国境外确诊病例超过1万#构建人类命运共同体！我们一起抗击疫情
东南卫视,:【这个反超，来自武汉！】截至3日24时，武汉累计治愈出院24890例，现有确诊病例22368例，#武汉累计出院数首超现有确诊数#。武汉加油！
小可·skkkky,#德国载有1200名乘客游轮检测结果出炉#不能放松警惕，一定要提高关注度。#中国境外确诊病例超过1万#现在病例还在增加，只要疫情没有结束就不能掉以轻心[加油][加油]
律途漫言,:#韩国累计确诊5328例新冠肺炎#】从3日零时-4日零时，韩国共报告新增新冠肺炎确诊病例516例。其实韩国政府是相当的，奈何邪教害人！面对疫情，中国表现绝对无可超越，在没有预案和准备的情况下，迅速的做出反应，四万多名医护人员奔赴前线，六天建成一座医院，14亿人民自觉隔离，这就是中国速度，这就是中国精神！http://t.cn/RJ2BoPz
多肉葡萄汀-,#张文宏预测新冠病毒最终发展#待凛冬离去，雪融草青，武汉樱花定会更灿
主播金三秒,:#中国加油#为什么有些外国人会对中国有不好的印象？#中国境外确诊病例超过1万##朋友请听好#主播金三秒的微博视频
兰州交大电信学院青年志愿者协会,:#9组数据回顾2月战疫#①湖北以外30个省区市和新疆生产建设兵团新增确诊降至个位；②2月29日，#28省区市新增病例为0#；③31省份和新疆生产建设兵团连续18天治愈出院超千人；④2月28日，累计治愈首超现有确诊病例数；⑤截至2月29日，全国派出4.2万名医务人员驰援湖北…更多↓3月继续加油！图文转自人民日报http://t.cn/R2WxeN3
青田县广播电视台,:【3月4日丽水市新型冠状病毒肺炎疫情通报】2020年3月3日0-24时，丽水市无新增新型冠状病毒肺炎确诊病例。截至2020年3月3日24时，丽水市累计报告新型冠状病毒肺炎确诊病例25例（其中境外输入病例8例），累计出院17例。其中：确诊病例中，青田县14例（其中境外输入病例8例）、庆元县7例、缙云县1例、景宁县1例、松阳县1例、莲都区1例；出院病例中，青田县6例、庆元县7例、缙云县1例、景宁县1例、松阳县1例、莲都区1例。截至2020年3月3日24时，累计排摸境外输入确诊病例的密切接触者153人，都在医学观察中。
随心而活也随性而为,【5国首现确诊病例！#中国境外确诊病例超过1万#】#关注全球疫情地图#截至北京时间3月3日16时，各国公布的新冠肺炎疫情数据显示，中国境外新冠肺炎确诊病例已经超过1万例。据报道，目前，意大利新冠肺炎累计确诊病例已增至2084例；韩国增至5186例，日本增至985例，伊朗增至1501例。美国、德国、西班牙等确诊病例均过百。文在寅表示，现在#韩国全国进入了同传染病的战争阶段#。#伊朗23名议员确诊新冠肺炎#，总统下令国家进入备战状态。http://t.cn/A67pLnMa
猫少女颜究所,:#张文宏预测新冠病毒最终发展#张文宏医生说得很好也很务实，目前没有特效药出来，需要全国一盘棋共同努力。不能有了疫情才想起防控，疫情防控是个长期性的工程，国家其实可以组一到两个团队专门研究冠状病毒。从目前的情况看疫情发展已进入新阶段，境外确诊病例的爆发速度相当快，韩国突破5000例，意大利伊朗都超过2000多例。而国内大多数地区疫情趋于平稳，武汉还在继续封城，湖北各地防控措施依然严格，但北京浙江宁夏深圳等地都已出现境外输入病例。个人觉得疫情防控应该进入内防境内扩散，外防境外输入的阶段，要避免境外输入病例爆发。要强化国际合作，互相交流，共同分享经验，全球要形成联防联控机制，及早发现感染者及时进行治疗，避免各国出现疫情大爆发的情况。
茅石惊雷,:猜猜这是在哪个国家？#外国人永久居留管理条例##外国留学生上网课的烦恼##中国境外确诊病例超过1万#
阿桨不能慢,#张文宏预测新冠病毒最终发展#预测始终是预测，但希望疫情快点过去，希望所有人都能平安健康的挺过去，希望预测是对的，所有的医护人员都承受着巨大的压力，我们能做的就是少出门，戴口罩，相信希望，相信不久的将来武汉樱花开
泡芙小圆子·,:#中国境外确诊病例超过1万#不要小看病毒啊，有确诊就必须重视起来，不然就会越来越多，后果不堪设想啊。。。#德国载有1200名乘客游轮检测结果出炉#德国一定要加强防控啊，不要再扩大了🙏
热川汀札_,:#中国境外确诊病例超过1万#不要再增加了，希望能慢慢有所好转，在疫情期间不要到处走，让自己感染或者感染别人🙏🙏#浙江多名华侨从意大利回国#现在还是疫情严重期间，各大部门都应该严格防范，不能够松懈！！
怀念已泛黄,大概是因为我发了微博和视频，传达公众对《外国人永久居留管理条例》征求意见稿意见挺大的，有关部门向我发出邀请，想听我的更多意见。对方说这只是征求意见稿，后面还有修改的空间。听上去，我感觉有关部门还是挺有诚意的。我想把这个信息转达给公众，供大家参考。同时，大家对条例有什么具体的修改建议，希望在我的这条微博下留言，我会把大家的建议都带过去。
赵老哥游资,:目前，新冠肺炎疫情仍在多国持续蔓延。截至北京时间4日，中国境外累计确诊病例已超1.2万例。中国境外新增新冠肺炎患者80%来自于韩国、伊朗和意大利三个国家，3个国家确诊病例已合计过万。
岳阳市政府门户网站,:【岳阳无新增确诊病例，130名患者已痊愈出院！】岳阳无新增确诊病例，130名患者已痊愈出院！
微博禁毒第一人马霄,:【广西来宾公安原创MV《美丽的你》】#中国境外累计确诊新冠肺炎8774例#“你太累了，你太美了，是你让我更加明白生命的真谛……”广大警务人员不管天气有多冷、风雨有多大，始终坚守岗位，没有一个人退缩。为展示公安机关和广大警务人员在抗击疫情阻击战中的良好风采，来宾市公安局、金秀县公安局联合创作了抗击疫情歌曲《《美丽的你》》，并选用全市公安民警、辅警和警嫂（医务人员）在抗疫一线的实景制作成MV。#湖北新增确诊病例115例#http://t.cn/A67X1OJU
外太空520,:病毒已变异？巴西确诊病例：与中国发现的病毒有所不同#肺炎##新加坡留学生在伦敦街头被暴打#外太空520的微博视频
-汀味奶茜-,#湖北新增确诊病例115例#武汉算是最严重的地区，病例已经逐渐减少了只要大家不要掉以轻心，很快就能成功的
川西监狱,:【15名意大利游客新冠病毒检测呈阳性，印度确诊增至21例】#15名意大利游客在印度确诊#据《今日印度》4日消息，15名在印度的意大利游客新冠肺炎检测结果呈阳性。目前印度的新冠肺炎确诊病例上升至21例。海外网15名意大利游客新冠病毒检测呈阳性，印度确诊增至21例
健身-易向南,【背40斤消毒水！#90后护士小姐姐给89间房消毒#肩扛的动作让人心疼】在武汉#抗击疫情#一线的某医院，每天晚上9点钟，这两位护士小姐姐背上40斤消毒水，对这栋12层楼的89个房间开展消毒工作。她们互相帮助把消毒水箱扶到肩膀，即便有些吃力，但工作起来依然一丝不苟：“17年前全世界保护90后，今天我们保护你们。”#致敬疫情前线医护人员#@北京时间直播http://t.cn/A67oZb7O
香港商报湖南办事处,:【#美国新冠肺炎病例增至125例#死亡病例9例】据美国有线新闻网(CNN)报道，官方消息称，美国已有125人感染新冠肺炎，死亡病例为9人。根据美国疾病控制和预防中心(CDC)的数据，其中48例是从日本“钻石公主”号和中国武汉的撤侨人员，其他77例分布在13个州。125个病例中包括确诊病例和在公共卫生实验室检测呈阳性的假定阳性病例，这些病例正在等待美国疾病控制与预防中心的确认。（中新网）
