永州同城,:#永州身边事#【大爱
看看新闻KNEWS,:【女子带娃乘电梯未戴口罩与新冠患者待1分钟就被感染】韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。当时她带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。但相关人士指出，从视频中很难看出牧师有无咳嗽，被感染女子并不知道该牧师的身份。#韩国女子坐电梯1分钟就被感染#http://t.cn/A67S2Yh3
魏氏思语,:韩国日前一名41岁女子因与感染者共同搭乘电梯，仅1分钟就被确诊感染新型冠状病毒。当时这名41岁的妇女带着两个孩子与一名教会牧师共同搭乘电梯，当时这名妇女并没有佩戴口罩，不过两个孩子都戴了口罩。结果妇女被确诊感染，两个孩子的检测结果呈阴性。她所工作的城东区区政府随即关闭，同楼层的职员也须自行隔离。确诊感染的52岁牧师在2月25日被确诊，有关部门通过调查他的行经路线和公寓的公共视频确认他接触过这名女子...http://t.cn/A67S6klu
小黑夜之睛,:【#合肥企业复工现无症状感染者#：隔离177人，企业已停产整顿】合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例新型冠状病毒无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产一手video的秒拍视频
福州新闻广播,:【#印尼首次出现确诊病例#2例确诊者曾与确诊日籍游客接触】印度尼西亚总统佐科2日表示，该国确诊2例新型冠状病毒感染者，系该国首次有本地人确诊。据悉，确诊的两名印尼患者曾与一名2月确诊的日籍游客有过接触。（南方都市报）
善水集,:【基因测序表明病毒或已在美国传播6周，专家估计数百人感染】研究人员在对比了美国华盛顿州两个感染者携带的新型冠状病毒后认为，两组病毒基因的相似性表明这种病毒可能已经在该州传播了数周。英国爱丁堡大学分子进化教授安德鲁·拉姆鲍特表示，“两组病毒单独进入美国并到达同一地理区域且基因相关是极其不可能的，除非它们有联系。”（澎湃）----美国药丸了！http://t.cn/Re3KCDO
朱海峤医生,:#我的健康十八式##健康中国2030#【如何鉴别孩子是普通感冒、新型冠状病毒感染还是流感病毒感染？】与普通感冒或者流感病毒感染比较，新型冠状病毒肺炎感染患儿若临床表现较轻，单纯从症状上并不好区别。需要仔细排查患儿有无疫区接触史或新型冠状病毒感染者的接触史，以下几点可供参考：（1）普通感冒对儿童一般精神状态、饮食等影响不大，体温多在3天左右降到正常，使用退烧药效果较好。不会出现呼吸困难，咳嗽往往不严重。（2）流感多与季节有关，冬季是高发季节，往往有流感患者的接触史。如果儿童得了流感，会有非常明显的高热（小于1岁的婴儿发热可能不典型），且发热时间相对比较长，一般为3～5天，1周左右可恢复。流感最典型的症状是伴有肌肉疼痛、乏力、头痛等症状。大部分患儿在发病48小时内遵医嘱使用奥司他韦等抗流感药物治疗后有效。（3）新型冠状病毒感染的重症患儿可能会出现精神差、乏力、食欲明显减退等，可能出现反复高热，咳嗽可能比较明显。与流感病毒感染最不易区别。这时，如可能孩子有可能接触新型冠状病毒感染者接触史或有疫区居住/旅行史，这对于诊断就非常重要了。#楚天有爱抗疫无界#
天津政法,:【病例数破0！#印尼首次出现确诊病例#，曾与确诊日籍游客接触】印度尼西亚总统佐科2日表示，该国确诊2例新型冠状病毒感染者，系该国首次有本地人确诊。据悉，确诊的两名印尼患者曾与一名2月确诊的日籍游客有过接触。时差视频的微博视频
华广网--中国华艺广播公司,:【#印尼首次出现确诊病例#2例确诊者曾与确诊日籍游客接触】印度尼西亚总统佐科2日表示，该国确诊2例新型冠状病毒感染者，系该国首次有本地人确诊。据悉，确诊的两名印尼患者曾与一名2月确诊的日籍游客有过接触。@时差视频时差视频的微博视频
正义南康,:【#印尼首次出现确诊病例#2例确诊者曾与确诊日籍游客接触】印度尼西亚总统佐科2日表示，该国确诊2例新型冠状病毒感染者，系该国首次有本地人确诊。据悉，确诊的两名印尼患者曾与一名2月确诊的日籍游客有过接触。时差视频时差视频的微博视频
青忠贵,:新冠肺炎疫情下，企业开复工还是有不小风险的。像合肥这家企业复工现无症状感染者，隔离177人，企业已停产整顿。合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例新型冠状病毒无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产整顿。
张红超z,:【#韩国#“新天地”会长李万熙记者会上跪地道歉】据韩联社报道，当地时间2日下午，韩国“新天地”教会会长李万熙召开新冠肺炎疫情记者会。这是“新天地”引爆韩国#新型冠状病毒#疫情以来，李万熙首次公开发声。报道称，在记者会上，89岁的李万熙行大礼道歉。他说，尽管并非本意，但出现这么多感染者，自己毫无颜面，向国民真心道歉。昨天（1日），韩国首尔市长以过失杀人罪等罪名，向检方起诉李万熙为首的“新天地”负责人。http://t.cn/RfwgnUX
摩羯座宋先生丨,:#全国多地无新增确诊病例#根据《新型冠状病毒肺炎防控》（第五版）解读，全国多地无新增确诊。不一定是真的就过渡到安全期了。因为有一种特殊病例，无症状感染者，这类统计时候是不计入疑似和确诊病例的。又鉴于近期无症状明显增多，所以近期这些数字的背后仍然要引人高度重视。
-老陈_说股,:【基因测序表明病毒或已在美国传播6周专家估计数百人感染】研究人员在对比了美国华盛顿州两个感染者携带的新型冠状病毒后认为，两组病毒基因的相似性表明这种病毒可能已经在该州传播了数周。英国爱丁堡大学分子进化教授安德鲁·拉姆鲍特表示，“两组病毒单独进入美国并到达同一地理区域且基因相关是极...
无锡都市生活广播,:【#合肥一企业出现无症状感染者#：隔离177人，企业已停产整顿】合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例#新型冠状病毒#无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产整顿。
948交通广播,:【#印尼确诊2例新冠肺炎#】#武汉新型冠状病毒肺炎疫情防控#据印度尼西亚《罗盘报》报道，印尼总统佐科2日宣布，印尼本土确诊2名新冠病毒感染者。据悉，此次确诊的两人与此前从日本来印尼旅游后回国确诊的患者曾有过接触。佐科说：“事实证明，印尼本土确诊的两名患者与之前那名日本游客有关，她们分别是一位64岁的母亲和31岁的女儿。”佐科并未透露印尼这两名患者所处的确切位置，但确认其已经入院。
历史沉河,:【病例数破0！#印尼首次出现确诊病例#，曾与确诊日籍游客接触】印度尼西亚总统佐科2日表示，该国确诊2例新型冠状病毒感染者，系该国首次有本地人确诊。据悉，确诊的两名印尼患者曾与一名2月确诊的日籍游客有过接触。时差视频的微博视频
相山区政法委,:【#合肥一企业出现无症状感染者#：隔离177人，企业已停产整顿】合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例#新型冠状病毒#无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产整顿。（梨视频）http://t.cn/A67XeCIlhttp://t.cn/R2WxW4y
新浪财经,:【#国风塑业一员工为无症状感染者#：隔离177人，企业已停产整顿】合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例新型冠状病毒无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产整顿。#合肥企业复工现无症状感染者#详情>>http://t.cn/A67aOVxchttp://t.cn/A67XeCIl
ipo观察,:【#合肥一企业出现无症状感染者#：隔离177人，企业已停产整顿】合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例#新型冠状病毒#无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产整顿。（梨视频）http://t.cn/A67XeCIl
新京报,:【#合肥一企业出现无症状感染者#：隔离177人，企业已停产整顿】合肥市卫健委通报，安徽国风塑业股份有限公司一分厂发现一例#新型冠状病毒#无症状感染者。截至3月2日8时，当地已排查密切接触者177人，核酸检测均为阴性。企业对269名员工开展快速筛查，结果正常，目前该企业已停产整顿。（梨视频）http://t.cn/A67XeCIl
宁国传媒网,:【3月2日宁国市新型冠状病毒肺炎疫情防控情况通报】　　截至3月1日24时，我市共报告确诊病例2例（治愈1例），无新增疑似病例、感染者报告；发热门诊就诊累计2477人（新增21人），留观36人（无新增），35人已出院（无新增）。确诊病例（李某某）在宣城市人民医院隔离治疗，目前病情平稳。该确诊病例密切接触者累计32人，已全部解除隔离医学观察。　　截至3月1日24时，累计摸排湖北来（返）宁1238人（无新增），并对随访对象全部开展随访；解除居家隔离医学观察1222人（无新增）。　　温馨提醒：　　当前疫情防控形势依然严峻复杂，广大市民应继续保持警惕，做好自我防护：要勤洗手、多通风，注重个人和家庭卫生；外出时要正确佩戴口罩；不聚餐、不聚会、不聚集；出现发热、咳嗽等症状，应及时到医疗机构发热门诊就医；复工的市民实行“两点一线”上下班模式，食堂错峰就餐，办公场所要勤通风；家庭成员及与他人接触时保持1米以上距离。　　宁国市新型冠状病毒肺炎疫情防控　　应急指挥部办公室　　2020年3月2日
先吃它两碗再说,:目前最想听到的好消息：新型冠状病毒最后一位感染者杨宜勇于今日死亡#外国人永久居留管理条例##杨宜勇##杨勇宜鼓励女大学生和黑人多联姻#
大漠孤鹰088,:【基因测序表明病毒或已在美国传播6周，专家估计数百人感染】研究人员在对比了美国华盛顿州两个感染者携带的新型冠状病毒后认为，两组病毒基因的相似性表明这种病毒可能已经在该州传播了数周。英国爱丁堡大学分子进化教授安德鲁·拉姆鲍特表示，“两组病毒单独进入美国并到达同一地理区域且基因相关是极其不可能的，除非它们有联系。”（澎湃）
今日潮汕在线,:【基因测序表明#病毒或已在美国传播6周#，专家估计数百人感染】研究人员在对比了美国华盛顿州两个感染者携带的新型冠状病毒后认为，两组病毒基因的相似性表明这种病毒可能已经在该州传播了数周。英国爱丁堡大学分子进化教授安德鲁•拉姆鲍特表示，“两组病毒单独进入美国并到达同一地理区域且基因相关是极其不可能的，除非它们有联系。”@澎湃新闻http://t.cn/A67aXB5Shttp://t.cn/RZzq9wV
方世平fangshiping,:研究人员在对比了美国华盛顿州两个感染者携带的新型冠状病毒后认为，两组病毒基因的相似性表明这种病毒可能已经在该州传播了数周。英国爱丁堡大学分子进化教授安德鲁·拉姆鲍特表示，“两组病毒单独进入美国并到达同一地理区域且基因相关是极其不可能的，除非它们有联系。”（澎湃）
财经网,:【基因测序表明#病毒或已在美国传播6周#，专家估计数百人感染】研究人员在对比了美国华盛顿州两个感染者携带的新型冠状病毒后认为，两组病毒基因的相似性表明这种病毒可能已经在该州传播了数周。英国爱丁堡大学分子进化教授安德鲁•拉姆鲍特表示，“两组病毒单独进入美国并到达同一地理区域且基因相关是极其不可能的，除非它们有联系。”@澎湃新闻http://t.cn/A67aXB5S
英国小队长,:【英国小队长News：英国将公布抗疫紧急措施！如果70％英国人感染#新型冠状病毒#，海德公园将建临时“太平间”
常冬青整形日常,:#新型冠状病毒##科学抗击疫情#新冠肺炎科学解读：什么是无症状感染者？会传染他人吗？传播途径是哪些？常冬青整形日常的微博视频
老陈_说股,:【基因测序表明病毒或已在美国传播6周专家估计数百人感染】研究人员在对比了美国华盛顿州两个感染者携带的新型冠状病毒后认为，两组病毒基因的相似性表明这种病毒可能已经在该州传播了数周。英国爱丁堡大学分子进化教授安德鲁·拉姆鲍特表示，“两组病毒单独进入美国并到达同一地理区域且基因相关是极其不可能的，除非它们有联系。”http://t.cn/RJ2iuUK
AsahiShimbun中文网,:#死亡##新型冠状病毒##感染者#【健身房等利用者感染国内感染总数达961人(内附详情表)】围绕新型冠状病毒，北海道政府于1日公布，1名70多岁的男性已死亡。截至1日下午11点，日本国内在北海道……http://t.cn/A67axelk
新柳叶刀,:新型冠状病毒是一种很容易在人和人之间传播的病毒，我们都知道它可以通过患者的飞沫进行传播，也就是感染者的喷嚏、痰或干咳等方式，将带有病毒的液体排出，健康的人如果接触到这些携带病毒的飞沫，便有可能感染病毒。除了飞沫传播，如果感染者接触过一些物体的表面，如公交车的扶手、楼宇电梯的按钮或单元门的门把手，这些物体的表面也可能附着病毒，增加接触感染的风险。很多人都增加了对病毒的防控意识，比如出门戴口罩，回家勤...http://t.cn/A67aM6tv
千龙网中国首都网,:#埃塞俄比亚爆发X疾病#【埃塞俄比亚爆发神秘"X疾病"感染者口鼻流血高烧而死】当全球其他地方正努力抗击新型冠状病毒时，一种可怕的神秘疾病却在埃塞俄比亚和索马里爆发。据英国《每日邮报》3月1日报道，近期，在埃塞俄比亚和索马里一些村庄，一种神秘的疾病夺去了当地人的生命。由于病原体未知，这种疾病被世界卫生组织（WHO）称为“X疾病”。据报道，“X疾病”是一种“神秘而恐怖”的传染病，会导致严重的病毒性出血热疫情，被感染者出现眼睛、嘴巴和肛门流血，最后死亡。详细：http://t.cn/A67a5GxH
红星新闻,:#埃塞俄比亚爆发X疾病#【埃塞俄比亚爆发神秘"X疾病"感染者口鼻流血高烧而死】当全球其他地方正努力抗击新型冠状病毒时，一种可怕的神秘疾病却在埃塞俄比亚和索马里爆发。据英国《每日邮报》3月1日报道，近期，在埃塞俄比亚和索马里一些村庄，一种神秘的疾病夺去了当地人的生命。由于病原体未知，这种疾病被世界卫生组织（WHO）称为“X疾病”。据报道，“X疾病”是一种“神秘而恐怖”的传染病，会导致严重的病毒性出血热疫情，被感染者出现眼睛、嘴巴和肛门流血，最后死亡。在东非，这种疾病被非正式地称为“眼睛出血热”，它的死亡率比鼠疫更高。自2014年以来，已有至少2000人死于这种神秘的“X疾病”。详细：http://t.cn/A67a5GxH
合肥市人民政府发布,:【权威解读：什么是“无症状感染者”？为何没纳入疫情报告？会传染吗？】在2月14日下午举行的国务院联防联控机制发布会上，国家卫生健康委副主任曾益新介绍，关于新型冠状病毒无症状感染者一般指没有发烧、咳嗽等临床症状，但是标本检测又呈阳性。无症状感染者主要发现来源有四个：第一，新冠肺炎病例的密切接触者，在医学观察期发现了一些这样的人；第二，在聚集性疫情的调查中，在开展一些主动检测的过程中，我们可能发现无症状感染者；第三，在新冠肺炎病例的传染源追踪过程中，对暴露人群进行主动检测时可能发现无症状感染者；第四，在对有新冠肺炎病例、持续传播地区的旅行史和居住史的人员主动检测时，可能会发现无症状感染者。值得注意的是，无症状感染者不在每天的报告范围内，但如果无症状感染者在集中隔离期间出现症状，则将其归为确诊病例，予以报告。http://t.cn/A67aI5nm
白衣山猫,:#山猫科普[超话]#【解读世界卫生组织（WHO）40页联合考察报告。该（COVID-19）疫情考察，预警新型冠状病毒拥有相当强烈的传染力，同时列出新冠病毒感染者14项典型症状！】为了了解新冠肺炎疫情，WHO组成联合考察组，由25国专家组成小组，进行为期9天的考察，在病毒、疫情爆发、传播动力学、疾病进程与严重性、中国的应对措施以及知识局限等6大方面有所发现。考察报告指出，新冠肺炎在“无防护下”可通过飞沫、密切接触感染者与被感染者传播，现有的证据显示，空气传播并非主要传播方式。由于新型冠状病毒是新发现的病原体，人类缺乏免疫力，几乎所有人都容易受到感染，但仍需进一步研究，感染后是否具有免疫力。考察报告中显示，新冠肺炎的典型症状共有14项症状，分别是：发烧（87.9％）干咳（67.7％）乏力（38.1％）咳痰（33.4％）气短（18.6％）肌肉痛或关节痛（14.8％）咽喉痛（13.9％）头痛（13.6％）寒颤（11.4％）恶心或呕吐（5.0％）鼻塞（4.8％）腹泻（3.7％）咳血（0.9％）结膜充血（0.8％）报告中提到，感染新冠病毒后，患者平均5到6天会出现轻度呼吸道症状以及发热症状，多数感染患者为轻症，且能够自行痊愈，约有80％的实验室确诊病例为轻症、普通型，包括无肺炎或肺炎患者，13.8％的患者为重症，出现呼吸困难、呼吸频率每分钟≧30次、多重器官衰竭等症状，无症状感染患者比例还不明确，但“相对罕见”。附图为报告全文！
还没成名的作家陈啊,:合肥国风塑业出现感染者后政府第一时间公布，这个动作是很好的，但是不应该急于说其他检测人员呈现阴性，就之前的各种信息可知，新型冠状病毒非常狡猾，3.5次检测阴性都可能最终被检测感染。所以希望合肥市政府能够重视，检测了阴性，仍然要坚持隔离，多检测多观察，避免出现爆发病例事件，将国风塑业的情况在初期就高度重视控制住，及时公布情况，社会不会因为公布感染者恐慌，但会因为隐瞒更恐慌
H-Shield艾滋病预防,:依据现有证据，是否我们可以推定HIV感染者可以免疫或不易感新型冠状病毒呢？是否可以推论HIV合并新型冠状病毒感染病情进展缓慢呢？发布了头条文章：《新冠对HIV感染者的威胁真的不大么？》新冠对HIV感染者的威胁真的不大么？
魏氏思语,:《巴林新增6例新型冠状病毒感染者_手机新浪网》原标题：巴林新增6例新型冠状病毒感染者巴林卫生部当地时间1日下午发布公告，确认境内新增6例新型冠状病毒感染者。新增感染者...巴林新增6例新型冠状病毒感染者
头条辰报,:【苏格兰地区出现首例感染者英国新冠肺炎感染总数增至36人】#头条辰报#英国当地时间3月1日晚，（北京时间3月2日凌晨）英国苏格兰地区卫生部门宣布，苏格兰一名近期曾经前往意大利北部旅行的患者被检测确诊感染了新型冠状病毒，成为苏格兰地区首例感染者；患者已经被送往医院接受隔离治疗。至此英国的四个地区均发现新冠病毒感染者；全境感染人数共计36人。而3月1日是英国新增确诊病例最多的一天，一共确诊13例。
安徽卫视,:【国家卫健委：无症状感染者不属于病例，不需要对外公布】2月14日下午，国新办举行疫情防控最新进展及关爱医务人员举措发布会。国家卫生健康委副主任曾益新介绍，按照《新型冠状病毒肺炎防控方案（第四版）》的相关规定，各级各类医疗卫生机构发现无症状感染者应当对其采取集中隔离14天，并于2个小时内进行网络直报，县（区）级疾控机构在接到无症状感染者报告后，24小时内要完成个案的调查，及时进行密切接触者登记并采取隔离措施，同时将个案调查表和调查报告及时通过网络报告系统进行上报。按照疫情发布的相关规定，仅对外公布新冠肺炎疑似病例和确诊病例。无症状感染者不属于病例，不需要对外公布。如果无症状感染者在集中隔离期间出现了症状，这时候我们可将其作为确诊病例报告，并对外公布。
张北根的微博,:惊叹❗️韩国新型冠状病毒感染者已达4212例！
小小想暴富j,:🐶逼杨宜勇，21世纪要女大学生联姻，你特妈老当益壮多跟你妈生几个姑娘送过去吧！不就相当于自己把门打开让人家进来再亲手给人家配一把家门钥匙🐴，杨宜勇你是没妈🐴？最期待看见的一条热搜：全国新型冠状病毒警报解除国内最后一位感染者杨宜勇于今日凌晨死亡#杨宜勇鼓励女大学生和黑人多联姻#http://t.cn/R2Wx05s
天行健TeGuang,:【美国纽约州出现第一例新冠病毒检测呈阳性的病例】纽约州州长库莫在一份声明中指出，纽约州首府奥尔巴尼首次报告新型冠状病毒阳性病例。感染者是一名30多岁的妇女，在伊朗旅行时感染了病毒，她目前被隔离在家里。自她回到纽约以来就有呼吸道症状，但不严重且处于受控状态。库莫说，没有理由引起过度焦虑，纽约的一般性风险仍低。
合肥发布,:#抗击疫情合肥必胜#【国家卫健委：无症状感染者不属于病例，不需要对外公布】2月14日下午，国新办举行疫情防控最新进展及关爱医务人员举措发布会。国家卫生健康委副主任曾益新介绍，按照《新型冠状病毒肺炎防控方案（第四版）》的相关规定，各级各类医疗卫生机构发现无症状感染者应当对其采取集中隔离14天，并于2个小时内进行网络直报，县（区）级疾控机构在接到无症状感染者报告后，24小时内要完成个案的调查，及时进行密切接触者登记并采取隔离措施，同时将个案调查表和调查报告及时通过网络报告系统进行上报。按照疫情发布的相关规定，仅对外公布新冠肺炎疑似病例和确诊病例。无症状感染者不属于病例，不需要对外公布。如果无症状感染者在集中隔离期间出现了症状，这时候我们可将其作为确诊病例报告，并对外公布。
第一财经,:【疫情下的韩国：支柱产业遭危机，人人都是“防疫主体”】自被视为“超级感染者”第31名患者确诊以来的近两周，对于韩国的产业造成了深刻且无法磨灭的影响。阅读文章请戳：疫情下的韩国：支柱产业遭危机，人人都是“防疫主体”新型冠状病毒肺炎疫情最新情况如何、新型肺炎该怎样预防、对市场又有何影响？第一财经实时关注。
7sevsn,:【美国纽约州出现第一例新冠病毒检测呈阳性的病例】纽约州州长库莫在一份声明中指出，纽约州首府奥尔巴尼首次报告新型冠状病毒阳性病例。感染者是一名30多岁的妇女，在伊朗旅行时感染了病毒，她目前被隔离在家里。自她回到纽约以来就有呼吸道症状，但不严重且处于受控状态。库莫说，没有理由引起过度焦虑，纽约的一般性风险仍低。http://t.cn/A67Xt1iA
波段兔王伟,:【苏格兰地区出现首例感染者英国新冠肺炎感染总数增至36人】英国苏格兰地区卫生部门宣布，苏格兰一名近期曾经前往意大利北部旅行的患者被检测确诊感染了新型冠状病毒，成为苏格兰地区首例感染者。英国全境感染人数共计36人。
modern秀才,:【巴林新增6例新型冠状病毒感染者】巴林卫生部当地时间1日下午发布公告，确认境内新增6例新型冠状病毒感染者。新增感染者中有三名巴林女性公民和和两名巴林男性公民，另有一名沙特公民，均为近期从伊朗经中转达到巴林。至此巴林境内共计已发现47例新型冠状病毒感染者。
佩玉Brother,:巴林新增6例新型冠状病毒感染者巴林新增6例新型冠状病毒感染者(下载客户端:新浪新闻)
华盛7x24,:【巴林新增6例新型冠状病毒感染者】巴林卫生部当地时间1日下午发布公告，确认境内新增6例新型冠状病毒感染者。新增感染者中有三名巴林女性公民和和两名巴林男性公民，另有一名沙特公民，均为近期从伊朗经中转达到巴林。至此巴林境内共计已发现47例新型冠状病毒感染者。（央视）
行业洞察者,:【巴林新增6例新型冠状病毒感染者】巴林卫生部当地时间1日下午发布公告，确认境内新增6例新型冠状病毒感染者。新增感染者中有三名巴林女性公民和和两名巴林男性公民，另有一名沙特公民，均为近期从伊朗经中转达到巴林。至此巴林境内共计已发现47例新型冠状病毒感染者。（CCTV）#最新疫情地图#
英国侨报,:#苏格兰确诊首例新冠肺炎感染者#据BBC报道，苏格兰确诊首例新型冠状病毒肺炎患者，该患者刚从意大利旅行回到英国。目前，3月1日当天英国确诊人数达13人，英国累计确诊病例36例。#最新疫情地图##英国新增12名新冠肺炎感染者#英国
闻来闻往,:巴林新增6例新型冠状病毒感染者【来自中新网客户端】http://t.cn/A6766WrG
魏氏思语,:《记者连线｜新西兰确诊首例新型冠状病毒肺炎病例》该感染者为年龄60多岁女子，拥有新西兰公民身份，近日从伊朗返回新西兰。http://t.cn/A676q1BL
沂蒙慈善季达人,:#关注新型冠状病毒肺炎疫情#【美华盛顿州宣布进入紧急状态】29日，美国西北部的华盛顿州出现美国首例COVID-19病毒感染者死亡病例后，华盛顿州州长杰伊·恩斯利宣布该州进入紧急状态。恩斯利发表声明说，华盛顿州政府机构将使用“所有必要的资源”，应对COVID-19病毒爆发，在必要时将动用华盛顿州国民卫队。“我们将继续努力，直到有一天没有人死于这种病毒。”据报道，29日，华盛顿州西雅图市郊区的科克兰有一人因感染COVID-19病毒而死亡。更让人担忧的是，当日同一地区的一家养老中心又发现两起确诊病例，一位是40多岁的女性工作人员，目前在医院治疗，情况良好；另一位是70多岁的女性居民，目前也在医院接受治疗，但情况严重。两人近期都无境外旅行纪录。西雅图市和金县的卫生官员表示，这家养老中心另有50多人得了呼吸疾病或肺炎被送进医院，目前正在接受COVID-19病毒检测，“预计会出现更多的阳性反应病例”。截至29日，美国确诊的COVID-19病毒感染病例达到了70倒，其中47例来自于“钻石公主号”和从中国武汉撤出的侨民。目前，加利福尼亚、华盛顿和俄勒冈三个州是重灾区。加州最为严重，至少有30名COVID-19病毒患者，其中有三名女患者最近既没有出国也无与有关病患接触过。
DrTurbo,:太阳报和福布斯体育：尤文U23青年队有3名球员和工作人员被确诊为新型冠状病毒感染者现在尤文青年队已经被隔离尤文已经取消了所有的训练课尤文队医高度重视目前还没有尤文球员确诊该新闻真实性有待确认让看发⌛️
荣戈博报,:【或说】众所“周”知#空气传播非新冠肺炎主要传播方式#《中国-世界卫生组织新型冠状病毒肺炎（COVID-19）联合考察报告》报告指出，新冠肺炎在无防护下通过飞沫和密切接触在感染者和被感染者之间发生传播。#尚无新冠肺炎空气传播的报告#，且根据现有证据，也不认为空气传播是主要传播方式。但在医疗机构中或可存在因医疗操作产生气溶胶而发生空气传播的可能。#荣戈述评#医疗权威解释从来是就是从医疗实践得来，要有说服力才行（荣戈博报）
英国侨报,:【#英国新增新型冠状病毒确诊12例，累计35例#】3月1日，英国卫生部门公布新增新型冠状病毒肺炎病例12例，累计35例。其中3例为已确诊病例传染，一例埃塞克斯的病人传染途径未知。其余8例为输入型病例，6例在意大利感染，2例在伊朗感染。#最新疫情地图##英国或效仿中国城市抗疫经验##意大利居民拒戴口罩要自由##英国新增12名新冠肺炎感染者#http://t.cn/R2WxsQzhttp://t.cn/R2WxsQz
最新疫情地图更新,:令韩国担心的事情发生了，中国留学生入韩时机场体温正常，两天后在学校确诊3月1日，据韩国媒体报道韩国江原道江陵市一名19岁的中国留学生于今日被确诊为新型冠状病毒感染者。但就在两天前进行的抽样检测中并没有出现发热等疑似症状。☞@点我领138元每天限100名
整形医生姜金豆,:【新型冠状病毒肺炎有哪些症状？】大多数情况下感染新型冠状病毒后有症状，但是也存在无症状感染者，这是最危险的地方，加大了感染给其他人的风险。如果感染了新型冠状病毒早期以发热为主要表现，伴有咳嗽、肌痛、乏力、呼吸困难、腹泻等症状。目前对新型冠状病毒感染肺炎的认识仍在不断积累，对于密切接触人群，如病人家属或其他密切接触者，以及发热门诊中新型冠状病毒性肺炎隔离病房的医务人员，如果出现以上情况也要注意是否出现新型冠状病毒感染。多数患者预后良好，少数患者病情危重甚至会死亡。除新型冠状病毒肺炎外一些其它呼吸道疾病也会出现发热、咳嗽、乏力等症状，如出现疑似新型冠状病毒感染的肺炎症状不要惊慌，要做好自我保护并及时就医。
幸福活的小窝,【日本新冠疫情死亡增至10人】日本国内28日确诊新型冠状病毒感染者新增17人，包括游轮“钻石公主”号乘客和船员在内，感染者累计936人。和歌山县一名70多岁男性及坐过该游轮的一名东京都70多岁女性共2人死亡，国内死者累计达10人。http://t.cn/A67qTSPD
可爱的小小可儿,:《新闻调查》20200201火线金银潭，本期节目主要内容：金银潭医院是湖北省武汉市突发公共卫生事件医疗救治定点医院，新型冠状病毒疫情爆发以来，这里是最早接收新型冠状病毒感染者的定点医院，也是收治“新冠”感染患者数量最多的医院。（《新闻调查》20200201火线金银潭）《新闻调查》20200201火线金银潭
可爱的小小可儿,:《新闻调查》20200208武汉十七日，本期节目主要内容：每天发布的新增新型冠状病毒感染者的数字除了告诉我们又确定新增一位感染者的同时，也在告知他的身后又将有多位潜在的被感染者将开始隔离观察。那么在这段特殊的日子里，这个被疫情突袭的城市在为它的居民做着怎样的防护和保障，本期节目将带您走进武汉，为您展现武汉的疫情防控工作。（《新闻调查》20200208武汉十七日）http://t.cn/A6hAv42W
六国虹,【华大基因：旗下新型冠状病毒2019-nCoV核酸检测试剂盒产品获得欧盟自由销售证书】财联社3月1日讯，华大基因公告，公司全资子公司欧洲医学于近日取得了由丹麦医药管理局颁发的关于欧盟体外诊断医疗器械的自由销售证书。产品为新型冠状病毒2019-nCoV核酸检测试剂盒（荧光PCR），公司上述试剂盒产品已经完成了欧CE认证，本次获得欧盟自由销售证书表明该产品符合欧盟医疗器械相关指令的符合性要求，目前已完成欧盟主管当局登记注册，具备欧盟市场的准入条件。
期货刘洋,【华大基因：旗下新型冠状病毒2019-nCoV核酸检测试剂盒产品获得欧盟自由销售证书】财联社3月1日讯，华大基因公告，公司全资子公司欧洲医学于近日取得了由丹麦医药管理局颁发的关于欧盟体外诊断医疗器械的自由销售证书。产品为新型冠状病毒2019-nCoV核酸检测试剂盒（荧光PCR），公司上述试剂盒产品已经完成了欧CE认证，本次获得欧盟自由销售证书表明该产品符合欧盟医疗器械相关指令的符合性要求，目前已完成欧盟主管当局登记注册，具备欧盟市场的准入条件。
