闻且如是_,#HereatAWS#
媒体人周桂华,:武汉日记：“奶奶，您要加油哦！”#送硬核江苏上热搜#南京医科大学第二附属医院医疗队员：高燕地点：江夏区第一人民医院昨天晚上一个将近80岁的奶奶收治入重症病房，奶奶高龄，呼吸费力、氧合差、烦躁，我们医护协作紧急上了无创通气，并准备进行镇痛镇静治疗。但是奶奶的血管条件极差，对大家来说这是一项巨大的挑战。这时周游医生综合各方面考虑患者的情况，当机立断决定立即在床边置入CVC管。在我眼里的周医生是弱不禁风、温柔婉约的小女子，但是只见她穿刺又快又准，不一会儿的功夫就已经成功置管，我们戏言“连让大家偷师的机会都不给！”奶奶因为烦躁总会去扯无创面罩，我小心翼翼的再给她接上。为了奶奶的安全，本想给她约束起来，心想等镇痛镇静起效就好了。但当我对上奶奶双眼的那一刻，我看到了无助、焦急和痛苦。我拉起奶奶的手，奶奶一把紧紧反握住我的手，那是一种无法言语的被需要和害怕，这是我工作十年来从未有过的感受！于是我静静的守在奶奶身边鼓励她安慰她，“奶奶，您要加油哦，好好喘气，我们会在您身边！”开始时奶奶依然难受的扯动面罩，而我依然重复一个动作“凑上去”，顾不上气流的喷溅，轻轻整理好奶奶口鼻上的面罩，然后再次紧紧握着奶奶的手。慢慢的奶奶氧合上升并安静的睡着了！这就是我们在ICU的日常，忙碌之余希望给每个病人送上哪怕微不足道的一丝丝温暖。（通讯员陈艳萍）
CD-沧海一朱,你们在校期间有遇过或见过哪些#奇葩的记过理由#吗？
小北小南de麻麻,:刚刚被婆婆抱孩子进来吵醒了，说孩子拉屎了，否则啊，我还在噩梦当中，可能会到监狱里去。梦的一开始是韬韬要给艳萍介绍男朋友，确切的说是那个男的想和艳萍交朋友让韬韬安排个局（梦里艳萍还单身
面瘫边吃蛋边摆地摊_落跡,该账号因被投诉违反《微博社区公约》的相关规定，现已无法查看。查看帮助https://kefu.weibo.com/faqdetail?id=13216
国网湖北电力,:#湖北电力防疫保电进行时#【电网职工化身小区“防疫先锋”】“今天我们的小区仍然是‘零疫情’，大家辛苦了！明天我们一起继续努力，加油！”2月10日，国网宜昌市高新区供电公司猇亭供电所党支部书记李艳萍在宜昌AAA花园小区志愿服务队微信群为大家加油鼓劲。自防疫阻击战打响以来，李艳萍主动申请加入小区疫情防控工作，组织业主建立起防疫志愿服务队，每日配合小区忙消杀、做宣传、守卡口、配送生活物资，助力AAA花园小区一直保持着“零疫情”的良好记录。（龚舒汪琪高宇）
王艳萍74839,:我推荐了@王艳萍74839提出的问题"疫情下保定餐饮与美团外卖推出″无接触配送″的方案可以吗？"，已有@王艳萍74839等人回答，等你围观。疫情下保定餐饮与美团外卖推出″无接触配送″的方案可以吗？
王艳萍74839,:我推荐了@王艳萍74839提出的问题"疫情下保定餐饮与美团外卖推出″无接触配送″的方案可以吗？"，已有@王艳萍74839等人回答，等你围观。疫情下保定餐饮与美团外卖推出″无接触配送″的方案可以吗？
俗人潘不胖,:【哈尔滨医科大学附属第一医院公告】哈尔滨医科大学附属第一医院尊敬的各位病友及家属：医院作为人员密集的公共区域，是落实各项防控措施的重要区域，为积极做好新型冠状病毒感染的肺炎防控工作，合理控制人流，有序引导患者错峰就诊，门诊将实行全预约制：1.自2月17日（星期一）起，门诊实行全预约制，不接受临时现场挂号，请患者务必预约就诊，按照预约时间段提前30分钟到院即可，未预约的病友请不要来院排队挂号。2.我院门诊预约可关注哈医大附属第一医院微信公众号或支付宝生活号预约，也可以关注黑龙江省健康龙江微信公众号预约等。3.正值新型冠状病毒感染的肺炎防控的关键时期，门诊就诊前需测体温，并填写“新型冠状病毒肺炎预检分诊导诊单”，请您配合并听从现场工作人员的指挥！4、发热患者或不发热有感冒、咳嗽等呼吸道症状的患者请预约发热门诊，筛查排除后方可预约其他专科。5、自2月12日起，群力院区暂不接诊，请各位病友周知。温馨提示：医院急诊24小时开放。医患携手，众志成城，共克时艰，夺取疫情防控阻击战的胜利！哈医大一院门诊部文丨门诊部编辑丨施旸王艳萍李皎伦美编丨马振审核丨施旸
一个黄豆芽,:“硬核”书记的春节樊艳萍，一身运动装，说话办事干脆利索，单薄的身板，我们无法确认她就是一个乡镇的一把手，无法相信她能挑起一个土地辽阔，村庄分散，历史上闻名的一穷二白乡党委书记重担。但，她确实是乡宁县西交口乡的党委书记，也是乡宁县唯一的女书记。而且上任一年多来，各项工作都得到了上级领导的认可点赞，尤其是在她统领下的一群女兵，无论身居乡镇干部、机关团体负责人还是村委的妇联主任个个召之即来，来之能战。2020年关到来之际，突如其来的一场新型冠状病毒袭扰全国，大江南北打响了以武汉为中心的严防堵截的保卫战。她作为家庭的儿媳妇，丈夫的妻子，儿女的妈妈，不顾父母家人的殷殷期待，不顾儿女眼巴巴的期盼，不顾数九天的严寒冰霜，严格执行党中央的“指挥在一线”号令。号令全乡所有干部：“全力以赴做好全乡返乡人员的摸排普查登记，坚决不落一户，不漏一人，筑牢疫情防控的第一道防线”。从腊月二十九至今，她每天都处于高强度的战备状态，穿梭于各村、各劝返点之间，巡查各村设卡点、人员随访、返乡人员动态等情况，到各劝返点督查疫情防控值班情况，以“硬核”精神奋战在防控“疫”线。西交口乡高速口监测点，是出入乡宁西大门的重要关口，也是西交口乡防疫战的最前沿，是第一阻击战点。樊艳萍同志以上率下，带头在监测点现场指挥调度、带班值守，面对凛冽寒风不曾退缩，面对个别群众的不理解和侥幸心理，勇敢担当起第一狙击手的责职，亲自上前耐心劝解，宣讲防“疫”知识，分发口罩。坚持真抓实干防疫情、善作善为保民生，以功成不必在我、功成必定有我的心态，捍卫西交口乡群众生命健康，极大地鼓舞了全乡上下，用她的话说“只要我们众志成城，就有把握打赢这场没有硝烟的战“疫”！”
一个黄豆芽,:妇女一心抗疫情“作为妇女，我们不仅要筑牢家庭防线，更要守护好村委这个大家，要做好大家的守护人、暖心人、贴心人”。这是南塔村委妇联主任贾喜梅、屯子窑村道德模范、妇联执委靳燕萍等人的心声。她们不辞劳苦，不计报酬带领全村妇女协助村委积极宣传疫情防控知识，在劝返点值班值守，坚信只要妇女姐妹上下一心、合力抗击，一定能早日打赢这场战“疫”。朋友们，用不着多举例，你们已经可以了解我们的战士是怎样一种人，这种人有一种什么品质，她们的灵魂多么的纯洁。他们是巾帼英雄，是我们中华民族的优秀之花，是我们祖国的骄傲，我们为我们的祖国有这样的英雄而自豪！当我们耳边响起常香玉演唱的豫剧“谁说女子不如男……有许多女英雄，也把功劳建，为国杀敌是代代出英贤，这女子们哪一点不如儿男”。目睹樊艳萍与她的女子特战大队，让我们领略到了她们不是男兵，更胜似男兵的战斗激情，感受到了练兵备战、真打实训作风在基层落地生根的“靓丽风景”。
长安号官微,:#西安抗疫最前线#【你我并不像夫妻，而是结拜兄弟——岂曰无衣，与子同袍！】#战疫情西安在行动#一接到命令，两人四目相对：“走，返程回岗位！”这是李鹏和他的妻子侯艳萍的声音。这对工作上是战友，生活上是“兄弟”的两口子，都是人民警察。李鹏，灞桥分局巡特警大队巡逻中队民警，其妻侯艳萍是洪庆分局民警。#最新疫情地图#
陈清贫,:快讯！《大众文化休闲》杂志2019年第12期和2020年第1期将出合刊，即将定稿，我是这本杂志的执行主编。继7期、8期、9期、10期各发陈清贫写作培训网校的10篇稿件后，11期又发了本网校学生10篇文。依次是：张平《难以设计的爱情》，张振国《草木有本心，为有暗香来》，盘叶纯《父亲的绿色花园》，胡艳萍《书海无涯常串门》，龚春芹《咖啡杯里的爱情》，刘进《木槿花的思念》，方东军《银篦梳理的时光》，罗倩仪《洒慰风尘》，张萍《“虎妈”的爱》，王秋珍《乡野的呼吸》，恭喜恭喜！另外，请大家继续投稿，2020年第2期开始了！散文1700字以内，小说3500字以内。要求情感真挚，文字生动，有正能量。http://t.cn/R2WxQOQ
西安网,:【你我并不像夫妻，而是结拜兄弟——岂曰无衣，与子同袍！】#战疫情西安在行动#一接到命令，两人四目相对：“走，返程回岗位！”这是李鹏和他的妻子侯艳萍的声音。这对工作上是战友，生活上是“兄弟”的两口子，都是人民警察。李鹏，灞桥分局巡特警大队巡逻中队民警，其妻侯艳萍是洪庆分局民警。#最新疫情地图#
西安电视台官方微博,:【你我并不像夫妻，而是结拜兄弟——岂曰无衣，与子同袍！】#战疫情西安在行动#一接到命令，两人四目相对：“走，返程回岗位！”这是李鹏和他的妻子侯艳萍的声音。这对工作上是战友，生活上是“兄弟”的两口子，都是人民警察。李鹏，灞桥分局巡特警大队巡逻中队民警，其妻侯艳萍是洪庆分局民警。#最新疫情地图#
陈清贫,:快讯！大型文学月刊、《华文月刊》杂志2019年第12期定稿，我是这本杂志的副主编。继8期、9期、10期、11期刊发陈清贫写作培训网校的多篇稿件后，本期又发了本网校学员11篇文。依次是：小说，张平《翻译的力量》，高美兰《赌王》，杨越《貂皮大衣》，赵锦慧《提拔》，吴嘉《硬币》；散文，刘晓蔚《来生陪您喝白酒》，郜艳《流动的盛宴》，邝林英《绿纱窗下的旧时光》，胡艳萍《有一种爱叫剪指甲》；诗歌：李书凤《梦的主旋律》，张九筠《苔》。另外，请大家继续投稿，2020年第1期开始了！诗歌、散文1700字以内，小说3500字以内。要求情感真挚，文字生动，有正能量。http://t.cn/R2WxQOQ
山西晚报,:【山西文水紧急购进生产线加紧生产医用口罩】新冠肺炎疫情暴发以来，文水县的山西康灵医疗器械有限公司紧急从外地购回生产线开始生产一次性医用口罩。2月10日，该公司试生产的一次性医用口罩通过相关机构鉴定全部合格，马上开始正式生产。康灵公司是文水的一家专业生产医用敷料、医用耗材的企业。新冠肺炎疫情发生后，该公司被吕梁市确定为定点企业，要求生产一次性医用口罩等防护物资。康灵公司原本不生产一次性医用口罩，紧急从外地购买回两条生产线，开始试生产。该公司还准备在10天内继续购进设备组成12条生产线，连轴生产。康灵公司总经理李艳萍说：“接到通知后，我们立即着手生产事宜。1月24日大年三十儿，正式进入实质操作阶段，联系广东等地采购设备。1月26日派人赴东莞采购机器，2月1日第一台设备一到厂便一刻不停开始安装调试。”设备厂家技术员过不来，公司就组织技术员自己摸索试机。与此同时，该公司董事长弓海清也开始从其他渠道采购设备。2月7日，第二台设备从河南运送到位，进入紧张的调试状态。目前，2台医用一次性口罩生产设备已完成安装调试，第一批口罩生产原料和外包装材料已到厂，试生产期间每日可生产10000只一次性口罩，预计2月15日可供应市场。分管生产的副总王永刚告诉记者，公司计划在10天左右再上10台设备12条生产线，形成日产30万只生产能力。公司将在技术、安全方面再培训员工50余名，员工与机器连轴转生产口罩，以最快速度正式生产，保障市场供应，为打赢这场战役尽到力量。由于疫情严重，生产设备生产原料都被当地政府实行应急管控，不允许外销，文水县政府通过协调上级部门给他们解决了这些难题。负责和公司对接的文水县市场监管局张建新感慨道：“这些设备和原料来得真不容易！”据悉，为保证企业设备调试顺利，及早投入正常生产，文水县政府给予企业全力支持，派出专人到企业服务。（记者王晋磊）
南京晨报,:#关注江苏新型肺炎疫情#【“有你们在，我们好得也快了”】http://t.cn/A6hhDhMA通讯员陈艳萍南京晨报/爱南京记者钱鸣
桐梓林小当家杨昂星,这是我喜欢沈莫的第四年故事讲的是一个行走在黑暗里的男人拼了命的想给他爱的女人一丝光亮一个漂泊在乱世里的女人在爱情和家国之间不断挣扎他们相互陪伴，相互爱护，相互慰藉“我不要这么大的戒指我也不要那么大的房子可是我不想一个人。”不会的有沈先生你怎么会是一个人少年时候看过你一眼都不会忘记的男人怎么会舍得你一个人剪辑前半部分是沈西林视角后半部分是莫燕萍视角送给所有喜欢他们的人晚安啦http://t.cn/A6PBZKrA
现现现李--,#李现赤狐书生#💢#李现伊利品牌代言人#0209反黑日志四博文【人身攻击勾选拉黑+有害】1⃣️http://t.cn/A6Pr1cWM2⃣️http://t.cn/A6Pr1S8W3⃣️http://t.cn/A6Pr19nL4⃣️http://t.cn/A6PrBtXF5⃣️http://t.cn/A6PrBxYB6⃣️http://t.cn/A6PrBS7l7⃣️http://t.cn/A6PrBKtE8⃣️http://t.cn/A6PrB0GH9⃣️http://t.cn/A6PrBWk8🔟http://t.cn/A6PrBT921⃣️1⃣️http://t.cn/A6PrjMGo1⃣️2⃣️http://t.cn/A6PdZ6aY1⃣️3⃣️http://t.cn/A6PrDuFX1⃣️4⃣️http://t.cn/A6PreDAb1⃣️5⃣️http://t.cn/A6Pr1Gnz1⃣️6⃣️http://t.cn/A6PreN6T1⃣️7⃣️http://t.cn/A6Pret25评论【人身攻击勾选拉黑+有害】1️⃣http://t.cn/A6PrrE8w2⃣️http://t.cn/A6Prr18t3⃣️http://t.cn/A6PrrMa74⃣️http://t.cn/A6PrrMa75⃣️http://t.cn/A6Pr1U8k6⃣️http://t.cn/A6PdZ2Uf7⃣️http://t.cn/A6PdZcbt8⃣️http://t.cn/A6PdZM评论区取举报文案‼️⚠️任务模式：#李现赤狐书生#⚠️找到自己群的报道处别走错了‼️⚠️完成任务并扩散，艾特三位好友转发，禁止艾特李现‼️
艳萍-yp,:从年初三就上班，一直到昨天院里下通知可以调休了，正好元宵节，准备给爸妈买上点菜和肉回家，省的他们再外出了，还没买完就接到张主任的电话“艳萍，发热门诊缺人，考虑到你还没结婚，你愿不愿意去”我说“主任，我听安排”“好，那你收拾收拾东西明天一早送到13号楼，八点发热门诊报道”“好的，那我是不是就一直住在13号楼了”“是的，一直到疫情结束”然后，回家轻描淡写的跟爸妈说了一下情况，当天返回妹妹昨晚看了杜老师的朋友圈一直跟杜老师说你没事了多去看看我姐杜老师也算睡不着了，平时躺下就打呼噜的人，一直叨叨“我睡不着，我在想万一有报复社会的打你怎么办，你赶紧给我打电话，我在想我去了打他哪，打哪好呢，打眼再骨折了鉴定个重伤，打脸万一把牙都打掉了，打……”杜老师今天给我送东西从医院又走了两趟过来看我一下班我妈就给发消息，你今天走了2万步累不累，果然最心细的还是老妈
娄底市门户网站,:发布了头条文章：《石艳萍到涟源暗访督导：确保疫情防控与经济发展两手抓两不误》石艳萍到涟源暗访督导：确保疫情防控与经济发展两手抓两不误
陈清贫,:快讯！《大众文化休闲》杂志2019年第12期和2020年第1期将出合刊，即将定稿，我是这本杂志的执行主编。继7期、8期、9期、10期各发陈清贫写作培训网校的10篇稿件后，11期又发了本网校学生10篇文。依次是：张平《难以设计的爱情》，张振国《草木有本心，为有暗香来》，盘叶纯《父亲的绿色花园》，胡艳萍《书海无涯常串门》，龚春芹《咖啡杯里的爱情》，刘进《木槿花的思念》，方东军《银篦梳理的时光》，罗倩仪《洒慰风尘》，张萍《“虎妈”的爱》，王秋珍《乡野的呼吸》，恭喜恭喜！另外，请大家继续投稿，2020年第2期开始了！散文1700字以内，小说3500字以内。要求情感真挚，文字生动，有正能量。http://t.cn/R2WxQOQ
南京晨报,:#关注江苏新型肺炎疫情#【东南大学附属中大医院江北院区一份特殊的入党申请书】2月3日，中大医院江北院区党委收到一封特殊的入党申请书，它来自武汉抗疫一线，它是一名年轻战士的心声，是他进入重症一线的铮铮誓言和人生感悟，“战斗天使”吴罡。http://t.cn/A6PFjrrd通讯员沈艳萍杨忠实南京晨报/爱南京记者卢斌
一米阳光3758659474,:#肺炎患者求助[超话]#求助人信息（若有相关化验单，请上传图片）【姓名】吕国玉【年龄】68岁【所在城市】武汉市【所在小区、社区】洪山区和平街保利才盛景苑5栋1单元1903号【患病时间】2020.2.3【联系方式】蔡开河1397【其他紧急联系人】肖艳萍18986200818【病情描述】发烧，干咳，全身无力，未进食，呼吸困难，有2型糖尿病，高血压病，高脂血症基础疾病15年，肺CT双肺斑片状磨玻璃改变，核酸检测阳性，急需住院床位！谢谢！
一米阳光3758659474,:#肺炎患者求助[超话]#求助人信息（若有相关化验单，请上传图片）【姓名】蔡运富【年龄】68岁【所在城市】武汉市【所在小区、社区】洪山区和平街保利才盛景苑5栋1单元1903号【患病时间】2020.1.30【联系方式】蔡开河13971697407【其他紧急联系人】肖艳萍18986200818【病情描述】发热，干咳，全身无力，呼吸急促，进食很差，肺CT双肺磨玻璃改变，核酸检测阴性，已上报社区，在家隔离，急需床位治疗！http://t.cn/R2WxQOQ
gakki的旅行,【#安徽各级各类学校2月底前不开学#】根据疫情发展情况，经安徽省政府同意，安徽省各级各类学校（高校、中小学、中职学校、技工院校、幼儿园、托儿所等）2月底前不开学。具体开学时间，将视疫情防控情况，经科学评估后确定，届时提前向社会公布。延迟开学期间，各级教育行政部门要加强管理和指导，各级各类学校要充分发挥在线教育平台和网络媒体作用，为学生提供辅导、答疑等线上教育教学活动，做到停课不停学。严禁各级各类学校在开学前组织线下教学等聚集性活动，严禁各类培训机构在开学前开展线下培训活动。（新安晚报）http://t.cn/A6PgPPa6
FM88山西交通广播,:#抗击疫情山西在行动#【夜幕下的阳泉市观象台防控疫情卡口】2020年2月7日晚上20时了，夜幕降临，街市灯光亮起来，阳泉市观象台社区党总支书记赵艳萍、第一书记周慧杰、网格员许桂萍、网格员李豪和分布在10个进入社区的卡口上的社区干部们，依然值守在防控新型冠状病毒感染的肺炎疫情一线，为他们点赞！（山西青年报孟存田白莉娟）
山西青年报,:【夜幕下的阳泉市观象台防控疫情卡口】2020年2月7日晚上20时了，夜幕降临，街市灯光亮起来，阳泉市观象台社区党总支书记赵艳萍、第一书记周慧杰、网格员许桂萍、网格员李豪和分布在10个进入社区的卡口上的社区干部们，依然值守在防控新型冠状病毒感染的肺炎疫情一线，为他们点赞！（孟存田白莉娟）
南京晨报,:#关注江苏新型肺炎疫情#【漫画里的二附院援鄂医疗队，看完热泪盈眶！】1月25日，大年初一，举家团圆之时，南京医科大学第二附属医院七位医护人员选择出发前往武汉，连日来，在抗击新型冠状病毒感染肺炎“最危险、最前沿的地方”，他们始终一往无前。http://t.cn/A6PdAjPt通讯员陈艳萍许慧南京晨报/爱南京记者钱鸣
8099999,:#抗击疫情西山在行动#【无惧无畏抗击疫情——记抗击疫情一线医务工作者李艳萍】1月27日，按照区委、区政府的统一安排，云南省工人疗养院作为来昆滞留游客留观点。接到通知后，海口工业园区（街道）立即部署，海口社区卫生服务中心（海口卫生院）积极响应，内科副主任医师李燕萍立即带头投入工作。自云南省工人疗养院留观临时医疗点设立以来，李燕萍带领医护人员每天24小时驻守，为监测留观人员体温、血压，询问身体症状等等，面对留观人员一个接一个的咨询电话，她总是认真倾听，耐心解答，没有怨言，及时满足需求。我们坚信，有党和政府的坚强领导，有全体工作人员的共同努力，有医护人员的竭诚奉献，有广大群众的参与，坚决打赢疫情防控阻击战！
Maya_WK,:人民法院智能化系统设计探讨安徽建筑高荣;靳艳萍，;我国各级人民法院作为国家审判机关，随着法制建设的深入，信息化、智能化建设日益重要，智能化系统成为了各地法院建设中的重要组成部分.文章对法院智能化系统的设计目标、设计原则、设计内容和设计要点进行了探讨.
株洲身边事,:#株洲身边事##湖南防控新型肺炎#【第七天：一位赴黄冈抗冠队员的医疗日记】2020年2月1日，湖南第一批援鄂医疗队队员抵达黄冈的第七天，来自株洲中心医院的付艳萍用视频记录下她的工作日常。潇湘晨报的微博视频
长沙头条,:#湖南防控新型肺炎#【第七天：一位赴黄冈抗冠队员的医疗日记】2020年2月1日，湖南第一批援鄂医疗队队员抵达黄冈的第七天，来自株洲中心医院的付艳萍用视频记录下她的工作日常。潇湘晨报的微博视频
王艳萍74839,:我分享了@王艳萍74839的头条文章保定市凝香书画院秘书长学书法先学做人，没有人品书法亦不能佳！
株洲发布,:#湖南防控新型肺炎#【第七天：一位赴黄冈抗冠队员的医疗日记】2月1日，湖南第一批援鄂医疗队队员抵达黄冈的第七天，来自株洲中心医院的付艳萍用视频记录下她的工作日常。via.潇湘晨报的微博视频
记者杜利勇,:#湖南防控新型肺炎#【第七天：一位赴黄冈抗冠队员的医疗日记】2020年2月1日，湖南第一批援鄂医疗队队员抵达黄冈的第七天，来自株洲中心医院的付艳萍用视频记录下她的工作日常。#疫情上报第一人记大功##长沙[地点]#via.潇湘晨报的微博视频
长沙微博房产,:#湖南防控新型肺炎#【第七天：一位赴黄冈抗冠队员的医疗日记】2020年2月1日，湖南第一批援鄂医疗队队员抵达黄冈的第七天，来自株洲中心医院的付艳萍用视频记录下她的工作日常。#疫情上报第一人记大功##长沙[地点]#via.潇湘晨报的微博视频
春运广州,:#2020春运广州##2020广州春运#“都是‘小冠冠’惹的祸，我们一起打败它”——记两个孩子心中的抗疫“女超人”殷艳萍“妈妈，你怎么还没回来啊，我不想戴口罩了”。看着视频中一双可爱的儿女，殷艳萍藏起满脸疲惫，故作轻松地笑着说：“宝贝，都是‘小冠冠’惹的祸，我们一起打败它，你们要乖乖听奶奶话，妈妈很快就回来噢...”挂断视频，殷艳萍哽咽了一会，但擦干眼泪，转身又投身到战“疫”中。临危受命，不辱使命殷艳萍，原是广州交投集团大广公司综合管理部工会小组的一员，也是两个孩子的母亲，因为疫情爆发，公司考虑到她之前在药店、药厂都工作过，对防护用品质量把控有经验，让她担任物资采购组的组长。她临危受命，瘦弱的肩膀挑起了防疫防控物资采购工作的重担。受疫情扩散、春节期间工厂基本上全部停工、物流绝大数停运、口罩等应急物资基本上没有货源、部分销售地在湖北等诸多不利因素影响，公司抗击疫情急需的医用口罩、护目镜、消毒水等物资一度紧缺，短时间内难以采购到位，使得采购工作变得异常艰难。随着疫情推进，防疫物资特别是口罩越来越难买，真正到了“一罩难求”的境地，使得采购工作更是雪上加霜。“我的孩子们都盼望着我能够早日回家，就像全国人民都盼望着能早日战胜“疫魔”，我是一名入党积极分子，如今公司委以重任，我一定要不辱使命，给两个孩子做好榜样！”殷艳萍说。孩子们心中的“女超人”为了备齐抗疫“武器”，殷艳萍从1月22日开始，便电话不停、沟通不断，想方设法通过各个渠道各种方式采购防疫物资。大年三十是举家团圆的日子，她仍在采购防疫物资的路上奔忙。连日来，她不断联系过往同在药店工作的同事，跑遍了从化街口的各大药店、劳动用品和百货商店，甚至直接到工厂提货，为公司争取了来之不易的防疫物资。当她将防疫物资一批批送到一线防疫人员手中时，这位超人妈妈的脸上浮现出了久违的笑容。自疫情爆发以来，她与丈夫至今已有半个多月没回家了，而家中的2个孩子则由患有高血压的奶奶照看着，每每说起此事，殷艳萍深感愧疚。一方面是因为孩子的奶奶年纪大，身体不好，不想给老人家增添负担；另一方面，由于抗疫需要，这个寒假也没有陪伴过孩子们一天，很是心疼。但为了最终的胜利，殷艳萍将对家人的思念与牵挂化作对使命的践行与坚守，在抗疫后方，用自己的方式贡献了全部力量。她说，辛苦一点没关系，只要能够战胜疫情，我在抗疫后方竭尽全力，做好本职，就是孩子们最大的骄傲。“其实你的母亲没有你想象中的坚强，只因为成为母亲才变得强大”，在疫情防控斗争中，还有许多像殷艳萍这样的抗疫者坚守在岗的业务骨干；但在家里，她们是女儿，是妻子，是母亲，是孩子们心中的“女超人”。有这么多“超人”“女超人”，我们必定打败这个“小冠冠”！（文/江丽芳何漪蕾图/江丽芳）
内蒙古旅游报,:#致敬疫情前线医护人员#【赤峰护士的VLOG：记录发热门诊里最真实的一幕！】王艳萍是市医院发热门诊护理组的负责人，截至1月30日，她已经连续工作了11天。她说：累并快乐着，累是因为身体的透支，快乐是看到很多人解除了留观。视频记录的是王艳萍及同事每天的工作状态，她希望用这种形式告诉大家，面对疫情，国家有信心，政府有信心，只要我们都有信心，一定会打赢这场艰巨的“战役”！#共同战疫#http://t.cn/A6P8GZhRhttp://t.cn/RC5pZkB
用户6700744567,:#全民K歌#这首歌唱得很好，快来听听！>>《本地上传作品》-[短视频]玉阳店韩艳萍本地上传作品（来自@全民K歌）
株洲网,:2月2日，7岁的黎明哲小朋友写了一封信，还录了一段暖心视频，送给奋战在湖北抗疫一线的母亲傅艳萍；傅艳萍83岁的公公黎福清也给她寄一封家书。
冷冻了仲夏,:有一个武汉的女子，她在两千年时代的雅田里名字是杨艳萍。不知道她现在好吗？
南京晨报,:#关注江苏新型肺炎疫情#【武汉日记｜一家三口都住院，我们和病人有个约定！】一家三口都住院，我们和病人有个约定！http://t.cn/A6Pn4amV通讯员陈艳萍南京晨报/爱南京记者钱鸣
株洲新闻广播,:【湖南援鄂医疗队第一批队员----来自株洲市中心医院的付艳萍最美逆行者的一线生活。】来自祖国各地的医疗队奔赴湖北，支援抗疫前线，其中，也有我们株洲的医务人员。今天，湖南援鄂医疗队的第一批队员----来自株洲市中心医院的付艳萍给我们发来一个vlog，看看这些最美逆行者的一线生活。http://t.cn/A6PEVS5D
昆明市西山区发布,:#抗击疫情西山在行动#【广福社区李艳萍：防控一线践行医者初心】新型冠状病毒肺炎发生以来，在滇池路社区辖区，随处可见的医务人员、社区工作者背着消毒液穿梭于各小区、楼道、停车场之间……在这群“舍小家、为大家”的“最美逆行者”——福海广福社区服务中心负责人李艳萍。自从新型冠状病毒肺炎发生以来，她主动请缨前往一线工作，承担辖区发热患者的体温监测、武汉籍人口的身体状况监测及时上报工作，非常时期，“牺牲我一人，幸福千万家”早已不再是空泛的口号，无数“最美逆行者”用自己的实际行动，守护着一国安宁太平。他们的行为，将激励更多人在自己的岗位上“守土有责”，为抗击新型肺炎工作贡献力量。
梦回民勤17568,:我正在快手看旺旺艺术婚庆公司裴艳萍的直播，一起来看！#记录世界记录你#旺旺艺术婚庆公司裴艳萍的快手直播
鹤长酒阑,:哈哈哈哈哈草我哥打英雄联盟四杀太激动了流口水了我姐一脸嫌弃笑死我了刘江哥艳萍姐
一条畅游在天空的鱼,:向朱•乡村高级摄像师•艳萍娜扎致以崇高的谢意……比心心哟❤️（大家尽量少出门，出门注意防护，戴口罩勤洗手）湘西土家族苗族自治州·龙山县
苏敬_26944,:栗艳萍罐疗基本操作教学苏敬_26944的微博视频
wjw歇斯底里的微笑,:沁园春·青囊英豪作词：张兵作曲：王基笑演唱：张艳萍（郑州市文联副主席、郑州市豫剧院国家一级演员）http://t.cn/A6PQYM9m
汉江网,:#众志成城，齐心协力##襄阳战疫#【歌颂奋斗在前线的逆行者襄阳籍歌手李行亮新歌《天使的背影》发布】本报讯（通讯员周钰婷全媒体记者王艳萍）“告别了亲朋，勇敢者逆行，向病区，义无反顾，踏上征程。洁白的服装，天使的心灵……”2月3日，襄阳籍歌手李行亮新歌《天使的背影》发布，朴实、真切的歌词，让无数网友动容。http://t.cn/A6PQjQRn这首饱含深情的《天使的背影》，短短一天的时间里，引起了网友的广泛关注和转发。这首歌由天马人龙作词，彭原与李行亮作曲。据了解，李行亮出生于湖北襄阳，因《愿得一人心》《特别想念你》等歌曲而被歌友们所喜爱。近日，身在外地的李行亮看到网上关于疫情的报道，内心无法平静，尤其担心湖北襄阳的家乡人们，为此萌生了为抗击疫情创作歌曲的想法。“看到家乡遭受疫情，身为湖北襄阳人，也想为家乡贡献力量，尤其是这次奋斗在一线的医护人员们，也让我特别感动。”经过几天时间的准备，2月3日，李行亮的新歌《天使的背影》正式发布，这首歌为歌颂前线医护人员而创作歌曲播出后，很多网友称赞这首歌好听、感人，在朋友圈里纷纷转发，希望能在这个特殊的时期，让这首歌温暖更多的人。2月4日，李行亮在家中录制了视频，在视频里，他用亲切、地道的襄阳方言为我市抗击疫情加油鼓劲。接下来，李行亮将积极参与到我市音乐家协会开展的抗击疫情公益歌曲创作活动。http://t.cn/A6PQjSIX
