李留申i,:2020年3月3日0-24时，开封市无新增新型冠状病毒肺炎确诊病例，无新增疑似病例。
许昌同城会,:#许昌身边事#【2020年河南省重点建设项目打捆项目分项名单-许昌市8个、25亿元】据悉，各省辖市、济源示范区和省直管县(市)项目数量和年度投资目标分别为(不含跨域项目)：郑州市36个、176.8亿元，开封市8个、14.7亿元，洛阳市11个、36.6亿元，平顶山市4个、6.6亿元，安阳市10个、28.2亿元，鹤壁市2个、10.3亿元，新乡市12个、45.6亿元，焦作市6个、16.8亿元，濮阳市10个、104.2亿元，许昌市8个、25亿元，漯河市4个、24.4亿元，三门峡市5个、21亿元，南阳市12个、51.3亿元，商丘市9个、14.4亿元，信阳市14个、51.5亿元，周口市14个、47亿元，驻马店市13个、61.2亿元，济源示范区3个、11亿元;兰考县1个、5.3亿元，汝州市2个、5.7亿元，滑县2个、8.5亿元，长垣市3个、14.5亿元，邓州市2个、3.9亿元，固始县1个、2.5亿元，鹿邑县1个、2.5亿元，新蔡县2个、9.2亿元。
文明开封祥符区人社局,发布了头条文章：《开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告》开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告
汴梁都市网,:#新浪看点#美丽的卡点，美丽的你——开封市连霍高速口水稻卡点http://t.cn/A67i4OLQ
文明开封开封市实验幼儿园,:#疫情防控开封在行动#疫情当前，我市连续多日无新增病例
文明开封中储粮库,发布了头条文章：《开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告》开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告
大参考,:#联防联控河南在行动#【奶牛厂受限政府来帮忙】开封市祥符区，木易牧业有限公司是一个奶牛养殖企业，由于疫情的原因，市场牛奶运输受到很大影响，为了解决这个问题，政府帮助企业办理绿色通行证，解决企业难题。大参考的微博视频
平安开封,:#护航复工复产#为了更好地保障企业复工复产和群众返岗交通出行的需求，最大限度避免人员聚集，确保人民群众生命安全和身体健康，开封市公安局交警五大队民警来到辖区赢之创商砼运输公司、公交六公司、城际公交公司、开封万宝等多车单位提供上门办理交通违法处理的服务。在公司负责人的配合下，民警对公司所有车辆和驾驶员是否存在交通违法行为的情况进行了查询，清点出有违法行为需及时处理的车辆和人员并进行登记，返回大队进行后台操作，安全快捷地帮助企业办理了交通违法业务，助力公司及时复产。同时民警对企业复工复产运输车辆进行了检查，给企业员工讲解复工复产“十项举措”，叮嘱企业负责人一定要在保证安全前提下，进行复工复产。警方提示
中共开封市委党校,发布了头条文章：《开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告》开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告
文明开封五院,发布了头条文章：《开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告》开封市公安局交通警察支队关于有序恢复机动车安全技术检验工作的公告
开封市实验幼儿园,:@文明开封开封市实验幼儿园认真做好园内消毒工作，特设立消毒用品室，做好园内安全！开封
开封市实验幼儿园,:让创意飞——开封市实验幼儿园“开封学前云教研”亲子活动精彩分享一场突如其来的疫情，让2020年的春节假期变成了寒假“plus”，大家“宅”在家中是否有些无聊呢？别担心，“开封学前云教研”又推出好玩又有趣的亲子活动了。快来看看开封市实验幼儿园的孩子们在做什么吧。看，这么多的圆形和半圆能做什么呢？哇，原来可以变成可爱的小动物......这么多创意，小朋友，你是不是已经跃跃欲试了？快，拿起你手中的材料，开始你的奇思妙想吧！这个假期因为有爸爸妈妈的陪伴而变得更有意义，在家中寓教于乐，寓学于乐，宝贝们大胆的展示自我，为这个特殊的时期增加了许多色彩。老师相信宝贝们通过自己的努力定会换来一份成长和收获！@文明开封http://t.cn/R2WxHAA
文旅开封,:线上展览（九）|开封市文化馆“众志成城抗击疫情”书法作品展示线上展览（九）|开封市文化馆“众志成城抗击疫情”书法作品展示
文明开封河南化工技师学院,:2月28日，按照开封市防疫指挥部统一安排，河南化工技师学院黄玥、王绪伟、吴昊、陈一铭、张岩、贺红举、赵瑞、李攀8位党员同志分别奔赴开封火车站、开封北站、宋城站进行抗疫值班，他们年龄不同、工作岗位不同，但都为了同一个目标，为了抗击疫情奉献出自己的一份力量。当天，纪检书记胡明亮、纪检监察室主任李建华来到3个站点看望慰问值班的同志。@文明开封@文明河南@中国文明网
开封市铁塔公园,#疫情防控开封在行动##共同战疫#【开封市市场监管局干部职工为支持新冠肺炎疫情防控工作捐款】2月28日，开封市市场监管局举行“坚守一线彰显市场监管勇担当、积极捐款助力疫情防控获全胜”党员捐款仪式。市局党组书记、局长姚春贵和市局党组成员、副处级以上干部带头参加。开封市市场监管局党组积极响应党中央号召，及时安排部署党员自愿捐款支持新冠肺炎疫情防控工作，各总支、支部快速反应、认真组织，干部职工通过现场捐款、网络转账等方式踊跃参与，为疫情防控工作贡献力量。一天内，市局机关和各区（分）局、二级机构735名在职党员捐款75190元；59名非党员干部职工捐款5280元。捐款仪式结束后，姚春贵主持召开疫情防控工作推进会，传达市疫情防控工作指挥部最新工作部署，要求系统各单位继续咬紧牙关，坚守阵地，把疫情防控的各项任务和服务经济社会发展的各项举措落实落细。@文明开封@平安开封@魅丽开封@人民网@央视新闻@人民日报
开封汴京网,#疫情防控开封在行动##共同战疫#新冠疫情防控工作是一场没有硝烟战争，开封市中心医院发热门诊做好了一切准备工作。院党委从疫情的实际出发，将院内两个专科病区、一幢4层病房楼、学生宿舍和部分职能科室办公室迅速打造成独立的发热门诊区域，并且新建CT机房、购进检验设备、设置抢救间，目前已实现对发热患者在发热门诊进行集中救治，最大限度减少与普通患者交叉感染的可能，为开封人民的生命健康保驾护航。（来源：开封市中心医院）#抗疫行动#@开封市中心医院@开封市卫生计生委@文明河南@中国文明网
宋都微生活,:截至2月29日24时开封市新型冠状病毒肺炎疫情最新情况新增0例#开封朋友圈##开封生活##开封热点##疫情防控#
开封网,:【开封市交警支队有序恢复机动车安全技术检验工作】2月29日，市交警支队发布公告，决定自3月2日起，对已获得复工复产审批通过的机动车检测机构，开通机动车检验监管专网，开展机动车安全技术检验和远程核发检验合格标志业务。为全力做好复工复产服务保障，维护正常生产生活秩序，根据我市疫情防控形势，为满足群众车辆年检需求，确保对机动车安全技术检验工作依法开展，及时核发机动车检验合格标志，市交警支队决定有序恢复机动车安全技术检验工作相关事事宜。一、恢复时间2020年3月2日开始，对已获得复工复产审批通过的机动车检测机构，开通机动车检验监管专网，开展机动车安全技术检验和远程核发检验合格标志业务。二、恢复的业务范围。结合目前全省和全国疫情防控形势，疫情防控期间，只能办理我市辖区内车辆安全技术检验业务（只检验豫B号牌车辆），暂不受理外地市的车辆检验业务。三、业务办理途径。鉴于目前疫情防控形势，为避免扎堆聚集，各检测机构现只受理预约车辆检验，每日定量检验，车主可通过互联网交通安全综合服务管理平台、手机APP、微信、电话等预约（各检测机构预约电话附后）。对没有进行预约的车辆，不予受理。四、设置疫情防控“应急窗口”。各检测机构在落实好防控措施的同时，要对涉及疫情防控、生活必需品运输、复工复产等车辆，开通“绿色通道”，优先快捷办理车辆检验和检验合格标志发放。五、实行延时和不停休举措推行周六周日、节假日检验机构不停休举措，同时，当天业务实行延时服务。温馨提示：办理检验业务实行“实名制”单人办理。到机动车检验机构的驾驶人确认近期未到过疫情高发区，且未与疫情高发区人员接触，确认近期无发热、干咳等新冠肺炎症状，如有谎报、瞒报情形，将按照相关法律追究责任。请各位车主务必按照预约时间赴检，并听从检测机构工作人员安排，正确佩戴口罩，配合做好新冠肺炎防疫工作。开封市机动车安全技术检验机构公示序号检验机构名称地址预约咨询电话1开封宏达机动车检测站开封市开发区金明东街南段135037806232开封祥云机动车检测站开封市南郊杨寨村东北139494205353开封赛通机动车检测站开封市金明区九号路与陇海三路交叉口186037811774开封路通机动车检测站开封市顺河区滨河路东段181377710775开封正弛机动车检测站开封市汴东产业集聚区新曹路南侧183378755000371-222580006开封兴捷机动车检测站开封市鼓楼区仙人庄开尉路西侧131378366690371-228566697开封泰合机动车检测站开封市龙亭区北郊乡私房院北街002号134607552528开封市守信机动车检测站开封市禹王台区机场西路南段路西137811893889开封市鼎之鑫机动车检测站开封市宋城路142号红桥锚具公司西邻1913782555510开封市金盾机动车检测站祥符区深圳大道南段路东1341978028511开封市畅达机动车检测站祥符区杜良乡夏都路333号150390266660371-2662133312尉氏县腾达机动车检测站尉氏县大桥乡大李庄村1350348462313尉氏县国宇机动车检测站尉氏县尉鄢路东周庄村1364378181114尉氏县中天天达机动车检测站尉氏县大桥乡孔家村1983789178915杞县金城机动车检测站杞县东环路南段路东138378626770371-2851901016杞县顺通机动车检测站杞县集聚区经三路中段西侧1306932120517通许县机动车检测中心通许县咸平大道东段北侧1856703873618通许县通路机动车检测站通许县冯庄乡前山龙口村西6号186037854990371-2230567819兰考方东机动车检测站兰考县道南新街西侧1551783990820兰考东方机动车检测站兰考县中山大道与西环路交汇处138399758580371-22220303http://t.cn/A67MDpqJ
1051开封交通广播,:【开封市3月2日恢复上线审车】广大车主：为全力做好复工复产服务保障，维护正常生产生活秩序，根据我市疫情防控形势，为满足群众车辆年检需求，确保对机动车安全技术检验工作依法开展，及时核发机动车检验合格标志，现就有序恢复机动车安全技术检验工作相关事事宜公告如下:一、恢复时间2020年3月2日开始，对已获得复工复产审批通过的机动车检测机构，开通机动车检验监管专网，开展机动车安全技术检验和远程核发检验合格标志业务。二、恢复的业务范围。结合目前全省和全国疫情防控形势，疫情防控期间，只能办理我市辖区内车辆安全技术检验业务（只检验豫B号牌车辆），暂不受理外地市的车辆检验业务。三、业务办理途径。鉴于目前疫情防控形势，为避免扎堆聚集，各检测机构现只受理预约车辆检验，每日定量检验，车主可通过互联网交通安全综合服务管理平台、手机APP、微信、电话等预约（各检测机构预约电话附后）。对没有进行预约的车辆，不予受理。四、设置疫情防控“应急窗口”。各检测机构在落实好防控措施的同时，要对涉及疫情防控、生活必需品运输、复工复产等车辆，开通“绿色通道”，优先快捷办理车辆检验和检验合格标志发放。五、实行延时和不停休举措推行周六周日、节假日检验机构不停休举措，同时，当天业务实行延时服务。温馨提示：办理检验业务实行“实名制”单人办理。到机动车检验机构的驾驶人确认近期未到过疫情高发区，且未与疫情高发区人员接触，确认近期无发热、干咳等新冠肺炎症状，如有谎报、瞒报情形，将按照相关法律追究责任。请各位车主务必按照预约时间赴检，并听从检测机构工作人员安排，正确佩戴口罩，配合做好新冠肺炎防疫工作。开封市公安局交通警察支队2020-2-29开封市机动车安全技术检验机构公示1开封宏达机动车检测站开封市开发区金明东街南段135037806232开封祥云机动车检测站开封市南郊杨寨村东北139494205353开封赛通机动车检测站开封市金明区九号路与陇海三路交叉口186037811774开封路通机动车检测站开封市顺河区滨河路东段181377710775开封正弛机动车检测站开封市汴东产业集聚区新曹路南侧183378755000371-222580006开封兴捷机动车检测站开封市鼓楼区仙人庄开尉路西侧131378366690371-228566697开封泰合机动车检测站开封市龙亭区北郊乡私房院北街002号134607552528开封市守信机动车检测站开封市禹王台区机场西路南段路西137811893889开封市鼎之鑫机动车检测站开封市宋城路142号红桥锚具公司西邻1913782555510开封市金盾机动车检测站祥符区深圳大道南段路东1341978028511开封市畅达机动车检测站祥符区杜良乡夏都路333号150390266660371-2662133312尉氏县腾达机动车检测站尉氏县大桥乡大李庄村1350348462313尉氏县国宇机动车检测站尉氏县尉鄢路东周庄村1364378181114尉氏县中天天达机动车检测站尉氏县大桥乡孔家村1983789178915杞县金城机动车检测站杞县东环路南段路东138378626770371-2851901016杞县顺通机动车检测站杞县集聚区经三路中段西侧1306932120517通许县机动车检测中心通许县咸平大道东段北侧1856703873618通许县通路机动车检测站通许县冯庄乡前山龙口村西6号186037854990371-2230567819兰考方东机动车检测站兰考县道南新街西侧1551783990820兰考东方机动车检测站兰考县中山大道与西环路交汇处138399758580371-22220303
文明开封,:#疫情防控开封在行动##共同战疫#新冠疫情防控工作是一场没有硝烟战争，开封市中心医院发热门诊做好了一切准备工作。院党委从疫情的实际出发，将院内两个专科病区、一幢4层病房楼、学生宿舍和部分职能科室办公室迅速打造成独立的发热门诊区域，并且新建CT机房、购进检验设备、设置抢救间，目前已实现对发热患者在发热门诊进行集中救治，最大限度减少与普通患者交叉感染的可能，为开封人民的生命健康保驾护航。（来源：开封市中心医院）#抗疫行动#@开封市中心医院@开封市卫生计生委@文明河南@中国文明网
开封示范区,:#开封战疫#『《开封市扬尘污染防治条例》3月1日起正式施行』《开封市扬尘污染防治条例》3月1日起正式施行
开封市教育局,:我分享了【【职教专栏】2月28日，那些温暖的画面——开封市中职学校线上教学剪影】，快来看吧！|http://t.cn/A67Muohs
文明开封,:#疫情防控开封在行动##共同战疫#【转发周知！开封市各大超市3月1日生活必需品价格出炉，请市民对照监督】根据全市统一安排部署，经过今天（3月1日）早晨对开封市各大超市的统计，蔬菜、粮油等生活必需品的价格已经出炉，请广大市民对照监督。开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查，如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报。@开封市场监管http://t.cn/R2WxHAA
文旅开封,:权威发布！截至2月29日24时开封市新型冠状病毒肺炎疫情最新情况
宝贝回家-荣发,:#荣发帮寻人[超话]#约1987年出生1989年左右疑从安徽省芜湖市被卖至河南省开封市的刘梅香寻亲，一个发旋，小时候下嘴唇右侧有颗暗红色的痣，现在没有了。听说亲生父母家在安徽省芜湖市火车站附近，距离火车站3-4里远，亲生父亲：许（徐）海峰（音）。http://t.cn/Ais4eXLh
新浪河南,:#河南防控新型肺炎疫情#【截至2月29日24时#开封#市新型冠状病毒肺炎疫情最新情况】2020年2月29日0-24时，开封市新增新型冠状病毒肺炎确诊病例0例，疑似0例，重症0例，危重0例，治愈出院0例。截至2月29日24时，全市累计报告新型冠状病毒肺炎确诊病例26例，现有重症0例，现有危重0例，累计死亡0例，累计治愈出院18例。其中：确诊病例中，通许县4例，鼓楼区2例，兰考县5例，杞县6例，尉氏县6例，龙亭区2例，顺河回族区1例；治愈出院病例中，通许县4例，杞县3例，尉氏县4例，兰考县4例，鼓楼区1例，龙亭区2例。现有疑似病例0例。目前累计追踪到密切接触者686人，当日解除观察1人，尚在医学观察的密切接触者8人。（开封市卫生健康委员会）#抗击疫情我们在一起#
平安开封,:【转发周知！开封市各大超市3月1日生活必需品价格出炉，请市民对照监督】开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查，如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报。#共同战疫##三月你好#
开封广电菊城报道,:【请对照监督！3月1日开封市生活必需品价格公示出炉】今天早上（3月1日），记者从开封市市场监督管理局获悉，根据全市统一安排部署，经过今天对全市各大超市的统计，主要蔬菜和粮油品种等生活必需品的价格已经出炉，请广大市民对照监督。如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报，开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查http://t.cn/R2WxHAA
开封气象微博,:#3.1料峭春风吹面寒，棉袄还得接着穿#2020年已经过去了两个月，一场疫情让我们的生产生活都好似进入了“冬眠”状态，好在一切都在慢慢恢复，公交站大街小巷的人是越来越多，水果蔬菜餐饮店铺也逐渐开门营业，但也千万不能大意外出还是要做好防护措施。根据开封市气象台06时最新气象资料分析，预计今天白天到夜里我区晴天间多云，地面:偏北风转西南风2-3级。一早一晚依然是寒意盈怀还真没半点春天的感觉，提醒大家棉袄也别着急收，不能见着点点阳光就掉以轻心，因为在未来一周我市会以多云天气为主，虽无明显降水，平均风力在3级左右。可到了4-5日受冷空气影响，最低气温将略有下降。春季气温多波动多变化，我们开封城人民的心情也是随着天气不停地在变换，虽诸事繁忙，小伙伴们还是要抽空每天关注一下最新的天气预报信息，以方便自己的生活出行安排。温馨提醒：更多更新的天气信息，除拨打12121天气热线了解外，还可关注我们的微信与微博随时随地获取天气预报信息。市区及各县区24小时具体预报开封多云间晴天13℃晴天间多云5℃祥符区多云间晴天13℃晴天间多云4℃兰考多云间晴天13℃晴天间多云4℃杞县多云间晴天13℃晴天间多云3℃通许多云间晴天13℃晴天间多云3℃尉氏多云间晴天14℃晴天间多云4℃#抗击疫情气象在行动#国家预警信息发布中心与百度联合推出了疫情实时大数据报告，每日实时更新全国及本地疫情动态、各地外来人员状况，播报疫情要闻。点击链接，随时查看→http://t.cn/A6PnbwiV开封市便民服务一码通在发热门诊、开放宾馆、商场超市板块的基础上，新增了发热自报、返城登记、疫情举报、实时防疫地图、小区登记和每日菜价公示等。点击关注，时时了解每天最新信息。温馨提醒：根据天气变化和空气质量，适时开窗通风，保持室内空气流通。不在公共场所吸烟、吐痰，咳嗽、打喷嚏时遮掩口鼻。----开封市新冠肺炎疫情防控指挥部办公室
谢文流氓,:【河南省】·【开封市】·【大相国寺】·【印象随拍】二#河南省##开封市##开封·大相国寺[地点]##大相国寺##印象#齐齐哈尔·光荣三区
文明开封,:#疫情防控开封在行动##抗疫行动#【新城办事处两村干部群众向我市驰援武汉医疗队爱心捐款】#共同战疫#2月28日上午，在市中心医院的会议室里，新城街道党工委副书记王长玉，斗门村党支部书记杨红军、村委会主任张宁和开封市慈善总会负责人一起将凝聚着斗门村干部群众真心实意的81370元捐款交到了市中心医院党委书记刘静宇手中，这笔捐款将用于开封市中心医院驰援武汉医疗队购买防控物资。在捐赠仪式上，斗门村党支部书记杨红军代表斗门父老乡亲祝愿这些离开家乡的白衣战士能在他乡照顾好自己，早日打赢这场战“疫”，平安归来。http://t.cn/A67IhUlI（来源/开封网）@文明河南@中国文明网
齐河环境,:【开封环保人：一封家书的故事|战“疫”风采录】最近，河南省开封市生态环境局鼓楼分局职工黄鹏展深受感动，因为自己上小学五年级的孩子进步了，懂事了！@河南生态环境@开封环境开封环保人：一封家书的故事|战“疫”风采录
宝贝回家,:#宝贝寻家#约1987年出生1989年左右疑从安徽省芜湖市被卖至河南省开封市的刘梅香寻亲，一个发旋，小时候下嘴唇右侧有颗暗红色的痣，现在没有了。听说亲生父母家在安徽省芜湖市火车站附近，距离火车站3-4里远，亲生父亲：许（徐）海峰（音）。http://t.cn/Ais4eXLh
汴梁晚报,:#开封身边事#【3月1日起开封5条公交线路有变化】因黄河大街（晋安路至建安街段）实施道路改造，封闭施工，自3月1日起，途经施工路段的5条公交线路改道绕行。开封市公交总公司相关人员表示，因受黄河大街部分路段施工影响，该公司根据道路通行情况调整18路、27路、35路、38路、K203路等5条公交线路运行路线，设置临时站点。特别提醒，这5条公交线路恢复原线路运营的时间根据道路情况而定，望市民互相转告，以免坐错车。（全媒体记者刘杨）
吃货的旅行记,:旅行超话中原三城之旅第三站：开封市清明上河园，著名八朝古都河南开封的一座大型历史文化主题公园，占地600余亩，坐落在开封城风光秀丽的龙亭湖西岸。它是依照北宋著名画家张择端的传世之作《清明上河图》为蓝本建造的，于1998年10月28日正式对外开放。《清明上河图》是中国古代一幅弥足珍贵的社会民俗生活长卷，画中反映了开封作为中国北宋时期都城的社会生活、市井风情和城建格局。有趣的是，千年前张择端把它从现实搬到了画卷，千年后，开封人又把它从画卷上搬到了现实。徜徉其中，令人有“一朝步入画卷，一日梦回千年”时光倒流之感。2017-2-3
河南经济广播,:【开封市场监管战“疫”：两级审批窗口“接力办”为企业排忧解难】#抗击疫情河南在行动#2月27日，开封市市民之家市场监管审批窗口接待了几位“走错门”的群众。注册地址在自贸区开封片区的河南汴欧进出口贸易有限公司，却来到市民之家开封市市场监管局行政审批窗口办理二类医疗器械经营备案。http://t.cn/A67fyclP
汴梁都市网,:#新浪看点#开封市第二中医院首批援鄂医疗队即将出征武汉开封市第二中医院首批援鄂医疗队即将出征武汉
汴梁都市网,:#新浪看点#开封市人民医院门诊办坚守抗“疫”一线开封市人民医院门诊办坚守抗“疫”一线
汴梁都市网,:#新浪看点#开封市人民医院战“疫”前线，医者永不言弃开封市人民医院战“疫”前线，医者永不言弃
临颍事儿,:截至28日24时，全省累计报告新冠肺炎确诊病例1272例，累计出院1161例，治愈率91.27%。目前在院治疗90例，其中郑州市19例、信阳市13例、南阳市10例、周口市8例、开封市7例、漯河市5例、平顶山市濮阳市各4例、洛阳市、安阳市、商丘市各3例、鹤壁市、驻马店市、济源示范区各2例。新乡市、许昌市各1例，兰考县、永城市、固始县各1例。重症病例7例，危重病例6例，目前均在郑大一附院、省人民医院接受治疗。现有疑似病例2例，在漯河市。昨天焦作市在院新冠肺炎患者清零，是我省第二个清零的省辖市。http://t.cn/R2WxHk9
开封日报,:【20万生态水注入涧水河碧水荡漾“北方水城”增添一道靓丽多姿的风景线】这条玉带般的河静静流淌，所及之处尽是碧绿的河水。最近几天，随着从黄河、西湖20万立方米的生态原水的注入，涧水河水体畅通、水质清冽、环境优美宜人。　　据悉，作为开封市水系总体规划的重要组成部分，涧水河担负着向老城区水系补水、连通新老城区水系的重要职能，每年向老城区水系补水约1060万立方米，生态水最后均汇入惠济河，改善惠济河沿岸生态环境。　　该工程位于市区东京大道北侧规划100米绿化带内，西起开封西湖，东至东护城河，河道全长约7.6公里，绿地景观带宽度约85米，总绿化景观面积约980亩，其中水域面积230亩，占全园面积的23.4%。河道全部为新挖，可谓“平地起沟渠”。去年底，全园贯通并向市民开放，目前水利部分已全面完工，市政景观、8米辅道工程已全部完工，园路广场基本完工，绿化种植完成99%以上。　　据了解，部分景观小品及桥梁装饰等扫尾工作计划于今年4月份全面完成。目前，在做好疫情防控的前提下，扫尾工作已小范围开始复工。　　涧水河两侧院校云集，公园绿带贯穿其中，还肩负着传承发展、演绎创新、新老过渡的使命。沿河共布置了1个城市文化景点—李煜词帝雅居和3个古城关系节点，5处高校形象景观，充分展示河南大学、黄河水利职业技术学院、开封大学等高校及公共单位的学研气息，8处市民休闲节点，为居民提供运动健身、儿童活动、游览散步等功能的休闲场所，共同构成“1358”的布局结构。　　市水务开发建设有限公司董事长吴现伟说，全部完工后的涧水河与其他水系一起将双双凸显城市绿肺作用与湿地净化效应，也将为重现“北方水城”增添一道靓丽多姿的风景线。（全媒体记者张仲鹏）
一丝一缕一炊烟,:#开封菊花节#温馨提醒：劳动者要了解工作岗位和工作环境中存在的危害因素，遵守操作规程，注意个人防护，避免职业伤害。从事有毒有害工种的劳动者享有职业保护的权利。【开封市新冠肺炎疫情防控指挥部办公室】
开封气象微博,:开封市新冠肺炎疫情防控指挥部办公室温馨提醒：复工后要把现有措施做实做细，包括每天开展的体温检测、健康监测，提倡有条件的单位错时上下班、在家远程办公、分散就餐、提供盒饭等，包括在电梯里的细小环节，认真仔细的落实到位。
颜值可以当饭吃,:发布了头条文章：《开封市鼓楼医院美容科价格表费用参考标准2020最新出炉》开封市鼓楼医院美容科价格表费用参考标准2020最新出炉
一丝一缕一炊烟,:#开封菊花节#温馨提醒：健康不仅仅是没有疾病或虚弱，而是身体、心理和社会适应的完好状态。每个人都有维护自身和他人健康的责任，健康的生活方式能够维护和促进自身健康。【开封市新冠肺炎疫情防控指挥部办公室】
开封市铁塔公园,:#疫情防控开封在行动##共同战疫#新型冠状病毒肺炎疫情发生后，开封市铁塔公园迅速行动，采取多项措施，结合自身实际，做好“五传五做”精神文明教育实践活动。@文明开封@文明河南@中国文明网
郭昭霖i,:#今天不发朋友圈又得等四年#2020.2.29
金明区法院,#疫情防控开封在行动#【精准普法助力依法防控】新冠肺炎疫情防控工作开展以来，开封市司法局党委高度重视，迅速响应，主动作为，精准普法，为打赢新冠肺炎疫情防控阻击战提供坚强有力的法治保障。http://t.cn/A675G0EX（来源：开封网）#开封战疫##河南防控新型肺炎疫情##抗击新型肺炎我们在行动##戴口罩微笑##共同战疫##抗疫行动#@网信开封@河南网信@文明河南@中国文明网
开封市第三十三中学,:#疫情防控开封在行动#开封市第三十三中学
开封汴京网,【开封市人民政府关于延长暂时解除机动车尾号限行措施期限的通告】#疫情防控开封在行动##共同战疫#为统筹推进新冠肺炎疫情防控和经济社会发展，确保复工复产顺利进行，根据《中华人民共和国大气污染防治法》《中华人民共和国道路交通安全法》等法律法规的规定，结合我市道路交通实际，市政府研究决定，延长暂时解除机动车尾号限行措施期限至2020年3月31日24时。2020年4月1日0时起按照《开封市人民政府关于2020年实施机动车限行措施的通告》恢复实施机动车尾号限行措施。特此通告。2020年2月27日（来源：开封网）
开封市铁塔公园,连日来，开封市司法局派出40多名干警到抗疫一线。他们在开展疫情防控工作的同时，发挥自身优势，开展普法宣传和健康知识普及工作，引导社区群众树立依法防疫、科学防疫的意识。他们的辛苦付出，受到大家欢迎。（来源：开封网）#开封战疫##河南防控新型肺炎疫情##抗击新型肺炎我们在行动##戴口罩微笑##共同战疫##抗疫行动#@网信开封@河南网信@文明河南@中国文明网
开封市铁塔公园,【转发周知！开封市各大超市2月28日生活必需品价格出炉，请市民对照监督】#疫情防控开封在行动##共同战疫#根据全市统一安排部署，经过今天（2月28日）早晨对开封市各大超市的统计，蔬菜、粮油等生活必需品的价格已经出炉，请广大市民对照监督。开封市市场监督管理局综合执法支队对开封市各大超市进行监督检查，如发现有哄抬物价、扰乱市场行为，市民可以拨打12315消费者维权举报热线进行投诉举报。#抗疫行动#@开封市场监管@平安开封@魅力开封@网信开封@文明河南@中国文明网
开封市铁塔公园,#疫情防控开封在行动#【共同抗疫情护校园开封市爱心人士向多所学校捐赠抗疫物资】2月26日上午，开封强达化工有限公司董事长王克山、开封宋八景文化传媒有限公司董事长王一水为市金明中小学再次捐赠免洗洗手液60瓶、泡沫洗手液40瓶。之前，两位爱心人士已经为该校南校部和西校部捐赠84消毒液250公斤，还为市二师附小西校区、市集英中学捐赠了抗疫物资，助力学校做好校园疫情防控工作。http://t.cn/A67LRZY8（来源：开封网）#开封战疫##河南防控新型肺炎疫情##抗击新型肺炎我们在行动##戴口罩微笑##共同战疫##抗疫行动#@网信开封@河南网信@文明河南@中国文明网
开封市铁塔公园,#疫情防控开封在行动#助力疫情防控，爱心驰援武汉。邮储银行开封市分行员工向河大一附院、开封市中心医院捐款。助力疫情防控爱心驰援武汉邮储银行开封市分行员工向河大一附院、开封市中心医院捐款（来源：开封网）#开封战疫##河南防控新型肺炎疫情##共同战疫##抗疫行动#@网信开封@河南网信@文明河南@中国文明网
