美东侨报,:#全国最新疫情地图#【#新冠肺炎#全国累计确诊80424例】截至3月3日20时31分，全国累计确诊病例80424例（昨日新增120），现有确诊27427例（新增-2572），疑似病例520例（新增143），现有重症6416例（新增-390），累计治愈病例50013例（新增2654），累计死亡病例2984例（新增38）。
读懂临沂,:#湖北新增确诊病例115例#湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。
新鲜苹果888,【武汉新型冠状病毒感染患者救治均由政府买单】据人民日报，武汉市卫健委表示，凡是确诊的病人，除医保报销外，医疗费全由政府兜底。梅州
新鲜苹果888,【武汉新型冠状病毒感染患者救治均由政府买单】据人民日报，武汉市卫健委表示，凡是确诊的病人，除医保报销外，医疗费全由政府兜底。梅州
山南网警巡查执法,【3月3日西藏自治区新型冠状病毒肺炎疫情情况】截止3月3日24时，我区现有新冠肺炎确诊病例0例，重症病例0例，死亡病例0例，疑似病例0例，治愈出院病例1例，累计确诊新冠肺炎病例1例。连续34天无新增确诊或疑似病例。西藏自治区卫生健康委员会温馨提示：机场、火车站和省际交通检查站防控策略1.体温监测。实施体温监测和上呼吸道感染症状等病人全面排查，所有往来人员均进行体温监测，掌握出行轨迹，实行一人一登记。2.人员排查。按照机场、火车站进藏人员排查流程，对进藏人员询问旅居史、记录基本信息，实施进出藏旅客隔离筛查。3.分类管理。体温正常的有固定单位或住所的返藏人员，由所在单位、村（居）负责追踪管理，监督居家隔离14天；体温正常的区外进藏人员，在指定地点观察14天；体温高于37.3℃的进藏人员，由专用车辆送至定点发热门诊排查，进行医学观察；与确诊病例密切接触人员，由专用车辆送至医院医学观察14天。#德国载有1200名乘客游轮检测结果出炉##武汉拟提拔10名战疫一线干部#
青春襄阳,:#襄阳战疫##众志成城，齐心协力#【襄阳市新型冠状病毒肺炎疫情通报（43）】2020年3月3日0时至24时，我市新增确诊病例0例；新增疑似病例0例；新增治愈出院27例；新增病亡0例。截至2020年3月3日24时，我市累计报告确诊病例1175例，其中：樊城区239例、枣阳市194例、襄城区151例、襄州区150例、高新区114例、谷城县86例、宜城市72例、南漳县63例、老河口市41例、东津新区35例、保康县25例、鱼梁洲开发区5例。现有疑似病例13例，其中：襄城区6例、樊城区6例、枣阳市1例。累计治愈出院940例。累计死亡34例（樊城区11例、襄城区9例、谷城县4例、枣阳市3例、宜城市3例、南漳县2例、保康县2例）。目前仍在定点医疗机构接受隔离治疗201例，其中：重症9例，危重症18例。累计追踪到密切接触者16540人，尚在接受医学观察1089人。襄阳市新型冠状病毒感染肺炎疫情防控指挥部办公室2020年3月4日
今日邵阳,:2020年3月3日0-24时，邵阳市报告新型冠状病毒感染的肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例0例。截至3月3日24时，邵阳市累计报告新型冠状病毒感染的肺炎确诊病例102例，累计报告重症病例25例，现有重症病例1例，死亡病例1例，出院病例100例，在院治疗1例。其中：确诊病例中，邵东市38例、新邵县19例、隆回县7例、洞口县11例、绥宁县2例、武冈市5例、新宁县2例、邵阳县5例、大祥区6例、双清区5例、北塔区2例。现有重症病例中，邵东市1例。出院病例中，邵东市37例、新邵县19例、隆回县7例、洞口县11例、绥宁县2例、武冈市5例、新宁县2例、邵阳县5例、大祥区6例、双清区4例、北塔区2例。目前追踪到密切接触者2617人，已解除医学观察2610人，尚有7人正在接受医学观察。
廉洁上海,:#上海战疫##上海加油##上海医疗队加油#【上海累计派出1640名医务人员支援湖北战疫铁军敢打硬仗（一方有难八方支援）】“你们昼夜奋战、忘我工作，同时间赛跑、与病魔较量，以高尚无私的医德医风和精湛高超的医技医术守护生命、治愈病患……武汉胜则湖北胜，湖北胜则全国胜。希望你们继续发扬特别能吃苦、特别能战斗的精神，出色完成各项救援救治任务，为打好武汉保卫战、湖北保卫战作出更大贡献。”2月24日，一封慰问信自上海发往武汉，这天正值上海首批医疗队驰援武汉“满月”。　　1个月间，上海共有9批、11支医疗队、1640名医务人员奔赴荆楚大地。“各医疗队领队都由院长或业务骨干担任，中级以上职称医师415人，占医师总数的84.5%。”上海医疗队前方工作协调组负责人、上海市卫生健康委副主任赵丹丹说，医疗队分别进驻了华中科技大学附属同济医院光谷院区、雷神山医院、武汉市金银潭医院等17家医院、28个病区，其中ICU病区3个、重症病区16个、普通病区3个、方舱医院6个。　　“我像不像战场老兵了？”消瘦、满脸压痕，复旦大学附属中山医院重症医学科副主任钟鸣笑着问道。这位上海最早支援武汉的医疗专家，在小年夜只身坐上高铁、向武汉进发，至今仍在金银潭医院ICU病区与病魔抢夺重症、危重症患者生命，已有月余。　　金银潭医院也是上海医疗队第一块接手的阵地。大家从梳理病区到精细治疗、优化方案，摸索出了不少宝贵经验。1个月间，他们救治了100多名危重症患者，已有30多名患者治愈出院。　　需要轮换休息？医疗队领队郑军华摇头：“没必要！我们有了经验，更应该把时间用于救治病人。”　　“我像打仗一样，争分夺秒，就是在和死神抢病人。”这是复旦大学附属华山医院呼吸科主任李圣青的工作状态。“30张床，27个病人插管”，华山医院医疗队整建制接手了同济医院光谷院区惟一的重症监护室，这里是最艰苦的战场之一，很快他们就用顽强信念、过硬技术和多学科团队紧密合作与精细管理，落实着“降低死亡率”的目标。　　规范、科学、钻研，认真、精细、周全，是上海人的特性，也是上海医疗队员们的共性。由瑞金医院副院长陈尔真挂帅的第二批医疗队接管武汉第三医院光谷院区多个重症病区，下飞机第一时间就与武汉同仁沟通，了解医院规章，制定适合院区的诊治规范与预案，颁布《医疗队员守则》。为了节省防护服，医疗队的培训细致到要求队员们“上岗前不喝水、穿防护服前少量喝水、休息时大量喝水”；入住酒店，个人房间里也划分污染区、半污染区和清洁区。一旦涉及防护安全，他们尤其“较真”：“我们要用好上海医疗服务的精细化管理举措和操作规范、质量管理等优良传统，体现‘上海标准’，避免医务人员感染，才能救治更多患者。”　　紧张忙碌中间，他们依然不忘科研和人文关怀。“我们一个班就收治了30多名患者，同时还要处理管辖区域内200多位患者的突发状况。”在方舱医院工作的同济大学附属东方医院医生华晶说，他们发动群众选举了寝室长，管理大家不乱走动，带动大家做活动。在雷神山医院，“海派中医”们用中西医结合方案治疗危重患者，助力患者康复。新型鼻罩、一次性防飞溅隔离巾、面部防压伤保护组件等“穿戴神器”，也不断在上海医疗队里诞生。　　武汉保卫战激战正酣，上海的医疗队还在继续出动：由上海交大医学院病理和影像学临床和研究专家组成的新冠病毒肺炎病因诊断研究队伍，由50名精神科医护组成的心理干预团队相继到来，追踪病因，为奋战中的医护人员和患者带来更多心理支持与人文关怀。　　与每批医疗队同行的，都是大批医疗与防护物资。据不完全统计，上海不仅为医疗队随队配备了总计150余吨的防护物资，还陆续向前方寄送了防护服6万多件，口罩18万多只，隔离衣、防护面屏、护目镜、一次性手套、帽子、鞋套等30多万件。　　“一直被他们的团队合作精神和对病人的精心救治态度所鼓舞。每个人都兢兢业业、勤勤恳恳、任劳任怨地做着自己班上工作。因为病人多、事情多，一个护士在病房里呆了8个小时，没有几个人穿着防护服能坚持这么久，她不是不闷不累，是眼里只有病人忘了自己……我真的被他们感动了！”武汉大学人民医院东院一位医生在朋友圈里这样评价他的上海同仁。截至2月26日中午，这支“战疫铁军”已累计救治确诊病例1801名，其中重症319名，危重症173名，出院410名。@人民日报http://t.cn/A67OGaWH
济宁学院,:#济宁学院[超话]##31省区市新增119例新冠肺炎#3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。　　当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。　　截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。　　湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。　　累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。
FM107太原交通广播,:#太原身边事#第61号通告太原市新型冠状病毒肺炎疫情防控工作领导小组办公室通告#山西身边事#2020年3月3日0时至24时，太原市无新增确诊病例，无新增疑似病例。截至3月3日24时，太原市累计报告新型冠状病毒肺炎确诊病例20例（按患者首诊医院所在地分布在万柏林区8例、迎泽区6例、杏花岭区4例、小店区1例、清徐县1例；按患者住址分布在尖草坪区6例、杏花岭区4例、迎泽区3例、晋源区3例、小店区2例、清徐县1例、晋中市1例），全部治愈出院。累计报告疑似病例232例，其中累计排除219例，累计转确诊13例，现无疑似病例。截至3月3日24时，累计追踪管理从重点地区返（抵）并人员9721人，其中9260人已满14天观察期，未出现异常症状，解除隔离医学观察；累计诊断确诊病例3例；累计报告疑似病例8例，均已排除；其余458人正在实施隔离医学观察，其中小店区90人、迎泽区164人、杏花岭区88人、尖草坪区3人、万柏林区102人、晋源区9人、古交市2人、清徐县0人、阳曲县0人、娄烦县0人，目前未发现异常。据山西省卫健委公布：截至3月3日24时，山西省11个市累计报告新型冠状病毒肺炎确诊病例133例。其中：晋中市37例，太原市20例，运城市19例，大同市12例，晋城市10例，长治市8例，朔州市8例，忻州市7例，吕梁市6例，阳泉市4例，临汾市2例。累计治愈出院124例。现有在院隔离治疗9例，其中重症1例。现有疑似病例0例。目前累计追踪到密切接触者4162人，当日解除医学观察23人，尚在医学观察的密切接触者96人。太原市新冠肺炎疫情防控工作领导小组办公室2020年3月4日（来源:健康太原）
童赵驰,:#生活如诗[超话]#3月3日星期二晴华历二月初十今日新加坡新增冠病毒-19病例2例，累计110例，治愈出院78例，重症7例。晚上和先生到楼下散步，谈论防疫问题，他们说为什么不写下来，可是我现在正在写，《到新加坡诊所看医生》。再说防疫问题是国家层面的问题，我怕触及敏感话题，就像疫情初发时，对中、新两国的做法，我也谈过看法，那些只是茶饭余后闲谈，当不得真。朋友们都觉得我看问题准，问我为什么不写出来，我是小民不想惹祸，不想搏眼球，突然来的两方面的话语，我是招架不住的，平淡生活才是幸福！（下图是我住家附近一角，那天我在楼下散步，一杨柳要和我拍照，我要她的同伴用我的手机拍了几张）#中国境外疫情状况不容乐观##全球抗疫第一线##新加坡##COVID-19#
邵阳热点集,:#邵阳身边事#【权威发布丨邵阳市3月4日新冠肺炎疫情信息】2020年3月3日0-24时，邵阳市报告新型冠状病毒感染的肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例0例。截至3月3日24时，邵阳市累计报告新型冠状病毒感染的肺炎确诊病例102例，累计报告重症病例25例，现有重症病例1例，死亡病例1例，出院病例100例，在院治疗1例。其中：确诊病例中，邵东市38例、新邵县19例、隆回县7例、洞口县11例、绥宁县2例、武冈市5例、新宁县2例、邵阳县5例、大祥区6例、双清区5例、北塔区2例。现有重症病例中，邵东市1例。出院病例中，邵东市37例、新邵县19例、隆回县7例、洞口县11例、绥宁县2例、武冈市5例、新宁县2例、邵阳县5例、大祥区6例、双清区4例、北塔区2例。目前追踪到密切接触者2617人，已解除医学观察2610人，尚有7人正在接受医学观察。#抗击新型肺炎邵阳在行动#
浙江日报,:【全国现有确诊病例已降至3万以下！】3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。
健康时报,:【新冠重症存活率不足五成，专家：救治重症患者都是“守”出来的】“都说给重症患者上呼吸机难、撤呼吸机难，其实最难的是这一过程中的守护。”据国家卫健委消息，截至3月3日24时，全国现有确诊病例27433例，其中重症病例6416例。危重症治疗有多难？3月1日，世界卫生组织发布最新疫情报告指出，新冠肺炎重症患者死亡率超过50%。而刚开始，“来一个死一个”的结果让驻扎同济医院光谷院区的华山医院呼吸科主任李圣青教授几近崩溃。李教授是华山医院呼吸科主任，经历过SRAS，她说，与新冠肺炎的惨烈程度相比，SARS算小巫见大巫。尤其是危重症患者，救治难度比SARS还大。《柳叶刀呼吸医学》杂志2月24日刊登的一项涉及金银潭医院和武汉大学人民医院52名危重症患者的回顾性研究显示，病情进展到危重症后，死亡率高达61.5%，患者从入住ICU到死亡的平均时间为7天。降低危重症患者死亡率成了医生们的心头刺。武汉同济医院光谷院区成立了护心小分队、护肾小分队、护肝、护脑、插管小分队，并称同济光谷“尖刀连”。从2月11日开始，每天下午三点，光谷院区的报告厅都会召开疑难病例讨论会，17支队伍派出代表参加。ICU病房收治的都是危重症患者，医疗团队的救治能力、护理水平和院感防控均面临着极大挑战。就拿最近拔管的老王（化名）来说，ECMO从置管到拔管的10天时间，老王由同济医院的护心和护理团队7人专班守护，4小时轮班，每小时测定凝血时间、机器流量和观察转数，还要看氧气瓶够不够，以及负责卧床病人下肢的康复锻炼。机器使用不难，但是机器要接氧，以前是直接接中央供氧即可，现在全院都在用氧，氧压不稳定，ECMO就会不停报警。只能使用移动的氧气瓶，手动调整到一个合适氧压使用值，保证患者供氧，机器才能够正常运转。在平日的医疗中，ECMO并不是常规治疗手段，很多其它专科的医护人员在疫情发生之前可能都没有使用过。一个不注意，比如管道弯折或者渗漏，对新冠肺炎危重症患者来说可能都是致命一击。而且，老王不仅上了呼吸机，还同时接受连续性血液净化治疗。“什么是有经验的护士，就是不仅会用这些先进的设备，还要把它们用好。”光谷院区血液透析中心护士长鄢建军说，“除了监测设备上的数据，当患者某些指标出现异常时，护士还要第一时间调整仪器的参数，并及时和医生沟通。”像老王这样的危重症患者，其病情一丝一毫的进展，从某意义上来说是护士们一分一秒守出来的。患者做一次连续血液净化的时间是8至10，需要护两位护士轮班一直守在旁边，观察患者的各项指标，每小时需要检测的数据达数十种之多。机器一报警，大家都会很紧张。这个“守”的过程实在是太艰难了！如果救不活，我们都会很受打击。纪录片《中国医生》里有个医生说:救不活一位患者的悲伤是救治了多少患者的快乐都抵消不了的。新冠病毒是一种新型发现的病毒，其致病的机理并不清楚，所以更多的时候都还是对症的治疗。但新冠肺炎危重症患者，多合并有心脑血管、内分泌等方面的基础性疾病，所以在救治时，不能头病医头，脚病医脚。另外，新冠肺炎危重症患者往往需要多系统器官功能的支持，重症感染的控制，营养的支持，呼吸循环及其肾脏功能的支持等，都是需要密切关注的问题。“来自上海、青岛、杭州等地的17支援鄂国家医疗队负责着16个病区及1个ICU，在光谷院区，我们就是一只混编的队伍，大家团结协作，共同完成所有危重症患者的特殊抢救任务！”同济医院光谷院区院长刘继红说，“患者病情重，随时突发重症转危重症，ICU床位有限，没有指望和退路，必须要让所有的队伍充分发挥自己团队力量，同时，同济特战尖刀连也迅速出击，共同解决困难。”（健康时报记者李桂兰孙欢武汉同济医院心内科副教授周宁）
德阳茶人,【#意大利累计确诊新冠肺炎2502例#新增死亡27例死亡病例】#新冠肺炎最新动态#根据当地时间3月3日18时意大利卫生部公布的最近数据，意大利现有新冠病毒患者2263例，死亡79例，治愈160例，累计确诊感染新冠病毒总人数为2502例，较3月2日18时新增466例，其中重症229例，新增27例死亡病例。（人民日报）
濮阳微头条,:#濮阳话题#【截至3月3日24时河南省新型冠状病毒肺炎疫情最新情况】2020年3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。http://t.cn/R2WxHmm
惠城发布,:【疫情仍未结束防控不能松懈】清零！昨日下午，随着阙先生痊愈出院，我市目前收治的62例新冠肺炎确诊病例全部治愈出院。全市无危重病例，无死亡病例。普通病例转重症病例比例、重症病例和危重症病例人数在广东省确诊病例数超过60例的7个地市中均最少，救治效果理想。靠的是什么？清零是否代表疫情结束？市疫情防控工作专家顾问组组长许岸高提醒，“清零”不代表疫情结束，防控仍不能松懈，不能麻痹大意，市民要继续做好个人防护。http://t.cn/A67OV7Nu
心安历史说,:【ICU主任说也会害怕：怕感染，也怕病人不给时间和机会】#湖北新增确诊病例115例#董芳，武汉市第三医院首义院区重症医学科主任。穿着防护服工作，汗水淹到鼻子……过去40多天里，她一直坚守一线。同为医生的丈夫也因救治患者感染上新冠肺炎，所幸扛了过来。她坦言：心底也会害怕，怕自己被感染，怕家http://t.cn/A670cHHR
海南国际旅游岛之声,:【3月3日，海南确诊病例0增长！】#最新疫情地图#3月3日0-24时，海南省报告新型冠状病毒肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例4例。新增出院病例中，海口市2例、三亚市1例、澄迈县1例。截至3月3日24时，海南省累计报告新型冠状病毒肺炎确诊病例168例，重症病例2例，死亡病例5例，出院病例155例。确诊病例中，海口市39例、三亚市54例、儋州市15例、文昌市3例，琼海市6例，东方市3例，万宁市13例、澄迈县9例、临高县6例、昌江县7例、陵水县4例、定安县3例、保亭县3例、乐东县2例、琼中县1例。截至3月3日24时，追踪到密切接触者6263人，已解除医学观察5985人，尚有278人正在接受集中医学观察。来源：海南省卫健委
杭州边锋网络,:【疫情速报确诊降至3万以下】3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例。
香港中通社,:【31省區市新增119例新冠肺炎病例，其中武漢新增114例
乐陵市融媒体中心,:【3月3日0时至24时我市无新增新型冠状病毒肺炎确诊病例】自德州市卫健委获悉：2020年3月3日0时至24时，德州市无新增新型冠状病毒肺炎确诊病例。新增出院病例3例。截至2020年3月3日24时，德州市累计报告确诊病例37例（含重症病例2例，出院病例21例，死亡病例2例），其中：德城区9例（含重症病例1例，出院病例6例，死亡病例1例）、禹城市3例（含出院病例2例）、乐陵市7例（含出院病例4例）、宁津县3例（含出院病例2例）、武城县13例（含重症病例1例，出院病例5例，死亡病例1例）、庆云县2例（含出院病例2例）。无疑似病例。目前，累计追踪到密切接触者1550人，其中已解除医学观察1529人，尚有21人正在接受医学观察。备注：根据国家卫生健康委关于疫情信息报告新要求，按病例确诊时医院所在县区统计；按省疫情信息统计要求，德州市市级定点医疗机构报告的病例，记入德城区发布。2020年3月4日
西藏网警,:【3月3日西藏自治区新型冠状病毒肺炎疫情情况】截止3月3日24时，我区现有新冠肺炎确诊病例0例，重症病例0例，死亡病例0例，疑似病例0例，治愈出院病例1例，累计确诊新冠肺炎病例1例。连续34天无新增确诊或疑似病例。西藏自治区卫生健康委员会温馨提示：机场、火车站和省际交通检查站防控策略1.体温监测。实施体温监测和上呼吸道感染症状等病人全面排查，所有往来人员均进行体温监测，掌握出行轨迹，实行一人一登记。2.人员排查。按照机场、火车站进藏人员排查流程，对进藏人员询问旅居史、记录基本信息，实施进出藏旅客隔离筛查。3.分类管理。体温正常的有固定单位或住所的返藏人员，由所在单位、村（居）负责追踪管理，监督居家隔离14天；体温正常的区外进藏人员，在指定地点观察14天；体温高于37.3℃的进藏人员，由专用车辆送至定点发热门诊排查，进行医学观察；与确诊病例密切接触人员，由专用车辆送至医院医学观察14天。#德国载有1200名乘客游轮检测结果出炉##武汉拟提拔10名战疫一线干部#
运城发布,:【2020年3月4日山西省新型冠状病毒肺炎疫情情况】山西省无新增新型冠状病毒肺炎确诊病例，无新增疑似病例，现有疑似病例0例。2020年3月3日0时至24时，山西省无新增新型冠状病毒肺炎确诊病例，累计报告确诊病例133例。新增治愈出院5例，累计治愈出院124例。现有在院隔离治疗确诊病例9例，其中重症1例。无新增疑似病例，现有疑似病例0例。累计追踪到密切接触者4162人，当日解除医学观察23人，尚在医学观察的密切接触者96人。
固始在线,:【#河南零确诊#固始连续16天无新增确诊病例】2020年3月3日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。无新增治愈和出院患者。无疑似病例。截至3月3日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈267例，治愈率97.4%；累计出院患者267例，出院率97.4%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者2例。目前累计追踪到密切接触者核准2881人，已解除医学观察2742人。#中国境外确诊病例超过1万##人民币也被隔离消毒#
南昌交通广播,:#抗击疫情江西在行动#2020年3月4日，江西省卫生健康委发布疫情通报，2020年3月3日0-24时，江西省无新增新型冠状病毒肺炎确诊病例，新增出院病例14例，累计确诊病例935例，治愈出院病例884例，死亡病例1例；现有重症病例5例，疑似病例1例。其中南昌市报告新增新型冠状病毒肺炎确诊病例0例，新增出院病例2例，累计报告确诊病例230例，累计出院病例218例。南昌市报告无新增确诊病例。各县（区）已确诊病例中，南昌县42例；进贤县37例；安义县5例；东湖区14例；西湖区35例；青山湖区15例；青云谱区14例；新建区9例；经开区5例；高新区43例；红谷滩新区11例。目前追踪到密切接触者4196人，尚有187人正在接受医学观察。
听红河,:#疫情最新情况#【新增确诊病例119例，截至3月3日24时，全国累计确诊80270例】3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。（国家卫生健康委员会）
常德公安,:最新！常德3月3日无新增病例累计出院80例在院治疗2例3月4日，常德市卫生健康委通报，3月3日0-24时，全市新增确诊病例0例，新增重症病例0例，新增出院病例6例。累计报告确诊病例82例（澧县29例，武陵区22例，安乡县9例，鼎城区、桃源县各5例，汉寿县4例，石门县、临澧县各3例，津市市2例），累计出院80例，尚存2例在院治疗，其中重症病例1例，治愈出院率97.56%。截至3月3日24时，全市累计追踪密切接触者3079人，尚有89人正在接受医学观察。
小度游河南,:3月3日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例11例。截至3月3日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例3例，现有危重病例2例，累计死亡病例22例，累计出院病例1234例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39226人，3月3日已解除观察129人，共有843人正在接受医学观察。#关注郑州新型肺炎疫情##郑州疫情监测通报#
北海市疾病控制,:#坚决打赢疫情防控阻击战#据国家卫健委统计，3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。http://t.cn/A67OGXcz
中国警察网,:【#31省区市新增119例新冠肺炎#，#31省区市累计报告80270例新冠肺炎#】3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。　　当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。　　截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。　　湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。　　累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。
河南新农村频道,:【连续十天0确诊！信阳现存住院确诊患者2例】2020年3月3日0-24时，信阳市(含固始县)无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。无新增治愈和出院患者。无疑似病例。截至3月3日24时，信阳市累计报告确诊病例274例。现存住院确诊患者2例。
9号直播间,:【连续十天0确诊！信阳现存住院确诊患者2例】2020年3月3日0-24时，信阳市(含固始县)无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。无新增治愈和出院患者。无疑似病例。截至3月3日24时，信阳市累计报告确诊病例274例。现存住院确诊患者2例。
