新浪重庆,:#重庆抗击新冠肺炎#【最新：重庆连续8日无新增确诊病例现有在院确诊病例为零区县增至14个】2020年3月3日0—24时，重庆市无新冠肺炎新增确诊病例报告，新增治愈出院病例21例。新增治愈出院病例中，万州区5例、涪陵区1例、江北区2例、九龙坡区1例、南岸区1例、合川区1例、綦江区1例、大足区1例、铜梁区1例、垫江县2例、忠县1例、云阳县1例、奉节县1例、巫山县1例、石柱县1例。截至3月3日24时，重庆市现有在院确诊病例80例（其中重型病例5例、危重型病例2例），累计死亡病例6例，累计治愈出院病例490例，累计报告确诊病例576例。累计追踪到密切接触者23602人，已解除医学观察23288人，尚有314人正在接受医学观察。具体情况如下：专家认为，截至3月3日，我市连续8日无新增确诊病例，现有在院确诊病例降至80例，现有在院确诊病例为零的区县增至14个，疫情发展态势积极向好。但是，零增长并不等于零风险。随着企业复工复产比例不断提高，来渝返渝人员包括境外来渝返渝人员不断增加，当前疫情防控形势依然严峻复杂，仍有很大的不确定性，面临着反弹压力，决不能盲目乐观，必须抓紧抓实抓细各项防控措施。重庆市卫生健康委提示：当前仍然是疫情防控的关键时期，广大市民千万不要放松警惕，依然要持续做好个人防护，坚持少出门、戴口罩、勤洗手、不聚餐、不聚集。如果出现发热、咳嗽、乏力等可疑症状，请戴好口罩，及时到发热门诊就诊。
中国共青团杂志,:【一分钟打3500个电话，AI效率远超人力】2月15日起，重庆就开始借助智能外呼机器人，开始“无接触式”通话调研，向重庆市沙坪坝区市民了解是否居住本区、是否有发热等不适症状、是否从外返回复工等问题，并将答案录入系统，每分钟可拨打3500个电话，效率远超人力。同时，人工智能服务还有广泛的应用场景，比如，春节期间，旅客票务问题求助量较去年同期暴增13倍，在人工智能训练师的帮助下，智能机器人发挥了智能外呼和推送的能力，让全国230万消费者出行票务问题得到及时响应和解决。（科技日报）#团青战疫#
攀枝花综合广播,:【一分钟打3500个电话，AI效率远超人力】2月15日起，重庆就开始借助智能外呼机器人，开始“无接触式”通话调研，向重庆市沙坪坝区市民了解是否居住本区、是否有发热等不适症状、是否从外返回复工等问题，并将答案录入系统，每分钟可拨打3500个电话，效率远超人力。同时，人工智能服务还有广泛的应用场景，比如，春节期间，旅客票务问题求助量较去年同期暴增13倍，在人工智能训练师的帮助下，智能机器人发挥了智能外呼和推送的能力，让全国230万消费者出行票务问题得到及时响应和解决。（科技日报）
辽宁卫视,:【数千名志愿者精准守护一线医务人员家庭】新冠肺炎疫情发生以来，全国众多医务工作者支援湖北，奋斗在第一线。为了免除他们的后顾之忧，重庆组织了数千名志愿者，专门服务一线医务人员的家庭。疫情发生以来，重庆市已有7700多名志愿者下沉到社区，结对子为近4500位援助湖北及重庆市内定点医院的一线医务人员家庭提供精准服务。http://t.cn/A67NbnAWhttp://t.cn/RJwKRD0
科技日报,:【一分钟打3500个电话，AI效率远超人力】2月15日起，重庆就开始借助智能外呼机器人，开始“无接触式”通话调研，向重庆市沙坪坝区市民了解是否居住本区、是否有发热等不适症状、是否从外返回复工等问题，并将答案录入系统，每分钟可拨打3500个电话，效率远超人力。同时，人工智能服务还有广泛的应用场景，比如，春节期间，旅客票务问题求助量较去年同期暴增13倍，在人工智能训练师的帮助下，智能机器人发挥了智能外呼和推送的能力，让全国230万消费者出行票务问题得到及时响应和解决。（科技日报记者雍黎）
万州发布,:#重庆市政府新闻发布会#【减税、降费、奖补、贴息，多举措支持企业复工复产和生产经营】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会，会上，市财政局总会计师彭涌通报了重庆疫情防控财政保障情况。截至昨日，全市财政共安排了21亿元。在推动企业复工复产和生产经营方面，对于企业的扶持，与财政相关的减税、降费、奖补和贴息政策，目前绝大部分都出台了具体的落地方案，正在快速推进。另外，减免养老、失业、工伤保险单位缴费，预计为全市参保企业减负100亿元。下一步，市财政局将更加注重与货币、就业、产业、金融等政策的协同发力，扶持实体经济，改善社会民生，扩大政府投资。
大渡口发布,#重庆市政府新闻发布会#【减税、降费、奖补、贴息，多举措支持企业复工复产和生产经营】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），会上，市财政局总会计师彭涌通报了重庆疫情防控财政保障情况。截至昨日，全市财政共安排了21亿元。在推动企业复工复产和生产经营方面，对于企业的扶持，与财政相关的减税、降费、奖补和贴息政策，目前绝大部分都出台了具体的落地方案，正在快速推进。另外，减免养老、失业、工伤保险单位缴费，预计为全市参保企业减负100亿元。下一步，市财政局将更加注重与货币、就业、产业、金融等政策的协同发力，扶持实体经济，改善社会民生，扩大政府投资。
北碚统计,#重庆市政府新闻发布会#【重庆健全体系，做到应治尽治。】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，疫情发生以来，重庆紧紧围绕提高收治率和治愈率，降低感染率和病亡率的要求，不断完善工作机制，集中优势资源，全力做好医疗救治工作。在健全体系，做到应治尽治方面，建立三级医疗救治体系、建立三级专家联动机制、医疗救治全流程标准化、做好医疗物资储备。
重庆发布,:#重庆市政府新闻发布会#【减税、降费、奖补、贴息，多举措支持企业复工复产和生产经营】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），会上，市财政局总会计师彭涌通报了重庆疫情防控财政保障情况。截至昨日，全市财政共安排了21亿元。在推动企业复工复产和生产经营方面，对于企业的扶持，与财政相关的减税、降费、奖补和贴息政策，目前绝大部分都出台了具体的落地方案，正在快速推进。另外，减免养老、失业、工伤保险单位缴费，预计为全市参保企业减负100亿元。下一步，市财政局将更加注重与货币、就业、产业、金融等政策的协同发力，扶持实体经济，改善社会民生，扩大政府投资。
重庆吃喝玩乐排行榜,:#重庆生活#【@重庆高校毕业生在找工作？重庆今年上半年的网络双选都在这儿了
沙坪坝微政务,:#重庆市政府新闻发布会#【重庆健全体系，做到应治尽治。】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，疫情发生以来，重庆紧紧围绕提高收治率和治愈率，降低感染率和病亡率的要求，不断完善工作机制，集中优势资源，全力做好医疗救治工作。在健全体系，做到应治尽治方面，建立三级医疗救治体系、建立三级专家联动机制、医疗救治全流程标准化、做好医疗物资储备。（via重庆发布）
万州发布,:#重庆市政府新闻发布会#【“支持企业40条”真金白银，干货十足】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会，市发展改革委副主任米本家介绍，“支持企业40条”有以下四方面特点：一是重点突出。从“金融支持、财税纾困、降低成本”三方面入手，突出政策发力重点。二是针对性强。回应企业关切，集中出台对企业最直接、最迫切、最有获得感的政策，释放政策动能，增强企业信心，稳定市场预期。三是受惠企业多。不仅覆盖疫情防控重点企业，还覆盖大中小微企业，并将政策受益面扩大到广大个体工商户。四是含金量高。如：续贷续保政策为企业贷款本金展期约1000亿元，节约融资成本8亿元左右；减免缓税款，可申请减免3个月房产税和城镇土地使用税；阶段性减免社会保险，为企业减免保险费达133亿元。
微播南川,#重庆市政府新闻发布会#【“支持企业40条”真金白银，干货十足】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市发展改革委副主任米本家介绍，“支持企业40条”有以下四方面特点：一是重点突出。从“金融支持、财税纾困、降低成本”三方面入手，突出政策发力重点。二是针对性强。回应企业关切，集中出台对企业最直接、最迫切、最有获得感的政策，释放政策动能，增强企业信心，稳定市场预期。三是受惠企业多。不仅覆盖疫情防控重点企业，还覆盖大中小微企业，并将政策受益面扩大到广大个体工商户。四是含金量高。如：续贷续保政策为企业贷款本金展期约1000亿元，节约融资成本8亿元左右；减免缓税款，可申请减免3个月房产税和城镇土地使用税；阶段性减免社会保险，为企业减免保险费达133亿元。
微播南川,#重庆市政府新闻发布会#【共克时艰，重庆推出增强版“支持企业40条”】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市发展改革委副主任米本家介绍，昨日市政府第87次常务会议研究了支持企业复工复产和生产经营的若干政策措施，系统性地整合梳理和补充完善前期的惠企政策，决定推出增强版的40条举措。40条举措主要包括：10条在加大金融支持强度方面的政策，，15条在加强财税纾困力度方面的政策，15条在降低生产经营成本方面的政策。通过“支持企业40条”，帮助企业渡过生产经营难关，加快企业复工复产和重大项目复工开工。
微播梁平,#重庆市政府新闻发布会#【“支持企业40条”真金白银，干货十足】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市发展改革委副主任米本家介绍，“支持企业40条”有以下四方面特点：一是重点突出。从“金融支持、财税纾困、降低成本”三方面入手，突出政策发力重点。二是针对性强。回应企业关切，集中出台对企业最直接、最迫切、最有获得感的政策，释放政策动能，增强企业信心，稳定市场预期。三是受惠企业多。不仅覆盖疫情防控重点企业，还覆盖大中小微企业，并将政策受益面扩大到广大个体工商户。四是含金量高。如：续贷续保政策为企业贷款本金展期约1000亿元，节约融资成本8亿元左右；减免缓税款，可申请减免3个月房产税和城镇土地使用税；阶段性减免社会保险，为企业减免保险费达133亿元。
微播梁平,#重庆市政府新闻发布会#【共克时艰，重庆推出增强版“支持企业40条”】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市发展改革委副主任米本家介绍，昨日市政府第87次常务会议研究了支持企业复工复产和生产经营的若干政策措施，系统性地整合梳理和补充完善前期的惠企政策，决定推出增强版的40条举措。40条举措主要包括：10条在加大金融支持强度方面的政策，，15条在加强财税纾困力度方面的政策，15条在降低生产经营成本方面的政策。通过“支持企业40条”，帮助企业渡过生产经营难关，加快企业复工复产和重大项目复工开工。
微播梁平,#重庆市政府新闻发布会#【早识别、早筛查、早指导、早治疗，重庆全力做好医疗救治工作】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，在关口前移，加强早期干预方面，重庆做了以下几点：疑似病例早识别、可疑病例早筛查、市级专家早指导、关键环节早治疗。在多措并举，提升治疗效果方面，重庆强化多学科会诊，强化危重症患者救治，探索有效的救治手段，优化诊疗方案。此外，周林提醒市民，仍要做好自我健康管理和自我防护，要做到不聚集、戴口罩、勤洗手，如果出现发热、咳嗽、乏力等症状，请戴好口罩及时到发热门诊诊治。
微播梁平,#重庆市政府新闻发布会#【重庆健全体系，做到应治尽治。】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，疫情发生以来，重庆紧紧围绕提高收治率和治愈率，降低感染率和病亡率的要求，不断完善工作机制，集中优势资源，全力做好医疗救治工作。在健全体系，做到应治尽治方面，建立三级医疗救治体系、建立三级专家联动机制、医疗救治全流程标准化、做好医疗物资储备。
重庆发布,:#重庆市政府新闻发布会#【“支持企业40条”真金白银，干货十足】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市发展改革委副主任米本家介绍，“支持企业40条”有以下四方面特点：一是重点突出。从“金融支持、财税纾困、降低成本”三方面入手，突出政策发力重点。二是针对性强。回应企业关切，集中出台对企业最直接、最迫切、最有获得感的政策，释放政策动能，增强企业信心，稳定市场预期。三是受惠企业多。不仅覆盖疫情防控重点企业，还覆盖大中小微企业，并将政策受益面扩大到广大个体工商户。四是含金量高。如：续贷续保政策为企业贷款本金展期约1000亿元，节约融资成本8亿元左右；减免缓税款，可申请减免3个月房产税和城镇土地使用税；阶段性减免社会保险，为企业减免保险费达133亿元。
重庆日报,:【重庆出台“支持企业40条”，预计减免社保费约133亿元】在3日召开的重庆市新冠肺炎疫情防控工作新闻发布会上，重庆市发展改革委副主任米本家围绕“支持企业40条”作了专题解读。增强版的40条举措是重庆市政府第87次常务会议研究了支持企业复工复产和生产经营的若干政策措施后，系统性地整合梳理和补充完善前期的惠企政策后推出的。据米本家介绍，截至3月2日，全市规模以上工业企业开工6475家、开工率达到了99.4%；市级重大在建项目复工549个、复工率98.6%；总体实现了2月底、3月初基本实现全面复工的目标。米本家表示，“支持企业40条”主要包括金融、财税、降成本三个方面：在加大金融支持强度方面提出了10条政策，涉及续贷续保、转贷应急周转资金、担保增信、降低贷款利率等方面。初步估计，为疫情防控重点企业、涉农小微新增低利率贷款250亿元，为受疫情影响小微企业存量贷款展期续贷1000亿元左右。预计为企业节约融资成本16亿元左右。在加强财税纾困力度方面提出了15条政策，涉及增值税率下调、个体户税额调整、税款减免、延长亏损结转年限、延期纳税、农业产销补助等方面。初步估计，缓解企业纳税压力近10亿元；培训补贴约0.8亿元，支持2万名以上的企业职工参加培训。在降低生产经营成本方面提出了15条政策，涉及社保费减免缓、公积金减免缓、援企稳岗返还、租金减免、企业用能用水成本降低等方面。初步估计，将减免社会保险费约133亿元；降低企业用能用水成本14.5亿元左右；返还约16亿元稳岗补助，稳定约70万个就业岗位。米本家介绍，“支持企业40条”含金量高，都是实实在在的“真金白银”。如：续贷续保政策为企业贷款本金展期约1000亿元，节约融资成本8亿元左右；减免缓税款，可申请减免3个月房产税和城镇土地使用税；阶段性减免社会保险，为企业减免保险费达133亿元。米本家表示，下一步，重庆市发展改革委将切实加强“支持企业40条”的贯彻落实，启动实施“春风计划”，派出一批懂政策的机关干部为“政策专员”，用网格化、全覆盖的方式，进一步提升政策知晓率、执行率、兑现率，把政策送到企业。（人民日报）
重庆旅投,:#云旅游##长江黄金邮轮#带您云览三峡之美。@重庆市文化旅游委@重庆旅游@新浪重庆重庆旅投的微博视频
孝感日报,:#湖北加油武汉挺住#【孝感市慈善总会关于新型冠状病毒感染的肺炎防控社会捐赠款使用的公告（第30号）】根据疫情防控工作的需要，现将8337058.98元重庆市慈善总会定向捐赠资金、500万元社会捐赠资金，共计13337058.98元拨付情况公告如下：　　1.市本级7337058.98元，孝感市中心医院2337058.98元（重庆慈善总会定向资金）、拨付市防控指挥部物资保障组500万元（社会捐赠资金）；　　2.孝南区150万元，拨付孝感市第一人民医院；　　3.孝昌县150万元，拨付孝昌县第一人民医院；　　4.大悟县150万元，拨付大悟县人民医院；　　5.云梦县150万元，拨付云梦县人民医院。　　　　　　　　　　　　　　　　　　　　　　　　　　　　孝感市慈善总会　　　　　　　　　　　　　　　　　　　　　　　　　　　　2020年3月3日
大渡口发布,#重庆市政府新闻发布会#【共克时艰，重庆推出增强版“支持企业40条”】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市发展改革委副主任米本家介绍，昨日市政府第87次常务会议研究了支持企业复工复产和生产经营的若干政策措施，系统性地整合梳理和补充完善前期的惠企政策，决定推出增强版的40条举措。40条举措主要包括：10条在加大金融支持强度方面的政策，，15条在加强财税纾困力度方面的政策，15条在降低生产经营成本方面的政策。通过“支持企业40条”，帮助企业渡过生产经营难关，加快企业复工复产和重大项目复工开工。
万州发布,:#重庆市政府新闻发布会#【共克时艰，重庆推出增强版“支持企业40条”】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会，市发展改革委副主任米本家介绍，昨日市政府第87次常务会议研究了支持企业复工复产和生产经营的若干政策措施，系统性地整合梳理和补充完善前期的惠企政策，决定推出增强版的40条举措。40条举措主要包括：10条在加大金融支持强度方面的政策，，15条在加强财税纾困力度方面的政策，15条在降低生产经营成本方面的政策。通过“支持企业40条”，帮助企业渡过生产经营难关，加快企业复工复产和重大项目复工开工。
孝感网槐荫论坛,:#我们共度难关孝感加油#【孝感市慈善总会关于新型冠状病毒感染的肺炎防控社会捐赠款使用的公告（第30号）】根据疫情防控工作的需要，现将8337058.98元重庆市慈善总会定向捐赠资金、500万元社会捐赠资金，共计13337058.98元拨付情况公告如下：1.市本级7337058.98元，孝感市中心医院2337058.98元（重庆慈善总会定向资金）、拨付市防控指挥部物资保障组500万元（社会捐赠资金）；2.孝南区150万元，拨付孝感市第一人民医院；3.孝昌县150万元，拨付孝昌县第一人民医院；4.大悟县150万元，拨付大悟县人民医院；5.云梦县150万元，拨付云梦县人民医院。孝感市慈善总会2020年3月3日
万州发布,:#重庆市政府新闻发布会#【重庆健全体系，做到应治尽治。】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会，市卫生健康委副主任周林介绍，疫情发生以来，重庆紧紧围绕提高收治率和治愈率，降低感染率和病亡率的要求，不断完善工作机制，集中优势资源，全力做好医疗救治工作。在健全体系，做到应治尽治方面，建立三级医疗救治体系、建立三级专家联动机制、医疗救治全流程标准化、做好医疗物资储备。
人民网重庆视窗,:【重庆待排查疑似病例降至个位数】3月3日，重庆市政府新闻办举行新冠肺炎疫情防控工作例行新闻发布会。重庆市卫生健康委副主任周林通报，截至3月2日，全市连续7日无新增确诊病例，29个区县连续14日无新增确诊病例，待排查的疑似病例已经降至个位数，只有3例，疫情防控形势持续向好。http://t.cn/A67NLmeG
大渡口发布,#重庆市政府新闻发布会#【早识别、早筛查、早指导、早治疗，重庆全力做好医疗救治工作】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，在关口前移，加强早期干预方面，重庆做了以下几点：疑似病例早识别、可疑病例早筛查、市级专家早指导、关键环节早治疗。在多措并举，提升治疗效果方面，重庆强化多学科会诊，强化危重症患者救治，探索有效的救治手段，优化诊疗方案。此外，周林提醒市民，仍要做好自我健康管理和自我防护，要做到不聚集、戴口罩、勤洗手，如果出现发热、咳嗽、乏力等症状，请戴好口罩及时到发热门诊诊治。
大渡口发布,#重庆市政府新闻发布会#【重庆健全体系，做到应治尽治。】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，疫情发生以来，重庆紧紧围绕提高收治率和治愈率，降低感染率和病亡率的要求，不断完善工作机制，集中优势资源，全力做好医疗救治工作。在健全体系，做到应治尽治方面，建立三级医疗救治体系、建立三级专家联动机制、医疗救治全流程标准化、做好医疗物资储备。
三峡都市报微博,:#重庆市政府新闻发布会#【重庆健全体系，做到应治尽治】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，疫情发生以来，重庆紧紧围绕提高收治率和治愈率，降低感染率和病亡率的要求，不断完善工作机制，集中优势资源，全力做好医疗救治工作。在健全体系，做到应治尽治方面，建立三级医疗救治体系、建立三级专家联动机制、医疗救治全流程标准化、做好医疗物资储备。
亲爱的芮芮,:【众泰将斥40亿/重庆建新厂】从重庆市发改委获悉，众泰汽车将斥资40亿元在重庆璧山县建设新工厂，设计产能为年产20万台SUV及纯电动汽车整车生产能力。另根据招标信息显示，该项目近期将开工建设，预计将于2017年初正式投产
南岸微发布,#重庆市政府新闻发布会#【早识别、早筛查、早指导、早治疗，重庆全力做好医疗救治工作】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，在关口前移，加强早期干预方面，重庆做了以下几点：疑似病例早识别、可疑病例早筛查、市级专家早指导、关键环节早治疗。在多措并举，提升治疗效果方面，重庆强化多学科会诊，强化危重症患者救治，探索有效的救治手段，优化诊疗方案。此外，周林提醒市民，仍要做好自我健康管理和自我防护，要做到不聚集、戴口罩、勤洗手，如果出现发热、咳嗽、乏力等症状，请戴好口罩及时到发热门诊诊治。
阳光重庆,:【3月3日发布会|重庆“支持企业40条”里的“干货”来了】重庆之声3月3日讯重庆市新冠肺炎疫情防控工作第三十八场新闻发布会3月3日下午举行，市发展改革委副主任米本家对“支持企业40条”作了深入解读。在前期国家和我市已出台政策的基础上，结合近期新形势新情况，我们认真研究谋划了一批力度大、动能强、效果好、针对性强的新政策，进一步加大对企业复工复产和生产经营的支持力度，确保惠企政策落实到位、用足用好。这批政策，昨天已经市政府常务会议审议通过，包括金融、财税、降成本三个方面共计40条政策，帮助企业渡过生产经营难关，加快企业复工复产和重大项目复工开工。米本家表示，“支持企业40条”主要包括三个方面：一是在加大金融支持强度方面提出了10条政策，涉及续贷续保、转贷应急周转资金、担保增信、降低贷款利率、贷款贴息、涉农小微新增贷款、定向授信贷款、疫情专项再贷款、融资担保费奖补、支持外贸企业等方面。初步估计，为疫情防控重点企业、涉农小微新增低利率贷款250亿元，为受疫情影响小微企业存量贷款展期续贷1000亿元左右。预计为企业节约融资成本16亿元左右。二是在加强财税纾困力度方面提出了15条政策，涉及增值税率下调、个体户税额调整、税款减免、延长亏损结转年限、延期纳税、防疫物资保供资金池、培训补助、农业产销补助、物流降本增效、货运恢复、公路运输恢复、服务外包补贴等方面。初步估计，缓解企业纳税压力近10亿元；培训补贴约0.8亿元，支持2万名以上的企业职工参加培训。三是在降低生产经营成本方面提出了15条政策，涉及社保费减免缓、公积金减免缓、援企稳岗返还、租金减免、企业用能用水成本降低、农民工工资保证金减免缓、项目资本金监管、基础设施配套费缓缴、防空地下室易地建设费缓缴等方面。初步估计，将减免社会保险费约133亿元；降低企业用能用水成本14.5亿元左右；返还约16亿元稳岗补助，稳定约70万个就业岗位。据米本家介绍，“支持企业40条”还有四方面特点：一是重点突出。从“金融支持、财税纾困、降低成本”三方面入手，突出政策发力重点。金融政策聚焦为企业提供流动资金、降低融资成本、缓解还本付息压力；财税政策聚焦对企业税款进行“减免扣补缓”，对农业、物流、外包等行业进行财政补贴；降低成本政策聚焦为企业减免社保、降低用能用水成本、降低新开工项目门槛。二是针对性强。回应企业关切，立足治“痛点”攻“难点”疏“堵点”挠“痒点”，集中出台对企业最直接、最迫切、最有获得感的政策，释放政策动能，增强企业信心，稳定市场预期。如：以提供周转资金、专用再贷款、定向授信等措施，为企业注入流动性，破解企业复工复产启动资金难题；以贷款本金展期、利息缓期、降低利率税率等措施，帮助企业恢复正常生产经营活动。三是受惠企业多。不但覆盖疫情防控重点企业，而且覆盖大中小微企业，并将政策受益面扩大到广大个体工商户。呈现出：大型企业减负担保份额，中小微企业降成本保市场，个体工商户缓压力保运转。四是含金量高。政策条条“干货”，都是实实在在的“真金白银”，如：续贷续保政策为企业贷款本金展期约1000亿元，节约融资成本8亿元左右；减免缓税款，可申请减免3个月房产税和城镇土地使用税；阶段性减免社会保险，为企业减免保险费达133亿元。下一步，我们将切实加强“支持企业40条”的贯彻落实，启动实施“春风计划”，派出一批懂政策的机关干部为“政策专员”，用网格化、全覆盖的方式，进一步提升政策知晓率、执行率、兑现率，把政策春风送到每一家企业。（重庆之声记者夏蕴秋）
綦江日报社,:#重庆市政府新闻发布会#【重庆健全体系，做到应治尽治。】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，疫情发生以来，重庆紧紧围绕提高收治率和治愈率，降低感染率和病亡率的要求，不断完善工作机制，集中优势资源，全力做好医疗救治工作。在健全体系，做到应治尽治方面，建立三级医疗救治体系、建立三级专家联动机制、医疗救治全流程标准化、做好医疗物资储备。
重庆发布,:#重庆市政府新闻发布会#【早识别、早筛查、早指导、早治疗，重庆全力做好医疗救治工作】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，在关口前移，加强早期干预方面，重庆做了以下几点：疑似病例早识别、可疑病例早筛查、市级专家早指导、关键环节早治疗。在多措并举，提升治疗效果方面，重庆强化多学科会诊，强化危重症患者救治，探索有效的救治手段，优化诊疗方案。此外，周林提醒市民，仍要做好自我健康管理和自我防护，要做到不聚集、戴口罩、勤洗手，如果出现发热、咳嗽、乏力等症状，请戴好口罩及时到发热门诊诊治。
垫江发布,#重庆市政府新闻发布会#【重庆健全体系，做到应治尽治。】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，疫情发生以来，重庆紧紧围绕提高收治率和治愈率，降低感染率和病亡率的要求，不断完善工作机制，集中优势资源，全力做好医疗救治工作。在健全体系，做到应治尽治方面，建立三级医疗救治体系、建立三级专家联动机制、医疗救治全流程标准化、做好医疗物资储备。
阳光重庆,:【3月3日发布会|全市规模以上工业企业开工率达99.4%，市级重大在建项目复工率达98.6%】重庆之声3月3日讯重庆市新冠肺炎疫情防控工作第三十八场新闻发布会3月3日下午举行，市发展改革委副主任米本家表示，截至3月2日，全市规模以上工业企业开工率达到了99.4%；市级重大在建项目复工率达98.6%；自新冠肺炎疫情发生以来，在市委、市政府的坚强领导下，针对企业关切的急点、难点、痛点问题，市政府和相关部门陆续出台了一系列专项政策和举措，以非常之策为企业复工复产和生产经营保驾护航，全市企业正在加速复工复产，经济社会活力正在逐步恢复。截至3月2日，全市规模以上工业企业开工6475家、开工率达到了99.4%；市级重大在建项目复工549个、复工率98.6%；总体实现了2月底、3月初基本实现全面复工的目标。（重庆之声记者夏蕴秋）
中国水运报,:【川渝将携手推进交通一体化建设共同建设长江上游航运中心】3月2日，从重庆市交通局传出消息，川渝两地交通部门已形成《关于进一步深化川渝交通运输合作有关事宜会议纪要》(下称《纪要》)，根据《纪要》，在强化综合交通一体化规划建设方面，双方将共同编制区域交通规划、加快省际高速公路、毗邻地区干线公路建设，协同推动水运通道建设。统筹加强运输组织管理，共同建设长江上游航运中心。在通道建设方面，双方将逐步完善成渝两地间综合运输网络，探索推进铁公、铁空等旅客联程联运，大力发展多式联运。在运输组织方面，双方将联合推进“互联网+交通运输”，共同推进城乡客运一体化发展，积极推行公交和地铁“一卡通”。在铁路建设方面，双方将全力推进成渝中线高铁前期工作，加快渝昆高铁建设和既有成渝客专提速工作，力争渝西高铁、渝万高铁、成达万高铁早日开工建设，构建成渝地区双城经济圈大运量客运通道。http://t.cn/A67NZ62P
重庆发布,:#重庆市政府新闻发布会#【重庆健全体系，做到应治尽治。】今（3）日，重庆市政府新闻办举行重庆市新冠肺炎疫情防控工作新闻发布会（第三十八场），市卫生健康委副主任周林介绍，疫情发生以来，重庆紧紧围绕提高收治率和治愈率，降低感染率和病亡率的要求，不断完善工作机制，集中优势资源，全力做好医疗救治工作。在健全体系，做到应治尽治方面，建立三级医疗救治体系、建立三级专家联动机制、医疗救治全流程标准化、做好医疗物资储备。
油画家郝亭,:1989年去重庆大昌镇写生记忆。大昌镇位于重庆市东部渝陕鄂三省市交汇处，迄今已有1700多年历史。大昌古镇为省级重点文武保护单位。只可惜修三峡大坝时毁掉了。@三吾铭@李素华油画家@卖火柴的两毛钱@口天冬木木2002@陕西泥娃娃http://weibo.com/u/1462253952
东阳检察,:踢踹　吐口水　咬伤民警重庆南川：一女子涉嫌妨害公务罪被提起公诉李立峰　梁宵　　本报讯（记者李立峰　通讯员梁宵）近日，由重庆市南川区检察院提起公诉的王某涉嫌妨害公务案在南川区法院开庭审理，被告人王某被判处有期徒刑六个月。踢踹　吐口水　咬伤民警
微渝中,:【战疫故事丨爱心捐赠助力解放碑片区企业复工复产】今日，记者从解放碑CBD管委会获悉，为支持解放碑片区企业做好复工复产防疫准备，重庆市红十字会及重庆商社集团日前向解放碑CBD管委会捐赠了一批防疫物资。http://t.cn/A67NPvX1
东阳检察,:一场特殊的视频答复李立峰　凌高锦　　“您的申诉案件目前正在办理中。根据最高检‘件件有回复’工作要求，我们现将案件办理情况告知您……”新冠肺炎疫情防控期间，重庆市南岸区检察院检察官刘蔚琳通过视频连线的方式，向申诉人廖某在线告知了其控告申诉案件的相关办理情况。一场特殊的视频答复
