三秦都市报,:【阿念：我#转院去火神山医院陪外婆#
ohoh_不辞朦胧·,#新冠肺炎重症患者死亡率超过50%#50％，这太高了吧。真的越来越敬佩一线的战士了，奔赴一线作战，他们都是英雄。#中国境外累计确诊新冠肺炎8774例#一定要严控境外人员入境啊，不能让我们现在的成果，功亏一篑啊。
QINGRurururu,【暖心又可爱！#重症监护室大管家陈静#
贵阳新闻网,:#贵州全力抗击新型肺炎疫情#【2020年3月2日12—24时贵州省新型冠状病毒肺炎疫情情况】截至3月2日24时，全省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例；男性74例，女性72例；年龄最大87岁，最小1个月（确诊时间）；贵阳市36例（治愈28例，死亡1例），遵义市32例（治愈19例），六盘水市10例（治愈8例，死亡1例），安顺市4例(治愈4例），毕节市23例（治愈16例），铜仁市10例（治愈10例），黔东南州10例（治愈10例），黔南州17例（治愈15例），黔西南州4例（治愈4例）。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2482人，尚在接受医学观察20人。来源：贵州省卫生健康委员会官方网站。
湖州广电新媒体,:【截至3月2日24时新型冠状病毒肺炎疫情最新情况】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。来源：国家卫生健康委员会官方网站http://t.cn/A679fDkN
韩亡子房奋,:#李跃华医生#新冠肺炎是一种自限性疾病，就是不进行任何抗病毒治疗，仅进行支持治疗，大部分人也能自愈。医院会进行抗病毒治疗，为的是防止病情发展成重症，但治好了未必就是抗病毒药物的功劳。像李跃华他们治好了病人是正常的，但是是不是他的药物起作用?那就不知道了。所以要进行随机双盲实验，没有经过随机双盲实验，就宣布有治疗效果是耍流氓。
在信阳,:【信阳无新增确诊，无疑似！现存住院2例】2020年3月2日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者5例（信阳市第五人民医院3例、潢川县人民医院1例、息县人民医院1例）。新增出院患者5例。无疑似病例。截至3月2日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈267例，治愈率97.4%；累计出院患者267例，出院率97.4%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者2例。目前累计追踪到密切接触者核准2863人，已解除医学观察2702人。#31省区市新增125例新冠肺炎##河南零确诊#
娄底新闻网,:#湖南防控新型肺炎#【3月3日最新！娄底无新增确诊病例，累计出院病例66例】2020年3月2日0-24时，娄底市无新增确诊病例，新增出院病例4例。截至3月2日24时，娄底市累计报告新冠肺炎确诊病例76例，现有重症病例3例，死亡病例0例，累计出院66例。 目前，全市共追踪到密切接触者1970人，其中37人转为疑似或确诊病例，现已解除医学观察1854人，尚有84人正在接受医学观察。娄底市新冠肺炎疫情防控工作指挥部2020年3月3日http://t.cn/A679fd7y
精彩渝水,:#抗击新型肺炎江西在行动##联防联控江西在行动#【#江西医疗队帮助武汉五院开展首例ECMO#，成功救治病危患者】2月28日，江西首批援助湖北医疗队开展了武汉市第五医院第一例ECMO（体外膜肺氧合系统）治疗，成功救治了一位生命垂危的新冠肺炎患者。主刀医生是江西省人民医院重症医学科主治医师杨小刚，ECMO将替代患者的肺脏功能成为“人工肺”。http://t.cn/A67iQFdK
兰陵大小事,:#临沂打赢疫情防控硬仗#【3月2日12时至24时临沂无新增确诊病例！】3月2日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院38例，累计治愈出院497例。截至目前，追踪到密切接触者16956人，尚有529人正在接受医学观察。http://t.cn/RxRVRZ5
扒皮深度电影,:#日本新冠肺炎治疗方案#说句实话如果这是普通感冒真的我很赞成日本不吃药自愈就可以我在日本留学确实感冒发烧从来没有打针但是现在是病毒感冒我觉得还是有必要把重症轻症分等级隔离一下毕竟致死的可能性还是在的！
知你趣,#新冠肺炎患者的肺和SARS患者的有何区别#没有根本区别，只是这次疫情决择太粘，患病人数多，传染速度快，而且防不胜防，当初救冶力量弱，不少轻症转成重症。相信一定会度过难关！
太原日报,:#坚定信心打赢疫情阻击战#【#意大利新冠肺炎确诊病例超两千#】3月2日，意大利确诊病例数继续大幅上升，累计确诊病例数从此前一天的1694例增至2036例，死亡病例数新增18例至52例，此外还有166人是重症患者，治愈患者149人。#众志成城战疫情##意大利累计确诊2036例新冠肺炎##伊朗将中国诊疗方案译成波斯语#http://t.cn/A679tLDb
日本傻事,【#日本新冠肺炎治疗方案#：不满50岁患者多能自愈，未必用抗病毒药】#周刊君与你共同战疫#3月2日，日本感染症学会日前公布了新型冠状病毒疾病治疗方案，其中主张，由于不满50岁的患者多数能够自愈，不一定需要用抗病毒药进行治疗，仅采取对症疗法等持续观察即可。上述报道称，新冠肺炎尚无特效药，但由于50岁以上的患者很可能出现呼吸衰竭，发生血液中含氧量不足的“低血氧症”时将考虑使用抗病毒药。@七环视频http://t.cn/A67o51o8
心空身尘2,❌疫情爆发❌意大利人也不戴口罩，也不用消毒水，也不闭门思过，认为戴口罩怪怪的，大街上戴口罩的大多是理性智慧的中国华人……
精彩渝水,:#抗击新型肺炎江西在行动##联防联控江西在行动#【这名医生带着“神器”上前线改善患者呼吸症状】南昌大学第二附属医院华福洲将发明的一款简易呼吸装置，应用于武汉协和医院肿瘤中心Z15病区17例需要氧疗的新冠肺炎重症和危重症患者。经临床实践显示，这些患者的呼吸症状均有改善和好转，已经有2名危重患者转为重症，15名重症患者中8人转为普通型，7名患者呼吸症状改善。http://t.cn/A679bYRo
建德发布,:【杭州连续12日无新增确诊病例！专家提醒：应急响应等级虽调整，但防控意识不能放松】2020年3月2日0-24时，杭州市无新增新型冠状病毒肺炎确诊病例。无新增重症病例，治愈出院5例。
李沧检察,:#关注新冠肺炎#【西藏连续33天无新增新冠肺炎确诊或疑似病例】据西藏自治区卫健委官网消息，截止3月2日24时，西藏自治区现有新冠肺炎确诊病例0例，重症病例0例，死亡病例0例，疑似病例0例，治愈出院病例1例，累计确诊新冠肺炎病例1例。连续33天无新增确诊或疑似病例。
紫金山视频,:【#我家7人在一线#】武汉市民汤毅有7位家人投身战疫一线：学医的老婆疫情一发生就主动上了前线；护士表妹主动请缨到了重症监护病房；在120工作的表妹一天要接送患者20多趟……汤毅也没闲着，购买防护物资给医护人员，用这样的方式守护亲人。期待你们早日团聚！#共同战疫#央视新闻的微博视频
半岛网,:【山东无新增确诊病例青岛累计治愈出院58例】2020年3月2日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院38例，累计治愈出院497例。截至目前，追踪到密切接触者16956人，尚有529人正在接受医学观察。
中医杨桢,:【华盛顿州12例中死了5例】世界卫生组织在新闻发布会中谈到：“80%的新冠肺炎患者是轻度症状，能够自愈或治愈，并不会发展为重症。”轻症患者的“自愈”和“治愈”，实际上就是中医所说的“排毒”过程。如果没有中医的介入，“自愈”对于很多基础体质不好的人，是很难实现的——病毒损坏了人的生理机能，生命非常脆弱。中西医护工作者以人为本，联合对抗疫情，才构成了“自愈”的安全轨道。没有中医，轻症患者的占比恐怕不会是80%。
逐鹿朽年_,#佛罗里达州宣布进入公共卫生紧急状态#疫情无国界，大家都要好好防护啊！希望能早日控制疫情!#钟南山团队建议严格防控实施至4月底#加油!一定会好起来的
理财信息报,:【疫情动态：湖北新增确诊病例114例累计确诊病例67217例】国家卫健委数据显示，湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。
回味菜蒲鹏,:【#纽约首例患者未在医院治疗#纽约州长：80%都能自愈没必要去医院】纽约市长安德鲁.科莫表示，80%的新冠肺炎病例都会自愈，不用去医院。当初武汉资源不够让轻症患者在家自我隔离，后来多少转重症？又挨了多少骂？谁都以为自己是那80%，结果一不小心成了那20%。患者无法自我判断病情发展，这些都是为自己准备不足的开脱。http://t.cn/A679fyd5
只陈述事实2,:#新冠肺炎重症患者死亡率超过50%#
不期而遇的懒汉,:国外的佛系抗疫方案，有一个误区，因为新冠肺炎百分之八十以上为轻症和普通型病例，无需特殊治疗可以自愈，我曾经也如此坚定。但是这种思路忽视了一点，新冠病毒人群普遍易感，即是不到百分之二十的重症病人也足以使任何地方的医疗系统崩溃数次。在武汉封城初期，我比美国人更乐观。http://t.cn/z82PXQy
湖北爱乐广播,:【#31省区市新增新冠肺炎125例#其中#武汉新增111例新冠肺炎#】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。http://t.cn/A67KmpeP
理财信息报,:【疫情动态：挪威新冠肺炎确诊病例增至25例】当地时间3月2日晚，据挪威广播电视公司报道，挪威公共卫生研究所（FHI）称，已经确认挪威有25人感染新冠肺炎，并表示都不是重症病例，新病例均与国外爆发的感染有关，大多数病例与意大利有关。这些患者目前均在家隔离。
双流九江街道,:【四川第二次！两位新冠肺炎康复者捐献恢复期血浆
冬日恋丞指南,:#新冠肺炎重症患者死亡率超过50%#我记得最开始特朗普说：我们完全可以控制！
黔东南政务微博,:截至3月2日24时新型冠状病毒肺炎疫情最新情况3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。　　当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。　　截至3月2日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例30004例（其中重症病例6806例），累计治愈出院病例47204例，累计死亡病例2943例，累计报告确诊病例80151例，现有疑似病例587例。累计追踪到密切接触者664899人，尚在医学观察的密切接触者40651人。　　湖北新增确诊病例114例（武汉111例），新增治愈出院病例2410例（武汉1846例），新增死亡病例31例（武汉24例），现有确诊病例28216例（武汉24144例），其中重症病例6593例（武汉6020例）。累计治愈出院病例36167例（武汉23031例），累计死亡病例2834例（武汉2251例），累计确诊病例67217例（武汉49426例）。新增疑似病例64例（武汉62例），现有疑似病例434例（武汉316例）。　　累计收到港澳台地区通报确诊病例151例：香港特别行政区100例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区41例(出院12例，死亡1例)。
FM104女人电台,:#众志成城抗疫情#【意大利新增342例新冠肺炎，意大利累计确诊2036例新冠肺炎#】根据当地时间3月2日18时意大利卫生部公布的最近数据，意大利现有新冠病毒患者1835例，死亡52例，治愈149例，累计确诊感染新冠病毒总人数为2036例，较3月1日18时新增342例，其中重症166例，新增18例死亡病例。（来源人民日报）
佛坪共青团,【#大叔溜出重症病房打太极拳被劝回#
西湖发布,:【3月3日最新疫情通报︱专家提醒：应急响应等级虽调整，但防控意识不能放松】#抗击新型冠状病毒肺炎#2020年3月2日0-24时，全市无新增新型冠状病毒肺炎确诊病例。无新增重症病例，治愈出院5例。截至3月2日24时，全市已连续12天无新增新型冠状病毒肺炎确诊病例。全市累计报告新型冠状病毒肺炎确诊病例169例。其中：余杭区37例，桐庐县24例，江干区19例，萧山区18例（其中机场检疫1例），西湖区16例，拱墅区12例，上城区10例，钱塘新区8例，下城区7例，滨江区、富阳区、临安区各5例，建德市3例。累计出院170例（其中划归外省病例12例）。http://t.cn/A679VWiw
别碰我的帽子W,:那段时间，大概是迫不得已做世界上最惧怕死亡的人了，一声咳嗽、一下头痛、一次胸闷吓死自己，完全不像一个二十多年没生过一场大病没住过一次院甚至没打过一次吊针的人。我命由天。#新冠肺炎重症患者死亡率超过50%#
互联网焦点网,:【湖南首例#3D打印的新冠肺炎病灶模型#：清楚看清病变分布
广东检察,:【#31省区市新增新冠肺炎125例#其中#武汉新增111例新冠肺炎#】3月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例125例，新增死亡病例31例（湖北31例），新增疑似病例129例。当日新增治愈出院病例2742例，解除医学观察的密切接触者7650人，重症病例减少304例。Via央视新闻
益阳网警巡查执法,:【见屏如面｜收到妻子发来的视频，男护士落泪了…】近日，湖北黄冈。清洁病房垃圾、照护病人…株洲市中心医院重症医学科副护士长郭希忙完一天回到酒店。同事给郭希看了一个视频，原来是妻子发来的。看到一半时，郭希鼻子一酸，眼泪禁不住流下来了。“眼泪并不代表我害怕了，而是对家人的亏欠和思念。”郭希说。http://t.cn/A67Jd5jR
临沂文明,:【3月2日12时至24时临沂无新增确诊病例！】2020年3月2日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院38例，累计治愈出院497例。截至目前，追踪到密切接触者16956人，尚有529人正在接受医学观察。http://t.cn/A679V9ub
fengqiu29,【
health的麟角虎翅,:我在看：【重症治疗有何新方向？出院者如何康复治疗？日常门诊需求怎样保障？】#跟新浪看热点#重症治疗有何新方向？出院者如何康复治疗？日常门诊需求怎样保障？
中国新闻网,:#关注新冠肺炎#【西藏连续33天无新增新冠肺炎确诊或疑似病例】据西藏自治区卫健委官网消息，截止3月2日24时，西藏自治区现有新冠肺炎确诊病例0例，重症病例0例，死亡病例0例，疑似病例0例，治愈出院病例1例，累计确诊新冠肺炎病例1例。连续33天无新增确诊或疑似病例。
山东辟谣,:#山东3市新冠肺炎病例清零#【泰安聊城菏泽3市新冠肺炎病例清零】#山东累计治愈出院497例#据山东省卫健委公布的最新疫情数据，2020年3月2日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院38例，累计治愈出院497例。除去东营从疫情开始到现在未出现一例患者外，截至目前，聊城、泰安、菏泽新冠肺炎住院病例清零。
你和自己唱相守609,:#新冠肺炎重症患者死亡率超过50%#希望快点过去，一线的工作人员辛苦了！！
用户刷一下,:就是说，霉的重症病人，自己硬扛，扛不住就jiu了。而且突发猛，突然变重，家人也没有反应过来，没能及时救治。
苏莘_苏,丽水一天发现7例意大利输入，意大利死亡数52，确诊报2000，实际感染数字，经历过的都懂……
咪呀全球旅拍明星大理站,:#咪呀暖心视频#【暖心又可爱！#护士制作超萌新冠护患沟通手册#
生活日报,:#山东3市新冠肺炎病例清零#【泰安聊城菏泽3市新冠肺炎病例清零】#山东累计治愈出院497例#据山东省卫健委公布的最新疫情数据，2020年3月2日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院38例，累计治愈出院497例。除去东营从疫情开始到现在未出现一例患者外，截至目前，聊城、泰安、菏泽新冠肺炎住院病例清零。#湖北以外连续2天无新增死亡病例#via.@齐鲁晚报
生活日报,:#山东3市新冠肺炎病例清零#【泰安聊城菏泽3市新冠肺炎病例清零】#山东累计治愈出院497例#据山东省卫健委公布的最新疫情数据，2020年3月2日12-24时，山东省无新冠肺炎疑似病例；无新增确诊病例，累计确诊病例758例（其中，重症病例7例，危重症病例2例，死亡病例6例）；新增治愈出院38例，累计治愈出院497例。除去东营从疫情开始到现在未出现一例患者外，截至目前，聊城、泰安、菏泽新冠肺炎住院病例清零。#湖北以外连续2天无新增死亡病例#via.@齐鲁晚报
庐阳正道,【点菜式护理！医疗队护士手绘图片卡重症患者一指就秒懂】江西第一批援助武汉医疗队护士陈钰浠制作了一套原创“图解版护理需求表”，她说，重症病人普遍都要靠气管插管维持，几乎都不能说话，加上方言比较重，交流起来有困难。于是她图文结合制成了这张表，患者有什么需求，只要点头或者指一指就行。这种“点菜式”护理，破解了护患沟通障碍，医生同行也纷纷点赞。#医疗队护士点菜式护理#（中国新闻网江西日报）http://t.cn/A677s4wy
85号特种兵,:#新冠肺炎患者的肺和SARS患者的区别#意思就是这次比非典轻，但是都很严重就完事了需要足够重视防控，不能放松。#新冠肺炎重症患者死亡率超过50%#川普当初可是信誓旦旦地说他们能控制.....
唐唐不哭,【世卫组织：#中国境外疫情状况不容乐观#】当地时间2日，世卫组织总干事谭德塞表示，目前中国新冠肺炎病例数持续下降，但中国境外新冠肺炎疫情状况不容乐观。韩国、意大利、伊朗和日本最令人担忧。#世卫组织已派团队抵达伊朗#，支持当地开展防疫措施。目前世卫组织驻伊朗办事处有一名员工确诊，症状轻微。（总台记者朱赫）
东兴陈家峰,:邱海波：重症病人在哪我就应该在哪邱海波：重症病人在哪我就应该在哪
西安网,:【贵州：无新增新冠肺炎确诊病例累计治愈出院114例】#关注新冠肺炎#截至3月2日24时，贵州省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院114例，在院治疗30例（轻症及普通型27例，重症1例，危重症2例），死亡2例。现有疑似病例1例。累计追踪密切接触者2574人，已解除医学观察2482人，尚在接受医学观察20人。
陈卤蛋麻麻,【10:00播报】截至3月3日10:00国内疫情数据：现存确诊30095，现存疑似587，现存重症6806，累计确诊80302，累计死亡2947，累计治愈47260国外疫情数据：现存确诊9636，累计确诊10415，累计死亡168，累计治愈6113月3日早间疫情动态国外：1、国外累计确诊病例破万，世卫组织：中国境外疫情状况不容乐观2、韩国累计确诊数量达4812人，2日全天新增确诊600例国内：1、湖北以外新增确诊病例出现反弹，新增确诊数为11例，其中浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例）2、湖北以外连续两天无新增死亡病例3、湖北除武汉外新增确诊3例，湖北14个市州新增病例为0
