我不做主你做主,:#韩国大邱一确诊者混入长队买口罩#确诊了不入院治疗吗？这是什么操作
西边的木堇开得正好,【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，也请帮忙转发。@姚晨
卖女孩的小砒霜,对不起各位暴发户，我也是暴发户，看我微博就知道了。因为目前我母亲发现恶性肿瘤，乳腺癌脑转，但是因为疫情无法住院，所以占用毛毛一点资源，请求帮助，肯请各位体谅，也请大家帮忙，玩不想没有妈妈！！！求求大家了。【姓名】尤芳【年龄】71【所在城市】北京市【所在小区、社区】东城区【患病时间】2月26号【联系方式】13681245822【其他紧急联系人】【病情描述】2006年发现乳腺癌，全乳切除，切除后进行了化疗和放疗2020年2月初，头疼，恶心，吃不下饭，一吃东西就吐，因为疫情一直在家里忍着，后来实在太难受，去东直门医院挂了急诊，做了ct，医生建议去天坛医院确诊，于是2月26日去天坛医院做了核磁共振检查，3月3日拿到片子，主任医师说是乳腺癌转移到脑，有多个肿瘤，其中最大的着小脑已经4公分，现在发展的很快，必须要做手术，但是因为疫情，医院都不收病人，大夫只让回家等疫情结束.但是真的等不了啊！等到疫情结束人可能就没了！！求求帮忙让我妈妈住院吧，我现在不在老人身边，只有快八十的老父亲照顾我母亲，两个老人一筹莫展，求求了，安排我母亲住院吧！大恩大德没齿难忘！下面是我母亲是的片子，不懂的人也能看到一个好大的肿瘤！真的没法等了！救命啊我的微信号：xiaoxiaorain0318，也可以随时联系我.以上信息保证真实有效！谢谢，叩谢，大恩大德没齿难忘！
合肥反邪教,:【#韩国大邱建方舱医院#：为中轻症病患集中隔离，首座可收160人
KUMA_小姐,#武汉义务送药人被举报赚差价#【鲸视频：武汉送药人义务送药被人举报“赚差价”，配合调查期间奶奶脑出血昏迷入院】武汉“封城”后，25岁的中学老师吴悠@海边的万物理论，骑上电瓶车为网上的求助者义务送药。截至目前，吴悠和朋友们已经为600多户求助者送去药品和防护物资。刚开始，莲花清瘟、口罩、酒精等防护物资都是免费送，阿比多尔、莫西沙星等四种药低于市场价出售。近日，有人以非法售药和牟利举报了吴悠。在配合调查时，吴悠奶奶因脑溢血昏迷，被送进医院。“当时义务送药就是希望能推动疫情早日结束，这样奶奶就能早点住进医院，不会患上老年痴呆，不会忘记我。”#武汉义务送药人被举报#@剥洋葱http://t.cn/A67yV0xQ
十级端水玩家,:发布了头条文章：《梅艳芳母亲疑入院，曾争取女儿近亿遗产，家人称只是普通感冒》梅艳芳母亲疑入院，曾争取女儿近亿遗产，家人称只是普通感冒
龙南发布,:【关怀点燃希望曙光照进心房】疫情防控期间，随州曾都医院中有一位78岁的婆婆一入院就心事重重，甚至想放弃治疗。在医护人员的关心下，婆婆才逐渐敞开心扉。在关心之余，大家还陪她拉家常，婆婆脸上终于有了笑容，并积极治疗。曾都医院感染八区最初收治了39位病人，在随州和江西医护人员的努力救治下，病人们陆续出院。患者们表示，感谢江西所有的医护人员。#防控新型肺炎江西在行动##联防联控江西在行动#http://t.cn/A67Cby6h
法治时间-融媒体,:【34.8℃？医院入口测温不准！海淀卫监深入医疗机构查漏补缺】近日，海淀区卫生健康监督所对辖区某医疗机构进行疫情防控监督，查漏补缺。执法人员一进门，就发现体温测试点存在问题。登记表显示，有人实测体温只有34.8℃！执法人员表示，这是入院的“第一道”防疫关口，如果测温差距大，工作人员需使用水银温度计测温，及时校准，防止真正发热的患者进入。http://t.cn/A67C4W71
不是迪迦奥特曼的夹心,2.5发出一句“你好”2.28说不出一句“再见”
洛拉小栈等待注销,:我只不过说了一句我很不满意青岛的防控措施，就被某个博主给举报了
mmmmary0216,#武汉义务送药人被举报赚差价#【武汉送药人：义务送药被人举报“赚差价”，配合调查期间奶奶脑出血昏迷入院】武汉“封城”后，25岁的中学老师吴悠@海边的万物理论，骑上电瓶车为网上的求助者义务送药。截至目前，吴悠和朋友们已经为600多户求助者送去药品和防护物资。刚开始，连花清瘟、口罩、酒精等防护物资都是免费送，阿比多尔、莫西沙星等四种药低于市场价出售。近日，有人以非法售药和牟利举报了吴悠。在配合调查时，吴悠奶奶因脑溢血昏迷，被送进医院。“当时义务送药就是希望能推动疫情早日结束，这样奶奶就能早点住进医院，不会患上老年痴呆，不会忘记我。”#武汉义务送药人被举报#@剥洋葱http://t.cn/A67yV0xQ
经视直播官方微博,:【湖北省中医院成为滞留在武昌外地人员非新冠肺炎就医用药的定点医院】3月1日起，湖北省中医院花园山院区正式成为服务滞留在武昌区外地人员非新冠肺炎就医用药的定点医院。这部分患者要入院必须持武昌区卫生健康委滞留人员转诊单方能入院，预检分诊排查体温后进入绿色通道。按照要求，滞留人员就医全免费，住院期间的生活保障、急危重症病人护理工作均由医院组织实施，所需费用由武昌区卫健局核定结算。（湖北经视记者童亮通讯员胡梦）
看见山东,:#硬核山东##山东新型肺炎疫情情况#【济南市传染病医院今天又有4例患者出院，全市已治愈36例！】济南市传染病医院今天有4例确诊患者康复出院，至此，济南市传染病医院已有32例病人出院，济南市共有36例确诊患者出院。先出来的两名患者都是普通型，他们入院时有发热咳嗽等典型症状，对他们进行了抗病毒治疗，加上中医药，整个治疗过程顺利。其中一名患者耿某某，正在上研一，是第27例确诊病例的女儿，24日被感染的，其妈妈已经出院。她说，“医护人员对我像亲人一样，走很舍不得，感谢主任、护士长，我们留了联系方式，会再相见的。我知道他们背后也有家庭，抛下家庭为了我们。”另一名小患者王某某，5岁，其妈妈已经出院12天，爸爸还在住院。他们一家三口是去武汉探亲时被传染的。“我在医院不怕。我在病房里还给爸爸过生日了。”孩子说。他们出院后要在留观点隔离14天，回家还要再隔离14天，一共是四周。#济南身边事#
京讯网安徽,:#安徽抗击肺炎#【新增“清零”城市！六安最后六名确诊病例出院！】1月20日，六安出现首例新冠肺炎确诊患者，1月30日，六安首例确诊患者治愈出院。截止3月3日，六安共报告确诊病例69例，治愈出院69例，为全省第二个确诊患者治愈出院“清零”城市。自首例确诊病例入院以来，六安始终坚持集中患者、集中专家、集中资源、集中救治“四集中”，充分发挥六安中医药大市和“西山药库”资源，切实做到一人一方案、一人一团队、一天一会诊“1+1+1”和感染、呼吸、重症、中医多学科联合治疗，取得了零病亡的优秀成果。为防止治愈患者出院后发生交叉感染，提高机体抵抗力，加快患者康复，六安又率先提出定点隔离休养、居家医学观察、健康状况随访“三段式”接续管理服务，目前已被省疫情防控应急指挥部办公室在全省各市推广。
赣粤一线工,:天津又有两例已出院患者"复阳"两人再次入院观察天津又有两例已出院患者"复阳"两人再次入院观察
财富半岛代理加盟营营,:新生儿黄疸，入院第二天了只有周一、三、五可以打电话问情况昨天打电话问孩子一切都好黄疸值也降到了正常数值，7说儿子一切都好
冰蛇陛下,:二舅的病又出现新情况……又需要住院治疗了，尽管事先联系好了，但是过去折腾了半天也没安顿好，因为现在非常时期，要额外做完肺炎相关体检才能够住院…也真的是幸亏山西这边情况不是很严重，好歹还能给安排入院，程序麻烦，但基本也不用担心去医院有其他的感染风险，都不敢想那些情况严重的地方该有多难。
毛毛蟲0213,:【視頻分享】男童阿霖遇上交通意外入院，表面上已無大礙，但馬國明張一健醫生仍然想佢留院再觀察多一晚，但楊怡范子妤醫生為咗完到阿霖參加音樂比賽嘅願望，成功游說黃智賢莊博文醫生畀佢讓霖出院，結果比賽前夕阿霖竟然出事昏迷不醒！顏值演技最高峰
九杯千岁,#武汉义务送药人被举报#【武汉送药人：义务送药被人举报“赚差价”，配合调查期间奶奶脑出血昏迷入院】武汉“封城”后，25岁的中学老师吴悠@海边的万物理论，骑上电瓶车为网上的求助者义务送药。截至目前，吴悠和朋友们已经为600多户求助者送去药品和防护物资。刚开始，连花清瘟、口罩、酒精等防护物资都是免费送，阿比多尔、莫西沙星等四种药低于市场价出售。近日，有人以非法售药和牟利举报了吴悠。在配合调查时，吴悠奶奶因脑溢血昏迷，被送进医院。“当时义务送药就是希望能推动疫情早日结束，这样奶奶就能早点住进医院，不会患上老年痴呆，不会忘记我。”#武汉义务送药人被举报赚差价#http://t.cn/A67yV0xQ
丁蕊香,:美好的一天，因为新生儿入院一月了昨晚发热，心情不美丽。
合肥交通广播,:#1026疫情防控权威发布#【清零！刚刚，六安最后六名确诊病例出院！】1月20日，六安出现首例新冠肺炎确诊患者，1月30日，六安首例确诊患者治愈出院。截止3月3日，六安共报告确诊病例69例，治愈出院69例，为全省第二个确诊患者治愈出院“清零”城市。自首例确诊病例入院以来，六安始终坚持集中患者、集中专家、集中资源、集中救治“四集中”，充分发挥六安中医药大市和“西山药库”资源，切实做到一人一方案、一人一团队、一天一会诊“1+1+1”和感染、呼吸、重症、中医多学科联合治疗，取得了零病亡的优秀成果。为防止治愈患者出院后发生交叉感染，提高机体抵抗力，加快患者康复，六安又率先提出定点隔离休养、居家医学观察、健康状况随访“三段式”接续管理服务，目前已被省疫情防控应急指挥部办公室在全省各市推广。
今日份限定,:我以前可能是个酸诗人我是你晴天的雨伞圣诞节的月饼八月份的高筒袜我是你感冒时候的止痛药清醒时候的枕头我是视频前的70s广告我是不晒太阳的被子我是芹菜叶我是土豆皮我是不小心吃到嘴里的生姜我是没了汽的可乐我是火锅里煮老的肉我是掺着泥的积雪我是破了洞的蚊帐我是摔烂的镜子我是鼻血我是排队我是建议入院治疗
丶婠焙格巩,:发布了头条文章：《梅艳芳母亲疑入院，曾争取女儿近亿遗产，家人称只是普通感冒》梅艳芳母亲疑入院，曾争取女儿近亿遗产，家人称只是普通感冒
全球趣闻中心,:病重的老奶奶康复出院，临走前回过头深深向医护人员鞠了三个躬，感谢他们精心的照料。老人今年78岁，刚入院时病情十分危急，在医护人员的精心照料下，逐渐康复。这天出院的时候，本来是护士要把她们送到楼下，就在她们一行人准备离开的时候，老奶奶突然转身向护士三鞠躬，眼里都是泪水。送到楼下后，她们相互说了一些鼓励的话，护士说，跨过这道坎，就是下一生，祝愿奶奶有一个安详的晚年。前方的战士，你们辛苦了，老奶奶这一躬不仅代表她自己，更是代表所有的患者对你们拼命付出的感激之情。
广东民声热线,:#疫情阻击战#【重磅！广州90岁新型冠状病毒感染肺炎患者治愈出院】3月3日上午10时，广州一名90岁确诊新型冠状病毒感染肺炎患者张某某出院，这是广东省迄今年龄最长的治愈病例。据医务人员介绍，患者张某某，男，90岁，既往有高血压、慢性心衰、心房颤动、脑梗塞、食道恶性肿瘤放化疗后、慢性肾功能不全、肾性贫血等多种基础疾病。2020年2月5日开始出现发热，热峰37.5°，省CDC咽拭子核酸监测阳性，2月8日收治市八医院做进一步治疗。患者入院后，市八医院调集隔离病房ICU骨干力量组成医护团队，全力进行患者的医疗救治工作。按照《新型冠状病毒感染的肺炎诊疗方案》，对患者给予抗感染、提高免疫力，吸氧、雾化、祛痰，以及“肺炎一号方”中药治疗，定期组织专家会诊，及时对患者病情进行讨论和研判，根据病情变化及时调整治疗方案。因患者年老体弱、行动不便，护理人员加强监护和照顾，患者大小便都需要在护理人员帮助下完成。因胃口不好，予以静脉营养和中药对症治疗。考虑患者合并多种慢性基础疾病，服用药物品种多，治疗时特别注意药物配伍禁忌，避免出现毒副作用。入院1周后，患者曾出现肺部病灶加重，考虑患者长期合并尿路感染等特殊情况，予以调整治疗方案。2月17日病毒核酸检测转阴，随后连续5次病毒核酸检测阴性，症状好转，复查胸部CT示肺部病灶较前吸收好转，胸腔积液减少，病情好转稳定，达到出院标准，于今日办理出院。#最新疫情通报#http://t.cn/A679FLDi
xiaolexus,:发布了头条文章：《心疼吴昕！爸爸生病入院，吴昕累到眼眶凹陷，黑眼圈遮不住，近况曝光惹人怜》心疼吴昕！爸爸生病入院，吴昕累到眼眶凹陷，黑眼圈遮不住，近况曝光
香港经济导报,:【本港確診病例破百！昨2人確診1老翁現弱陽性反應】本港昨日新增2宗新冠肺炎確診個案，累計100宗個案，36人康復出院。包括1名63歲男病人及1名鑽石公主號回港的乘客確診。此外，筲箕灣愛東邨護老院一名88歲男病人，被驗出對新冠病毒初步呈弱陽性反應，已送往東區醫院。衛生防護中心傳染病處主任張竹君強調，病人並非初步陽性個案，只是在多次化驗中，曾經出現過陽性結果，醫院及衛生署正進行覆驗。新確診個案為一名63歲男病人，是2月25日確診第85宗個案60歲女病人的哥哥。病人有長期病患，居於大坑道8號。他無出現病徵，因被列作密切接觸者早前被安排入住檢疫中心，其深喉唾液樣本對2019新型冠狀病毒呈陽性反應，被送往東區尤德夫人那打素醫院接受治療，現時情況穩定。病人於潛伏期內沒有外遊。他於2月22日出席其女兒的婚宴，其時第85宗個案的女病人亦有出席。其同住妻子沒有出現病徵，現正接受檢疫。張竹君表示，另一確診個案涉及一名鑽石公主號港人乘客，是一名68歲女子，在2月中開始發燒，2月底開始咳，目前在瑪麗醫院留醫。醫管局表示，在過去24小時共呈報55宗懷疑個案，而截至昨午，累計有2088宗懷疑感染新型冠狀病毒的個案，其中125人仍留院。醫管局總行政經理庾慧玲表示，日前確診一對夫婦，其中76歲婆婆於上星期五晚上入院時，主要是由於血糖低，當時並無發燒、無外遊紀錄，亦無接觸過其他確診者，於是醫生安排她入住普通病房;直至翌日，醫生再詢問她的病徵，發現她有咳，於是即時安排她入住隔離病房，並進行病毒測試。她指，曾經與患者同房的1名女病人，被列為緊密接觸者，現正接受隔離。http://t.cn/A679kL0S
无锡音乐广播,【#韩国版“火神山医院”在大邱开建#！超2000人正在等待入院】截止3月2日16时，韩国新冠肺炎患者累计确诊4335人，大邱确诊人数超过3000人。由于医疗资源不足，大邱现有超过2000名确诊患者只能在家隔离，等候入院治疗。韩国政府在劳动福利公团大邱医院安置了45个集装箱，集中收治患者。韩国政府还表示，在3月5日前还将在大邱增设1000多个病床。http://t.cn/A67SI5ea
蒋永盛v,:“40床的爷爷，同时也患有阿尔兹海默症，每天游走于清醒与糊涂之间。”刚入院时，爷前线日志|江苏医疗队援湖北第三十六天：世间美好与你环环相扣
我在等你的兴尽晚回舟,#武汉义务送药人被举报#【武汉送药人：义务送药被人举报“赚差价”，配合调查期间奶奶脑出血昏迷入院】武汉“封城”后，25岁的中学老师吴悠@海边的万物理论，骑上电瓶车为网上的求助者义务送药。截至目前，吴悠和朋友们已经为600多户求助者送去药品和防护物资。刚开始，连花清瘟、口罩、酒精等防护物资都是免费送，阿比多尔、莫西沙星等四种药低于市场价出售。近日，有人以非法售药和牟利举报了吴悠。在配合调查时，吴悠奶奶因脑溢血昏迷，被送进医院。“当时义务送药就是希望能推动疫情早日结束，这样奶奶就能早点住进医院，不会患上老年痴呆，不会忘记我。”#武汉义务送药人被举报赚差价#http://t.cn/A67yV0xQ
TVB官方微博,:【OnCall36小時】第1集經典精華一點小問題都不能忽視男童阿霖遇上交通意外入院，表面上已無大礙，但馬國明張一健醫生仍然想佢留院再觀察多一晚，但楊怡范子妤醫生為咗完到阿霖參加音樂比賽嘅願望，成功游說黃智賢莊博文醫生畀佢讓霖出院，結果比賽前夕阿霖竟然出事昏迷不醒！OnCall36小時｜一至日晚上11:50PM｜翡翠台#oncall36小时[超话]##经典剧集##马国明##黄智贤##重溫劇集##杨怡#http://t.cn/A6791K9j
最爱济南,:#济南抗疫在行动##硬核山东#【济南市传染病医院今天又有4例患者出院，全市已治愈36例！】济南市传染病医院今天有4例确诊患者康复出院，至此，济南市传染病医院已有32例病人出院，济南市共有36例确诊患者出院。先出来的两名患者都是普通型，他们入院时有发热咳嗽等典型症状，对他们进行了抗病毒治疗，加上中医药，整个治疗过程顺利。其中一名患者耿某某，正在上研一，是第27例确诊病例的女儿，24日被感染的，其妈妈已经出院。她说，“医护人员对我像亲人一样，走很舍不得，感谢主任、护士长，我们留了联系方式，会再相见的。我知道他们背后也有家庭，抛下家庭为了我们。”另一名小患者王某某，5岁，其妈妈已经出院12天，爸爸还在住院。他们一家三口是去武汉探亲时被传染的。“我在医院不怕。我在病房里还给爸爸过生日了。”孩子说。他们出院后要在留观点隔离14天，回家还要再隔离14天，一共是四周。#济南爆料#http://t.cn/R08LU4d
SafeVibe,#武汉义务送药人被举报赚差价#【武汉送药人：义务送药被人举报“赚差价”，配合调查期间奶奶脑出血昏迷入院】武汉“封城”后，25岁的中学老师吴悠@海边的万物理论，骑上电瓶车为网上的求助者义务送药。截至目前，吴悠和朋友们已经为600多户求助者送去药品和防护物资。刚开始，连花清瘟、口罩、酒精等防护物资都是免费送，阿比多尔、莫西沙星等四种药低于市场价出售。近日，有人以非法售药和牟利举报了吴悠。在配合调查时，吴悠奶奶因脑溢血昏迷，被送进医院。“当时义务送药就是希望能推动疫情早日结束，这样奶奶就能早点住进医院，不会患上老年痴呆，不会忘记我。”#武汉义务送药人被举报#@剥洋葱http://t.cn/A67yV0xQ
阿Kki呀,2.5发出一句“你好”2.28说不出一句“再见”
TVB官方微博,:【OnCall36小時】第1集經典精華一點小問題都不能忽視男童阿霖遇上交通意外入院，表面上已無大礙，但馬國明張一健醫生仍然想佢留院再觀察多一晚，但楊怡范子妤醫生為咗完到阿霖參加音樂比賽嘅願望，成功游說黃智賢莊博文醫生畀佢讓霖出院，結果比賽前夕阿霖竟然出事昏迷不醒！OnCall36小時｜一至日晚上11:50PM｜翡翠台#oncall36小时[超话]##经典剧集##马国明##黄智贤##重溫劇集##杨怡#http://t.cn/A6791K9j
最爱济南,:#济南抗疫在行动##硬核山东#【济南市传染病医院今天又有4例患者出院，全市已治愈36例！】济南市传染病医院今天有4例确诊患者康复出院，至此，济南市传染病医院已有32例病人出院，济南市共有36例确诊患者出院。先出来的两名患者都是普通型，他们入院时有发热咳嗽等典型症状，对他们进行了抗病毒治疗，加上中医药，整个治疗过程顺利。其中一名患者耿某某，正在上研一，是第27例确诊病例的女儿，24日被感染的，其妈妈已经出院。她说，“医护人员对我像亲人一样，走很舍不得，感谢主任、护士长，我们留了联系方式，会再相见的。我知道他们背后也有家庭，抛下家庭为了我们。”另一名小患者王某某，5岁，其妈妈已经出院12天，爸爸还在住院。他们一家三口是去武汉探亲时被传染的。“我在医院不怕。我在病房里还给爸爸过生日了。”孩子说。他们出院后要在留观点隔离14天，回家还要再隔离14天，一共是四周。#济南爆料#http://t.cn/R08LU4d
SafeVibe,#武汉义务送药人被举报赚差价#【武汉送药人：义务送药被人举报“赚差价”，配合调查期间奶奶脑出血昏迷入院】武汉“封城”后，25岁的中学老师吴悠@海边的万物理论，骑上电瓶车为网上的求助者义务送药。截至目前，吴悠和朋友们已经为600多户求助者送去药品和防护物资。刚开始，连花清瘟、口罩、酒精等防护物资都是免费送，阿比多尔、莫西沙星等四种药低于市场价出售。近日，有人以非法售药和牟利举报了吴悠。在配合调查时，吴悠奶奶因脑溢血昏迷，被送进医院。“当时义务送药就是希望能推动疫情早日结束，这样奶奶就能早点住进医院，不会患上老年痴呆，不会忘记我。”#武汉义务送药人被举报#@剥洋葱http://t.cn/A67yV0xQ
阿Kki呀,2.5发出一句“你好”2.28说不出一句“再见”
济南时报,:#山东疫情#【济南市传染病医院今天又有4例患者出院，全市已治愈36例！】济南市传染病医院今天有4例确诊患者康复出院，至此，济南市传染病医院已有32例病人出院，济南市共有36例确诊患者出院。先出来的两名患者都是普通型，他们入院时有发热咳嗽等典型症状，对他们进行了抗病毒治疗，加上中医药，整个治疗过程顺利。其中一名患者耿某某，正在上研一，是第27例确诊病例的女儿，24日被感染的，其妈妈已经出院。她说，“医护人员对我像亲人一样，走很舍不得，感谢主任、护士长，我们留了联系方式，会再相见的。我知道他们背后也有家庭，抛下家庭为了我们。”另一名小患者王某某，5岁，其妈妈已经出院12天，爸爸还在住院。他们一家三口是去武汉探亲时被传染的。“我在医院不怕。我在病房里还给爸爸过生日了。”孩子说。他们出院后要在留观点隔离14天，回家还要再隔离14天，一共是四周。
FM1031济南交通广播,:#共同战疫#济南市传染病今天再康复出院4例，济南市已有36人出院 济南市传染病今天有4例确诊患者康复出院，至此，济南市传染病医院已有32例病人出院，济南市共有36例确诊患者出院。先出来的两名患者都是普通型，她们入院时有发热咳嗽等典型症状，对她们进行抗病毒治疗，加上中医药，整个治疗过程顺利。其中一名患者耿某某，正在上研一，是燕山银座感染者的女儿，24日被感染的。妈妈已经出院了。她说，医护人员对我像亲人一样，走很舍不得，感谢主任、护士长，“我们留了联系方式，会再相见的。我知道他们背后也有家庭，抛下家庭为了我们。”我在本地上大学，上研一。王某某，5岁，妈妈已经出院12天，爸爸还在住院。他们一家三口是去武汉探亲时被传染的。“我在医院不怕。我在病房里还给爸爸过生日了。”孩子说。他们出院后要在留观点隔离14天，回家还要再隔离14天，一共是四周。
soge_,2.5发出一句“你好”2.28说不出一句“再见”
介似天津卫,:#天津爆料#【入院就诊，请您提前完成线上登记】据@天津市儿童医院微博消息：在疫情防控的关键时期，天津市儿童医院在北辰龙岩院区和河西马场院区均采用“医疗机构入院登记系统”，实现入院人员自助登记、工作人员辅助登记，从而进一步做好院内防控工作，为您和宝宝提供良好的就医环境。http://t.cn/A67XrsjD
六安洋熊滴,:【刚刚，六安清0了！成为全省第二个清0】2020年3月3日，是一个让人激动的时刻。就在今天，六安“清零”了，所有确诊的69例新冠肺炎患者全部治愈出院。截止3月3日，六安共报告确诊病例69例，治愈出院69例，为全省第二个确诊患者治愈出院“清零”城市。自首例确诊病例入院以来，六安始终坚持集中患者、集中专家、集中资源、集中救治“四集中”，充分发挥六安中医药大市和“西山药库”资源，切实做到一人一方案、一人一团队、一天一会诊和感染、呼吸、重症、中医多学科联合治疗，取得了零病亡的优秀成果。为防止治愈患者出院后发生交叉感染，提高机体抵抗力，加快患者康复，六安又率先提出定点隔离休养、居家医学观察、健康状况随访“三段式”接续管理服务，目前已被省疫情防控应急指挥部办公室在全省各市推广。via六安新周报#抗击新型肺炎六安在行动#
河北区发布,:最新|天津又有两例出院患者复阳入院！最新|天津又有两例出院患者复阳入院！
凯仔屋,:春/学会了集印花的老头老妈特别喜欢吃这家的蛋卷，趁着明天入院前，老头特意来给她买，这就是爱啊。
lotus_anan,:【#韩国大邱建方舱医院#：为中轻症病患集中隔离，首座可收160人
命与劫,:就我自己来说，亲人去世之前不会没有一点风声。舅舅从入院，到离开……也就只有20天。而这那时间，我们整个大家族，气氛都很沉重，做什么都没有心思。疫情时期，是没有办法体面的办的白喜事的，你们知道吗？去火化的时候，还明令车子上只能有10个人，最后送别的只能有1个。别的亲戚想来见最后一面，被堵在路上遣返……这是我经历的疫情时期的白喜事，很压抑，很冷清……
崭铺净爻9,:发布了头条文章：《梅艳芳母亲疑入院，曾争取女儿近亿遗产，家人称只是普通感冒》梅艳芳母亲疑入院，曾争取女儿近亿遗产，家人称只是普通感冒
邹顺利耶,:今天第四次化疗分享一下隔壁床的一个大姐，快五十岁了，也是乳腺癌。她老公一大早来给她办了入院就走了。从昨天到今天，所有检查，吃喝拉撒睡都是自己一个人！昨晚我妈妈问她吃晚饭了吗，她说中午订的盒饭没吃完，将就微波炉打热吃了。昨晚我和她聊天，我说我担心自己以后不能生小孩子，她就一个劲儿各种开导我。一个白天和我说话不超过五句的大姐，跟我谈了差不多大半个小时…然后她告诉我她有两个女儿，小的一个是她43岁的时候生的…大姐真是个牛逼的女人啊👩
上帝之鹰_5zn,:由于疫情扩散得太快，韩国医疗资源已不堪重负，医院床位不足，疫情最严重的大邱市竟出现多起病人在家等床位时死亡的情况。韩国专家不得不呼吁，将症状较轻的病人移出医院，送往其他设施治疗，等病情加重再入院。
四川观察新闻眼,:【98岁！#全国年龄最大危重症患者出院#】3月1日上午，截至目前全国年龄最大的新冠肺炎危重症患者、98岁高龄胡汉英从武汉雷神山医院治愈出院。跟胡汉英一起出院的，还有她54岁的女儿丁女士。入院时胡汉英有高烧、心功能不全等症状，主要通过抗病毒、治疗基础病、营养支持、预防并发症等方式治疗，老人自己非常配合。http://t.cn/A679isR9
熊先生家的Sue,【武汉送药人：义务送药被人举报“赚差价”警方介入调查后澄清】近日，有人以非法售药和牟利举报了义务送药人吴悠@海边的万物理论。警方经过核实之后，并未发现吴悠有高价售药、赚取差价的嫌疑。唯一有问题的就是吴悠不具备医师资质，不能以个人名义售卖药物。因此，吴悠和捐赠方达成口头协议，只要求助者有确诊病例或医生建议、处方，往后所有药物一律免费发放。武汉“封城”后，25岁的中学老师吴悠骑上电瓶车为网上的求助者义务送药，和朋友们已为600多户求助者送去药品和防护物资。刚开始，连花清瘟、口罩、酒精等防护物资都是免费送，阿比多尔、莫西沙星等四种药低于市场价出售。在配合调查时，吴悠奶奶因脑溢血昏迷，被送进医院。“当时义务送药就是希望能推动疫情早日结束，这样奶奶就能早点住进医院，不会患上老年痴呆，不会忘记我。”#武汉义务送药人被举报##武汉义务送药人被举报赚差价#http://t.cn/A67yV0xQ
好大一坨盐巴,2.5发出一句“你好”2.28说不出一句“再见”
谁再晚睡谁就是猪,2.5发出一句“你好”2.28说不出一句“再见”
红网,:【岳阳又有2名确诊患者康复出院！
中宏网新闻,:#新浪看点#中国疾控中心：新入院精神障碍患者要观察14天中国疾控中心：新入院精神障碍患者要观察14天
Sky荷包蛋,2.5发出一句“你好”2.28说不出一句“再见”
samuyi618,2.5发出一句“你好”2.28说不出一句“再见”
抚州黎川发布,:【#韩国大邱建方舱医院#：为中轻症病患集中隔离，首座可收160人
929南通交通广播,:南通，“清零”！今天（3月3日）上午，随着最后3名新冠肺炎确诊患者从南通市第三人民医院治愈出院，我市40名确诊的新冠肺炎患者实现动态清零。今天出院的三名患者中，73岁的袁女士年龄最大，是海门人，与其丈夫的妹妹（为新冠肺炎确诊患者）接触后被感染，2月10日收治入院；另一名患者陈先生，53岁，通州张芝山人，与武汉返通人员有接触史，2月12日收治入院；还有58岁的患者沈先生，海安人，与武汉返通人员有接触史，1月31日收治入院。其中，袁女士也是市三院收治的所有确诊患者中年龄最大、病情较重的患者。作为南通市抗击新冠肺炎疫情的主战场，自春节前夕，南通市第三人民医院收治全市首名新冠肺炎确诊患者至今，在一个多月的抗疫战斗中，27名确诊患者在这里得到完善的治疗，实现“患者零死亡、医务工作者零感染”的喜人目标。确诊患者动态清零并不意味着疫情结束！记者从市三院了解到，该院隔离病区还将继续保留，随时准备接受新增的确诊患者。此外，隔离病区的医护人员将有序轮休，并做好随时待命的准备。
一颗小鲁ho,各位网友：老爷子虽经全力救治仍于2月28日中午在光谷同济医院离世。
抚州黎川发布,:【#韩国大邱建方舱医院#：为中轻症病患集中隔离，首座可收160人
