我的身体已经菠萝菠萝哒,http://t.cn/A67qod6l大家记得一定要填法米通六周年调查问卷啊
共青团盘锦市委,:丹东新增3例确诊病例行程轨迹公布确诊病例1：史某，女，52岁，丹东人，退休返聘职工。2月22日14时因发热到市中心医院发热门诊就诊，问诊无流行病学史，经院内专家会诊认为肺部CT影像学表现不符合新冠肺炎诊断标准，建议居家隔离，口服药物，告知病情若有变化门诊随诊。2月29日上午因发热到市中心医院发热门诊就诊，诊断为新冠肺炎疑似病例进行隔离治疗，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例1发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月7日至16日除到子博超市买菜3-4次外，其余时间均居家无外出。2.2月17日9时去合作区税务局办事，11时到二中附近市场买菜后回家，再无外出。3.2月18日至19日居家无外出。4.2月20日18时与丈夫自驾车到山上部队家属楼办事，18时40分到家后无外出。5.2月21日居家无外出。6.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者因发热在丈夫陪同下自驾车到市中心医院发热门诊就诊，16时左右返回家中再无外出。7.2月23日至28日居家无外出。8.2月29日8时15分在丈夫陪同下到市中心医院复诊，被诊断为新冠肺炎疑似病例，在医院隔离治疗。1月24日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例2：宋某某，男，30岁，丹东人，在深圳读书。2月29日出现咽部不适，轻度咳痰，头痛、无其他症状，自行服药（药名不详），症状无缓解。3月1日由指定救护车送至市传染病医院发热门诊就诊，诊断为新冠肺炎疑似病例，经核酸检测阳性，诊断为新冠肺炎确诊病例。留院隔离治疗。密切接触者均实施了隔离医学观察。病例2发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15日至19日居家无外出。2.2月20日13时去江边散步，15时左右到家，回家后无外出。3.2月21日至24日居家无外出。4.2月25日11时步行沿江边散步，12时30分回到家中，途中未接触任何人，回家后无外出。5.2月26日至27日居家无外出。6.2月28日19时左右到子博超市购物后去门卫处取快递，10分钟后返回家中，再无外出。7.2月29日居家无外出。8.3月1日上午，属地社区人员、浪头医院工作人员入户进行健康告知和医学观察，当日23时左右由指定救护车转运至市传染病医院隔离治疗。2月15日至2月29日家中无访客。患者自述，外出时均佩戴口罩。确诊病例3：宋某某，男，57岁，在职职工。3月1日作为疑似病例密切接触者被隔离医学观察，3月2日由指定救护车转至市传染病医院发热门诊留观，经核酸检测阳性，诊断为新冠肺炎确诊病例。密切接触者均实施了隔离医学观察。病例3发病前14天至隔离治疗时行程轨迹（患者自述）：1.2月15、16日全天居家无外出。2.2月17日14时自驾车去父母家，18时30分左右离开回到家中无外出。3.2月18日自驾车去单位弹性上班，上班时间不确定，每次在单位停留2小时左右。13时40分左右下班回家再无外出。4.2月19日居家无外出。5.2月20日18时与妻子自驾车到山上部队家属楼办事，18时40分到家后无外出。6.2月21日10时左右到单位，12时左右下班去父母家，13时左右返回家中再无外出。7.2月22日8时40分夫妇二人自驾车到山上部队家属楼办事，9时50分左右二人开车回家。14时左右患者陪妻子自驾车到市中心医院发热门诊就诊，16时左右返回家中，无外出。8.2月23日自驾车9点30分左右到单位，12时左右下班后去父母家，15时左右返回家中无外出。9.2月24日至28日正式上班，自驾车8点50左右到达单位。17时左右下班后回家再无外出。10.2月29日8时15分自驾车陪妻子到市中心医院发热门诊就诊，21时30分到家无外出。11.3月1日23时05分作为疑似病例密切接触者由指定救护车将其送至丹东市集中隔离点进行医学观察。12.3月2日5时，由指定救护车将其送至市传染病医院隔离治疗。患者自述，外出时均佩戴口罩。广大市民朋友，我市疫情防控工作形势依然严峻，配合做好疫情防控工作，关乎您和家人及全社会的健康，也是按照《中华人民共和国传染病防治法》要求每一位公民应承担的责任和义务。为防止疫情扩散，准确查找与史某、宋某某、宋某某一家三口有密切接触人员，请在上述过程中与此三人有过密切接触的市民，立即与所在县（市）区疾病预防控制部门联系，并随时观察自己和家人的健康状况，若出现发热、乏力、咳嗽等呼吸道症状，请第一时间戴好口罩到市卫生健康委指定的医疗机构发热门诊就诊。就医途中，请勿乘坐公共交通工具。二、在疫情防控期间，请广大市民严格遵守疫情防控各项措施，做好个人防护，不要参加聚会、婚礼等人群密集场所的活动，确保自身安全。三、近期周边国家新冠肺炎疫情日益严重，为保障人民群众生命和健康安全，提醒广大市民若发现从武汉或其他疫区及境外入丹返丹人员，请立即向属地公安派出所和所属社区报告。联系电话：东港市：7122860凤城市：8668120宽甸县：5125889振兴区：2027889振安区：2530142元宝区：2818584丹东市新冠肺炎疫情防控指挥部办公室2020年3月3日
竞网智赢,:#竞早报#每日竞报方寸之间洞悉天下每天2分钟互联网信息早知道
健康河北官微,:#健康冀报#【刚刚，张家口市又有2名确诊患者治愈出院，累计出院37名】3月3日，张家口市又有2位被确诊为新冠肺炎的患者在医护人员的精心观察、治疗和护理下符合出院标准，从张家口市传染病医院治愈出院。张某某，女，68岁，察北管理区人。2月27日，在隔离医学观察期间确诊。董某某，男，46岁，察北管理区人。2月26日，在隔离医学观察期间确诊。经过定点医院和市医疗专家全力救治，目前两位患者已恢复正常体温3天以上，呼吸道症状明显好转，肺部影像学显示急性渗出性病变明显吸收好转，连续2次呼吸道病原核酸检测阴性，根据国家卫健委《新型冠状病毒肺炎诊疗方案》（第六版）规定的治愈出院标准，经市核心专家组评估，符合治愈出院标准。至此，该市已有37名新冠肺炎确诊患者治愈出院。来源：河北日报
中国妇女报,:【患者说：#说星星很亮是你没见过她们的眼睛#
天津政法,:【ICU护士实拍！#新冠肺炎危重患者救治过程#：#9名医护为插满管患者翻身#】广东东莞市人民医院ICU护士韩淑芬，用视频记录疫情期间在重症病房的工作。她记录了救治新冠肺炎危重症患者的过程：9名身穿严密防护服的医护为患者进行俯卧位通气治疗，有人抱头，有人抱身，有人抱脚，一起用力将插满管子的患者从仰卧转为俯卧。http://t.cn/A67oWZ3v
华商网,:【西安交大一附院全力救治新冠肺炎危重患者张文宏教授远程视频云会诊】为了全力救治一名新冠肺炎危重患者生命，更好地进行科学救治，3月2日15时，@西安交通大学第一附属医院专家团队与复旦大学附属华山医院感染科主任张文宏教授进行了视频连线，就危重患者病情进行讨论。该患者为66岁女性，双肺广泛的肺间质纤维化及网格状改变侵犯所有肺叶，高血压，气胸，患者病情急剧进展并一度出现了休克，目前，已经使用了ECMO（人工膜肺）、CRRT（人工肾）、有创呼吸机，据悉，该患者是全省乃至全国最重的病人类型。在了解该患者的基本情况和病史汇报后，张文宏教授充分肯定了一附院前期救治工作，后又结合该患者的病史特点、生化检查结果和影像学结果等资料，与一附院的专家们展开了讨论，对病情进行分析和把控，针对原发病肺脏的恢复、气胸、心功能、抗病毒、免疫调节等方面提出一系列策略。一附院感染科主任赵英仁教授表示，张教授的意见非常宝贵，非常实用，下一步医院将根据张教授的意见，积极调整治疗策略，制定最佳治疗方案，尽最大能力救治患者。http://t.cn/A67K3GOT
杭州热门生活,:【全球首例！浙大一院宣布：#66岁新冠肺炎患者肺移植手术成功#
周口同城会,:#关注周口新冠肺炎疫情#【清零！周口郸城县确诊患者全部治愈出院！】3月3日9时30分，郸城县6例新冠肺炎患者中，最后一例确诊患者韩某英的身体各项检测指标达到出院标准。至此，郸城县所有确诊患者全部治愈出院，该县确诊患者清零。自新冠肺炎疫情发生以来，郸城县从1月26日出现第一例开始，累计有6人确诊。截至目前，该县已连续17天无新增病例和疑似病例，从湖北返回出现发热症状隔离留观人员也陆续出院，目前仅有10人仍在隔离区留观，留观者身体状态均良好，近期即可解除留观。#周口加油##周口抗疫在行动#http://t.cn/RyhNDwM
郑州检察,:【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。（央视新闻）http://t.cn/A67KTKaw
大河报,:#河南战疫新突破#【全部治愈！鹤壁市确诊和疑似病例“双清零”】3月3日上午，鹤壁市召开疫情防控工作第九次新闻发布会。大河报·大河客户端记者从发布会上获悉，3月2日，随着患者秦某某治愈出院，鹤壁市确诊19名患者全部治愈出院，目前实现确诊和疑似病例“双清零”，成为我省第7个清零的城市。详情→http://t.cn/A679nrhO
中国贸易报,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
媒体人邓百华,:#伊朗将中国诊疗方案译成波斯语#【患者大爷“闹情绪”，护士一嗓《穆桂英挂帅》稳住了，还跟着打起来拍子】#媒体人邓百华#现在不会点才艺，护士都干不了，太暖了。医护人员多才多艺，不仅能治病救人还能逗患者开心，感谢战斗在一线的白衣战士，为你点赞
头条热门搜罗,:斯图卡98#美国新增4名死亡病例#，#美国新冠肺炎总病例数达96人#目前全美有10个州发现新冠肺炎患者！美国肯定不止这个数，而且远远不止。一是检测盒不足，二是检测费用特贵，根据美国媒体报道几个新冠病毒新闻，检测费用都达到了3800美元左右。政府不掏钱，个人又不愿花钱。干脆不检测都当流感处理算了，美日一个操作：不测就没有，就控制了
新京报我们视频,:【#沙特首例确诊患者隐瞒旅伊史#波斯湾周边国家全部沦陷】3月2日，沙特卫生部发布通报，宣布确诊境内首例新冠肺炎病例。患者从伊朗途经巴林回国，但在入境时隐瞒旅伊史，随后他被检测出阳性，现正接受隔离治疗。随着新冠病毒攻入沙特，波斯湾周边国家均已出现确诊。#聚焦新冠肺炎疫情#@世面http://t.cn/A679O49f
濠镜翁,:#香港#【港府：明日起安排4班包機接載滯留湖北港人！
北京市大兴区人民医院,:@首都健康@健康大兴@健康中国@爱我大兴社区网[生命与医学]上班后“出行、办公、居住”如何防护？这些天，上班族们陆陆续续就要返岗了......面对办公期间不可避免的与人接触，京医通提醒您：「做好个人防护保护自身安全」在人口密集的办公区，病毒蔓延会变得更加容易。返岗人员面临：“办公期间要时刻戴口罩吗？”“下班回家，要消毒衣服、天天洗头吗？”“上班期间，该怎么保证开会、吃饭、上厕所的安全？”“合租房啥啥都共用，该怎么避免病毒传染？”“...”今天针对办公期间会面临的各种传染风险，为即将返岗办公人员献上《办公版防护指南》。关于预防新型冠状病毒，目前最有效的方法仍然是：1.与人接触戴口罩2.出门前后勤洗手3.少去人群密集处和密闭不通风处4.保持至少1米安全距离，避免面对面交流5.不要揉眼睛、鼻子，不要摸口罩外层首先条件允许，办公室里也应该戴着口罩。尽量和同事的工位保持1米以上的距离。如果做不到，确实需要近距离交谈，可以尽量不与人面对面说话。只要保证对方能听见你说的话就行。一、口罩如何挑选?图片来源：人民日报二、口罩佩戴方法（一）『N95』口罩的佩戴方法(头戴式)：戴N95口罩方法：1.一手托住口罩，有金属片的一边向上2.先将下方系带拉过头顶放置于颈后双耳下3.后将上方系带拉至颈后双耳上方4.将金属鼻夹按鼻梁形状压实，使口罩贴合面部密闭性测试：将双手完全盖住防护口罩，快速呼气，若鼻夹附近有露气，应调整鼻夹，若漏气位于四周，应调整到不漏气为止。（二）『医用外科口罩』口罩的佩戴方法(耳挂式)：口罩有颜色的一面向外，有金属片的一边向上，尽量不要用手触摸完外面再触摸里面，以免造成细菌交叉污染。戴外科口罩方法：1.口罩有颜色的一面向外，有金属片的一边向上，尽量不要用手触摸完外面再触摸里面，以免造成细菌交叉污染；2.系紧固定口罩的绳子，或把口罩的橡皮筋绕在耳朵上，使口罩紧贴面部；3.口罩应完全覆盖口鼻和下巴；4.把口罩上的金属片沿鼻梁两侧按紧，使口罩紧贴面部。5.不能应用于空气传播疾病的呼吸防护。（三）口罩的使用注意首先，一次性的口罩要避免反复使用！当出现以下情况时，也应及时更换口罩：1.呼吸的阻力明显增加时（呼吸有困难）；2.口罩出现破损时；3.口罩无法与面部紧密贴合时；4.口罩受到了污染（如染有血渍或飞沫等异物时）。另外，在佩戴口罩前后要格外注意：5.佩戴之前洗手。6.脱下口罩时，应尽量避免触摸口罩向外部分，因为这部分可能已沾染病菌。7.脱下口罩后，放入胶带或纸袋内包好，再放入有盖的垃圾桶内弃置。8.没必要戴多层口罩，并不会增强防护效果，还可能出现呼吸困难。最后，还是要向大家强调，如果实在购买不到，不管哪种口罩都可以佩戴。在人群密集的场合，戴了就要比不戴强！三、如何正确洗手？我们需要勤用肥皂（或洗手液）和流动的清水洗手，打完肥皂或洗手液后要双手揉搓20s以上，揉出丰富的泡沫。不留死角的七步洗手法，简单来说，7个字“内外夹弓大立腕”。为避免袖口污染到手，应在洗手前尽量将袖口往上撸起。第一步：内------洗手掌掌心相对，手指并拢相互揉搓第二步：外------洗背侧指缝手心对手背沿指缝相互揉搓，双手交换进行第三步：夹------洗掌侧指缝掌心相对，双手交叉沿指缝相互揉搓第四步：弓------洗指背弯曲各手指关节，半握拳把指背放在另一手掌心旋转揉搓第五步：大-------洗拇指一手握另一手大拇指旋转揉搓，双手交换进行第六步：立------洗指尖弯曲各手指关节，把指尖合拢在另一手掌心旋转揉搓第七步：腕------洗手腕揉搓手腕，双手交换进行最后，用纸巾擦干或烘干器烘干双手。记住，千万不要共用毛巾擦手！何时该洗手？1、出门回家后；2、咳嗽、打喷嚏、擤鼻涕之后；3、想要触摸口、鼻、眼之前；4、进食之前；5、处理要烹饪的食材之前与之后；6、上厕所前、后；7、接触过动物之后不方便洗手怎么办？如果在旅途中临时找不到可以洗手的地方，没有肥皂和清水，可以随身准备一个含有酒精的消毒湿纸巾或免洗洗手液。提醒：要主要看便携消毒产品的使用说明，酒精含量要至少超过60%才能有效，最好能含有75%左右。如果某些交通工具不允许携带含有酒精的制品又没法用肥皂清水洗手，只好用一些普通的湿巾等产品清洁。四、上班出行那种方式最安全?推荐交通方式排名：走路>共享单车>自驾出行>共享汽车>出租车>非拥挤时间段公共交通>高峰期公共交通疫情期间推荐步行和骑车上班，如果条件不允许，需乘坐公共交通出行的人员，建议避开人流高峰期。所以无论什么交通工具，即便戴了口罩，也都尽量避免面对面站立，和人保持1米以上的距离，到达目的地后洗手。五、工作环境该如何消毒?1.电梯间：上电梯时，与人保持距离，避免面对面站立，若人多可等下一趟。准备纸巾，按电梯键时，可隔着纸巾。2.会议室：尽量减少聚众开会，可通过线上开会。如一定要开会，建议都戴口罩，同事间保持安全距离，并开窗通风。3.办公室：可备75%酒精，常擦拭办公区物体表面。如条件允许可开窗通风。4.公共卫生间：随身携带纸巾、酒精喷雾或酒精棉片。用纸巾隔着门把手开门，使用蹲厕及马桶前冲一遍水。若使用马桶，用酒精喷雾或酒精棉片擦拭马桶圈再使用，盖好马桶盖冲水，如入厕前后洗手。六、护目镜/手套需要购买吗?答案：不需要。普通老百姓没必要佩戴护目镜，因为不接触病人，眼结膜传播要比较近距离接触才会发生。医务人员在接触患者，接触污染物质的时候佩戴手套，但外界环境中污染量是有限的，只有勤洗手就可以了，不用戴手套。七、上班吃饭需要注意些什么?食物本身经过高温烹饪，病毒很难存活，所以对于吃饭大家不必过于恐慌。但根据外卖或堂食的不同，还是要注意如下细节（一）外卖点餐1.不接触骑手告知骑手把外卖放在指定地点，待骑手离开再去取。2.戴一次性手套或纸巾用手套或纸巾隔离骑手接触过的包装袋。3.表面消毒用酒精喷洒外包装袋，或扔掉外包装袋。4.饭前洗手进餐前按7步洗手法，规范洗手。（二）堂食就餐1.保持距离：不与人面对面进餐，尽量保持一定距离，可以选在非用餐高峰期去食堂。2.吃饭前一刻再摘口罩：去食堂点餐全程戴口罩，不过多交流，直到用餐前一刻将口罩摘下。3.餐前洗手：按7步洗手法，规范洗手。4.少点凉菜：建议点热食，食物熟透后，病毒不可能存活。八、合租房如何避免感染?1.少在公共区域停留。2.做好自己房间地面和物体表面的消毒，可以用含氯消毒液进行擦拭，并开窗通风。3.个人物品放在自己卧室，避免弄混。除了自己房间消毒外，使用公共设施时要注意：公用冰箱：生熟分开，定期清理、消毒。洗衣机：洗衣服前用含氯消毒液擦拭洗衣机内外，洗衣时可以加一些衣物除菌液。卫生间：使用马桶和洗手盆前先用消毒液擦拭，冲水时先盖好马桶盖。厨房：厨房台面尽量不摆放食物，使用后的厨房做好清洁工作，可用清水擦拭，保持地面卫生。碗筷蒸煮30分钟消毒九、下班回家衣服/头发需要消毒吗?答案：不需要。（一）关于衣物消毒1.一般只要不接触危险人群，衣物正常换洗即可；2.鞋子可以放在门口或阳台通风处。3.如果实在担心，可以适量喷洒75%医用酒精，再将衣物内外翻面，挂于玄关或阳台通风。（二）关于洗头1.头发属于不吸水材料，病毒的飞沫并不会在头发上存活太久，传染风险并不高，不必太担心病毒会经头发带到被窝的问题。2.如果实在担心，可以戴帽子出门，回家适量喷洒75%医用酒精，对帽子进行消毒处理。温馨提示：酒精喷雾易燃易爆炸！注意远离厨房和火苗！尤其是在电梯内等密闭空间内喷洒酒精后一定避开吸烟人。不必过于担心。十、家附近有定点医院，会增加感染风险吗?目前北京已公开20家定点医院名单，每日定期消毒，不会增加风险。北京20家定点医院名单部分内容摘自：人民日报、健康北京、地坛医院、京医通。
风中的云幸福乐园,:#韩国连续四名居家隔离患者死亡#【连续四名居家隔离患者死亡后，韩国大邱开轻症收治中心】韩国大邱的病例每天依旧在激增。在这场与病毒的殊死搏斗中，日益严重的医疗资源短缺已成为这座城市眼下最紧迫的问题。目前，超过1600名确诊病人仍在家中等待住院治疗。而在过去的这个周末，又有两名在家隔离的患者死亡，目前已有4名患者在等候住院过程中不幸过世。大邱市警方证实，3月1日下午6时30分，大邱市寿城区的一位77岁女子在家中死亡。该患者在前一天被确诊，同时患有慢性疾病和肝癌等潜在疾病。这是韩国第22例死亡，也是第四位在等待住院期间死亡的患者。根据韩国防疫部门的数据，大邱超过80%的患者症状相对较轻，其余20%的患者需要迅速住院治疗。为此，韩国中央灾难安全对策本部1日发布了新版治疗管理方案，根据新方案，患者根据病情轻重分为轻症患者、中症患者、重症患者、最重症患者。中症以上患者迅速安排在负压病房或是国家定点医院接受治疗，轻症患者则安排到设于公立设施的“生活治疗中心”接受治疗。大邱市长权泳臻在1日晚上证实，大邱市将从2日起在教育部中央教育研修院开启第一个“生活治疗中心”，由庆北大学医院提供医疗管理。预计首批收治160多人，将有医护人员24小时照料。（澎湃新闻）http://t.cn/RJLHX22
中国日报,:【#浙江新增7例意大利输入病例情况公布#：均与浙江首例境外输入病例在意大利同一餐厅工作】2日，#浙江新增7例新冠肺炎均为输入病例#。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。http://t.cn/A679GInL
股有太极,:《意大利病毒和中国的不一样？病毒起源有望揭开，我们也应主动研究_手机网易网》据英国《卫报》报道，米兰大学病毒学和传染病学专家马西莫·加利（MassimoGalli）教授表示，近期从一位意大利新冠肺炎患者身上分离出来的病毒株与中国分离出的原始病毒株，以及从在罗马生病的两名中国游http://t.cn/A679MBmt
中国台州网,:【“和女儿儿子一样好！”荆门阿婆在ICU里发出了人生第一条朋友圈】“感谢台州医疗队对我们的关心和照顾，帮我们煮了银耳汤，（带了）水果、牛奶。和女儿儿子一样好，感谢感谢！”3月2日，荆门一医台州ICU内，一位重症患者有感而发，在医护的帮助下发出了自己人生的第一条微信朋友圈。http://t.cn/A679MEFC#关注新冠肺炎##钟南山团队建议严格防控实施至4月底#
中新经纬,:【#韩国大邱确诊患者出门排队买口罩#：买个口罩而已嘛
扬州网官方微博,:【刚刚！我市首例新冠肺炎康复血浆捐献成功】今天上午，在扬州市中心血站，一位新冠肺炎康复者主动捐献自己的血浆，这是扬州市首例新冠肺炎康复血浆捐献。26岁郜先生是扬州市新冠肺炎确诊患者，是我市首批出院的治愈患者，于2月7日出院。在完成了填表、健康征询、血液初筛等环节后，郜先生成功捐献400毫升带抗体AB型血浆。
精彩渝水,:#抗击疫情江西在行动#【“熬过黑夜就是黎明”，#方舱之下有诗和信仰#！】在武昌方舱医院援助的江西医疗队员杨群，看到有些患者受疾病影响变得十分焦虑，为了给大家加油鼓劲，她写了一首诗在方舱医院诵读给大家听，鼓励患者要坚强：方舱医院是生命的方舟，井冈儿女为你保驾护航，请大家相信，我们会竭尽所能，把每一个柔弱的生命扶起。http://t.cn/A672TkBD
你早点睡-,【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。http://t.cn/A67KTKaw
曾无奈1,:#日本新冠肺炎治疗方案#日本不仅不让检测，还让患者自生自灭，这操作很皿煮
乐呵cute,【#新冠肺炎患者的肺和SARS患者的区别#有哪些？】中科院院士、陆军军医大学西南医院病理科主任卞修武表示，通过病理观察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的结构破坏和坏死程度比SARS略轻。②两者都有II型肺泡上皮增生，但程度不同，在SARS时，增生非常大比例地掉到肺泡腔里脱落。③两者肺泡纤维化的程度和进程有差异。http://t.cn/A67KTKaw
重庆三中法院,:【全球首例！浙大一院宣布：#66岁新冠肺炎患者肺移植手术成功#
月隐寒霜,:#新冠肺炎患者的肺和SARS患者的区别#中科院院士、陸軍軍醫大學西南醫院病理科主任卞脩武表示，通過病理觀察，#从肺部病变来看新冠肺炎轻于SARS#：①新冠肺炎肺的結構破壞和壞死程度比SARS略輕。②兩者都有II型肺泡上皮增生，但程度不同，在SARS時，增生非常大比例地掉到肺泡腔裏脱落。③兩者肺泡纖維化的程度和進程有差異。專家的說法，咱們不用理解，祇需要知道：①新型冠狀病毒肺炎對肺部的破壞，幾乎與SARS破壞力相同，但速度沒有SARS快，但嚴重時結果幾乎一致。②肺泡上皮增生都影響呼吸功能。③肺泡纖維化的形狀可能不同，結果都一樣。
法治贵州网,:【世卫组织：#新冠肺炎重症患者死亡率超过50%#】世卫组织指出，大约80%患者症状较轻，14%左右发展为严重疾病，5%左右属于重症病例。早期研究显示，感染后的严重程度和患者的年龄以及是否患有基础性疾病有关。对于重症患者，氧气治疗是主要的治疗手段，所有国家都应该完善脉搏血氧仪和医用氧气系统的可用性。世卫组织指出，重症患者的死亡率超过50%，因此应优化现行的重症患者治疗措施，如肺保护性通气。世卫组织报告指出，目前尚无针对冠状病毒病（COVID-19）的有效治疗方法，因此世卫组织和研发蓝图（R&DBlueprint）目前将研究治疗方案为优先事项。
广西政法,:【因检测盒质量问题美疾控中心误放一名新冠患者：带回前已逛商场】据美媒报道，当地时间2日，得克萨斯州圣安东尼奥市市长宣布，该州疾病预防与控制中心上周误将一名新冠肺炎感染患者解除隔离。目前该患者被再次隔离，但已与多人接触，并逛过当地商场。青蜂侠Bee的秒拍视频
大道至简1-,:新冠肺炎患者治愈出院后如何锻炼身体？【新型冠状病毒科普知识】（256）新冠肺炎患者治愈出院后如何锻炼身体？【新型冠状病毒科普知识】（256）
扬州发布,:【刚刚！我市首例新冠肺炎康复血浆捐献成功】今天上午，在扬州市中心血站，一位新冠肺炎康复者主动捐献自己的血浆，这是扬州市首例新冠肺炎康复血浆捐献。26岁郜先生是扬州市新冠肺炎确诊患者，是我市首批出院的治愈患者，于2月7日出院。在完成了填表、健康征询、血液初筛等环节后，郜先生成功捐献400毫升带抗体AB型血浆。
陇南武都鱼龙镇,#关注新冠肺炎#【#治愈患者如何锻炼身体#？】中日友好医院康复科主任谢欲晓介绍，新冠肺炎治愈出院后的患者，在继续做好安全防护和遵守两周医学观察的医嘱前提下，针对不同类型患者，根据患者心肺功能、心理状态、体能等，可因人而异，分类指导，给予适当可行的康复干预↓↓http://t.cn/A67Vb5xzhttp://t.cn/R2WxeEC
沈阳公共频道,:疫情期间，哪些患者必须去医院就诊？哪些可以在线问诊？专家这样说……『疫情期间，哪些患者必须去医院就诊？哪些可以在线问诊？专家这样说……』http://t.cn/A679fniJ
透明小糕糕,【武心援x求助汇总第2期】这是我们第二次汇总，主要是近期一直未被解决的求助信息。这些患者大多都是病情危急，急需帮助。我们能解决的事情，随着难度变大越来越不知如何是好。但真心希望能利用自己的一点点小流量，为这些患者争取时间。为了能让他们的声音能发出去，这条微博不会删除，除非所有人的问题能得到解决！同时为避免打扰到问题已经解决的求助者，我们会编辑更新图片中的求助信息，也就是说这条微博会是实时更新的求助微博。希望大家能多多转发扩散，让无助的他们尽快得到帮助！此时的他们，亦是我们。😷♥️
苏小陶cc,【寻艺指数】3月2日#艺人新媒体指数#(综艺嘉宾)Top20榜单：#华晨宇#，#王一博#，#肖战#，排名前3位，#易烊千玺#，#迪丽热巴#，#宋茜#，分列4、5、6位。
陕西都市快报,:【#浙江新增7例意大利输入病例情况公布#：均与浙江首例境外输入病例在意大利同一餐厅工作】2日，#浙江新增7例新冠肺炎均为输入病例#。该7例病例与首例境外输入病例王某某为密切接触者，在意大利贝加莫同一家餐厅工作，8人一直生活在意大利，无湖北武汉接触史。患者蒋某，男，34岁，户籍青田县瓯南街道；患者王某，男，29岁，户籍青田县瓯南街道；患者叶某某，男，36岁，户籍青田县瓯南街道；患者陈某某，男，23岁，户籍青田县油竹街道；患者叶某某，女，32岁，户籍青田县油竹街道；患者章某某，男，33岁，户籍青田县油竹街道。6人均在意大利贝加莫从事餐饮服务工作。2月26日，6人一同乘坐SU2415H航班从米兰到莫斯科。2月27日，从莫斯科乘坐SU206H航班到达上海浦东国际机场。2月28日，6人包车进入青田，当即落实隔离观察措施。3月2日，经检测，6人新冠肺炎核酸检测均呈阳性，现正在定点医院隔离治疗。患者叶某，男，34岁，户籍青田县三溪口街道，与首例病例为密切接触者，在意大利贝加莫同一家餐厅工作。2月28日，患者乘坐LH0273航班从意大利到德国。2月29日，从德国乘坐CA0936航班到达上海浦东机场。2月29日，患者包车进入青田，当即落实隔离观察措施。3月2日，新冠肺炎核酸检测呈阳性，现正在定点医院隔离治疗。via.央视新闻
