tjf微笑,:为打赢疫情防控阻击战贡献湖南科技力量http://t.cn/A670eDVF
平安邓州,:#疫情防控阻击战#【邓州：社区民警深入养老机构指导疫情防控和消防安全】2020年3月2日，邓州市公安局胜利派出所组织社区民警到花洲社会福利院指导疫情防控和消防安全工作，确保老人健康安全。花洲社会福利院是老人聚集居住场所，室内消防设施、室外安全通道是否畅通至关重要。为切实做好疫情期间养老机构的疫情防控及消防安全工作，民警检查了敬老院的消防设施、灭火器、烟感报警器等器材是否完好、齐备，重点排查消防通道、安全出口是否畅通，应急指示灯是否完整好用；切实做好夜间防火巡查，确保通讯畅通，严防火灾事故的发生；还向老人们宣传疫情防控、消防安全常识，要求负责人在疫情期间要做好消毒措施，消毒后及时通风，告知酒精和84消毒液不能同时使用，以免造成人员中毒。社区民警郑亚俊叮嘱负责人要求其结合最新疫情发展情况，进一步完善落实疫情防控举措，真正做到封闭管理，暂停接受亲戚朋友来访、探视，严防病源输入，所有人员没事也不要外出。把老年人的生命安全和身体健康放在第一位，为老人营造一个温馨、舒适的生活环境，及时做好老年人心理疏导和健康指导，确保老年人健康幸福安度晚年。
高淳市场监管,:【#工信部鼓励对困难学生推出特惠流量包#：减轻困难学生网费压力】据工信部网站消息，工信部办公厅日前发布《关于进一步做好新冠肺炎疫情防控期间宽带网络助教助学工作的通知》。《通知》称，鼓励基础电信企业重点面向建档立卡贫困家庭学生推出特惠流量包等精准帮扶举措，减轻困难学生用网资费压力。http://t.cn/A67C3gKivia人民日报
普洱日报新媒体,:#新型冠状病毒感染的肺炎防控，普洱在行动#【普洱市投资促进局：“不见面招商”促多家企业落地】在疫情防控工作的关键时期，普洱市投资促进局创新招商方式，改“面对面”招商交流为“屏对屏”沟通对话，成立专门工作小组，扎实开展不见面招商取得成效。近日，市投资促进局与深圳市赛瑞产业研究有限公司、北京创意村营销策划有限公司、云南凌云律师事务所等3家企业成功实现不见面签约。目前，共与11家企业深入对接洽谈，其中已成功签约3家，已达成合作协议正在报审5家，其他企业持续跟进中。项目涉及生物医药和大健康、文化旅游、高原特色农业、食品与消费品制造业、新材料、园区建设、数字经济、代理招商、法律服务、融资等领域。
中国电影报道,:【华中科技大学教授李纯视频讲述普通人眼中的武汉】#万众一心打赢疫情防控阻击战#没有一个冬天不会过去，没有一个春天不会到来。在这场新冠肺炎疫情防控阻击战中，很多武汉的普通百姓也通过自己的方式记录着武汉，为这座城市默默的送上支持与祝福。我们电话连线视频制作者——华中科技大学的李纯教授，他向我们表达了他拍摄这条视频的初衷：华中科技大学李纯教授：“我们记录下这个时候，将来对每个人实际上都是一种经历，也是一种鼓舞我们的精神力量。我生在这个地方，也很喜欢这个城市，我对将来充满信心”。http://t.cn/A67lnOmP
合肥交通广播,:#1026疫情防控权威发布#【安徽“一圈一带一网”确保货运动脉“零阻碍”】为保障物资顺利通行，安徽省交通运输厅构建起了全省“一圈一带一网”的交通运输防控体系，即陆路环省防控圈、水路运输防控带，交通枢纽和运输工具防控网；重点筑牢陆路防控圈，开通“绿色通道”，切实保障救护车辆、防疫车辆和运送医护人员、药品器械、人民群众生活急需物资等车辆优先通行。当前，安徽省要求各地各单位不得擅自关闭高速公路出入口，确保高速公路网畅通；全面取消省域内普通国省干线公路管控站点，严禁采取堆填、挖断等方式阻碍农村公路交通，坚决纠正无端劝阻劝返等做法。#我家门口那条路#@安徽发布@微博交通@安徽高速@安徽交通运输@合肥交通广播@中国交通
陇南日报,:#疫情防控甘肃在行动##陇南全力战疫情#【从伊朗回国人员今天下午抵达兰州，已进行集中留观】在中国驻伊朗大使馆协助下，今天14时12分许，由伊朗首都德黑兰伊玛目·霍梅尼国际机场直飞兰州的南方航空公司CZ3002航班降落在兰州中川国际机场，从伊朗回国的146名中国公民乘机抵达兰州，并在兰州新区进行集中留观。（来源：新甘肃客户端）http://t.cn/A67lEPe2
天津交通广播,:【天津交通广播对接爱心企业向慈善协会捐款
价值投资日志,:【黄奇帆：中国面临产业链中断风险，负面冲击比"非典"大很多】近日，中国国际经济交流中心副理事长黄奇帆撰文指出，目前看起来，这次疫情对经济的负面冲击会比2003年的“非典”大很多。他强调，物流中断和疾控措施引发的产业链、供应链中断带来的冲击比中美贸易摩擦要大得多，并且一旦中断，形成了转移替代，部分行业三十年制造业基础丢了，很难再找回来。当前中国经济增长处于增速下行、艰难转型的关键时期。所以，疫情要管控住，经济和正常生活还要尽量恢复，高度重视保护产业生态、保护产业链和供应链、保护中小企业，这样才能渡过难关，行之长远。目前各地已开始执行的按照『风险等级』分类失策的做法，有序恢复生产生活及供应链服务。低风险地区要按照“外防输入”原则，立即全面恢复城乡道路运输服务。中风险地区要按照“外防输入、内防扩散”原则，在做好疫情防控工作前提下，尽快有序恢复城乡道路运输服务。高风险地区要按照“内防扩散、外防输出、严格管控”的原则，采取有效措施保障医护人员、公共事业运行一线人员等重点群体的必要出行，并结合疫情防控形势变化情况，稳妥有序恢复城乡道路运输服务。#31省区市新增119例新冠肺炎##全球抗疫第一线##科学抗击疫情#
天健天骄,:#天骄快讯#【深圳成为首批出台政策实现新冠肺炎“筛查、治疗全免费”地区】3月3日，深圳市财政局召开深圳财政落实“惠企16条”新闻通气会，会上介绍了深圳市抗击新冠肺炎疫情、支持企业复工复产的大量政策信息。该会议中提到，深圳市已成为第一批出台政策实现新冠肺炎“筛查、治疗全免费”的地区。疫情发生以来，深圳市财政局曾联合有关部门陆续出台了《关于新型冠状病毒感染肺炎疫情防控有关经费保障政策的通知》《关于进一步做好新型冠状病毒感染的肺炎疫情医疗保障工作的通知》《关于加大力度做好新冠肺炎疫情医疗保障工作的通知》等一系列经费保障通知，全面落实患者救治费用补助政策，深圳市成为第一批出台政策实现“筛查、治疗全免费”的地区。这些此前发布的通知文件中曾明确，新冠肺炎确认疑似患者和确诊患者，无论是否为深圳本地参保人，只要在深圳救治，其筛查和诊疗费用均无需个人自付，且新冠肺炎门诊筛查“免费”项目也进一步增加，包括了诸如胸部CT、核酸检测、血清检测等，纳入医保支付的范围也进一步扩大。同时，文件中还提到，对参加防治工作的医务人员和防疫工作者，财政按每人每天300元、200元的标准予以补助，让疫情防控战役最前线人员吃上“定心丸”，轻装上阵、全力战斗。（南都）
麻城微政务,:【麻城市长蔡绪安专题研究部署12345市民热线服务、大数据平台建设等工作】2月29日下午，麻城市长、市新冠肺炎疫情防控工作指挥部指挥长蔡绪安在市新冠肺炎疫情防控指挥部召开会议，专题研究部署12345市民热线服务、大数据平台建设等工作。蔡绪安同志要求各相关单位要高度重视12345市民热线工单的办理工作，进一步整合政务服务信息资源，构建“12345”市民热线、110平台及网上信访等平台协同机制，整合相关信息资源，及时回应群众关切，切实解决群众的实际困难。蔡绪安同志要求各相关单位要统筹推进大数据平台建设，市政务服务和大数据管理局、市人社局等部门要发动全市各村(社区)党员干部，全面收集和梳理数据，健全完善数据平合信息库，为进一步优化营商环境、积极回应群众诉求、有效指导疫情防控工作提供数据支撑，为群众提供精准化的线上政务服务。蔡绪安同志强调，网上办公是大势所趋，各相关部门要进一步转变思想，自觉增强网上办公意识，加强信息互联互通，实现信息共享，进一步提高办事效率。
长安号官微,:#西安抗疫最前线#【一公斤胡萝卜25元，武汉一公司哄抬物价被罚300万】#关注新冠肺炎#3月3日，武汉市市场监督管理局发出行政处罚听证告知书，拟对武汉土家二妹餐饮服务有限公司哄抬物价行为，依法“顶格”罚款300万元。经查，2020年2月4日至2020年2月29日，该公司在电商平台上，共销售蔬菜订单量6630份。其中，网售西红柿价格22元/公斤、四季豆价格36元/公斤、胡萝卜价格25元/公斤。然而，武汉白沙洲农副产品大市场有限公司提供的同期上述蔬菜价，分别为：西红柿7.5元/公斤，四季豆16元/公斤，胡萝卜4元/公斤。另查明，该公司还在其网上店铺信息栏中标明：茄子7元/个，鲜玉米10元/个，白萝卜6-8元/个。《告知书》称，该公司的这种销售方式，客观上造成了消费者的恐慌情绪，推动了新冠肺炎疫情防控期间蔬菜价格过快上涨，情节极其严重，性质极其恶劣，且经市场监管部门约谈和告诫仍拒不改正，为此，武汉市市场监管局遂依法作出上述决定。
湖北禁毒626,:【#13人用毒饵猎捕近千只野生动物#疫情期间仍顶风作案】#禁止食用野生动物#扬州的马某、彭某等人长期用毒饵猎捕獐鸡、野鸭、黑水鸡、大雁等野生动物近千只，涉案金额百万余元，不仅形成黑色产业链，且在疫情防控期间顶风作案。2月20日，警方现场查扣野鸭等60多只，13名嫌疑人已被采取刑事强制措施。http://t.cn/A67OJKA4
文明开封-尉氏气象,【#31省区市新增119例新冠肺炎病例#其中#武汉新增114例新冠肺炎#】3月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例119例，新增死亡病例38例（湖北37例，内蒙古1例），新增疑似病例143例。　　当日新增治愈出院病例2652例，解除医学观察的密切接触者6250人，重症病例减少390例。　　截至3月3日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例27433例（其中重症病例6416例），累计治愈出院病例49856例，累计死亡病例2981例，累计报告确诊病例80270例，现有疑似病例520例。累计追踪到密切接触者666397人，尚在医学观察的密切接触者36432人。　　湖北新增确诊病例115例（武汉114例），新增治愈出院病例2389例（武汉1859例），新增死亡病例37例（武汉31例），现有确诊病例25905例（武汉22368例），其中重症病例6232例（武汉5723例）。累计治愈出院病例38556例（武汉24890例），累计死亡病例2871例（武汉2282例），累计确诊病例67332例（武汉49540例）。新增疑似病例52例（武汉43例），现有疑似病例340例（武汉234例）。　　累计收到港澳台地区通报确诊病例152例：香港特别行政区100例（出院37例，死亡2例），澳门特别行政区10例（出院9例），台湾地区42例(出院12例，死亡1例)。
山东政法学院团委,:#屾屾说事儿#【#火神山医院#“打call”墙太暖了！
河南网信,:【#河南战疫我们在行动#网络作品展播（310）：剪纸《战疫情》】作者简介：新年伊始，一场疫情牵动着安阳人民的心。疫情防控工作正处于关键时期，我市进入抗击疫情的紧急状态，全面打响了疫情防控战。作者：靳林峰#抗击疫情我们在一起##联防联控河南在行动##没有斗篷的河南人也是superman#点击链接查看：http://t.cn/A67OkPLx
江汉风,:【荆州高新区新冠肺炎确诊病例和疑似病例实现清零】3月4日，记者从荆州高新区新型冠状病毒感染的肺炎疫情防控指挥部获悉，截至3月3日24时，荆州高新区连续20日无新增确诊病例和疑似病例。全区累计报告新冠肺炎确诊病例5例（均为输入性病例），已全部治愈出院集中康复隔离，现有新冠肺炎疑似病例0例。荆州高新区新冠肺炎确诊和疑似病例实现清零。3月1日，集中医学观察点最后2名密切接触者达到观察期，经核酸“双阴”检测解除医学观察，全区累计155个密切接触者全部解除医学观察，实现了社会面“干净”的阶段性目标。
光明发布,:#众志成城抗疫情##防御疫情光明行动#【坚守在社区防疫一线的“排头兵”，为你们点赞!
文明开封-尉氏气象,#全球抗疫第一线#【世卫组织：#中国境外新冠肺炎病例过万#】当地时间3日，世卫组织发布最新一期新冠肺炎情况每日报告。截至欧洲中部时间3日上午10时（北京时间17时），中国境外共72个国家确诊新冠肺炎10566例，死亡共计166例。与前一日相比，中国境外新增新冠肺炎1792例，新增8个国家（安道尔、约旦、拉脱维亚、摩洛哥、葡萄牙、沙特阿拉伯、塞内加尔、突尼斯）出现病例。（总台记者朱赫）
郑州豫见,:#河南防控新型肺炎疫情#【特别的生日！志愿者在隔离医生楼下唱生日歌，医生：感动得哭了半天
甘肃卫视,:#疫情防控甘肃在行动#【一封来自兰大一院新冠肺炎ICU患者的感谢信】3月2日，兰州大学第一医院收到了一封新冠肺炎ICU患者家属送来的感谢信和3面锦旗。在新冠肺炎ICU和隔离病房医护人员的精心救治和护理下，患者陈先生从病情危重进入新冠肺炎ICU救治，到症状患者转入普通隔离病房，现已治愈出院返家。在新冠肺炎ICU期间，医护人员得知陈先生的生日到来，还为当时已基本康复的陈先生精心准备了生日蛋糕，度过了一个难忘的生日。（来源：新甘肃客户端）http://t.cn/A6703miV
雁塔检察,【最高检第四检察厅负责人就第四批妨害新冠肺炎疫情防控犯罪典型案例答记者问】3月4日，最高人民检察院发布《全国检察机关依法办理妨害新冠肺炎疫情防控犯罪典型案例（第四批）》，最高检检委会委员、第四检察厅厅长郑新俭就此回答了记者提问。（最高人民检察院）第四检察厅负责人就第四批妨害新冠肺炎疫情防控犯罪典型案例答记者问
白银公安,:【白银市反诈中心疫情防控期间高发电诈案件预警】
通辽电务段,#交通战疫24小时##疫情防控交通动态#3日凌晨，山海关工务段管内普降中雪，及时组织人员对管内道岔、道口进行除雪。这次降雪由于气温较高，极易粘在道岔上，影响道岔搬动。但在大家的共同努力下，顺利完成了扫雪任务。@沈阳铁路
RF春华秋实,:发布了头条文章：《走访疫情防控一线将温暖送到心里》走访疫情防控一线将温暖送到心里
楼市放大镜,:【山东2020年交通建设规划来了！年内确保14条高速建成通车，建成潍莱高铁】3月4日上午10：00，山东省政府新闻办召开新闻发布会，介绍统筹抓好疫情防控和重点项目建设工作情况。记者从会上获悉，今年我省计划开工建设临淄至临沂等5条高速，全省高速公路通车里程达到7400公里。同时加快推进鲁南高铁曲阜至兰考段等高铁项目建设，建成潍莱高铁。省交通运输厅党组成员、副厅长王其峰介绍，今年是全省交通重点工程建设项目最多、规模最大、投资最多的一年，全社会交通建设计划投资1842亿元。高速公路和高速铁路仍然是建设的重中之重。2月24日，全省54个交通重点建设项目已经全面复工，复工率达到100%。“高速公路方面，计划开工建设临淄至临沂等5条高速，加快推进23条在建高速公路建设进度，年内确保14条高速公路建成通车，全省高速公路通车里程达到7400公里。”王其峰介绍，“高速铁路方面，计划开工京沪高铁二通道天津至潍坊段等5个高铁项目；加快京雄商高铁等4个项目前期工作，争取年内开工；加快推进鲁南高铁曲阜至兰考段等高铁项目建设，建成潍莱高铁。”
会计与财税,:防控疫情税收优惠政策热点问答（第七期）防控疫情税收优惠政策热点问答（第七期）
台州在线,:应急管理部统筹推进疫情防控复工复产和应急准备工作http://t.cn/A67OTHRp
武清政务服务,:我市涉农区做好疫情防控同时全面展开春耕备耕不误农时春耕忙http://t.cn/A67OAOxG
玉林电视台玉林电视网,:#坚决打赢疫情防控阻击战#她主动请缨坚守在新冠肺炎集中救治隔离病区，在距离病毒最近的地方，以大爱关怀患者，表现白衣战士的崇高与勇气。她就是玉林市红十字会医院感染性疾病科副护士长徐丽丽。（记者孙思秋赵必志通讯员黄宗富）玉林电视台玉林电视网的微博视频
懵柚日记,:#世卫组织称中国防控经验要与世界分享#没有一个国家能像中国这样，在疫情完全没有预案和准备的情况下，迅速的做出反应，四万多名医护人员奔赴前线，六天建成一座医院，14亿人口的国家，一声令下，城市、农村全部封闭，人民自觉隔离，这就是中国速度，这就是中国精神！#中国境外新冠肺炎病例过万#
山西团友青少年新媒体中心,:【加紧打包寄送教材】三月三日，山西新华书店集团太原有限公司教材发行中心，工作人员正在加紧打包准备快递的教材教辅材料。日前，太原市教育部门启动疫情防控期间全市中小学教材教辅材料的快递寄送发放工作。（来源、|：人民网山西频道）
中国甘南网,:#全民战疫#【第七版“国家版”诊疗方案：注意粪尿污染造成气溶胶或接触传播】国家卫生健康委员会发布的新冠肺炎诊疗方案（试行第七版）中新增以下表述：由于在粪便及尿中可分离到新型冠状病毒，应注意粪便及尿对环境污染造成气溶胶或接触传播。#疫情防控甘南在行动##甘南众志成城抗击疫情#http://t.cn/R2Wxekq
双流区城市管理局,【头上缝6针他仍然坚守在疫情防控一线】早上8点，成都市双流区黄甲街道双华社区农贸市场里，商户们已经忙碌了起来。社区委员李泽平也和往常一样，早早地来到市场，一一为商户测量体温，检查各类票据。在他的头顶，一条长长的疤痕依然清晰可见。新冠肺炎疫情发生以来，李泽平几乎没有休息过一天。2月1日早上，李泽平正在市场内清理杂物、整理环境时，一根钢管突然从上方滑落，径直砸在他的头顶，瞬间血流如注。在一旁热心人的帮助下，他捂着伤口赶往社区卫生服务中心。长长的伤口，一共缝了6针。但他却始终放心不下工作，也担心别的同事太劳累，当天下午便回到了工作岗位。
甘肃卫视,:#抓好防控复工复产#【最新！甘肃这些客运班线都恢复了（附兰州客运中心运营时刻表）】截至目前，兰州客运中心站恢复运营车辆疫情防控措施到位，运营状况良好。3月4日将恢复发往敦煌、瓜州、酒泉以及玉门的班线。（来源：甘肃交通广播（第：okfm1035））最新！甘肃这些客运班线都恢复了（附兰州客运中心运营时刻表）
两江交汇,:【长江日报探访8个城区安置点，滞汉外地客人过得还好吗】“感谢武汉人民的关心，否则我们一家五口真不知道该怎么办了。”截至3月3日，来自汉川的周富祥一家五口，已经在街道为他们设置的“临时的家”中住了30多天了。2月27日，武汉市新冠肺炎疫情防控指挥部发布第19号通告，对疫情防控期间滞留在汉的外地人员服务保障工作做了明确要求。像周富祥这样滞留在汉的外地客人，他们生活得怎么样？3月3日，长江日报-长江网记者对8个城区的安置地点进行了探访，现场直击来汉旅游、探亲、办事、求医、过境滞汉外地人员的安置和食宿、医疗等基本生活保障情况。据悉，连日来市人社局、民政局、公安局等多部门以及各区相关部门联动，公布24小时热线电话、网上通道等多种咨询渠道，针对不同原因、不同情况的滞汉外地人员进行分类保障服务。目前，我市已向社会公布了滞汉外地人员临时生活困难服务保障网上申请入口（生活服务保障申请二维码）、各区咨询求助电话以及12345市长专线服务平台。滞汉外地人员面临住宿困难的，由所在区政府设置集中安置点，提供食宿等基本生活保障。（长江日报-长江网）http://t.cn/A67ODjSI
山东省发展改革委,:【委领导出席我省统筹抓好疫情防控和重点项目建设新闻发布会】今天上午，省政府新闻办召开新闻发布会，邀请省发展改革委、省交通运输厅、省财政厅、省生态环境厅负责同志介绍统筹抓好疫情防控和重点项目建设工作情况。http://t.cn/A67ODO5b
大连网警巡查执法,:【警惕邪教借疫情造谣这些谣言千万别信！】当前，正处于疫情防控关键期，邪教组织却不甘寂寞，趁机“谣动”疫情，一手炮制虚假消息进行破坏捣乱。视频中邪教的惯用伎俩要警惕了！↓↓↓提醒大家要擦亮双眼，不信谣不传谣，如发现有散布谣言鼓动民众言论的个人和组织，及时向公安机关报案。http://t.cn/A67ODOPn
沈阳东陵浑南公安,:#抗击疫情公安在行动#【全力保障交通运输，有序推动复工复产
中国交通广播,:【#女子拒戴口罩闯超市#指着民警叫嚣：我不戴怎么着】3月2日，山东潍坊寿光市某大型超市门口，一女子拒戴口罩还不配合商超防疫检查。民警到场后提示该女子佩戴口罩，女子不听劝阻，胡搅蛮缠还指着民警辱骂叫嚣“我不戴怎么着”。多次劝说无效，考虑到疫情防控的安全性，民警将其控制后强制带离。小编提醒：黎明即将到来，战疫不可松懈！http://t.cn/A67Om7DP
常州武进检察,:#最高检发布典型案例#【重磅视频｜这就是你们卖的防疫物资？？？】浙江省仙居县方某某销售伪劣产品案、江苏省扬州市纪某某涉嫌销售不符合标准的医用器材案……3月4日，最高检发布第四批妨害新冠肺炎疫情防控犯罪典型案例，具体案情是怎样的？伪劣口罩、医用酒精、消毒液……办案中查获了哪些伪劣产品？戳视频↓#最高检权威发布#http://t.cn/A67OpFWx
南昌晚报,:#联防联控江西在行动#【明知患者发热仍收治，致多人核酸检测阳性、10名医务人员被隔离！江西一副院长被免职，2人被暂停医生执业资格！
沈阳市房产局,【疫期复工复产安全防范之疫情防控“两案一告知”】疫情下，企业在复工复产前还需要做哪些准备和方案呢？戳视频↓新华网的秒拍视频
抚州日报,:#抚州[超话]#【每天限号200人次左右！3月6日起，市城区儿童可以微信预约疫苗接种了！】在全力做好新型冠状病毒肺炎疫情防控工作期间，为保障辖区内适龄儿童接种需求，避免人员密集，保障群众健康安全，抚州市妇幼保健所（六水桥社区卫生服务中心）接种门诊从2020年3月6日起采取微信预约限号接种的方式，按照预约时间进行疫苗接种，具体事项通知如下：1、接种时间：周一至周日：上午8：00-11：30，下午14:00-17：00。2、接种对象：主要为市城区适龄儿童。3、采取微信预约的方式，按照预约时间段前来接种，无预约或超过预约时间的将无法给予接种（现场请出示当天预约信息）。4、每天限号接种200人次左右（狂犬疫苗和破伤风疫苗无需预约），分时段分批接种，请确保预约信息填写准确，以免造成号源失效。5、为更好保障您和宝宝的健康安全，请您戴好口罩，做好外出防护措施，门诊只允许一名家长陪同进入。6、候诊和留观时请各位家长保持至少1米以上距离。7、请如实告知您最近的动向，是否去过疫区，是否接触过相关人员。（温馨提示：疫情期间，须佩戴口罩方可进入接种门诊）8、接种完疫苗后，请到指定的地点观察30分钟，无任何不适方可离开。疫情防控期间，请广大家长朋友共同维护接种秩序，配合工作人员进行体温检测、出示电子通行证及做好登记等健康筛查工作！凡不配合者，将无法给予接种，望理解。另外，我接种门诊每天对接种环境进行严格消毒，确保接种安全。再次提醒，出行请做好防护！感谢您的理解与支持！如有疑问，请电话咨询：0794-8288605。#抚州身边事##联防联控江西在行动##抗击疫情江西在行动#
济南生态环境,【CCTV新闻联播｜国务院联防联控机制新闻发布会：全国疫情防控积极向好态势正在拓展】今天（3月3日），国务院联防联控机制新闻发布会介绍了疫情最新情况，以及为疫情防控和复工复产提供财税政策支持的有关情况。#打赢疫情防控的人民战争总体战阻击战#山东环境的微博视频
关于知识分子的札记,:欧洲也需要在疫情应对与经济增长之间找到平衡。新冠肺炎疫情对经济的影响是明显的，特别是当防控措施不断升级并长期持续，会给国内、国际市场活动带来诸多不利。当前的欧洲可能感受还不太明显，一旦疫情持续扩大，欧洲国家也同样要面对中国正在经历的“抗疫情”与“稳经济”的平衡，这对经济复苏一直乏力的欧洲将是巨大挑战。
鄞州五乡派出所,:【企事业单位复工复产如何防控疫情】国家发改委社会发展司、国家卫健委宣传司、广电总局网络司3月1日联合出品《企事业单位复工复产疫情防控措施指南》视频。精准防疫，有序复工，我们一起努力！新华视点的微博视频
三湘都市报,:#湖南身边事##抗击新冠肺炎湖南在行动#【如何保障师生疫情防控物资？省教育厅要求这样做】近日，湖南省教育厅发布通知，要求切实做好教育系统防控物资保障工作。（记者黄京）更多详情请点击：如何保障师生疫情防控物资？省教育厅要求这样做
1039温州交通广播,:#1039疫情防控权威发布#【@全体大中小学生：#新学期何时开学最新消息#来了】按照党中央、国务院统一部署，全国大中小学、幼儿园等开学时间原则上继续推迟。那究竟什么时候能开学呢？①疫情没有得到基本控制前不开学②制定返校方案时，可安排高三、初三等毕业班学生先返校③高校医学专业和医学类院校学生、毕业年级学生可先返校……详情戳视频↓↓↓（北京青年报动画翟长锋后期翟雷涛配音王雯雯）http://t.cn/A67OlBks
自贡快播报,:【自贡市复工复产企业1654户规上企业复工率达97％】#自贡新闻#一方面，有力有序推进复工复产，制发《致全市企业家朋友的一封信》《工业企业疫情防控工作规范》等文件方案；派出7个工作组赴区县“分片驻点”开展督导检查，建立问题台账并督促整改，推动防控措施落地落实。主动开展送政策、送服务、送保障，对内加快应急物资生产保供，对外集中协调采购防疫物资，成立生产保供工作组，“一企一策”“一难一策”解决实际问题，加快推动各类企业复工复产。截至3月3日，全市复工复产企业1654户；其中规上企业547户，复工率97％，重点企业已基本实现复工。另一方面，全力以赴促进持续生产。出台自贡市“10条措施”，从减负、增资、稳岗、扩能四个方面支持中小微企业共渡难关，抢抓“省政府13条”“省金融12条”等政策，面向企业宣传国家、省、市各级各类惠企政策汇编282条，推动各级政策、资金兑现落实。实施“春雨行动”，组织2期800余户企业参加线上用工政策培训，落实市领导联系企业制度，推动建立区县领导联系机制，强化生产要素保障，坚定企业发展信心。目前为多户企业、项目保障原材料及设备供应，为济生药业等40户企业新增贷款5.4亿元，争取旭阳药业等30户企业列入省重点保障名单。同时，分类施策增进产能释放。对标全市稳增长“十大任务”，实施项目三年攻坚行动、企业“双培育”、“百企改造”等工业十件大事，推动电子墨水屏等8个项目建成投产、有机氟新材料等50个技改项目加快建设。力促防疫及生活物资生产等市场广阔企业满负荷生产，支持市场受冲击企业危中找机、抢抓订单加大负荷生产，强化配套保障支撑龙头企业正常生产，引导有条件企业提前谋划、积极对接防控物资需要及居民健康生活需求转型生产。今年1-2月，全市完成工业用电2.5亿千瓦时，与去年同期基本持平，增速高于全省2.3个百分点、列全省第5位。
白城之窗V5,:#白城身边事#【逆行英雄守护我，我为英雄做后援!】2020年3月1日，本应休息的周末，可我们市政府的领导和工作人员依然在上班，开会，为防控疫情工作着，忙碌着。在防控疫情中，白城市人民也想奉献一点力量，尽一份责任。例如孙志鹏麻辣烫团队组织了员工，为奋斗在一线的政府领导们准备了130份爱心午餐，向他们表示感谢以及慰问。我相信白城市人民万众一心，一定会战胜这场疫情！感谢每一位奋战在一线的工作人员，让我们一起加油！春天即将到来！#白城爆料#
