薅羊毛小分队,:招商银行APP扫图1如果是工资卡的用户可以试试这个他行卡转入后的实物抽奖转盘
凡眼看世界心语洒乾坤,:转发：新华网评·“疫”中人｜别担心，有我同行2020-03-0211:26:25来源：新华网　　“众志成城防控疫情”系列网评之117：　　还记得那位躺在方舱医院病床上专心看书的年轻人吗？如今，他已痊愈出舱转入隔离点观察。与他同行的，还有一位15岁小病友，他们在舱内同一病区朝夕相处20天，结下深厚的友谊。　　一句“你放心，出院后，我照顾他”，是他出舱时对孩子妈妈许下的感人承诺，也是危难时刻人间大爱的体现。这一份份互帮互助的温情，恰如涓涓细流，汇聚成战胜疫情的强大力量，也传递出信心和希望。（文：徐可手绘：赵凯）
河南省卫生健康委,:【取名“沐恩”！让大家牵挂的信阳新冠肺炎确诊宝宝情况好转了！】近日，出生5天就被确诊为新冠肺炎的信阳宝宝一直牵动着大家的心。一周前，由于病情加重，宝宝被转入河南省儿童医院进行救治。3月2日，医院传来好消息，经过医护人员及时抢救和精心护理，目前宝宝病情已好转，情况稳定，这让大家揪着的心松了一口气。　　3月1日，是宝宝满月的日子，家人在给孩子取名沐恩。“孩子生下来患病是不幸的，但幸运的是他遇到了这么多好心人去关注他、关心他，这么多医护人员照顾他，希望他长大以后学会感恩。”孩子妈妈说。　　据河南省儿童医院大内科主任、内科监护室主任金志鹏介绍：“目前孩子已经撤下氧气，呼吸平稳，血氧饱和度都在95%以上。孩子白天比较安静，每天上午、下午各进行一个小时的俯卧位通气，促进肺部炎症吸收。”　　然而，一周前从信阳转来时，宝宝的情况危在旦夕。“由于孩子具有心脏基础疾病，合并新冠肺炎后，出现了心率快，达到160次-180次/分；烦躁不易安抚，出现代谢性酸中毒、呼吸性碱中毒，尿量少，全身皮肤发花等一系列症状，化验检查还提示存在严重的感染。”金志鹏现在回忆起来，仍然心有余悸。　　医护人员与“死神”展开了争分夺秒的搏斗。改善循环，扩容、抗休克、抗感染、循环支持、纠正酸碱失衡……一系列治疗措施紧张而有序地展开。由于宝宝是新生儿，血管条件差，并且护理人员要带着护目镜及手套为孩子实施静脉穿刺，难度非常大。“我们特别安排了技术娴熟、经验丰富的高年资护士，一次成功完成腋静脉穿刺，保证药液及营养液的顺利注入和治疗的顺利进行。”金志鹏说。　　没有家人陪在身边，隔离病区的医护人员就是他的“爸爸妈妈”，喂奶、换尿不湿、剪指甲，用心呵护这个幼小的生命。他们穿着厚厚的防护服，里面的衣服湿了一次又一次，带着紧勒皮肤的护目镜，雾水蒸发了一次又一次，无眠无休陪宝宝度过了一个个日夜。看着孩子坚强地挺过了这一关，一天天地好转起来，医护人员都欣喜万分。宝宝还没出生时，他的妈妈就已经出现一些症状，被认为新冠肺炎高度疑似。孩子的预产期是在2月中旬，但是1月底孩子就提前来到了这个世界。妈妈动情地说：“我给了孩子生命，他同样也给了我一次生命，在我病情还不严重的时候，提前来到这个世界，让我能够及时进行治疗。”后来，他的妈妈被确诊，爸爸、姥姥、姥爷随后也都被确诊。如今，家人也都陆续治愈出院了，妈妈已经从医院回到家里进行隔离，一家人团圆的日子指日可待。由于妈妈剖腹产后情况也不好，所以，至今还没有亲眼见过孩子。“只是从护士发给我的照片上看看孩子，每天都不一样，等他好了最想做的就是好好抱抱他、亲亲他。”妈妈眼含泪水说，医护人员都特别辛苦，把孩子照顾得很好，等他长大了，我一定会告诉他这段经历，让他永远记着这些曾经挽救他生命的天使。（曹萍鲁亚锟）http://t.cn/A67SsD6H
我们直播,:【中疾控：#精神障碍患者入院要先观察14天#防止输入性新冠肺炎】3月2日，国务院联防联控机制发布会上，中国疾控中心环境所所长施小明表示，对新入院的精神障碍患者观察14天后再转入普通病房。对严重精神障碍患者，发现有疑似病例或确诊新冠肺炎的，采取隔离措施，将患者转诊到定点医疗机构进行治疗。#聚焦新冠肺炎疫情#http://t.cn/A67Ssn2u
新京报我们视频,:【中疾控：#精神障碍患者入院要先观察14天#防止输入性新冠肺炎】3月2日，国务院联防联控机制发布会上，中国疾控中心环境所所长施小明表示，对新入院的精神障碍患者观察14天后再转入普通病房。对严重精神障碍患者，发现有疑似病例或确诊新冠肺炎的，采取隔离措施，将患者转诊到定点医疗机构进行治疗。#聚焦新冠肺炎疫情#@我们直播http://t.cn/A67Ssn2u
财经网,:【中疾控：#严控集体宿舍租住人数超标#】3月2日，针对集体宿舍在疫情期间的防控工作，中国疾控中心环境所所长施小明表示，对所有进入集体宿舍的人员体温检测，如发现体温异常人员，要立即将其转入临时隔离区域，按相关规定进行处置。同时，还要严控集体宿舍人员租住人数超标。@新京报http://t.cn/A67SDxPM
新浪财经,:【中疾控：#严控集体宿舍租住人数超标#】3月2日，针对集体宿舍在疫情期间的防控工作，中国疾控中心环境所所长施小明表示，对所有进入集体宿舍的人员体温检测，如发现体温异常人员，要立即将其转入临时隔离区域，按相关规定进行处置。同时，还要严控集体宿舍人员租住人数超标。新京报我们视频的秒拍视频
别离开妮,:庚金坐支戌，在时序上是阳气丙火（太阳）入墓，丁火星光得养的时辰。从干支历的月序上，是庚金五行从帝旺转入衰地的九月。因此，此时的庚金，既喜火炼，更喜土生。但是，戌土为燥土，不能使庚金出现生化有情，反使庚金变脆之危。所以，庚戌日出生的人，无论母爱，还是婚姻，都难言美好。2)庚戌日出生的人，无论男女，都自带官气。所以，他们即使处于社会底层，也不失尊严。让人不可随意亲近、侵犯。因此，他们在日常生活中，为人稳重，处事讲理有分寸，能自重，具有进取心。没有非分的奢望。但是，他们处世难免猜疑心重，往往因此而自讨苦吃。*庚戌日，一般命书，又将其定为魁罡日之一。魁罡，具有性格聪明，临事果断，文章视角新特，能让人振聋发聩。但是也有秉权好杀的一面。因此，适合于从事公检法军警方面的职业工作。*命书中有魁罡日出生的人，不能见财官，见财官会立即“彻骨贫寒”之说。我的论命实践是，若整个命局干支组合，魁罡（庚辰、庚戌、戊戌、壬辰）真的被刑冲尅破，那就按平常格局的干支组合，进行论证。从实践经验所得，魁罡破的了的格局，其中也有好命运者，古人的论断，不可一概而论。*庚戌日出生的女性，有代人谋事，反遭打击，无论从事商业或是工业，都难于振发的征兆。*甲木是庚金的偏财，相对于戌，为临于养地，所以庚戌日出生的人，整体财运都欠佳，特别不适合从事投机性行业。若在其中寻找生活，往往会事倍功半，辛劳多多。*庚戌日出生的女性。丙火是其偏官，丁火是其正官。丙火相对于戌，为临墓，丁火相对于戌，为临养。因此，庚戌日出生的女性，往往遭遇到的恋爱、结婚对象，都难是自己心中期望的理想。也正因为如此，庚戌日出生的女性，往往容易红杏出墙，发生婚外恋情。有的命书，竟将庚戌日定为红艳煞。*庚戌日出生的人，容易和属鸡、属猴的人走到一起，这样的友谊，会使庚戌日主，感到支持者众，力量倍增。但也容易造成庚戌日主趾高气扬。庚戌日主若是遇到自己的谈判对手，是属鸡与属猴的坐在一起，那么，这场谈判就有可能出现诸多争执和困难。*庚戌日出生的人，和属马、属虎的人在一起也能打得火热。但庚戌日出生的男性，在谈判中若真遇到对方是两个属马、属虎的人，那么自己就会处于受控、被压制的状态中；若是庚戌日出生的女性，在工作中遇到属马或属虎的异性，则很容易擦出感情的火花。*庚戌日出生的人，在逢龙的大运、流年，容易出现职地之变。按中医理论，是太阳寒气被引动，因此，容易出现项强、头痛、身体痠痛、失眠、拍冷、肺炎、感冒、皮肤病等。庚戌日生人怎么样？庚戌日出生的人：辰月，冲，平常之命。卯月，合，因妻发福。寅月，候王之命。丑月，财旺官升。巳月，火官，武职操权，有惊险。午月文职，难善终。申、酉月，财来财散，散聚两依依。亥、子月，文笔超群。庚戌日的婚姻怎么样庚戌日出生的人，秉赋具有重义、取信、崇信之特质而呈仗义为豪之气质，其天元坐枭藏劫藏官藏枭，心胸非凡，驾驭异性特强。庚戍日主宜选择乙卯日主为配，在已火岁运中遇之，以属兔者宜，此为义与智之配，可情投意合http://t.cn/A67IvWhN
新京报我们视频,:【中疾控：#严控集体宿舍租住人数超标#】3月2日，针对集体宿舍在疫情期间的防控工作，中国疾控中心环境所所长施小明表示，对所有进入集体宿舍的人员体温检测，如发现体温异常人员，要立即将其转入临时隔离区域，按相关规定进行处置。同时，还要严控集体宿舍人员租住人数超标。#聚焦新冠肺炎疫情#@我们直播http://t.cn/A67SDxPM
Ainiyiiiii,:#我与小马的小琐碎[超话]#想起来学期末的时候学校抓谈恋爱现象然后我和马得熙转入地下恋情在校内走路都保持一定距离更别说啥肢体接触了坐在一起都要隔开一点呆在一起的时间只有晚上吃饭的时候（后面加了个宵夜）宵夜都去二楼吃然后食堂二楼聊天等到食堂熄灯了然后再回宿舍每次食堂熄灯了马得熙就卡死角（监控死角）然后亲我拉个小手都偷偷摸摸紧紧的握住对方不到一分钟就马上分开那时候偷偷摸摸的亲实属刺激
suesuesmile,:山东今天出现大雾🌫️广东一下子从夏天又转入秋冬季节决定弄两桶黄金水桶来泡泡，免疫力提升才是王道。艾草水爸妈泡---温知无刺激，让两老泡完睡眠质量大改善浴足包---我来泡😂仅有库存，留给自己。只有当归老姜艾草「岩晒寒基的wo」suesuesmile的微博视频
今天和谁睡,谢谢你，中国男孩！
辽沈晚报,:#快讯#【沈阳桃仙国际机场排查出7名呼吸道症状患者，核酸检测结果为阴性】3月1日16时至3月2日16时，沈阳桃仙国际机场共排查出7名具有呼吸道症状的患者。沈阳市卫健部门接到报告后，按照新型冠状病毒肺炎疫情防控应急预案和转运流程，立即组织沈阳急救中心专车将上述7名患者转入市第四人民医院北陵院区进行隔离治疗，同时采集样品，经沈阳市疾病预防控制中心实验室核酸检测结果均为阴性。@辽宁日报
江苏高速96777,:3月2日18时52分，受G30连霍高速42K的事故影响，G15沈海高速连云港段，由汾水往灌云方向在831K锦屏枢纽处实施分流，禁止车辆转入G30连霍高速。
辽宁都市广播,:沈阳桃仙国际机场排查出的7名呼吸道症状患者核酸检测结果为阴性记者从市卫健委获悉，3月1日16时至3月2日16时，沈阳桃仙国际机场共排查出7名具有呼吸道症状的患者。市卫健部门接到报告后，按照新型冠状病毒肺炎疫情防控应急预案和转运流程，立即组织沈阳急救中心专车将上述7名患者转入市第四人民医院北陵院区进行隔离治疗，同时采集样品，经市疾病预防控制中心实验室核酸检测结果均为阴性。http://t.cn/z85rPrX
南昌广播电视台,:【C919首次在瑶湖机场跑道开展湿地滑行试验】#天下英雄城南昌#今天，我国自主研制的国产大飞机C919飞机105架机在瑶湖机场跑道进行湿地滑行试验。中午一点，四辆洒水车在跑道上来回喷洒，使跑道变得湿滑。这是C919首次从室内转入室外，在瑶湖机场跑道进行试验。南昌广播电视台的微博视频
沈阳新闻广播,:沈阳桃仙国际机场排查出的7名呼吸道症状患者核酸检测结果为阴性记者从市卫健委获悉，3月1日16时至3月2日16时，沈阳桃仙国际机场共排查出7名具有呼吸道症状的患者。市卫健部门接到报告后，按照新型冠状病毒肺炎疫情防控应急预案和转运流程，立即组织沈阳急救中心专车将上述7名患者转入市第四人民医院北陵院区进行隔离治疗，同时采集样品，经市疾病预防控制中心实验室核酸检测结果均为阴性。
沈阳公共频道,:【沈阳桃仙国际机场排查出7名呼吸道症状患者，核酸检测结果为阴性】3月1日16时至3月2日16时，沈阳桃仙国际机场共排查出7名具有呼吸道症状的患者。沈阳市卫健部门接到报告后，按照新型冠状病毒肺炎疫情防控应急预案和转运流程，立即组织沈阳急救中心专车将上述7名患者转入市第四人民医院北陵院区进行隔离治疗，同时采集样品，经沈阳市疾病预防控制中心实验室核酸检测结果均为阴性。
蜜蜂查,:【OKEx第七次回购销毁3，183，344.61枚OKB】OKEx官方刚刚发布公告公示OKB回购销毁情况。公告显示，2019年12月1日至2020年2月29日，OKB启动了新一季度的回购销毁即第七次回购销毁。本轮回购销毁的OKB数量为：3，183，344.61枚，价值约为1750万美金，目前已转入黑洞地址。至此，累计销毁OKB的数量为:17，161，709.06枚，目前OKB的流通量为282，838，290.94枚。http://t.cn/A67Saz2t
长春晚报,:【#方舱医院读书哥出舱了#还承诺帮忙照顾15岁小病友】前不久，在武汉国际会展中心方舱医院，一位年轻人躺在病床上专心看书的照片走红，网友称他为：“清流哥”。昨天，记者了解到，“清流哥”经过20多天治疗已痊愈，2月28日出舱转入隔离点，将继续观察14天。他从武大博士毕业后去美国深造，目前在佛罗里达州立大学教书，研究方向是高分辨冷冻电镜。“清流哥”出舱时，还对病友许下承诺，帮忙照顾他们家15岁的小病友。http://t.cn/A67MeWUz
凤凰鱼肥,:#黄某英离汉到京事件细节##抗击新型肺炎第一线##北京疫情有转入扩散期迹象#杨某某，2020感动中国的好前夫！尽职尽责，前夫楷模！
新浪黑龙江,:【喜讯！省新冠肺炎重症救治中心首名危重症患者治愈出院】2日，省新冠肺炎重症救治中心传来好消息，首名危重症患者治愈出院。该患者于2月15日从齐齐哈尔转入省新冠肺炎重症救治中心ICU，经过专家会诊，医护人员为其制定了个体化的治疗方案。2月20日，该患者病情明显好转，转出ICU，转入过渡病房进行康复治疗。2月23日，患者各项生命体征平稳，状态良好，医护人员对其进行了首次咽拭子核酸检测，检测结果为阴性。2月25日，又对该患者进行了血液、咽拭子、肛拭子的核酸检测，结果均为阴性，但当时，该患者血液中钾元素偏低，有些心率失常，医院又对这名患者进行了治疗。3月1日，经过专家组评估，该患者达到出院标准，于3月2日出院返回齐齐哈尔。（via@黑龙江发布）#黑龙江新冠肺炎患者出院#
北京体育广播FM1025,:金戈铁马话题：1，没有转入新的大牌外援，中超新赛季您主要看谁的表现？2，巴萨两球输了西班牙国家德比，这个结果您预测到了吗？
慧声说房,:原国家体改委副主任，中国经济体制改革研究会会长高尚全建议：线上开两会，你支持吗？大家坐在家里开会，既可疫情外防转入、内防扩散，非常安全，而且费用大大降低，场租费等零成本，腾讯还给网络平台提供了免费软件。这个论坛线上会议不到一百人，那么几千人的线上网络平台是否可以？我专门咨询过华为5G网络专家，回答是：没有问题。
OKEX,:【OKB回购销毁情况公示】2019年12月1日至2020年2月29日，OKB启动了新一季度的回购销毁。这是我们的第七次回购销毁，本轮回购销毁的OKB数量为：3，183，344.61枚，价值约为1750万美金，目前已转入黑洞地址。OKB回购销毁情况公示（2019年12月1日-2020年2月29日）
浙视频,:【援鄂医护VLOG⑨丨“答应给你带巧克力，我怎能食言”武汉ICU里的暖心一幕】2月14日，来自浙大二院的医护团队，整建制接管了武汉协和肿瘤中心ICU病房。3-1床是一位30岁的新冠肺炎重症患者，也是一位年轻的妈妈，2月16日转入ICU。经过半个多月的精心照料，她已基本康复，即将出院。2月27日中午，当邱中泉护士为她送去午饭时，她透露了“午后经常会饿，想吃巧克力”的想法。第二天，邱中泉轮值的是晚10时至次日凌晨4时的班。出发前，他将医院后勤为自己准备的食物——一盒巧克力、三五个沙琪玛和几根火腿肠带到医院，放在了这位女患者的床头，听说她最近已两次核酸检测阴性，马上就能回家与孩子团圆。@浙江日报http://t.cn/A67S2zmn
中国消费者报,:【中疾控：#严控集体宿舍租住人数超标#】国务院联防联控机制3月2日召开新闻发布会。针对集体宿舍在疫情期间的防控工作，中国疾控中心环境所所长施小明表示，对所有进入集体宿舍的人员体温检测，如发现体温异常人员，要立即将其转入临时隔离区域，按相关规定进行处置。同时，还要严控集体宿舍人员租住人数超标，设置可开启窗户，定时通风。对没有窗户的宿舍，应安装排风扇等机械通风设备，以及盥洗室要配备洗手池和消毒用品。
游戏动漫play,:#电竞圈#2020年3月2日中午12点，王者荣耀KPL职业联赛官方公布了春季赛常规赛赛程，本赛季由于部分俱乐部已经进行地域化，东西部战队有所调整，QGhappy主场落户重庆，新赛季将转入西部赛区，而原来是西部赛区的Hero久竞主场落户南京，新赛季将会和LGD大鹅一起加入东部赛区，完成主场落户的俱乐部在本赛季战队名称前方都以添加主场城市，此番操作后东西部都已拥有8支战队。本赛季春季赛常规赛前期将会以线上形式开赛，揭幕战将会在3月18日进行，对阵双方分别是秋季赛冠军AG超玩会和冬冠赛冠军QGhappy，常规赛赛程为期十周，结束日期为5月24日，每周将会有五个比赛日，每周三，四，五，每天两场BO5，晚上17点30开始，周六日每天三场BO5，下午15点开始，大致日程和上赛季基本一致。
外汇黄金技术分析,:铁矿2005：上周铁矿最高触及684.5，最低触及606，长阴线报收。从铁矿走势来看，上周长阴线大幅回落，回吐600上方大部分涨幅，此时盘面转入下行走势。价位上，630一带由短期支撑转换为压制，该线之下运行阶段，有望延续疲态进一步杀跌，下一波观察590-600一带。　　建议：铁矿上周反复建议沽空跟进，目前顺利实现预期冲高回落走势，周内可以重点观察590-600一带，该区域对应短期低点杀跌目标位置，回落测试阶段，空单可以陆续离场，之后等待反弹沽空机会。#期货#
杭州热门新闻,:【浙大一院完成全球首例老年新冠肺移植手术】#杭州抗疫在行动#3月1日下午，浙大一院多学科协作完成了全球首例老年新冠肺移植手术。这位66岁的女性患者1月31日确诊，2月2日转入浙大一院抢救2月3日和16日先后气管插管和使用上ECMO，此时她的病毒核酸检测已连续多天转阴，但双肺实变严重，肺功能受损不可逆，延续生命唯一的方法就是肺移植。这台高风险、高难度手术，凝结了浙大一院30余位医护专家的心血。目前，患者术后生命体征平稳。
六网论坛,:【金寨县退出中风险地区】3月2日安徽省新冠肺炎疫情风险等级分类名单显示，金寨县从中风险地区转入低风险地区。现在六安市中风险地区：霍邱县。低风险地区：金安区、裕安区、叶集区、舒城县、霍山县、金寨县。
宁波话梅,:#宁波抗疫在行动#【清零了！余姚最后一例新冠肺炎确诊患者治愈出院！】经医护人员精心诊治和护理，昨天下午1点，市人民医院最后一例新冠肺炎确诊患者陈女士也治愈出院了。截至目前，我市累计发现的11例新冠肺炎确诊病例，除3例转入上级医院治疗并已出院外，在我市定点医院收治的8例也已全部出院，实现清零。最后出院的陈女士，66岁，临山镇人，1月23日与新冠肺炎确诊患者共进晚餐，为确诊病例的密切接触者；2月3日被确认为新冠肺炎确诊病例，转入负压病区治疗。目前，陈女士无呼吸道症状，连续4次咽拭子病毒核酸检测阴性，复查胸部CT提示两肺急性渗出性病变明显改善，经宁波市级专家组会诊后认为，已符合国家卫生健康委《新型冠状病毒肺炎诊疗方案（第六版）》确诊病例解除隔离和出院标准。出院时，陈女士为全体负压病房的医护人员送上写有“白衣天使最美逆行护佑生命如沐春风”的锦旗表达感激之情。“我市确诊病人清零了，意味着我市疫情防控工作取得阶段性成果，但仍不能掉以轻心。”昨天，市疾控专家在接受记者采访时表示，目前面临“三返”高峰等压力，形势仍十分严峻，各村（社区）、企业单位要加强管理，做好每个人员的信息核查、审查“甬行码”、测量体温并询问健康状况，发现发热、呼吸道等异常情况及时联系各乡镇（街道），专人专车转运至发热门诊，不得自行就医。广大市民仍要做好自身防护工作，戴口罩、勤洗手，勤通风、勤换衣物，不串门、不聚集、不聚餐，听官宣、不恐慌，不信谣、不传谣。（余姚日报）http://t.cn/R2Wx0k2
中国新闻社,:#关注新冠肺炎#【中疾控：#新入院精神障碍患者要观察14天后再转入普通病房#】精神医疗卫生机构如何防控新冠肺炎？中国疾控中心环境所所长施小明2日表示：精神医疗卫生机构要加强医务人员防控知识培训，尽量减少门诊患者复诊次数，缩短住院时间，暂停家属探视，限制陪诊人员数量，特别是新入院的精神障碍患者要观察14天后再转入普通病房。其次，加强住院患者，特别是严重精神患者的管理治疗和看护，尽量减少外出活动，降低冲动行为发生的风险，防治院内扩散。第三，对住院的严重精神障碍患者，发现有疑似病例或确诊新冠肺炎的，立即采取隔离措施，将患者转诊到定点医疗机构进行治疗；对暂时无法转出到定点医院的确诊患者，应当立即设置发热病区，请具有新冠肺炎诊疗能力的综合医院的医务人员进行会诊。（左宇坤）
区块链少帅,:#比特币[超话]#【2300万枚XRP自Bithumb转入未知钱包】据WhaleAlert数据，北京时间03月2日15:26，2300万枚XRP自Bithumb转入未知钱包，按当前价格计算，价值约532万美元，交易哈希为：E920D76D03ABE65669726D8B8C4C9E75B8E6BEF5B1EDA96C2D65A6A01AE7E120。
国网山东电力,:【复工复产组塔忙让路高架建设】3月2日，@国网嘉祥县供电公司施工人员对220千伏宁凤Ⅱ线迁改14号塔进行组塔作业，新建铁塔“身高”将高达63米，为即将建设的内环高架建设让路。该基铁塔完工后，将转入放线施工，完成首条220千伏线路迁改任务。
Sahasrara,:从早上起床到中午到家一上午量了十几次体温，今晚做梦估计都会梦到被枪指着吧
吉林交通广播,:#关注新冠肺炎#【中疾控：#严控集体宿舍租住人数超标#】国务院联防联控机制3月2日召开新闻发布会。针对集体宿舍在疫情期间的防控工作，中国疾控中心环境所所长施小明表示，对所有进入集体宿舍的人员体温检测，如发现体温异常人员，要立即将其转入临时隔离区域，按相关规定进行处置。同时，还要严控集体宿舍人员租住人数超标，设置可开启窗户，定时通风。对没有窗户的宿舍，应安装排风扇等机械通风设备，以及盥洗室要配备洗手池和消毒用品。（杨雨奇）
中国新闻网,:#关注新冠肺炎#【中疾控：#严控集体宿舍租住人数超标#】国务院联防联控机制3月2日召开新闻发布会。针对集体宿舍在疫情期间的防控工作，中国疾控中心环境所所长施小明表示，对所有进入集体宿舍的人员体温检测，如发现体温异常人员，要立即将其转入临时隔离区域，按相关规定进行处置。同时，还要严控集体宿舍人员租住人数超标，设置可开启窗户，定时通风。对没有窗户的宿舍，应安装排风扇等机械通风设备，以及盥洗室要配备洗手池和消毒用品。（杨雨奇）
官渡区矣六街道,:3月2日，疫情防控工作现已转入管理清零阶段，映华社区工作人员按照上级文件和会议精神的指示，继续开展抗疫工作。一是开展爱国卫生运动。辖区内公共卫生区域保持日常清洁消杀，强效通风，增加消杀次数。二是户外办理业务。近日来访大部分是办理健康证明的居民，为防止人员扎堆，社区工作人员在门口发数字号码，按照叫号顺序来走廊通风处办理。对复工复产企业和个体经商户在单独设置户外的桌子办理。三是对湖北人员建档，一人一档，包括证明材料，15日体温检测记录和云南健康码绿码的承诺书。四是社区工作人员与小区卡点进行对接工作，包括居民扫码、体温监测记录、湖北籍和其它地区返昆人员信息登记。五是做好“四类人员”排查，核查数据，及时上报街道。在保障疫情防控的前提下，有序运行必须的公共事业，解决群众生活需求，逐步恢复企业及个体经商户的复产复工。@昆明官渡发布@昆明市官渡区委办@昆明市官渡区政府办@中共官渡区委组织部@昆明官渡区
转基因微问答,:什么是转基因作物？转基因作物安全吗？说到转基因作物和转基因食品，相信很多朋友多多少少都有一些困惑。所谓的转基因作物，实际上是一种精准育种技术的产物，即通过将特定的基因转入到目标作物中，使作物能够表达该种基因的优良特性，如抗虫性、耐除草剂等特性。而至于转基因作物的安全性，美国科学促进会（AAAS）就曾声明，“世界卫生组织、美国医学协会、美国国家科学院、英国皇家学会和其他受人尊敬的机构已经分析了已有的证据，得出了同样的结论：相比传统改良作物制成的同种食物，含有转基因作物成分的食物并没有更高的风险。”事实上，目前从未出现一起由转基因作物引起的食品安全问题。http://t.cn/AiO3k4bt
深圳网警,:#全球首例新冠肺炎病人肺移植手术成功#【浙大一院完成全球首例老年新冠肺移植手术】3月1日下午，浙大一院多学科协作完成了全球首例老年新冠肺移植手术。这位66岁的女性患者1月31日确诊，2月2日转入浙大一院抢救2月3日和16日先后气管插管和使用上ECMO，此时她的病毒核酸检测已连续多天转阴，但双肺实变严重，肺功能受损不可逆，延续生命唯一的方法就是肺移植。这台高风险、高难度手术，凝结了浙大一院30余位医护专家的心血。目前，患者术后生命体征平稳。http://t.cn/A67XlPSq
陈紫叶的说,:总覺得晚上的時間過的特別快，腦子剛剛開始復盘一些事情，思路剛轉入清晰，但是却該睡了，為了好作息，還是跟寶貴的夜，說晚安吧[冰雪奇缘安娜]
云南政法,:【清零！玉溪最后一例新冠肺炎患者治愈出院】今天（3月2日）上午10:22，玉溪市最后一例新冠肺炎患者在医生的陪同下走出玉溪市人民医院感染科大门，标志着玉溪市新冠肺炎确诊病例全部“清零”！患者为女性，70岁，红塔区人。2020年1月19日有武汉亲属到家中拜访过，1月30日到玉溪百信医院就诊，后转入玉溪市人民医院留观病区，于1月31日采样送检，1月31日确诊，1月31日转市人民医院感染科治疗。经过治疗，3月2日治愈出院。（云南发布）@玉溪政法
中国足球报道,:【冷！中超16队转出多于转入】#中超标王创8年来最低身价#从最终的冬季转会窗口汇总情况来看，16支中超球队转出的球员人数总和要多于传入球员人数总和。上港、苏宁、鲁能、卓尔、大连人、斯威、华夏幸福、黄海和永昌都签下新外援，恒大、富力、国安、申花转入的外援均是此前租借到其他球队的，建业、泰达和天海则没有外援入队，天海目前留队仅2名外援。在今年转会市场上，年轻的球员相对较为“吃香”，一些年过30岁的所谓老将则显得日子没那么好过。#转会关窗日##足协未给天海进行注册#http://t.cn/A67XlvqT
lagoon517,:🌸长恨春归无觅处不知转入此中来🌸想回学校看花但学校给处分lagoon517的微博视频
爱猪兔子呀,:现在国外疫情严重，强烈建议所有入境人员强制隔离14天，昨天深圳有1例输入性病例，患者由英国飞香港转入深圳
虎门太平,:#虎门防疫战#【虎门镇人大代表战“疫”故事——最美医生抢救危重产妇】新冠肺炎疫情期间，镇人大代表、东莞市最美医生、滨海湾中心医院产科主任钟向真率领的产科团队，经过六个小时的全力抢救，两名从外院转入的产妇转危为安。虎门镇人大代表战“疫”故事◎最美医生抢救危重产妇
禅城发布,:【佛山医疗队的18天武汉时间】从绵绵冬雨迈入明媚春光，佛山第四批驰援湖北医疗队在武汉市第一医院已奋战18天。322名佛山医疗队队员发挥中医药优势，打出一套“佛山功夫”，交出的成绩单是累计收治患者142名，已治愈出院24名。昨天，武汉市硚口区武体方舱医院“休舱”，66名轻症患者转入武汉市第一医院，佛山医疗队收治其中12名。http://t.cn/A67aOPPv
俺体是烧炉滴,:更应将汽车排放是否达到国Ⅳ标准考虑在内！选择二手车：”业内人士提醒，并不是因为我有多伟大……我爱你，避免购置的二手车因使用和交易环境受限而严重贬值；“越来越多城市禁止达不到国Ⅳ标准的二手车转入！我宁愿选择放弃：微笑着离开！重庆·胜辉招待所
我是平淡激越,【#韩国新增476例新冠肺炎#，#韩国确诊超4000例新冠肺炎#】韩国中央防疫对策本部2日通报，截至2日0时，韩国较1日下午4时新增新冠肺炎确诊病例476例，累计确诊病例达4212例。继上月29日确诊病例超过3000例之后，韩国新冠肺炎确诊病例于2日超过4000例。为解决病床紧缺问题，韩国中央灾难安全对策本部1日发布新版治疗管理方案。根据新方案，患者根据病情轻重分为轻症患者、中症患者、重症患者、最重症患者。中症以上患者迅速安排在负压病房或是国家定点医院接受治疗，轻症患者则到设于公营设施等地的“生活治疗中心”接受治疗。生活治疗中心也配有医疗人员，根据医疗人员的判断，轻症患者可随时转入医院接受治疗。（人民日报记者马菲）
北京晚报北晚新视觉网,:【#全球首例老年新冠肺移植手术成功#！回顾手术全过程】3月1日下午，浙大一院多学科协作在之江院区负压手术室完成了全球首例老年新冠肺移植手术。目前，患者术后生命体征平稳。这位66岁的女性患者，于1月31日确诊为新冠肺炎，2月2日转入浙大一院抢救。核酸检测已经连续多天转阴，但双肺实变严重，肺功能受损不可逆，想要延续生命唯一的方法就是肺移植。昨天上午，一位湖南脑死亡患者捐献大爱，肺与患者配型成功。下午3点56分，供肺搭载的飞机落地杭州。晚上9点18分，双肺顺利移植完成。http://t.cn/A67aoYTy
新浪教育,:【#方舱医院读书哥出舱了#
张颐武,【#韩国新增476例新冠肺炎#，#韩国确诊超4000例新冠肺炎#】韩国中央防疫对策本部2日通报，截至2日0时，韩国较1日下午4时新增新冠肺炎确诊病例476例，累计确诊病例达4212例。继上月29日确诊病例超过3000例之后，韩国新冠肺炎确诊病例于2日超过4000例。为解决病床紧缺问题，韩国中央灾难安全对策本部1日发布新版治疗管理方案。根据新方案，患者根据病情轻重分为轻症患者、中症患者、重症患者、最重症患者。中症以上患者迅速安排在负压病房或是国家定点医院接受治疗，轻症患者则到设于公营设施等地的“生活治疗中心”接受治疗。生活治疗中心也配有医疗人员，根据医疗人员的判断，轻症患者可随时转入医院接受治疗。（人民日报记者马菲）
