用户6185715777如鹰,:霍阳任梅州市副市长霍阳任梅州市副市长
梅州新闻联播,:【梅州景区到年底对全国医护工作者免费开放！全国新闻记者还可免费游百侯景区】近日，梅州市文化广电旅游局和梅州市旅游协会向全市所有旅游景区发出倡议，自景区恢复运营之日起至2020年12月31日止，向全国（含港澳台地区）所有医护工作者，凭有效证件（医师证、护士证或与医务工作相关的其他资格证件）到我市53家旅游景区参观实行免门票优惠。为向不顾危险勇于投身抗击疫情一线的新闻工作者表示敬意，负责经营国家4A景区大埔县百侯名镇旅游区的梅州市广播电视台决定：自百侯景区恢复运营之日起到2020年12月31日止，全国新闻记者（凭本人记者证）免门票进景区。#梅州#
梅州电台1058,:【@梅州人，今起可预约购买口罩】在我省启动重大突发公共卫生事件一级响应期间，为避免购买口罩人群过度聚集造成可能的交叉感染风险，经梅州市新冠肺炎防控指挥部办公室统筹协调，梅州大参林药店有限公司现提供线上口罩预约服务，摇号抽取购买资格。广大市民朋友可以进入“大参林医药服务”公众号，进行口罩预约。http://t.cn/A6hQd8To
梅州日报,:【我市印发机关企业及工厂节后复工防控新冠肺炎工作指引，节后复工要做好分类管理与健康监测】#梅州新闻[超话]#节后复工高峰渐至，为做好我市新冠肺炎防控工作，保障广大人民群众身体健康和生命安全，昨日，市新型冠状病毒肺炎疫情防控指挥部印发《梅州市机关、企业及工厂节后复工防控新型冠状病毒肺炎工作指引》（以下简称“《指引》”），强调要做好重点人群分类管理、设立临时医学观察点、开展健康筛查、加强卫生宣传等。http://t.cn/A6hQQhl5
旅游梅州,:#梅州市最新疫情#截至2月20日24时，全省累计报告新冠肺炎确诊病例1333例。20日当天全省新增确诊病例1例，为东莞市1例。新增出院45例，累计出院664例。新增出院病例中，1例为危重型病例治愈出院，4例为重型病例治愈出院，其他为普通型或者轻型治愈出院。另有疑似病例1例。有1926名密切接触者正在接受医学观察。http://t.cn/A6hQpmEH
啊润319,:【#口罩预约指南#】2.21更新:新增（截止12:30）广东省梅州市每天不定时更新文章全国各地购买（预约）口罩指南和查询疫情：http://t.cn/A6PDYWSi梅州·五华县
梅州日报,:【梅州口罩预约今日12时上线！摇号抽签模式！一次限购5个！】#梅州新闻[超话]#刚刚，我市印发《梅州市关于省调剂口罩市场投放工作方案》（以下简称“《方案》”），记者从《方案》中获悉，省调剂一批口罩，这批口罩将投放市场，发放给梅州市民。由梅州大参林药店有限公司提供线上口罩预约服务，摇号抽取购买资格，预约方式速戳>>http://t.cn/A6hQhtuN
梅州电台新闻台,:【梅州人，今天起可预约购买口罩（内附操作流程）】梅州市新冠肺炎防控指挥部办公室关于口罩预约发售的通告广大市民朋友们：在我省启动重大突发公共卫生事件一级响应期间，为避免购买口罩人群过度聚集造成可能的交叉感染风险，经梅州市新冠肺炎防控指挥部办公室统筹协调，梅州大参林药店有限公司现提供线上口罩预约服务，摇号抽取购买资格。广大市民朋友可以进入“大参林医药服务”公众号，进行口罩预约。祝广大市民朋友们幸福安康！梅州市新冠肺炎防控指挥部办公室2020年2月21日点击图片可查看操作流程
东东的天空1711,:位于广东省梅州市梅江区奥园梅江天韵，靠近梅江河，小区环境优美，管理方面好，内设有游泳池，小区内还成立了一所正规幼儿园，位于该楼层正对面，接送小朋友方便，该户室5房2厅3卫，结构采光靓，全屋望花园，业主诚意出售，价格公道，有钥匙看房方便，楼层在14栋3层楼，现价6666元一平方，共198平方，毛胚房，因业主工作地方调离，急售！有需要的可以加微信:15767742667（图片真实）http://t.cn/R2Wxn4j
苏丹卿,:#旅游博主宅家攻略#广东给人最深刻的印象是什么？在我看来，是早茶文化。但除了风味美食，广东给人最深刻的自然景观有哪些呢？位于广东梅州的五指石风景区，至今令我难忘。五指石位于梅州市粤、赣、闽三省交界的平远县一个小镇上，叫差干镇。它汇聚了“丹霞地貌、森林生态、人文古迹”三大景观，具雄、险、奇、秀、幽、古之特色。来此自驾，是一个非常不错的户外体验。景区内非常幽静，完全是置身在原始的森林中。这里汇聚了36座形态各异、惟妙惟肖的石山，呈现独特的“奇峰林立，沟壑纵横，赤壁悬崖”的丹霞地貌特色景观。沿着悬崖栈道进行游览，一路称奇连连。#广东旅行[超话]##365个旅行故事#@微博旅游@新浪旅游
梅州电台1058,:【梅州市人社部门|互联网上办招聘就业服务“不打烊”】新冠肺炎疫情发生以来，梅州市人社部门迅速调整部署，在全省率先取消现场招聘活动的同时，多渠道举办网络招聘活动。各级人社、就业官方网站和微信公众号上设立“春暖梅州”招聘活动专栏，还通过梅州日报社、梅州市广播电视台两大主流媒体及其线上平台，梅州人才网等发布岗位信息和就业政策，扩大网络招聘活动的范围和成效，从而实现了疫情防控不松懈，就业服务“不打烊”。截至2月17日，全市举办网络招聘活动31场，发布1058家企业共计40259次岗位信息，达成就业意向3275人（次），其中成功就业1213人。#梅州身边事##新型冠状病毒#
梅州新闻联播,:【梅州市人社部门|互联网上办招聘就业服务“不打烊”】新冠肺炎疫情发生以来，梅州市人社部门迅速调整部署，在全省率先取消现场招聘活动的同时，多渠道举办网络招聘活动。各级人社、就业官方网站和微信公众号上设立“春暖梅州”招聘活动专栏，还通过梅州日报社、梅州市广播电视台两大主流媒体及其线上平台，梅州人才网等发布岗位信息和就业政策，扩大网络招聘活动的范围和成效，从而实现了疫情防控不松懈，就业服务“不打烊”。截至2月17日，全市举办网络招聘活动31场，发布1058家企业共计40259次岗位信息，达成就业意向3275人（次），其中成功就业1213人。#梅州身边事##新型冠状病毒#
梅州新闻联播,:【梅州已撤减37个检疫检查站点，但还不能掉“疫”轻心！】2月19日，梅州市新冠肺炎疫情防控指挥部发出通告，将梅州8个县(市、区)的新冠肺炎疫情防控等级划分为Ⅲ级防控区。根据分区分级主要防控措施，Ⅲ级防控区取消省内地市之间，县（市、区）之间和县域内的交通检疫固定站点，结合实际对车辆实施灵活机动的检疫措施，加大公共交通消毒频次。截至2020年2月20日下午16时，梅州累计撤减37个联合检疫检查站点。#梅州身边事##新型冠状病毒#
蕉岭发布2020,:【梅州市机关、企业及工厂节后复工防控新型冠状病毒肺炎工作指引】为做好我市新冠肺炎防控工作，最大程度减少新型冠状病毒对广大市民健康造成的危害，防止复工复产后疫情在机关、企业及工厂等单位的扩散，保障广大人民群众身体健康和生命安全，特制订本工作指引。本指引适用于机关、企业及工厂等复工复产后防控新型冠状病毒肺炎。　一、成立单位内部防控机构各县（市、区）要统筹推进疫情防控和社会经济发展工作，严肃认真落实属地主体责任，根据省分区分级防控指引，自行确定、动态调整疫情高发地区名单。各机关、企业及工厂应严肃认真落实主体责任，成立单位内部的新冠肺炎防控工作领导小组，全面负责本单位人员的健康监测和新冠肺炎的防控。领导小组下设各工作组，分健康监测组、后勤组、宣传组等落实各项工作，保证各项工作落实到人。二、重点人群分类管理全国各地近14天内抵梅的复工复产员工应询问旅居史、测量体温和佩戴口罩。（一）近14天内从疫情高发地抵梅、体温37.3℃以上的员工，联系当地发热门诊重点医院调配专车转送医院作进一步隔离检查。（二）近14天内从疫情高发地抵梅、体温37.3℃以下的员工，由单位在离人群较远地方设立集中隔离场所或属地镇街、居委会安排集中隔离场所集中隔离14天。（三）近14天内从全国其他地方抵梅、体温37.3℃以上的员工，指引其到当地发热门诊作进一步检查。（四）近14天从全国其他地方抵梅、体温37.3℃以下的员工，14天内除上下班外不得外出，不得组织参与聚餐、聚会。三、设立临时医学观察点各单位根据员工数量和场所等实际情况可设置一定数量的临时医学观察点，用于初测体温≥37.3℃员工的体温复测和待送员工停留。原则上：观察点要设在相对独立、通风良好的房间（可利用企业现有医务室），需配备1-2名工作人员，负责体温检测和发热人员的管理，并配备红外测温仪、水银温度计、一次性医用外科口罩、消毒纸巾、医用乳胶手套、快速手消毒剂、84消毒剂等物品，有必要的木制或铁制椅子，不宜配置不易消毒的布质材料沙发，不能使用空调系统。各工业园区、产业孵化基地、办公楼宇等公共服务场所管理机构可视需设置临时医学观察点，负责对园区、基地和楼宇内中小企业员工的体温检测和医学观察等。临时医学观察点的工作人员应加强防控知识培训，需穿戴工作服（白大衣）、一次性医用外科口罩、医用乳胶手套。四、开展全体员工日常健康管理（一）各单位对员工的健康管理负主体责任，员工要如实告知旅居史。（二）尽量实行全封闭管理，减少人员进出，无关人员拒绝进入，进入人员要探测体温。新进人员要仔细询问近14天内旅行史。（三）以班组/科室为小单位，每天开展健康筛查，重点筛查有无发热、咳嗽等健康症状，同时如实填报《健康监测日报表》（四）设立健康管理员，负责收集单位员工健康状况，每天向卫生健康部门报告员工健康状况。（五）在流水生产线车间，需要装备洗手设施和快速手消毒剂等卫生用品，提高工作人员的自我卫生管理能力。（六）有发热、乏力、干咳及胸闷等症状的员工，指引其到当地发热门诊作进一步检查。（七）若单位出现新冠肺炎疑似或确诊病例，应配合疾控机构做好密切接触者的搜索与管理，并做好终末消毒。同时为员工提供心理危机干预和心理健康服务。五、避免人群过于密集在应急响应期间，各单位应减少人员流动，不宜举办多人参加的会议、集体培训、聚会等，必须举办的可通过视频、网络等形式举办；如单位内设有食堂，可采用分批、错峰、分散就餐或打包至各自部门（车间）就餐的方式控制同时就餐的人流量。六、加强卫生宣传工作利用单位宣传栏、公告栏、微信群、单位网站等开展多种形式的新冠肺炎和呼吸道传染病防治知识健康宣教，使管理人员和一线职工充分了解健康知识，掌握防护要点，做到早发现、早报告、早隔离、早治疗。
miao--涵,:【校长来信】梅州市梅江区嘉应中学校长：请同学们在“爱与责任”中成长http://t.cn/A6ha9qNL
瞌睡猪传奇_616,:我拍摄的#火车站#（67）梅州站—广东省—梅州市—2010-10-16
大坑光明,:#梅州[超话]#为做好新型冠状病毒疫情的防控工作，如果您从梅州市外返兴，必须如实第一时间（1小时内）主动向居住地社区（村）报告，并主动自行隔离14天，不主动申报及拒绝接受测温、医学观察等新冠肺炎疫情防控措施的，依法追究法律责任！（兴宁市防控新型冠状病毒感染的肺炎疫情工作领导小组办公室）
梅州电台新闻台,:【梅州市机关、企业及工厂节后复工防控工作怎么做？指引来了！】为进一步做好我市机关、企业及工厂节后复工复产疫情防控工作，有效控制新冠肺炎疫情蔓延。市新冠肺炎防控指挥部研究制定了指引，并于今天印发。
梅江检察,:【梅江检察助力护航企业复工复产】自新冠肺炎疫情发生以来，梅江区检察院全力投入到这场没有硝烟的战斗。为保障经济发展，应对企业复工对疫情防控带来的挑战，2月19日，梅江区人民检察院党组书记、检察长黄明仰带队深入对口挂点服务梅州市科捷电子股份有限公司，详细了解企业复工复产疫情防控各项准备工作开展情况和企业所面临的困难与问题。详情请戳→http://t.cn/A6hjuMyg
刺啦Q葵,:#送你一份春天的折耳根##四川村民给武汉捐3吨折耳根##送你一份春天的折耳根#【蕺菜[jícài]】蕺菜（拉丁学名：HouttuyniacordataThunb）折耳根（名医别录）、鱼腥草（本草纲目）、狗贴耳（广东梅州市梅县区）、折耳根（四川、云南、贵州）、猪鼻拱（四川）。腥臭草本植物，有异味。叶片心形，托叶下部与叶柄合生成鞘状。阴性植物，怕强光，喜温暖潮湿环境，较耐寒，-15℃可越冬，忌干旱，以肥沃的砂质壤土或腐殖质壤土生长最好。农田常见杂草，生果园、茶园、路埂等。产区：陕西、甘肃及长江流域以南各省，以及日本、印度尼西亚爪哇岛。http://t.cn/A6hV2XXe
梅州天气,:【傍晚天气预报】今晚到明天，全市多云，最低气温11到13度，最高气温23到24度，偏北风1到2级，森林火险气象等级3级。梅州市气象台20日16时发布
梅州电台1058,:【温暖又充满力量！昨夜起，梅州为逆行者亮灯】2月19日晚，一组直抵人心的照片出现在梅州市的地标建筑、商业综合体的LED显示屏上。照片上支援湖北的医护人员们，脸上一道道压痕触动人心，但自信的笑容让人动容。2月13日，南方都市报特派记者钟锐钧拍摄的一组照片引起了各方关注，那是十多张奋战在湖北抗疫一线的广东医护人员摘下口罩的照片，一张张温暖的笑脸上布满压痕，令人心疼之余又充满了力量。随后南方都市报发起了“为最美逆行者亮灯加油”的公益活动，在广东省委宣传部的指导下，在各地市委宣传部的积极参与下，实现了广东全省21个地级城市亮灯，将正能量弘扬到整个南粤大地。梅州市委宣传部副部长、文明办主任刘建丰介绍，梅州市万达广场、客都汇商业文化广场、东汇城广场、柏丽广场、客家村镇银行等单位积极响应，目前全市共有9个LED屏幕为“最美逆行者”亮灯。http://t.cn/A6hjJbNY
