董小蕾同学就是我,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
共青团盘锦市委,:3月2日0时至24时，辽宁省3例新型冠状病毒肺炎确诊病例2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。
瑞雪高照,:2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例http://t.cn/A67KkRD6
溪山梵唱,:【湖北以外新增11例，境外输入占了10例！】3月2日0—24时，除湖北省外，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例11例。其中浙江省新增7例（均为丽水市青田县报告的意大利输入病例）；辽宁省新增3例，均为丹东市病例。辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告，要求对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。3月2日12—24时，上海市新增确诊病例1例。为黑龙江籍，常住浦东新区，对其的流行病学调查正在进行中。
大连新闻网,:【大连市市场监督管理局推出三十条举措全力支持企业复工复产】为统筹做好疫情防控和经济社会发展，支持企业复工复产，大连市市场监督管理局近日推出三十条措施，包括登记许可、食品药品监管、价格监管、质量监管、信用监管及知识产权、标准、计量、认证、检验检测技术服务等方面，全力为打赢疫情防控和促进经济社会发展提供有力支撑。搭建疫情防护用品增产保供审批“绿色通道”依托大连市政务服务网在线办理市场主体的设立、变更、注销登记业务。对确需现场办理事项，推行“预约办”，预先完善申办材料，窗口快速办理，限时办结，“最多跑一次”。依托大连市政务服务网在线办理食品、药品、医疗器械、特种设备、计量、食品相关产品以及检验检测机构认定等许可事项，通过电子证照、快递送达等方式，实现办事者与审批者全程“零见面”。搭建疫情防护用品增产保供审批“绿色通道”。对隔离衣、隔离面罩等一类医疗器械生产和产品备案以及医用口罩、医用防护服等涉及防疫物资保障的医疗器械经营企业许可（备案）事项，专人负责、提前介入、全程指导、特事特办。食品相关产品生产许可当天当场拿证食品相关产品生产许可实行告知承诺制，当天受理，当场拿证。对因疫情影响未能按时办理食品相关产品生产许可证换证，导致许可证书过期的生产企业，可办理许可证延期，待疫情解除后再行提交延期申请。推行即时远程现场核查模式。对确需现场核查的审批事项，在保障审批条件不降低、审批标准不放松的前提下，采取“远程线上即时视频查验+线下文件审查”模式，压缩办理时限。此外，强化企业复工复产计量帮扶。向复工企业开通检定校准、检验检测服务绿色通道，优先保障防疫定点医院、医疗机构、防控用品生产企业等疫情防控医用计量器具的检定、校准和涉及产品的检验检测。对机场、车站、地铁站、码头等人员密集场所的测温设备，第一时间安排计量检定、校准。餐饮服务经营者禁止提供“堂食”加强食品安全监管。压实食品生产经营单位食品安全主体责任，餐饮服务经营者禁止提供现场就餐服务，采取打包外带或网络订餐实施无接触外卖配送；各类学校（托幼机构）、机关和事业单位食堂实行分餐配送，企业单位食堂实行分散性就餐，联合食品行业组织和网络订餐平台等免费为食品生产经营单位提供疫情防控法律法规培训。加强药品医疗器械安全监管。支持药品和口罩、防护服等防控物资生产经营企业扩大产能、满足供应。要严格执行防控指挥部令，所有零售药店暂停销售治疗发热、咳嗽药品。严厉打击制售假冒伪劣药品、医疗器械、医用卫生材料等违法行为和口罩等防控物资生产经营领域囤积居奇、哄抬价格等违法行为，维护防控物资生产所需机器设备、原辅材料市场价格秩序稳定，加强涉农物资价格监管，支持春耕备播和农业生产。下面，就让我们先睹为快“30条”：大连市市场监管局支持复工复产三十条为统筹做好疫情防控和经济社会发展，支持企业复工复产，依据国家市场监管总局、国家药监局、国家知识产权局《支持复工复产十条》（国市监综〔2020〕30号），省市场监管局、省药监局、省知识产权局、省检验检测认证中心《关于支持复工复产的若干意见》（辽市监联〔2020〕3号）和《辽宁省市场监督管理局关于支持餐饮服务单位复工营业保障食品安全的通告》等，经与大连市检验检测认证技术服务中心、大连市检验检测集团有限公司商定，本着事权原则、可操作性原则和惠企原则，从登记许可、食品药品监管、价格监管、质量监管、信用监管及知识产权、标准、计量、认证、检验检测技术服务等方面，制定本细化措施如下。一、依托大连市政务服务网在线办理市场主体的设立、变更、注销登记业务。设立咨询帮办电话，由经验丰富的登记员负责解答咨询业务，指导申请人通过全程电子化渠道办理登记注册。对生产防疫用品的企业注册登记实行容缺受理、专人专办、特事特办。对确需现场办理事项，推行“预约办”，预先完善申办材料，窗口快速办理，限时办结，“最多跑一次”。二、依托大连市政务服务网在线办理食品、药品、医疗器械、特种设备、计量、食品相关产品以及检验检测机构认定等许可事项，通过电子证照、快递送达等方式，实现办事者与审批者全程“零见面”。三、执业药师注册由“网上申报，窗口受理”调整为“网上全程办理”。申请人登陆国家药品监督管理局执业药师注册平台注册后，在线申请并上传相关电子资料，无需提交纸质材料，审批工作人员网上受理、审批、制证。四、搭建疫情防护用品增产保供审批“绿色通道”。对隔离衣、隔离面罩等一类医疗器械生产和产品备案以及医用口罩、医用防护服等涉及防疫物资保障的医疗器械经营企业许可（备案）事项，专人负责、提前介入、全程指导、特事特办。五、依托中国国际贸易单一窗口在线办理进口药品通关备案，对于疫情急需药品开通“绿色通道”，设置专人对接，保证疫情相关药品及时通关。六、对疫情防控相关领域检验检测机构资质认定实行“告知承诺”审批，落实专人办理，做到特殊审批事项即到即办，待疫情解除后适时补充实施现场核查。七、部分食品生产经营许可实行告知承诺制。在确保安全的前提下，对小麦粉、大米、挂面、其他粮食加工品、膨化食品、薯类食品等六类食品实行食品生产许可告知承诺制，申请许可要件符合法定要求的可先发证，疫情结束后组织现场核查。对新申请食品经营许可(限仅从事预包装食品销售)、申请变更或延续食品经营许可(限经营条件未发生变化)的，实行告知承诺制，在疫情解除后30日内完成现场核查。对申请小餐饮许可实行告知承诺的，在疫情解除后60日内完成现场核查。八、食品相关产品生产许可实行告知承诺制，当天受理，当场拿证。对因疫情影响未能按时办理食品相关产品生产许可证换证，导致许可证书过期的生产企业，可办理许可证延期，待疫情解除后再行提交延期申请。九、特种设备生产单位许可和移动式压力容器、气瓶充装许可可以通过企业自我声明承诺方式免评审换证。对因疫情影响不能按时完成换证的特种设备生产单位和移动式压力容器、气瓶充装单位，可办理许可证延期。鼓励符合条件的特种设备生产、充装单位，采用自我声明承诺的方式免评审换证。十、简化检验检测机构资质认定换证、扩项等许可审批。疫情期间，暂停检验检测机构资质认定现场评审工作，改由通过专家文审、后续评审等方式进行。申请复查换证延续有效期的，采取形式审查方式，对检验检测机构直接予以延续资质认定证书有效期，待疫情解除后适时补充实施现场评审。对受疫情影响无法按期申请办理检验检测机构复查换证的，可以延期至疫情解除后办理，证书有效期延长至疫情解除后三个月。十一、推行即时远程现场核查模式。对确需现场核查的审批事项，在保障审批条件不降低、审批标准不放松的前提下，采取“远程线上即时视频查验+线下文件审查”模式，压缩办理时限。十二、对涉及防治新冠肺炎的专利、商标注册申请提供绿色通道服务。支持企业开展知识产权质押融资，协助企业进行知识产权质押登记，支持企业快速融资和续贷，缓解资金困难。十三、对在疫情防控期间营业执照登记事项发生变化又不能及时办理变更登记的，延期至疫情解除后一个月内办理。十四、延长工业产品生产许可证期限。对有效期届满或需要实地核查延续的工业产品生产许可证，许可证有效期顺延至疫情解除后1个月。十五、延长食品生产经营许可证期限。食品生产许可证有效期内，许可事项发生变化又不能及时办理变更登记的，延期至疫情解除后1个月内办理。食品生产许可证、食品生产加工小作坊许可证、食品经营许可证到期，因疫情影响未能按时办理换证的，许可证有效期顺延至疫情解除后1个月。十六、延长特种设备生产单位、检测机构许可期限。特种设备生产单位许可证、检验检测机构核准证有效期届满不足6个月的，可以网上办理许可证延期。符合条件的特种设备生产单位，鼓励采用自我声明承诺的方式免评审换证。十七、特种设备作业人员资格认定延期换证。暂停组织特种设备作业人员资格认定考试（涉及疫情防控、重大项目除外）。特种设备作业人员证书到期需要复审换证的，自动延期，可在疫情解除后3个月内申请证书复审。十八、对因疫情影响导致知识产权当事人不能正常办理相关事务、权利丧失的，疫情影响消除后指导其适时请求恢复权利并办理权利丧失前应当办理的相应手续。十九、开展“一企一书一策”质量帮扶。围绕原材料把关、过程质量控制、出厂检验、质量管理、标准执行以及人员技能培训等方面，实施“一企一书一策”，指导企业完善产品质量管控体系，提升产品质量水平。二十、鼓励社会团体组织制定相关团体标准，增加企业复工复产所需标准的有效供给。二十一、鼓励标准化技术组织和机构，围绕企业复工复产提供查询检索国家标准行业标准地方标准、企业执行标准时效性确认和符合性咨询服务，帮助企业制定疫情防控相关标准，提供商品条码质量检测，启动物品编码业务24小时快速响应机制。组织标准化研究机构在大连市标准化公共服务平台上线疫情防控相关标准免费查询子平台。二十二、引导认证机构加强技术服务，开辟针对复工复产企业的线上咨询、受理、评价等综合服务通道，采取线上认证申请受理、延期现场审核检查、优先安排3C认证等方式办理。二十三、强化企业复工复产计量帮扶。向复工企业开通检定校准、检验检测服务绿色通道，优先保障防疫定点医院、医疗机构、防控用品生产企业等疫情防控医用计量器具的检定、校准和涉及产品的检验检测。对机场、车站、地铁站、码头等人员密集场所的测温设备，第一时间安排计量检定、校准。二十四、加强检验检测技术支撑和服务保障。鼓励质量检验检测机构加强检验检测服务，规范检验检测操作方法流程，切实做到过程可追溯、检验质量有保障；对于口罩、消毒液等疫情防控相关产品检验检测，特事特办、随送随检。二十五、减免检验检测技术服务收费。协调相关机构对标准信息咨询服务、标准时效性确认、企业标准执行符合性咨询服务、企业制定疫情防控相关的企业标准费用予以免收；对复工复产企业计量器具的检定校准、食品、农产品、工业产品、纤维制品等检验检测项目分别依据辽宁省收费标准（辽价发〔2016〕106号）和相关机构产品价格项目收费减半。二十六、审慎异常名录管理。对生产、经营疫情防控相关物资的企业，已被列入经营异常名录的，经企业申请，可以简化流程、尽快移出。对因受疫情影响暂时失联的企业，可以暂不列入经营异常名录。二十七、加强食品安全监管。压实食品生产经营单位食品安全主体责任，餐饮服务经营者禁止提供现场就餐服务，采取打包外带或网络订餐实施无接触外卖配送；各类学校（托幼机构）、机关和事业单位食堂实行分餐配送，企业单位食堂实行分散性就餐，联合食品行业组织和网络订餐平台等免费为食品生产经营单位提供疫情防控法律法规培训。二十八、加强药品医疗器械安全监管。支持药品和口罩、防护服等防控物资生产经营企业扩大产能、满足供应。要严格执行防控指挥部令，所有零售药店暂停销售治疗发热、咳嗽药品。二十九、加强涉企收费监管。做好疫情期间中央和地方新出台支持复工复产涉企收费优惠政策落实情况监督检查，严肃查处搭车收费、转嫁成本、强制服务并收费的各类违法违规行为，绝不允许任何单位借防疫之机巧立名目增加企业负担。三十、严厉打击制售假冒伪劣药品、医疗器械、医用卫生材料等违法行为和口罩等防控物资生产经营领域囤积居奇、哄抬价格等违法行为，维护防控物资生产所需机器设备、原辅材料市场价格秩序稳定，加强涉农物资价格监管，支持春耕备播和农业生产。本措施适用于新型冠状病毒肺炎疫情防控期间。
记者王国忠,:【沈阳市大东区教育局工作者的抗“疫”历程】突如其来的新冠肺炎疫情，让辽宁省沈阳市大东区教育局小学教育科科长解长华在1月24日退掉了出游机票，第一时间投入到疫情防控工作中。沈阳市大东区教育局工作者的抗“疫”历程
山西广播电视台,:3月1日，辽宁省丹东市人民政府新闻办公室召开新闻发布会，通报了对丹东市第8例新冠肺炎病例启动调查程序的情况。经宽甸满族自治县委研究决定，免去孙子云县卫健局党委书记职务，建议免去县卫健局局长职务。新增1确诊病例，这个县的卫健局局长被免
公安部刑侦局,:【痛心！#辽宁一民警牺牲在防疫一线#】据@中国警察网，3月1日，辽宁省阜新市阜蒙县公安局大五家子派出所民警孟宪龙，在抗击疫情期间，因突发心脏疾病不幸牺牲在工作岗位上。英雄，一路走好！
未来天空_41899,:[推荐]辽宁丹东补充通告：2月12日后境外进入人员须进行核...。查看👉👉👉http://t.cn/A679fUbv月2日晚，辽宁省丹东市新冠肺炎疫情防控指挥部办公室发布补充通知，要求2月12日以后境外入丹人员需进行核酸检测，2月28日以后境外进入的人员原则上统一集中隔离，并进行核酸检测。丹东市政府官网发布的上述http://t.cn/A679fUbh
口十土予,:17下半年一次性把教资笔试过了辽宁省有四次面试机会第一次放弃了去上海看演唱会第二次是当天第一场第一个考试我还自我感觉不错结果没过第三次放弃了回昆明过圣诞第四次也放弃了因为时间冲突赶不回大连后来发现笔试成绩20191231才过期正好赶上云南省2019下半年的最后一次面试机会幸运！
车市观察V,:#辽宁新增3例确诊均为丹东病例#内防扩散，外防输入。辽宁23天零新增终止，刚成低风险区即增一例，丹东县卫健局书记闪电下课。坚持12天的辽宁退出了“零新增群”。3月1日，丹东市通报：2月29日辽宁省新增1例新冠病毒肺炎确诊病例，且属重型病例，来自已连续23天无新增病例的丹东市宽甸满族自治县。通报当天，县卫健局党委书记孙子云即被免职，其县卫健局局长职务也被建议免去。辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告，要求对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。
无锡都市生活广播,:【#辽宁新增3例新冠肺炎均为丹东病例#】2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。辽宁全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例，现有21名确诊患者在院治疗。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（总台央视记者李承泽）
四胖子在减肥,【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
沈阳新闻综合频道,:【辽宁第十一批援鄂医疗队正式接管武汉大学中南医院病区！】辽宁省第十一批援鄂医疗队内来自辽宁24家医院的170名辽宁精锐医护在领队、中国医大四院党委书记金元哲的带领下，已经正式整建制接管武汉大学中南医院病区，开始收治新冠肺炎患者。
鞍山科信教育,:#省考[超话]##辽宁省考[超话]#《最新速递丨「省考」疫情期间要抓住的隐藏考点》最新速递丨「省考」疫情期间要抓住的隐藏考点
辽阳广播电视台官博,:去窗口扎堆！辽宁26项交警业务网上就能办抗击疫情辽宁在行动为有效避免车辆和驾驶人将春节、疫情防控期间积攒的业务，集中到窗口办理，最大限度降低病疫交叉感染风险，辽宁交警为您提供了网上办、自助办、便捷办的交管业务办理方式。不用非要去窗口，下列26项业务可以网上办理！辽宁省公安厅交通安全管理局提示，您可以下载、登陆互联网交通安全综合服务管理平台或“交管12123”APP，完成注册、认证后，选择您办理业务种类，按照页面提示要求办理即可。同时，为大力提升网上办理业务体验感，各地交警部门进一步加强了负责办理互联网业务中心的配置，配齐配足网办中心人员、设备、物资等保障，优化业务流程、简化办事手续，并加强与邮政部门协调对接，在规范办理各项业务基础上，最大限度提高业务审核、受理、制证、邮寄等环节效率、缩短业务办理时间。来源：辽宁日报
中央人民广播电台,:#疫情最新情况##全球抗疫#【#辽宁新增3例新冠肺炎均为丹东病例#】2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。辽宁全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例，现有21名确诊患者在院治疗。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。@央视新闻
中国之声,:【#辽宁新增3例新冠肺炎均为丹东病例#】2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。辽宁全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例，现有21名确诊患者在院治疗。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（总台央视记者李承泽）#辽宁新增3例确诊均为丹东病例##2月12日后境外入丹东人员核酸检测#
健康界网站,:#31省区市新增125例新冠肺炎#值得注意的是：31个省区市，没有除湖北，更没除武汉！其中，湖北省114例，浙江省7例（均为输入性）、上海市1例、辽宁省3例。全国现有新冠肺炎确诊病例30004例，累计治愈出院病例47204例！
迷花不事君2012,:辽宁省丹东市出现的疫情反弹事关重大，影响广泛，市委书记和市长有不可推卸的责任，在全国防控疫情一盘棋的情况下不能总是抓一些小鱼小虾垫背。
法制日报,:#战“疫”在一线##疫情当前，政法干警不退##倒在岗位上#【
中国旅游诚信网,:【辽宁：文旅厅出台"春台行动"助旅游业防控解困】日前，辽宁省文化和旅游厅出台《科学应对疫情开展“春台行动”进一步促进全省旅游业高质量发展的意见》，通过公布具体举措精准对接旅游业防控解困，推动文旅融合发展。http://t.cn/A679UswZ
羊城晚报,:【#辽宁新增3例确诊均为丹东病例#，累计125例，#2月12日后境外入丹东人员全部开展核酸检测#】3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。为严防境外疫情输入，辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告：①对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；②对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。（综合）
央视新闻,:【#辽宁新增3例新冠肺炎均为丹东病例#】2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。辽宁全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例，现有21名确诊患者在院治疗。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（总台央视记者李承泽）
辽宁王岩,:辽宁省疫情防控分区分级名单(截至3月1日24时)发布，沈阳各区县(市)仍属于低风险地区，全省中风险地区仅有丹东宽甸。　　低风险地区包括：　　沈阳市：和平区、沈河区、铁西区、皇姑区、大东区、浑南区、于洪区、沈北新区、苏家屯区、辽中区、新民市、法库县、康平县。　　大连市：中山区、西岗区、甘井子区、沙河口区、普兰店区、金州区、庄河市、长海县、瓦房店市、旅顺口区。　　鞍山市：铁东区、铁西区、立山区、千山区、海城市、台安县、岫岩满族自治县。　　抚顺市：东洲区、新抚区、望花区、顺城区、抚顺县、新宾满族自治县、清原满族自治县。　　本溪市：平山区、明山区、溪湖区、南芬区、本溪满族自治县、桓仁满族自治县。　　丹东市：元宝区、振兴区、振安区、凤城市、东港市。　　锦州市：凌河区、太和区、古塔区、凌海市、北镇市、义县、黑山县。　　营口市：站前区、西市区、鲅鱼圈区、老边区、盖州市、大石桥市。　　阜新市：新邱区、清河门区、海州区、太平区、细河区、彰武县、阜新蒙古族自治县。　　辽阳市：白塔区、文圣区、宏伟区、弓长岭区、太子河区、辽阳县、灯塔市。　　铁岭市：银州区、清河区、开原市、调兵山市、昌图县、西丰县、铁岭县。　　朝阳市：龙城区、双塔区、凌源市、朝阳县、建平县、喀喇沁左翼蒙古族自治县、北票市。　　盘锦市：兴隆台区、大洼区、双台子区、盘山县。　　葫芦岛：连山区、龙港区、南票区、兴城市、绥中县、建昌县。　　丹东市宽甸满族自治县为中风险地区，全省没有高风险地区。
我们仨always,:第706天！（2020.0302.星期一1年零352天）爸妈！我们辽宁省防控#新型冠状病毒#疫情真的很好了，现在全省有中风险的地区仅有丹东宽甸了，其余都是低风险了。由于疫情原因所有学校延迟开学，什么时候开学要看疫情发展状况。于是沈阳市中小学将进行“沈阳云课”就是学生通过有线电视啊网络电视啊网络播放平台啊收看学校老师上课内容。亮在家陪伴禹晔上课，说升旗仪式眼保健操课间休息一样不少，课堂上讲了怎样正确戴口罩正确洗手，因为新奇上的很认真，亮还教禹晔炒菜做饭小禹晔学的有模有样。我问味道如何，亮说:炒啥样都能吃炒熟就行。哈哈哈哈老妈老爸我爱你们
中国数字科技馆,:#科技馆里的科学课#【裸眼3D秀】这个实验利用佩珀尔现象展现出3d立体效果
铁岭工人分局,#疫情当前警察不退##百城行动战疫情#【辽宁省沈阳市康平县公安局推出“12345”举措服务保障企业复工复产】为保障企业顺利复工复产，康平县公安局在深入调研的基础上结合本地企业复工复产工作实际，以企业面临的困难和问题为切入点，创新推出服务企业复产复工“12345”举措，最大限度地保障企业安全、平稳复工复产，受到辖区企业的广泛好评。http://t.cn/A67X0aYr
医疗事故微观,:【#辽宁新增3例确诊均为丹东病例#，累计125例】2020年3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。现有21名确诊患者在院治疗，其中有16名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心7人、大连中心5人、锦州中心4人），其余5名分别在丹东市、朝阳市、葫芦岛市定点医疗机构隔离治疗（丹东市3人、朝阳市1人、葫芦岛市1人）。21名在治患者中，危重型病例1例，无重型病例。全省125例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市11例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2774人，已解除医学观察2718人，现有56人正在接受医学观察。（人民日报记者刘佳华）
重庆九龙坡法院,:【#辽宁一民警牺牲在战疫一线#
新浪辽宁,:#雷锋精神我们传承#【辽宁第十一批援鄂医疗队正式接管武汉大学中南医院病区！】辽宁省第十一批援鄂医疗队内来自辽宁24家医院的170名辽宁精锐医护在领队、中国医大四院党委书记金元哲的带领下，已经正式整建制接管武汉大学中南医院病区，开始收治新冠肺炎患者。#雷锋精神我来传承#
CUTV城市联合网络电视台,:【辽宁丹东：对2月12日以后境外入丹人员开展核酸检测】据辽宁省丹东市人民政府新闻办官方微博消息，丹东市新型冠状病毒感染的肺炎疫情防控指挥部办公室2日发布《关于境外入丹人员疫情防控有关事宜的补充通告》。通告称，对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测。http://t.cn/A679z0xL月12日后境外入丹东人员全部开展核酸检测#
阜阳中公教育,:#辽宁新增3例确诊均为丹东病例#3月3日辽宁省丹东疫情最新消息-新增确诊病例3例，死亡病例1例http://t.cn/A679zJE9万众一心，抗击疫情，辽宁加油！因为丹东在中朝边境，更要注意境外输出，严加防控！
健康沈阳微博,:#辽宁省疫情防控分区分级名单（截至3月1日24时）#辽宁省疫情防控分区分级名单（截至3月1日24时）
吉林消防,:【《应急时刻》：“生命通道”为何“阻碍重重”？】2019年12月2日，辽宁省沈阳市浑南新区SR新城102号楼A座发生火灾，大量人员被困，火势异常凶猛，消防员救援途中却遭阻拦。消防通道就是生命通道。火灾发生后的3-5分钟是黄金救援时间。快一分一秒，就能挽救更多生命，避免更多损失。本期《应急时刻》带你回顾这场“阻碍重重”的生死救援。http://t.cn/A67iVoIo
天津网警巡查执法,:【悲痛！民警孟宪龙牺牲在疫情防控一线
我在沈阳呼唤您,:#沈阳身边事##沈阳生活##沈阳新鲜事##沈阳新闻##沈阳分享##沈阳事儿##沈阳同城#揭秘新冠肺炎中药汤剂的“诞生”过程在沈阳市第六人民医院暨辽宁省新冠肺炎集中救治中心沈阳中心，收治的新冠肺炎患者要尽早服用中药汤剂。那么，新冠肺炎患者服用的中药汤剂是如何“诞生”的呢？3月2日，记者探访该院中药局和煎药中心，揭秘中药汤剂生产过程。从抓药到煎药最多15分钟“麦冬10克，五味子15克，南沙参10克，桑叶10克……”当日上午，记者在该院位于3号楼的中药房里看到，主管中药师黎楠楠正在对照中药饮片处方，在几百种中药中快速找到所需药材，娴熟地抓药配药。“中医讲究‘辨证论治、一人一方’，因此每个患者方子上的药材不完全相同，少的7、8味中药材，多的得20多味，即使药材相同但量上可能会有不同。”黎楠楠告诉记者，目前，送过来的药方以恢复期患者居多，主要以润肺的药物为主，比如桑叶、芦根等。新冠肺炎的致病因素以湿邪为主，辽宁因地区和发病季节不一样，决定了治法不一样，中医专家组在国家方案的基础上，结合沈阳地区的特点，制定出了院内方案，分为预防期、发病期、恢复期三种类型，目前随着国家诊疗方案和疾病进展情况，院内方案也在不断更新中。“你看这里屋有点乱啊，我们都住这了，24小时在线，只要接到药剂科传过来的方子，立即安排药师抓药配药。”疫情期间，药剂科将工作从白天班延长到24小时上班，全力服务于新冠肺炎患者的治疗。医生开出的中药处方，经过审核确认，再交到中药师手里，药师按照处方进行调配，经复核后最后送到煎药中心。“见到处方就迅速行动，从抓药送到煎药中心最多15分钟。”黎楠楠称。每天能够提供两千人份的煎剂中药“打包”结束后，记者随配送人员将药包送到煎药中心。两个楼之间几分钟的路程，配送人员几乎都是小跑，“早一分钟送过去就早一分钟把药熬好。”“煎药中心使用的是自动煎药机，遵循传统中草药煎药原理，结合现代微电脑智能控制技术，自动完成中药煎煮的过程，能够使中药有效成分更加充分地提取出来，提高了煎药质量，从而保证中药汤剂疗效。”该院药剂师王学思接到药方后，对中药进行浸泡，为了最大限度发挥药方作用，浸泡时间在半个小时到40分钟左右。中药煎煮锅先武火至药液沸腾后再转至文火熬75分钟，而后将药渣和药汤进行分离，然后继续进行浓缩到指定量。“收治患者最多的时候，煎药室12个‘大锅’都开了，连续干了3天，除了患者的药物还有医护人员的预防方，近6000服药。”王学思称，根据不同的患者，开具一人一方，煎药的时间也有相应的变化。经过药品浸泡、药品煎煮、真空包装等一系列程序，一包包中药材变成一袋袋中药汤剂送到患者手中。“从拿到药方，到最后制成中药汤剂，3个小时就能完成。每天正常运转能够提供两千人份的煎剂，完全满足患者的用药需求。”院药剂科主任刘翔称。
中宏网新闻,:【辽宁新增3例新冠肺炎病例均为丹东病例#2月12日后境外入丹东人员全部开展核酸检测#】#新冠肺炎最新动态#据辽宁省卫健委，3月2日0时至24时，辽宁省新增3例新型冠状病毒肺炎确诊病例，均为丹东市病例，其中普通型病例2例、轻型病例1例。全省累计报告新型冠状病毒肺炎确诊病例125例，治愈出院103例，死亡1例。为严防境外疫情输入，辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告：①对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；②对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。
沈阳身边事,:#抗击疫情辽宁在行动#【辽宁第十一批援鄂医疗队正式接管武汉大学中南医院病区！】辽宁省第十一批援鄂医疗队内来自辽宁24家医院的170名辽宁精锐医护在领队、中国医大四院党委书记金元哲的带领下，已经正式整建制接管武汉大学中南医院病区，开始收治新冠肺炎患者。
