秒拍资讯,:【惨不忍睹！#辽宁一河边现百只野生鸟类尸体#志愿者：疑有人投毒
用户7378974525,:赵本山徒弟11-20排名如下:11、博比·肯乌克兰中文名（赵博）12、闫光明1972年12月30日出生于吉林省四平市伊通满族自治县。13、王小虎1974年出生于辽宁省辽阳市辽阳县。14、王金龙1984年出生于吉林省吉林市。15、高明娥1968年9月27日出生于辽宁省辽阳市。16、孙立荣1968年10月1日出生于辽宁省锦州市黑山县。17、贾小七1970年3月3日出生于河北省雄县。本名（贾泽浩）18、老臭1976年6月25日出生于黑龙江省阿城市。本名（张春光）19、姜海军1982年12月27日出生于辽宁省辽阳市辽阳县。20、程野1983年2月1日出生于辽宁省葫芦岛市兴城市。
观战者-那勇,:#观战话股[超话]##沈阳爆料#【沈阳已连续7天无新增确诊病例[给力]】2020年2月18日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增12例治愈出院病例，其中大连市4例、本溪市2例、阜新市3例、辽阳市1例、葫芦岛市2例。全省累计报告新型冠状病毒肺炎确诊病例121例，治愈出院55例，死亡1例。现有65名确诊患者在院治疗，其中有63名在沈阳、大连、锦州三个省集中救治中心治疗（沈阳中心36人、大连中心13人、锦州中心14人），其余2人分别在朝阳市、葫芦岛市定点医疗机构隔离治疗。65名在治患者中，重型病例6例，危重型病例2例。全省121例确诊病例中，沈阳市28例、大连市19例、鞍山市4例、本溪市3例、丹东市7例、锦州市12例、营口市1例、阜新市8例、辽阳市3例、铁岭市7例、朝阳市6例、盘锦市11例、葫芦岛市12例。目前累计追踪到密切接触者2702人，已解除医学观察2165人，现有537人正在接受医学观察。（沈阳发布）#10个战疫好消息#
辽阳日报,:【“我们一起努力，驱散阴霾”——辽阳援助武汉医疗队队员、辽阳市中心医院护士张阳战“疫”日记】2月19日武汉雷神山医院今天是我们来到武汉的第十一天，天还没有亮，我们乘车前往雷神山医院，从驻地到医院沿途的风景很美，有多所著名的大学，远处观望，静谧的校园，不见人影。队友们相约，这场疫情结束后，一定要到大学里看一看，这曾是多少莘莘学子向往的学府，而从这里又走出多少各行各业优秀的人才。多么美丽的城市啊，希望你早日恢复往日的繁华。振作起来吧，武汉！经过几日的梳理，我们的工作渐入正轨，相应的制度、流程逐渐完善，很多细节工作也落到了实处。工作紧张而忙碌，这让我们非常充实。在清洁区穿戴好防护用具，经过缓冲间的大门进入病房，这样一道门将内外隔绝，但它隔绝不了我们对武汉人民的援助之情，也阻挡不了我们走向最终胜利的坚定脚步。我们病区的患者大多是年迈的老人，他们需要细致的生活照料。慈乌反哺，菽水承欢，如果没有这场疫情，他们一定是在家里，享受子孙绕膝的天伦之乐。我们除了要治疗他们身体上的疾病，同时也要关心他们心理上的问题，很多患者从方舱医院来到雷神山，刚换了环境有些焦虑和不安，我知道他们正承受着巨大的压力，离别亲人在一个陌生的环境里接受隔离治疗，很多老人说着当地的方言，我们在沟通上还不是很顺畅，厚重的防护衣让我们的行动略显笨拙，戴着手套扎针有些困难，好在患者在工作上给予我们极大的理解和包容，这让我惴惴的心情缓解很多，他们感谢我们，而我也感谢他们。临近交班，我正在整理处置车上的物品，一回头看见两个人穿着防护衣，面屏上都是雾气，我看不清她们的脸，只能从衣服上的名字辨别出是红艳和大卓，她俩不会知道，那一刻我仿佛看见两个头上戴着光环的天使向我走来。下班了，明天还有很多工作要细化，尽管很疲惫，但这样有挑战的工作也让我很兴奋，我想为武汉尽一份力，千万个“我”就有千万份力，加油！我们一起努力，驱散阴霾，还武汉一个生机盎然的春天。
辽阳身边事,:#抗击疫情，辽阳在行动#【“我们一起努力，驱散阴霾”——辽阳援助武汉医疗队队员、辽阳市中心医院护士张阳战“疫”日记】2月19日武汉雷神山医院今天是我们来到武汉的第十一天，天还没有亮，我们乘车前往雷神山医院，从驻地到医院沿途的风景很美，有多所著名的大学，远处观望，静谧的校园，不见人影。队友们相约，这场疫情结束后，一定要到大学里看一看，这曾是多少莘莘学子向往的学府，而从这里又走出多少各行各业优秀的人才。多么美丽的城市啊，希望你早日恢复往日的繁华。振作起来吧，武汉！经过几日的梳理，我们的工作渐入正轨，相应的制度、流程逐渐完善，很多细节工作也落到了实处。工作紧张而忙碌，这让我们非常充实。在清洁区穿戴好防护用具，经过缓冲间的大门进入病房，这样一道门将内外隔绝，但它隔绝不了我们对武汉人民的援助之情，也阻挡不了我们走向最终胜利的坚定脚步。我们病区的患者大多是年迈的老人，他们需要细致的生活照料。慈乌反哺，菽水承欢，如果没有这场疫情，他们一定是在家里，享受子孙绕膝的天伦之乐。我们除了要治疗他们身体上的疾病，同时也要关心他们心理上的问题，很多患者从方舱医院来到雷神山，刚换了环境有些焦虑和不安，我知道他们正承受着巨大的压力，离别亲人在一个陌生的环境里接受隔离治疗，很多老人说着当地的方言，我们在沟通上还不是很顺畅，厚重的防护衣让我们的行动略显笨拙，戴着手套扎针有些困难，好在患者在工作上给予我们极大的理解和包容，这让我惴惴的心情缓解很多，他们感谢我们，而我也感谢他们。临近交班，我正在整理处置车上的物品，一回头看见两个人穿着防护衣，面屏上都是雾气，我看不清她们的脸，只能从衣服上的名字辨别出是红艳和大卓，她俩不会知道，那一刻我仿佛看见两个头上戴着光环的天使向我走来。下班了，明天还有很多工作要细化，尽管很疲惫，但这样有挑战的工作也让我很兴奋，我想为武汉尽一份力，千万个“我”就有千万份力，加油！我们一起努力，驱散阴霾，还武汉一个生机盎然的春天。#痊愈后肺功能会受影响吗#来源：辽阳日报
辽阳日报,:【巾帼不让须眉夫妻共同战“疫”】常丽丽是市人社局的工作人员，在这场疫情防控阻击战中，她与丈夫一同奋战在抗击疫情的一线，那娇小的身躯折射出“巾帼不让须眉”的担当。2月9日，常丽丽的丈夫吴磊舍下小家，与辽阳市中心医院的同事一起奔赴疫区武汉，到雷神山医院救治病患。常丽丽则第一时间响应号召，报名参加基层疫情防控工作。她从未提起丈夫到疫区工作的情况，把女儿托付给公婆后便奔赴社区承担协防任务。在协防工作中，常丽丽认真履行卡点工作人员职责，对出入小区的每名群众认真测体温、做登记，发放出入证，向群众宣传防控知识，与社区干部一道，全力以赴筑牢疫情“第一防线”。面对不配合的居民，她总是耐心细致解释，安抚居民情绪。大雪过后的寒冷天气也挡不住她的热情，依然坚守在社区卡点，继续着社区疫情防控工作。(记者尹林)
辽阳日报,:【爱心企业捐赠防护物资】2月20日，饿了么辽阳市总部经理刘东华带领员工代表来到白塔交警大队，向冲锋在防控疫情一线执勤交警、辅警捐赠了500个口罩、100瓶消毒液和5箱矿泉水。（记者季春鹏拍客王东宇）
辽阳日报,:【选购农机促农事】2月20日，农户在辽阳市一农机销售店选购农用机械。随着天气逐渐转暖，春耕备播进入准备时期，辽阳市农机、农资销售企业在抓好疫情防控的同时陆续开始恢复营业，很多农户积极抢抓农时选购农用物资，迅速开展各项农事活动，保障春季农业生产顺利进行。(记者史勇)
辽阳日报,:【铿锵力量，枝头绽放】——记奋战在疫情防控一线的汤河疗养院女职工有这么一群人，用纤弱的双肩支撑起职工疗休养事业发展的大梁；就是这么一群人，在危急时刻挺身而出彰显不畏艰险敢于负责的勇气和担当……被确定为辽阳市新冠肺炎隔离观察定点医院后，以院长王君为“领头雁”的汤河疗养院的女将们，无惧无畏，积极投身抗击疫情一线，用自己的实际行动生动诠释了使命与担当。勇挑重担的“铁姑娘”护理部主任张敏是一位50多岁的老党员老骨干，接到任务通知后，她第一时间返院，主动担负起了医护服务团队的管理责任，每天和大家一起工作到深夜。去年刚刚做完两个大手术的她，还处在身体恢复期，不适合做高强度的工作，可她不顾个人安危，总是冲在最前面，以实际行动践行了共产党员的初心和使命。刘露是一个85后的满族女孩，身上有股不怕苦不服输的韧劲和拼劲。她从服务员做起，通过自己的艰苦付出和拼搏努力，没用几年时间就成长为劳模宾馆总经理。接到任务命令时，她刚刚做完手术，每天面对大量繁琐的工作，经常是流着眼泪饿着肚子，一边打针吃药一边干着工作，在她的精心统筹管理下，各项工作得以有条不紊井然有序地进行着。医生秦亚楠，一个90后的单身妈妈，她把孩子推给有病的母亲，一头扎进了抗击疫情的战斗中。从制定医学观察各种登记管理表格和工作流程方案到检测体温，消杀和相关资料记录整理，每项工作她都抢在前面，准确做好。她还主动要求到密切接触者隔离观察病房工作，承担起医学观察和服务管理工作。勇往直前的“年轻女将”护士长鲁茜，一个作风硬朗热情奔放的90后姑娘，面对重大任务，她没有因身体不适而犹豫退缩，而是坚持带病参战，粗活重活样样不落，连续加班昼夜不停。在连续工作10多天后，身体承受不住的她只能含着眼泪带着遗憾离地开工作岗位。医生田爽是有着“假小子”性格的90后女孩，院里原本的安排里没有她，但她主动请缨，坚决要求到最危险最辛苦的密切接触者观察病房工作，她用耐心细致的服务赢得了大家的一致好评。还有一位大妈保洁员杨华，是第一个也是唯一一个主动返院工作的保洁员，她家里上有生病卧床的老人，下有需要照顾的孙子，当得知长时间不能回家时，她还是选择留下来和大家一起战斗……在抗击疫情的最前线，她们是最英勇的战士！(记者邹晓岑)
辽宁发布,:【辽阳出台15项措施支持企业稳步发展】　　启动项目建设审批手续“不见面”在线办理，及时协调解决企业复工复产中遇到的困难，对疫情防控重点保障企业贷款给予财政贴息支持……为应对新冠肺炎疫情，辽阳市出台15项政策措施，全力支持中小企业生产经营、稳步健康发展。　　辽阳市建立复工复产帮扶机制，通过畅通24小时热线电话、发挥政府、社会中介组织等各类用工信息平台的作用、开展“五包五促”和“千名干部包千企”活动，多渠道为企业解决生产难题。同时，通过实施领导帮扶、专题会议推进、项目管家“三制”制度，推动重大项目早日开复工；简化流程，全面推行网上审批，启动“不见面”在线办理，畅通重点项目开复工绿色服务通道。　　辽阳市对疫情防控重点保障企业贷款给予财政贴息支持，并加大对生产和销售防疫物资企业的支持力度。对疫情防控有关生产重点保障企业2020年新增的企业贷款，除中央、省财政给予贴息外，其余部分由市财政给予贴息。对支持范围内的生产防疫物资企业投入的固定资产给予20%的补贴，每家企业上限为100万元；对支持范围内的销售防疫物资企业给予补贴，每家企业上限为20万元。　　辽阳市还进一步加大企业税费减免力度，降低企业成本。对运输防控重点物资等收入免征增值税；对受疫情影响不能按期缴纳水费、电费、燃气费的中小企业，经批准后延期缴纳，以纾缓企业的用能成本压力。http://t.cn/A6hjg0at
S疯人院M满钻会员F,:#辽阳[超话]#辽阳市新型冠状病毒感染的肺炎疫情防控指挥部令（第4号）
冰雨雨yx,:辽阳市落实防控前提下，有序恢复生产生活！辽阳
辽阳日报,:【辽阳市新型冠状病毒感染的肺炎疫情防控指挥部令（第4号）】各县（市）区委、县（市）区人民政府，市指挥部各成员单位，市（中、省）直单位：根据省新型冠状病毒感染的肺炎疫情防控指挥部第6号令，结合我市疫情防控实际，经市新型冠状病毒感染的肺炎疫情防控指挥部研究决定，下达命令如下：一、认真落实“外防输入”防控措施1.坚持对外省来辽阳、返回辽阳人员的排查，继续执行报告、登记等措施，对疫情严重地区以及高风险地区流入人员加强跟踪管理，开展健康监测和服务。2.村（社区）、机关事业单位等要继续落实相关防控措施，同时做好环境卫生、防病知识普及等工作。3.企业要做好通风、消毒、体温检测等防控和安全生产工作，指导员工做好个人防护。4.加强医疗机构发热门诊病例监测、发现、报告。5.居民乘坐公共交通工具，进入大型商场超市等人员密集场所要佩戴口罩。公共岗位服务人员工作时必须佩戴口罩。二、全面恢复正常生产生活秩序在落实防控措施的前提下，全面恢复正常生产生活秩序。1.全面有序恢复公共交通。2.有序开放浴池，抓紧恢复沿街商铺、理发、维修、家政、洗涤、生鲜配送、外卖、快递、便利店、连锁店等便民服务场所营业。3.开放公园、景区等户外公共场所。4.宾馆、酒店、饭店等服务性行业恢复正常营业。5.解除村（社区）、市场、各类道路等封闭措施，全面恢复道路交通。6.全市养老和儿童服务机构按照民政部门要求作出调整。三、实施清单管控1.棋牌室、游艺厅、网吧、台球厅、舞厅、KTV等密闭的、空间狭小文体娱乐场所，暂不开放，开放时间另行通知。2.全市各类市场继续严禁销售、屠宰活禽，禁止一切形式野生动物交易活动。辽阳县根据省新型冠状病毒感染的肺炎疫情防控指挥部第6号令，结合本地实际情况，制定具体措施。辽阳市新型冠状病毒感染的肺炎疫情防控指挥部2020年2月20日
辽阳日报,:【中共辽宁忠旺集团委员会向辽阳市红十字会捐赠2.5万只医用口罩】2月20日，中共辽宁忠旺集团委员会向辽阳市红十字会捐赠2.5万只医用一次性口罩，价值15万元，用于全辽阳市新冠肺炎疫情的防控工作。多年来，作为一家大型民营企业，忠旺集团始终以人为本并承担着社会责任，疫情发生后，集团领导高度重视，迅速组建新冠肺炎疫情防控指挥部，并出台了《新冠肺炎疫情防控方案》，忠旺集团始终以保护职工的健康安全为主要目标，在保障复工后生产稳定有序的同时，积极回报社会、奉献爱心。中共辽宁忠旺集团委员会党委在此次疫情防控工作中积极发挥党组织作用，发动忠旺集团的广大党员和群众开展爱心捐款活动，忠旺集团上下踊跃捐款、积极奉献，为辽阳市抗击新冠肺炎疫情贡献企业力量。(记者刘晓宇）
辽阳日报,:【爱心企业为交警捐赠口罩、消毒液】2月18日，辽阳市宝适达贸易有限公司总经理带领公司员工将20桶消毒液、19瓶消毒酒精和200个口罩送到了宏伟交警大队，希望用自己的一份微薄力量，帮助奋战在一线的交警抗“疫”！（记者季春鹏拍客戴勇）
魅力首山,:辽阳市新型冠状病毒感染的肺炎疫情防控指挥部令第4号各县（市）区委、县（市）区人民政府，市指挥部各成员单位，市（中、省）直单位：根据省新型冠状病毒感染的肺炎疫情防控指挥部第6号令，结合我市疫情防控实际，经市新型冠状病毒感染的肺炎疫情防控指挥部研究决定，下达命令如下：1、认真落实“外防输入”防控措施1.坚持对外省来辽阳、返回辽阳人员的排查，继续执行报告、登记等措施，对疫情严重地区以及高风险地区流入人员加强跟踪管理，开展健康监测和服务。2.村（社区）、机关事业单位等要继续落实相关防控措施，同时做好环境卫生、防病知识普及等工作。3.企业要做好通风、消毒、体温检测等防控和安全生产工作，指导员工做好个人防护。4.加强医疗机构发热门诊病例监测、发现、报告。5.居民乘坐公共交通工具，进入大型商场超市等人员密集场所要佩戴口罩。公共岗位服务人员工作时必须佩戴口罩。2、全面恢复正常生产生活秩序在落实防控措施的前提下，全面恢复正常生产生活秩序。1.全面有序恢复公共交通。2.有序开放浴池，抓紧恢复沿街商铺、理发、维修、家政、洗涤、生鲜配送、外卖、快递、便利店、连锁店等便民服务场所营业。3.开放公园、景区等户外公共场所。4.宾馆、酒店、饭店等服务性行业恢复正常营业。5.解除村（社区）、市场、各类道路等封闭措施，全面恢复道路交通。6.全市养老和儿童服务机构按照民政部门要求作出调整。三、实施清单管控1.棋牌室、游艺厅、网吧、台球厅、舞厅、KTV等密闭的、空间狭小文体娱乐场所，暂不开放，开放时间另行通知。2.全市各类市场继续严禁销售、屠宰活禽，禁止一切形式野生动物交易活动。辽阳县根据省新型冠状病毒感染的肺炎疫情防控指挥部第6号令，结合本地实际情况，制定具体措施。辽阳市新型冠状病毒感染的肺炎疫情防控指挥部2020年2月20日#辽阳[超话]##辽阳县[超话]##魅力首山#
辽宁朝文报,:#辽宁朝鲜族#2月19日，辽阳市朝鲜族联谊会代表全市朝鲜族向辽阳市慈善总会捐助了3万元防疫资金，该资金将转至辽阳市慈善医院。日前，李琳等朝鲜族爱心人士面向全市朝鲜族发起爱心捐款活动，截至17日共募集6万多元。联谊会用另外3万多元购买了慰问品，送到了朝光村、光辉村、市朝鲜族学校以及赴武汉朝鲜族医务人员的家庭。
辽阳广播电视台官博,:【中共辽宁忠旺集团委员会向辽阳市红十字会捐赠价值15万元的疫情防护物资】2月20日上午，中共辽宁忠旺集团委员会相关负责同志专程来到市红十字会，向市红十字会捐赠了价值15万元的疫情防护物资（医用一次性口罩25000个），用于我市新冠肺炎疫情的防控工作。多年来，作为一家大型民营企业，忠旺集团始终以人为本并承担着社会责任，疫情发生后，集团领导高度重视，迅速组建新冠肺炎疫情防控指挥部，并出台了《新冠肺炎疫情防控方案》，忠旺集团始终以保护职工的健康安全为主要目标，在保障复工后生产稳定有序的同时，积极回报社会、奉献爱心。中共辽宁忠旺集团委员会在此次疫情防控工作中积极发挥党组织作用，发动忠旺集团的广大党员和群众开展爱心捐款活动，忠旺集团上下踊跃捐款、积极奉献，为辽阳市抗击新冠肺炎疫情贡献企业力量。
鞍山人力资源,:#辽宁老铁又来了#昨天，来自辽阳市中心医院的护士长赵洪露，在雷神山医院A9病区查房时，收到了一个特殊的礼物——患者手写的一份感谢信，患者说：我们没什么文化，也不知道怎么表达，就写了一封感谢信，你们是英雄！一边说一边流下热泪，赵洪露赶忙说：我们还做得不够！#方舱医院医生感慨医患关系回来了#（记者李文慧）
鞍山市人力资源服务协会,:#辽宁老铁又来了#昨天，来自辽阳市中心医院的护士长赵洪露，在雷神山医院A9病区查房时，收到了一个特殊的礼物——患者手写的一份感谢信，患者说：我们没什么文化，也不知道怎么表达，就写了一封感谢信，你们是英雄！一边说一边流下热泪，赵洪露赶忙说：我们还做得不够！#方舱医院医生感慨医患关系回来了#（记者李文慧）
辽阳日报,:【荣威物业为公安城管捐赠万元防控物资】辽阳市荣威物业服务有限公司在做好自身防疫工作的同时，紧急开展抗击疫情爱心捐赠行动。2月19日上午，辽阳市荣威物业服务有限公司总经理刘铁向白塔区公安分局、白塔区城管中心分别捐赠现金10000元及消毒液、方便面等防疫物资。他们用实际行动彰显了企业的社会责任和使命担当。（白惠娟）
胖珈语,:#辽阳市第一中学[超话]#【七年下】课本文学常识（三）辽阳胖珈语的微博视频
开原新闻资讯,:【辽宁24小时无新增新冠肺炎确诊病例，新增12例治愈出院病例】2020年2月18日0时至24时，辽宁省无新增新型冠状病毒肺炎确诊病例。新增12例治愈出院病例，其中大连市4例、本溪市2例、阜新市3例、辽阳市1例、葫芦岛市2例。全省累计报告新型冠状病毒肺炎确诊病例121例，治愈辽宁24小时无新增新冠肺炎确诊病例，新增12例治愈出院病例
辽阳广播电视台官博,:【爱心企业家再捐5000口罩持续助力公安机关决战疫情】为解决公安民警医用防护物资紧缺的燃眉之急，辽阳市瑞康医药物流有限公司负责人邓庆未在前期无偿捐赠7箱消毒酒精后，2月18日上午，再次将5000个口罩送到灯塔市公安局，助力公安干警疫情防控决战决胜。疫情面前有大爱，2月3日上午，企业家邓庆未在防疫物资最紧缺的时刻，无偿将7箱消毒酒精捐赠给灯塔市公安局，并许诺无偿为公安民警提供防疫物资直到疫情结束。企业家邓庆未表示：得知当前防控一线民警防护口罩消耗量巨大的情况后，紧急调配医用防护口罩，第一时间将口罩送到公安机关，即是兑现之前的承诺，又是对公安机关在这场疫情防控持久战中依然坚守一线，默默奉献表示敬佩，他希望与民警一同并肩作战，共同打赢这场疫情防控阻击战。警务保障室主任赵锈川代表公安局接受捐赠，灯塔市公安局局长龚立军代表全局公安民警对企业家在特殊时期，持续助力公安机关表示衷心的感谢。
灯塔融媒,:群防群控离不开人人自律2月18日辽阳市8890（12345）平台收到群众反映：疫情防控期间，科普公园对面的急救中心美容科门前每天上午九点后有许多市民聚集在此处进行娱乐活动，其中还有个别人员不戴口罩，请核实处理。19日辽阳市公安局反馈，白塔公安分局北门派出所民警马上到现场核实，告知大家疫情面前人人都是一条防线，群防群控离不开市民自律，在此期间不要聚集进行娱乐活动，经民警劝告市民自觉散离。辽阳市8890（12345）综合服务平台2020年2月20日
蔚蓝地图,#IPE全国区县疫情地图##抗击新型肺炎我们在行动#2月19日疫情趋势：全国现有确诊病例首次出现下降！详细分析详见#蔚蓝地图#发布的头条文章2月19日疫情趋势：全国现存确诊病例首次出现下降！@微公益@万科公益基金会@阿拉善SEE公益机构@公众环境马军@IPE数据库
辽阳日报,:【“到位所长”真到位】管仲是辽阳市城市管理事务服务中心文圣房产事务部武圣房管所所长，负责为居民疏通下水，这在平时就是脏、苦、累的活，而在疫情防控期间，这项工作的危险系数也陡然增加。下水管道是家庭、城市里各种污物和细菌的集合点，而保持下水道的畅通对于疫情防控又十分关键。整个春节期间，管仲每班必到、每个现场必到、每项安全要求都要讲到、每个职工的防护措施必须检查到，职工都称他“到位所长”。“‘到位所长’确实很到位！”这是同事对他身先士卒的评价，更是居民对他真情服务的赞扬。防控疫情以来，管仲共接到维修任务37件，没有因为防控疫情而降低服务态度和维修质量，维修单显示，他的维修完成率100%、居民满意率100%。2月8日这天是元宵节，武圣房管所接到报修：南水洞社区一户居民家下水有问题！到达现场后管仲检查发现楼上卫生间不断往下漏水，他小心拆开吊顶，瞬间大量积存的脏水和污物倾泻而下，浇了他满脸、全身，当时他只戴着口罩，这样简单的防护让在场的人都为他捏了一把汗。简单清洗过后，管仲就穿着脏衣服再次进入现场并找到了问题所在。他安排同事立刻回单位取管子换上，又帮业主收拾了卫生间里的污物。一切忙完回到家已是华灯初上，“虽然我们不能像医护人员那样在抗击疫情的第一线直面病毒，但我们做到了在自己的岗位上值守，随时随地解决居民家的事，居民家的事没小事，他们信得过我们，我们更要竭尽全力、不能辜负了咱的职责。”（记者尹林）
辽阳日报,:【武汉患者称赞辽阳医疗队：你们才是英雄！】谁是英雄疫情是战情你们听党的指挥你们为疫区人民着想你们割舍亲情与爱情你们奋战在雷神战区你们为武汉人民降妖除魔你们才是英雄2月19日，武汉雷神山医院，辽阳市中心医院医疗队员、护士长赵洪露查房，武汉一对新冠肺炎患者夫妇把他们写的一首小诗读给白衣天使，来表达对辽宁驰援湖北医疗队特别是辽阳中心医院医护人员的感激、赞美之情。http://t.cn/A6hOoopK
辽阳日报,:【市政府召开银企对接会议】2月18日，市政府召开加大重点项目和重点企业支持力度--辽阳市银企对接会，10家银行机构和12户企业进行了现场对接。市委常委、副市长何亚琼参加会议。我市大型重点企业、疫情防控保障企业、受疫情影响较大的文旅产业、智能制造的重点企业等参会。企业代表现场进行了经营情况说明和融资需求发布。银行机构针对企业的不同特点“一企一策”帮助企业研究解决资金问题。会议要求，银行机构要履行社会责任，要敢于担当，要与企业家换位思考，想方设法帮助企业降低融资成本、获得信贷支持，企业要从危机中看到机遇，要抢占先机，要将产品与服务向外拓展，尽快进入全面复工状态。会后，政府要做好跟踪服务，督促银行机构加快工作效率，支持企业发展，共渡疫情难关。同时，要着手准备下一批重点企业与银行的对接活动。（记者肖楠）
灯塔融媒,:【第一书记在一线】柳条寨镇：第一书记倾情助力疫情防控在新冠肺炎疫情防控的关键时期，柳条寨镇驻村第一书记们坚守岗位，挨家挨户排查、讲政策，带领百姓团结奋战、精准防控，真正将行动落实在“最后一公里”，努力为百姓生命安全构筑起坚固防线。柳条寨村四通八达，第一书记万超协调各方力量做好疫情防控工作，并自费买来食品，解决卡点工作人员吃饭难问题；万金台村第一书记李鹏，组织党员干部和全体村民自觉投入到这场疫情防控中来；共产党员吴丽艳主动为本村和全镇站岗执勤人员捐献御寒帽子640个，价值3000余元；长沟沿村第一书记包金民为村里购置防控物资，联系消毒公司到长沟沿村进行全面消毒，并捐赠猪肉100余斤，为武汉疫区捐款500元；大黄金屯村下派第一书记宁永旭，为村里自费购买防护物资；朱官台村下派第一书记徐浩协调辽阳市农业综合行政执法队给村里送来应急防疫物资；连三台村第一书记蒋正红自费为村里购买防控物资。柳条寨镇下派第一书记，驻村又驻心，在疫情面前勇于担当、冲锋在前，尽己所能助力疫情防控，成为名副其实的最美“逆行者”。主编/董彦宏责编/李晓梅编辑/于乃威通讯员/孙文英©灯塔融媒
辽阳日报,:【支援社区疫情防控日记】张鹏和刘向二人都是辽阳市档案馆的工作人员。他们主动报名到社区一线参与防疫工作。第一次到社区工作，有忙碌、有感动。他们用日记的方式，记录了自己在社区工作的辛苦与不易，也记录了收获的温暖与成长。张鹏的日记2月10日今天参加社区疫情防控的第一天，接到宏伟区新村街道龙鼎山社区罗书记的对接电话，罗书记特意叮嘱我要多穿衣服，让我心里有暖暖的感觉。我被分到龙鼎山示范小区西门，任务就是做好出入人和车辆的登记和排查。我把自已融入到一线防控工作中，要为小区筑牢疫情防控的“铜墙铁壁”。通过半天的工作，我深深地体会到在社区一线防疫排查工作的艰苦。大家面对疫情没有退缩。帮助社区疫情防控是我的责任和担当，我会努力展现出档案人的风采，把这份责任和担当扛在肩上。2月11日今天的风很大，吹的旗卷路障飞，但我们没有一个人退缩，全部坚守在自己的岗位上。工作中遇到了几位想要当志愿者的居民，我深受感动，我相信我们一定可以早日打赢这场疫情防控阻击战。2月15日雪一直下，寒风刺骨，我的脚冻得有点麻木，但责任不容我们后退。加油！我给自己打气。相信通过我们的共同努力，在暴风雪过后，疫情也会与我们渐行渐远。刘向的日记2月8日我响应市档案馆机关党总支的号召，报名参加白塔区新华街道电建社区疫情防控工作。2月11日对接上岗。我的任务是卡点检查。在卡点检查中，我体会到设立卡点的必要和社区干部的辛苦。设立卡点，限制人员流动，通过询问检查规范群众携带通行证的行为，为防控疫情建立有效秩序。通过宣传示范提醒群众重视个人防护，自觉防控疫情传播。在轮岗中体会到，每个卡点都有一位社区干部全天执勤，从早八点到晚八点。冬天这么冷，时间又长，连个休息的地方都没有，他们太辛苦了。作为参加社区疫情防控的党员干部，我虽然做了一定的工作，但跟奋战在第一线的医护人员、专家团队、社区干部、群众志愿者比起来，我做的还是太少。我要尽职尽责地完成卡点检查任务，发挥党员模范作用，向群众宣传疫情防控知识，正确传递疫情消息，驳斥谣言，尽力展现档案干部的良好形象。（记者苗利莉）
辽阳日报,:【全力战疫的“九三人”】疫情防控工作中，九三学社辽阳市委社员们发挥专业优势，立足岗位，纷纷投入到抗疫、防疫、治疫等工作中，全力战“疫”，为打赢疫情防控阻击战，在不同的岗位上作出了自己的贡献。九三学社辽阳市委中医疗界的社员不在少数，他们利用知识和资源优势，逆向而行，向病毒宣战。姜翠芹作为新冠肺炎防控专家组成员，每天都在培训、指导、协调组织疫情防治工作；社员王艳与其他6名检验人员承担起了全市新冠肺炎密切接触者人群釆样工作，走遍了7个县(市）区，釆集了70多份标本；社员陈荣娟、侯凤茹、白愚，参加了辽阳市首例新冠肺炎确诊病人会诊；社员陈焱在抗击疫情一线宣传防疫知识；社员韩萍参加了新冠肺炎儿科防控工作；社员王峰、王成科等人，纷纷写下请战书；社员王丽萍、刘向东、于淼、张冬梅、杨雪参加了辽阳火车站体检、消毒工作……九三学社还积极组织社员建言献策，收到关于疫情防控方面的信息29篇，分别向九三学社省委、市委统战部、市政协上报。其中已有3篇信息被省政协采用。张雅军和张生、白云洋共同撰写了《针对我市新型冠状病毒防控的建议》，通过社情民意直通车报送给市政府。九三学社辽阳市委原主委唐可心撰写了《关于新冠肺炎免疫风暴的药物干预时机和老药新用的思考》。九三王选关怀基金会联合九三学社中央、京东数字科技控股有限公司共同发起成立的抗击新型冠状病毒肺炎专项基金方案正式上线以后，九三学社辽阳市委第一时间采取行动，向广大社员发出号召，并得到社员的积极响应，纷纷捐款奉献爱心，76名社员（人次）捐款总计14000元。九三学社辽阳市委还组织社员给辽联社区、水塔社区提供保温壶、电暖宝等物品，协助社区开展疫情防控工作。（记者苗利莉）
辽阳日报,:【辽阳中法：开启“线上”庭审新模式】“辽阳市中级人民法院刑事审判第二庭，现在开庭！”2020年2月19日9时30分，在新冠肺炎疫情防控的关键时期，为保障当事人的诉讼权利，随着审判长手中的法槌敲响，一场特别的庭审在辽阳市中级人民法院、市检察院、市监管支队“三地”同步开始。这是辽阳法院首次运用“云端庭审”方式远程开庭，标志着辽阳地区互联网“线上”庭审新模式就此开启。整个庭审过程中，声画清晰、画质流畅，秩序井然。合议庭组织控辩双方开展法庭调查、法庭辩论和最后陈述等庭审活动，并经合议庭合议后当庭宣判。书记员将庭审笔录通过远程庭审系统发送到看守所审判室，被告人确认庭审笔录无误后电子签字并提交系统，至此庭审结束。（记者季春鹏）
