深圳侨报,:#深圳天气#今日我市阴天间多云，有小雨；气温18-22℃；东风3-4级，最大阵风7级；相对湿度75%-95%。（深圳市气象局）http://weibo.com/u/1048717800
深圳交通,:【聚焦深圳惠企16条｜深圳三管齐下为中小企业解困】@深圳微博发布厅深圳惠企16条出台后，深圳市中小企业服务局先后落地了三个配套实施细则受到广大中小微企业的关注和响应。昨日，深圳市中小企业服务局有关负责人对该三项实施细则做了进一步解读。据了解，三项落地政策主要着力解决了中小微企业融资难、融资贵和短期资金流紧张等问题，在疫情期间，为精准快速解决中小微企业实际困难、帮助中小微企业复工复产提供政策支撑。详见：http://t.cn/A67CX7Pp
深圳新闻头条,:#防控疫情深圳在行动#【《沙画|妈妈，我想你》】童童是深圳一家幼儿园的小朋友，她妈妈李颖芝作为深圳市人民医院的一名高级责任护士，2月9日随深圳首批医疗队支援湖北，迄今为止已在抗疫一线奋战了20多天。幼小的童童因在深无人照顾被父母送回湖南老家，她盼着可以早日见到妈妈......http://t.cn/A67CYP3A
深圳商报,:#防控疫情深圳在行动#【《沙画|妈妈，我想你》】童童是深圳一家幼儿园的小朋友，她妈妈李颖芝作为深圳市人民医院的一名高级责任护士，2月9日随深圳首批医疗队支援湖北，迄今为止已在抗疫一线奋战了20多天。幼小的童童因在深无人照顾被父母送回湖南老家，她盼着可以早日见到妈妈......http://t.cn/A67CYP3A
深圳晚报,:【深晚关注｜《沙画|妈妈，我想你》】童童是深圳一家幼儿园的小朋友，她妈妈李颖芝作为深圳市人民医院的一名高级责任护士，2月9日随深圳首批医疗队支援湖北，迄今为止已在抗疫一线奋战了20多天。幼小的童童因在深无人照顾被父母送回湖南老家，她盼着可以早日见到妈妈......（via晶报）http://t.cn/A67CYP9C
时代风向标栏目组,:#世界因您更精彩[超话]##武汉日记##晶·视频#【#战疫沙画#|妈妈，我想你】童童是一名4岁的深圳小朋友，她的妈妈李颖芝作为深圳市人民医院的一名高级责任护士，2月9日随深圳首批医疗队支援湖北，迄今已在抗疫一线奋战了20多天。幼小的童童因无人照顾被父母送回湖南老家，她盼着可以早日见到妈妈......@晶视频http://t.cn/A67CadLr
深圳新闻网,:【聚焦深圳惠企16条｜深圳三管齐下为中小企业解困】深圳惠企16条出台后，深圳市中小企业服务局先后落地了三个配套实施细则受到广大中小微企业的关注和响应。昨日，深圳市中小企业服务局有关负责人对该三项实施细则做了进一步解读。据了解，三项落地政策主要着力解决了中小微企业融资难、融资贵和短期资金流紧张等问题，在疫情期间，为精准快速解决中小微企业实际困难、帮助中小微企业复工复产提供政策支撑。为了让中小微企业在特殊时期轻装上阵，保持深圳经济活力，深圳惠企16条提出，将在市级财政340亿的产业专项资金中拿出10%，约34亿元用于中小微企业贷款贴息。对疫情防控期内获得银行等金融机构的新增贷款（展期视同新增），按实际支付利息的50%给予总额最高100万元的贴息支持，贴息期限不超过6个月。随后，深圳市中小企业服务局专门制定了《深圳市应对新型冠状病毒肺炎疫情中小微企业贷款贴息项目实施办法》，贴息后的中小微企业贷款利率将降至3%左右，该贴息政策将基本覆盖深圳市中小微企业贷款，普惠享受贴息。深圳市中小企业服务局副局长吕哲说，《实施办法》是全国力度最大、覆盖面最广、企业获得最便利的惠企政策。吕哲强调，该笔贴息款项由深圳市财政通过银行补贴给中小微企业，不需要企业主动申请。在2020年2月1日至4月30日期间获得新增贷款的企业，只要符合贴息条件，将自动享受贴息，免去了企业的奔波。据了解，本条措施将对疫情防控期内所有新增小微企业贷款和大部分中型企业新增贷款按实际支付利息的50%予以贴息，预计将惠及近20万户中小微企业（包括小微企业主和个体工商户），覆盖新增（展期视同新增）贷款总规模达2000亿元左右。3月1日，《深圳市中小微企业银行贷款风险补偿资金池管理实施细则》印发实施。它将银行贷款风险补偿范围扩大至小微企业主和个体工商户，对银行业机构为我市中小微企业、包括小微企业主和个体工商户发放贷款形成的不良贷款进行一定比例的补偿，补偿比例上限由50%提高到80%。深圳市中小企业服务局上市和融资促进处副部长赵健认为，此项措施可提高银行机构对中小微企业不良贷款的容忍度，撬动银行机构对我市中小微企业新增20%以上的贷款额度，有效缓解我市中小微企业融资难问题，促进中小微企业规范经营和健康发展。深圳建设银行分行副行长陈坤雄表示，深圳市中小企业服务局先后出台的落地措施，对广大企业和金融机构来说，无疑是一场政策的“及时雨”，它急企业之所急，非常接地气。不仅能有效快速提振企业和社会信心、提高金融机构对中小微贷款的积极性，还切实降低了中小企业融资成本。以建行为例，受惠企政策指引，其先后出台设置了还款宽限期、无还本续贷、结息周期调整等多项政策，对2-3月本金到期的1000万元以下小微企业贷款全面给予28天宽限期，全零利息成本，不抽贷、不断贷、不压贷，保障小微企业的资金连续性。此外，小微企业贷款在现行价格基础上全面下调了普惠型小微企业贷款利率50BP，预计可直接让利8亿元，惠及1.8万户小微企业。为贯彻落实深圳惠企16条，市民营企业平稳发展工作领导小组办公室印发了《深圳市民营企业平稳发展基金应对新型冠状病毒感染疫情扶持优质中小企业专项实施方案》。方案提出，可对因疫情影响造成资金周转困难的优质中小企业提供最高3000万元的短期流动性资金支持，并享受利率七折优惠。赵健告诉记者，《实施方案》其实是对过去已有政策的延续和升级。据悉，深圳早前的平稳发展基金主要对中大型民营企业和上市公司等优质企业提供资金支持，现为了在特殊时期支持广大中小企业，特将对象范围扩大至优质的中小企业。此外，享受短期流动性资金支持的优质中小企业还可以同时享受贴息政策，力度不可谓不大。截至2月28日，高新投、担保集团已收到32家企业的33笔申请，申请支持金额共计58，400万元，并已累计决策为1家企业提供3000万元短期流动性资金支持。随着此项扶持措施的有序推进，将会有越来越多的中小企业得到短期流动性资金支持。http://t.cn/A67CX7Pp
第一现场,:#疫无情人有爱##我们一起战疫#【直击第“疫”线：“疫”路守护——核酸样本的摆渡人】新冠疫情当前，市民可以停产、停工、停学，但孕产妇们生宝宝的节奏却停止不了。这么多的孕产妇的核酸标本该怎么运输怎么检测呢？面对繁重的检测和运输任务，深圳市妇幼保健院组织了一支特殊的“疫”线运输突击队。http://t.cn/A67CIuwZ.
深圳市前海管理局,:【聚焦深圳惠企16条｜深圳三管齐下为中小企业解困】深圳惠企16条出台后，深圳市中小企业服务局先后落地了三个配套实施细则受到广大中小微企业的关注和响应。昨日，深圳市中小企业服务局有关负责人对该三项实施细则做了进一步解读。据了解，三项落地政策主要着力解决了中小微企业融资难、融资贵和短期资金流紧张等问题，在疫情期间，为精准快速解决中小微企业实际困难、帮助中小微企业复工复产提供政策支撑。详见：http://t.cn/A67CX7Pp
新时代新罗湖,:【聚焦深圳惠企16条｜深圳三管齐下为中小企业解困】深圳惠企16条出台后，深圳市中小企业服务局先后落地了三个配套实施细则受到广大中小微企业的关注和响应。昨日，深圳市中小企业服务局有关负责人对该三项实施细则做了进一步解读。据了解，三项落地政策主要着力解决了中小微企业融资难、融资贵和短期资金流紧张等问题，在疫情期间，为精准快速解决中小微企业实际困难、帮助中小微企业复工复产提供政策支撑。详见：http://t.cn/A67CX7Pp
阳光宝安,:【聚焦深圳惠企16条｜深圳三管齐下为中小企业解困】深圳惠企16条出台后，深圳市中小企业服务局先后落地了三个配套实施细则受到广大中小微企业的关注和响应。昨日，深圳市中小企业服务局有关负责人对该三项实施细则做了进一步解读。据了解，三项落地政策主要着力解决了中小微企业融资难、融资贵和短期资金流紧张等问题，在疫情期间，为精准快速解决中小微企业实际困难、帮助中小微企业复工复产提供政策支撑。详见：http://t.cn/A67CX7Pp
深圳新闻头条,:#深圳战疫情#【#光明抗疫一线日记#|何天秀：最大的心愿是在疫情结束之后好好陪陪家人】何天秀是深圳市光明区公明街道公明站的一名网格员，在疫情期间，她的工作是到各个小区、城中村进行走访，发放宣传资料，一天走访80多家。她的丈夫朱葛也是社区网格管理中心的一员，虽然同在社区网格管理中心工作，但两人见面的机会屈指可数。如今夫妻二人都在抗疫一线工作，家中的两个孩子只由老人家照顾。夫妻俩最大的心愿，就是能够在疫情结束后好好陪陪家人。http://t.cn/A6791ZLf
福田发布,:#各地动态#【聚焦深圳惠企16条｜深圳三管齐下为中小企业解困】深圳惠企16条出台后，深圳市中小企业服务局先后落地了三个配套实施细则受到广大中小微企业的关注和响应。昨日，深圳市中小企业服务局有关负责人对该三项实施细则做了进一步解读。据了解，三项落地政策主要着力解决了中小微企业融资难、融资贵和短期资金流紧张等问题，在疫情期间，为精准快速解决中小微企业实际困难、帮助中小微企业复工复产提供政策支撑。详见：http://t.cn/A67CX7Pp
Yuqi99_,#227历史时刻[超话]#有没有教IOS开腾讯发票的贴啊姐妹们甩给我我刚刚按照一个给腾讯客服打了电话根本没有用客服死磕苹果支付一定是苹果开发票看看我谢谢
深圳人力资源和社会保障局,:【聚焦深圳惠企16条｜深圳三管齐下为中小企业解困】深圳惠企16条出台后，深圳市中小企业服务局先后落地了三个配套实施细则受到广大中小微企业的关注和响应。昨日，深圳市中小企业服务局有关负责人对该三项实施细则做了进一步解读。据了解，三项落地政策主要着力解决了中小微企业融资难、融资贵和短期资金流紧张等问题，在疫情期间，为精准快速解决中小微企业实际困难、帮助中小微企业复工复产提供政策支撑。详见：http://t.cn/A67CX7Pp
第一现场,:.#防控疫情深圳行动##我们一起战疫#【深圳出台贷款贴息办法超十万中小微企业将受惠】3月1日，深圳市中小企业服务局出台《深圳市应对新型冠状病毒肺炎疫情中小微企业贷款贴息项目实施办法》，预计将惠及超过10万户中小微企业(包括小微企业主和个体工商户)，覆盖新增(展期视同新增)贷款总规模达2000亿元左右。http://t.cn/A67CKPBq
深圳市人民检察院,:【新华社：深圳龙岗，复工指南“唱”出来】“别松懈，在这返岗复工的时候……出门之前先把口罩戴好，主动申报健康信息，千万不能忘掉，上班路上尽量减少与人接触……”深圳市龙岗区卫生健康局与龙岗本地音乐人康磊推出《科学复工指南》原创歌曲，用另一种方式打开当地复工复产疫情防控工作。（来源：新华社、深圳发布微信公众号）http://t.cn/A67Jr9ENhttp://t.cn/A67JrlWQ
深圳土地房产交易中心,:#A426-0451宗地出让结果#2020年03月03日，深圳市土地房产交易中心公开挂牌出让宗地的使用权，交易结果公示如下：http://t.cn/A67Cojhz
美通社资讯,:【发票无纸化再加速微信上线区块链电子发票极速版|美通社】疫情新增数据下降，全国各地迎来复工复产大潮，很多企业发现年前领的发票已经空了，急需申领发票。3月2日，深圳市税务局联手腾讯区块链、微信支付上线区块链电子发票...http://t.cn/A67CXOO8
王琛视界,:抗疫丨摄影与您同在深圳市福田区沙头街道天安社区超市菜的品种多样！
晶视频,:#晶•视频#【“防疫动动动”系列卡通E11：优化强化社区小区疫情防控（上）】近日，深圳市疫情防控指挥部发布《关于进一步优化强化社区小区疫情防控工作的实施细则》，让我们一起来看看！@晶报晶视频的秒拍视频
蛇口消息报,:【2020深圳重大项目清单发布！南山区105项，本年度计划投资462.1亿元】#一手抓疫情防控，一手抓经济发展#近日，深圳市发展和改革委员会正式发布了《深圳市2020年重大项目计划》项目清单，共487个项目，#其中南山区共有105项#，包括75项在建项目和30项前期项目；涉及总投资共约5710亿元，本年度计划投资462.1亿元，重点围绕南山区新时代双区驱动“3+3”战略示范工程进行谋划：“#三大示范工程”#——“一廊、一城、一大道”，即：深圳湾文化走廊、蛇口国际海洋城、南山硅谷大道。#“三大战略工程”#——西丽湖国际科教城、西丽高铁新城、深圳湾CBD。重点项目覆盖总部大厦、城市更新、公共交通、学校、水环境及固废处理项目等多个方面。http://t.cn/A67CXUnE
贫僧刚还俗,如果原来文章不删我还没那么多气…做阅读推广人之前，你先要做好一名读者。读书没有啥捷径可走。就是一本一本看就是了。目前中国我自己真正认可的儿童阅读推广老师并不多，阿甲、王林算其中之一。真正不会为了经济利益推书的楷模真的不多。#深圳胡红梅抄袭#继续吃瓜的可以看过来，反正文章迟早还会被删，先提前截图保存。http://t.cn/A679KMNH
中国网地产,:【深圳市人才安居集团21.17亿竞得宝安区一宗居住用地溢价率45%】3月3日，深圳市以挂牌方式公开出让4宗地块，总出让面积88491㎡，总起始价30.29亿元。其中，经过20轮竞价，深圳市人才安居集团有限公司以21.17亿元竞得A122-0364地块，楼面价14571.86元/㎡，溢价率45%，竞无偿移交只租不售人才住房面积最高报价57，200㎡，合计配建无偿移交只租不售人才住房面积57，200㎡。http://t.cn/A67CiqGP
爱吃花的斑比啊,:好爽啊！腾讯（深圳）不开发票拨打075512366举报税号9144030071526726XG腾讯科技（深圳）有限公司深圳市南山区高新区科技中一路腾讯大厦35层姐妹们友情提供的！不过腾讯客服终于知道要开纸质发票了
中华压铸网,:【比亚迪：收到13.42亿元国家新能源汽车推广补贴】2020年3月2日，比亚迪股份有限公司发布公告称，控股子公司比亚迪汽车工业有限公司于近期收到深圳市坪山区财政局转支付的2017年度新能源汽车推广应用中央财政补助资金，合计人民币13.42亿元。比亚迪称，上述收到的国家新能源汽车推广补贴款将提升公司现金流水平，有助于加快公司应收账款周转，降低财务费用及公司资产负债率。#压铸#
angryjoe,深圳一小学副校长涉嫌抄袭他人书籍！区教育局：正在调查。近日，山东淄博一小学语文老师王爱玲在其个人微信公众号“冰淇玲童诗”上发文，指出深圳市龙岗区如意小学副校长胡红梅涉嫌抄袭自己和他人出版的书籍内容。王爱玲表示，两年多前就发现了自己的作品被抄袭，但是没有去投诉。近日是看到一个朋友发的朋友圈信息，得知有更多受害者，决定发声，“血肉全吞，甚至连作者自序也照搬并落款胡红梅。”深圳市龙岗区教育局一位工作人员表示，区、市教育局目前正在调查，有结果会公布。图：深圳市如意小学副校长、广东省骨干教师胡红梅
光明发布,:#万众一心抗击疫情##防御疫情光明行动#【泪目！初心如磐，使命在肩！父亲去世，他强忍悲伤坚守战“疫”一线
seniorforu,:深圳市百思赛乐服饰有限公司http://t.cn/AidfbEt9
建筑深圳,:【项目“疫”线丨我们复工啦！迫不及待想送你一个春暖花开！
爱吃花的斑比啊,:好爽啊！腾讯（深圳）不开发票拨打075512366举报税号9144030071526726XG腾讯科技（深圳）有限公司深圳市南山区高新区科技中一路腾讯大厦35层姐妹们友情提供的！不过腾讯客服终于知道要开纸质发票了
中华压铸网,:【比亚迪：收到13.42亿元国家新能源汽车推广补贴】2020年3月2日，比亚迪股份有限公司发布公告称，控股子公司比亚迪汽车工业有限公司于近期收到深圳市坪山区财政局转支付的2017年度新能源汽车推广应用中央财政补助资金，合计人民币13.42亿元。比亚迪称，上述收到的国家新能源汽车推广补贴款将提升公司现金流水平，有助于加快公司应收账款周转，降低财务费用及公司资产负债率。#压铸#
angryjoe,深圳一小学副校长涉嫌抄袭他人书籍！区教育局：正在调查。近日，山东淄博一小学语文老师王爱玲在其个人微信公众号“冰淇玲童诗”上发文，指出深圳市龙岗区如意小学副校长胡红梅涉嫌抄袭自己和他人出版的书籍内容。王爱玲表示，两年多前就发现了自己的作品被抄袭，但是没有去投诉。近日是看到一个朋友发的朋友圈信息，得知有更多受害者，决定发声，“血肉全吞，甚至连作者自序也照搬并落款胡红梅。”深圳市龙岗区教育局一位工作人员表示，区、市教育局目前正在调查，有结果会公布。图：深圳市如意小学副校长、广东省骨干教师胡红梅
光明发布,:#万众一心抗击疫情##防御疫情光明行动#【泪目！初心如磐，使命在肩！父亲去世，他强忍悲伤坚守战“疫”一线
seniorforu,:深圳市百思赛乐服饰有限公司http://t.cn/AidfbEt9
建筑深圳,:【项目“疫”线丨我们复工啦！迫不及待想送你一个春暖花开！
深圳壹地产,:#微博房产爆料##楼市动态#龙岗高中园地点定了，就在坪地！2月28日，深圳市住建局工程交易发布龙岗坪地高中园建设工程方案设计及初步设计公告。招标时间为2020年02月28日-2020年03月05日，招标设计费2485万元。据招标公告显示，龙岗坪地高中园建设工程位于龙岗区坪地街道，总投资22.8亿元，建安费为19.38亿元。总用地面积约19.6万平方米，预留约3万平方米用于建设民办高中，其余用地建设3所54班公办高中，总班数162个，提供学位8100个。
深圳市地方金融监督管理局,:#疫情防控我们在行动#【坚定信心共待春来深圳金融机构全力支持战“疫”】当前，疫情防控正处于最吃劲的关键阶段，全力支持配合推进新冠肺炎疫情防控和经济社会发展工作，是金融系统的头等大事。深圳市金融机构持续发挥金融的功能作用，推出针对性的产品和服务，支持疫情防控，助力企业复工复产，为疫情防控贡献金融力量、体现金融温度、彰显金融担当。http://t.cn/A67CqdJB
sukiii-liii,坪山汤坑老围村公交站这边有三只流浪狗，可以救治它们吗？其实一只应该有皮肤病。@深圳市流浪狗驿站深圳·老围
smile-整个夏天,:龅牙，牙外飘严重到欢乐口腔、盛迪口腔、传承齿科做靠谱吗？@深圳牙齿矫正攻略君，能有牙齿内收缝隙，前牙有了良好的咬合接触吗？求推荐华强北靠谱的牙科！#深圳市隐形牙齿矫正##深圳牙齿矫正报价表#
一朵文荒的,#227历史时刻[超话]#
nj伍小可,:300812易天股份一、易天股份：全称深圳市易天自动http://t.cn/A67C4Y1W
金山月明19609,:#金山明月港陆新聞[超话]##防控疫情深圳行动##我们一起战疫#【深圳免收企业二月基本电费细则出来了】近日，深圳市发布关于免收2020年2月工商企业两部制电价中基本电费部分的实施细则。实施对象为在深圳市市场监管部门登记备案取得营业执照或证书的企业。对符合规定的用户免收2020年2月两部制电费中应由用户缴纳的基本电费部分，由市财政代缴。电度电费部分由用户自缴。政策惠及企业超34万户，减少用电成本约14亿元。http://t.cn/A67CPiCX
晶报,:【晶数据|疫情期间，我们的钱都花哪儿了？报告来了】疫情防控期间，市民居家隔离主要活动是什么？疫情给实体商业带来哪些影响？疫情后市民消费信心如何？“新冠肺炎疫情对公众的影响”大型公益调查，共收集到来自全国一二三线城市的2841个样本。根据调查结果形成以下报告。报告由深圳市零售商业行业协会与深圳市万人调查股份有限公司共同发布：http://t.cn/A67CLDlB
一品威客网,:#一品威客[超话]##一品威客网#【深圳市意典文化传媒有限公司】服务推荐：影视服务服务分类：动画制作>视频制作价格：价格面议http://t.cn/A67CLmU0PS：意典文化企业理念：体验式服务，走心更靠谱。业务范围：品牌企业策划、LOGO设计、VI设计、包装设计、文案策划、视频拍摄、影视制作、宣传片、广告片、线下活动策划执行、线上宣传策划投放等。
sukiii-liii,:坪山汤坑老围村公交站这边有三只流浪狗，可以救治它们吗？其实一只应该有皮肤病。@深圳市流浪狗驿站深圳·老围
凌春鸣葡萄酒评论,:#中国口罩日产能产量双双突破1亿只#在这个特殊的时期，最珍贵的礼物，非口罩莫属了，今天春暖花开，深圳市酒类行业协会杨秘书长送来200个口罩，既是雪中送炭，又是锦上添花。人要有归属感，企业也要有归属感，关键的时刻，就能感觉到有组织真好。#葡萄酒#深圳
董秀成,:【版权声明】本作品著作权归红星新闻独家所有，授权深圳市腾讯计算机系统有限公司独家享有信息网络传播权，任何第三方未经授权，不得转载。湖北省司法厅退休副厅长、巡视员陈北洋的一封《致歉信》令开私人诊所的李跃华广受关注。李跃华曾为陈北洋一家三口诊治新冠肺炎，在这封《致歉信》中，陈北洋称“治疗效果比较可观”。就此，李跃华宣称由自己发明的、已治愈数名新冠肺炎患者的治疗方法为更多人所知。他认为，用微量苯酚注射液...http://t.cn/A67CZ5R3
胡康99,:【Bonomi集团旗下品牌Valpres，Valbia在LPG项目中的应用案例-深圳市志合盛机电设备有限公司】http://t.cn/AiFvqpgS
第一现场,:#防控疫情深圳行动##我们一起战疫#【深圳免收企业二月基本电费细则出来了】近日，深圳市发布关于免收2020年2月工商企业两部制电价中基本电费部分的实施细则。实施对象为在深圳市市场监管部门登记备案取得营业执照或证书的企业。对符合规定的用户免收2020年2月两部制电费中应由用户缴纳的基本电费部分，由市财政代缴。电度电费部分由用户自缴。政策惠及企业超34万户，减少用电成本约14亿元。http://t.cn/A67CPiCX
鑫鑫你知我心,#致敬抗疫英雄#【一个人的出征！#退伍军医带泡面自驾援鄂#：若感染就地治疗】“军人是不能往后缩的”，安徽阜阳医生王立田是一名退伍军医，目前在一家民营医院工作，2月9日，他带着泡面和水，自己驾车到汉口医院支援，也是他所在医院唯一一个援鄂医生。“家里人比较担心”，王医生称，如果感染了就就地治疗，自己不是一个人，这里有一个集体。@风声视频http://t.cn/A679P4JJ
孝感发布,:#我们共度难关孝感加油##孝感抗疫我们在一起#【湖北云梦民营企业家捐资百万助力家乡抗击疫情】3月2号，湖北云梦慈善会收到了深圳市美丽集团有限公司的一百万元汇款。这是远在深圳的爱心企业家欧阳祥山捐赠给该县用于抗击新冠肺炎的专款。　　欧阳祥山是云梦县人，也是武警系统军转干部自谋职业第一人。他从六千元转业费起家，创办了美丽集团，几十年艰苦奋斗，把一个名不见经传的小企业发展成为集高科技产业投资、文化创意产业、商业地产、大型商贸中心等于一体的综合性大型民营企业集团。欧阳祥山个人曾获得"中央统战部光彩事业特别贡献奖"、"深圳百名行业领军人物"等多项荣誉;近年来他向社会捐资捐物过亿元。2002年就曾捐赠千万建设了云梦祥山博物馆。（来源：孝感日报）
陕视新闻,:【商南县公安局疫情防控抓获外省涉恶逃犯】日前，商南县公安局指挥中心在疫情“四类人员”数据筛查中，研判获得外省上网逃犯返乡的线索。试马派出所所长王功朝带领民警深入辖区摸排，锁定外省上网逃犯刘某（男，37岁）的落脚方位。上午10时30分，民警以排查武汉及湖北经历人员为由，敲门进入刘某住所，将其抓获。经查，2019年11月，刘某（商南县，试马镇人）在广东省深圳市打工期间，因涉嫌敲诈勒索犯罪（九类涉恶犯罪），被深圳市公安局龙华分局上网追逃。春节期间，刘某悄悄潜回商南县试马镇家中不敢出门。在当地疫情防控排查中，为逃避罪责，想方设法隐瞒打工经历，直止被试马派出所抓获。经体温检测和身体检查刘某身体状况良好。目前，涉恶犯罪嫌疑人刘某移交深圳警方的手续正在办理之中。（商南台任雯通讯员何浩编辑宋佳霖）
深圳月老蜀黍,:【深圳现首例境外输入病例，密切接触者93人，楼栋两百余人被隔离】3月1日凌晨，深圳市卫生健康委报告1例境外输入新冠肺炎确诊病例。患者孙某，男，35岁，现居住于深圳市福田区福保街道红树福苑，近两年在英国布里斯托工作。2月29日，孙某因出现发热症状、咳嗽，由妻子驾车送至中山大学附属第八医院（福田）就诊，21时其新冠病毒核酸初筛结果为阳性。3月1日凌晨，深圳市疾控中心复核，结果为阳性。#深圳抗疫在行动##原来不着急理发的梗是真的#http://t.cn/A67XczzG
深圳身边事,:【深圳最牛“炫富”：每天免费发80万口罩】“每天抽签一次投放20万只口罩扩容为每天抽签一次投放30万只”、“每两天向中签企业免费发放100万只口罩”……3月1日晚，深圳市新冠肺炎疫情防控指挥部发出的两条重磅消息，刷屏了深圳人的朋友圈。这意味着，从3月3日起，深圳平均每天为市民和企业免费发放80万只口罩。这还不包括深圳各区已面向企业和社会发放的数百万只口罩。向社会供应如此大量的口罩背后，是深圳自产口罩和采购能力的巨幅提升。犹记得，在2月1日的广东省政府举行的疫情防控新闻发布会上，深圳市市场监管局坦言，目前本地工厂每日能生产20万只口罩，还远不能满足市场需要。短短不到一个月时间，截至止2月23日，深圳在产口罩生产企业已达11家，口罩日产能达88.05万只。从日产20万到88.05万，口罩供应能力提升的背后，看到的是政府发动渠道商、打通产业链的决策力以及物资生产企业日夜投产的努力。（南方+）http://t.cn/A679Ywwb
鑫鑫你知我心,#致敬抗疫英雄#【一个人的出征！#退伍军医带泡面自驾援鄂#：若感染就地治疗】“军人是不能往后缩的”，安徽阜阳医生王立田是一名退伍军医，目前在一家民营医院工作，2月9日，他带着泡面和水，自己驾车到汉口医院支援，也是他所在医院唯一一个援鄂医生。“家里人比较担心”，王医生称，如果感染了就就地治疗，自己不是一个人，这里有一个集体。@风声视频http://t.cn/A679P4JJ
孝感发布,:#我们共度难关孝感加油##孝感抗疫我们在一起#【湖北云梦民营企业家捐资百万助力家乡抗击疫情】3月2号，湖北云梦慈善会收到了深圳市美丽集团有限公司的一百万元汇款。这是远在深圳的爱心企业家欧阳祥山捐赠给该县用于抗击新冠肺炎的专款。　　欧阳祥山是云梦县人，也是武警系统军转干部自谋职业第一人。他从六千元转业费起家，创办了美丽集团，几十年艰苦奋斗，把一个名不见经传的小企业发展成为集高科技产业投资、文化创意产业、商业地产、大型商贸中心等于一体的综合性大型民营企业集团。欧阳祥山个人曾获得"中央统战部光彩事业特别贡献奖"、"深圳百名行业领军人物"等多项荣誉;近年来他向社会捐资捐物过亿元。2002年就曾捐赠千万建设了云梦祥山博物馆。（来源：孝感日报）
深圳月老蜀黍,:【深圳现首例境外输入病例，密切接触者93人，楼栋两百余人被隔离】3月1日凌晨，深圳市卫生健康委报告1例境外输入新冠肺炎确诊病例。患者孙某，男，35岁，现居住于深圳市福田区福保街道红树福苑，近两年在英国布里斯托工作。2月29日，孙某因出现发热症状、咳嗽，由妻子驾车送至中山大学附属第八医院（福田）就诊，21时其新冠病毒核酸初筛结果为阳性。3月1日凌晨，深圳市疾控中心复核，结果为阳性。#深圳抗疫在行动##原来不着急理发的梗是真的#http://t.cn/A67XczzG
深圳身边事,:【深圳最牛“炫富”：每天免费发80万口罩】“每天抽签一次投放20万只口罩扩容为每天抽签一次投放30万只”、“每两天向中签企业免费发放100万只口罩”……3月1日晚，深圳市新冠肺炎疫情防控指挥部发出的两条重磅消息，刷屏了深圳人的朋友圈。这意味着，从3月3日起，深圳平均每天为市民和企业免费发放80万只口罩。这还不包括深圳各区已面向企业和社会发放的数百万只口罩。向社会供应如此大量的口罩背后，是深圳自产口罩和采购能力的巨幅提升。犹记得，在2月1日的广东省政府举行的疫情防控新闻发布会上，深圳市市场监管局坦言，目前本地工厂每日能生产20万只口罩，还远不能满足市场需要。短短不到一个月时间，截至止2月23日，深圳在产口罩生产企业已达11家，口罩日产能达88.05万只。从日产20万到88.05万，口罩供应能力提升的背后，看到的是政府发动渠道商、打通产业链的决策力以及物资生产企业日夜投产的努力。（南方+）http://t.cn/A679Ywwb
平安宝安,:#守护家人，我是反诈骗行动派#近期，以上四类诈骗警情高发！宝安公安分局反诈中心玖零一办公室提醒您，凡涉及陌生人要您转账的，请多方核实。如有疑问，请及时拨打深圳市反诈热线81234567。以上反诈预警信息请转告亲朋好友。提高防诈骗意识，避免上当受骗。#防控疫情我们在一起#
深圳市民政局,:目前新冠肺炎疫情防控正处于关键时期，口罩仍是社会各界最关心的问题，也是居民群众最迫切需要的防疫物资
