你很有意思哦,#接打电话恐惧症#是我本人了
福建新闻广播fm1036,#养殖企业复工严格消毒做好疫情防控泉州推出实招全力推进农业复工复产#眼下，既是疫情防控的关键时期，也是春季农业生产的重要节点。连日来，泉州各地在做好疫情防控工作的同时，一批又一批农业企业也正陆续复工复产。福建集盛鸽业发展有限公司是农业产业化省级重点龙头企业之一，鸽舍里共有10万羽鸽子。此前通过控制鸽子的产蛋率缩小产能，减少损失。如今，疫情防控出现积极变化，基地在做好防疫的同时开始复工复产。不仅仅是养殖业，泉州各地春耕备耕也正有序推进。制定了多条举措，在不放松防疫的同时全力推进农业复工复产。如市农业农村局设立24小时农业生产服务热线，组成督导组分赴各县（市、区），开展卫生防疫和农业生产技术指导。市动物疫控中心按计划做好禽流感、牲畜口蹄疫等疫苗储备，市种子管理站做好春耕种子储备，备齐备足疫情防控物资。农业生产流通的各个环节也正在打通，农业部门扶持叶菜类蔬菜应急生产，对安排利用休闲田或空棚新增的叶菜类蔬菜种植面积5000亩，并于2月29日前完成播种或种植的，市级按每亩500元予以补助。同时还建立泉州市农产品产销联盟、减免生产经营者租金、安排市级资金500万元用于农业企业贷款贴息补助。另外，农业部门鼓励各生猪养殖场按要求开展能繁母猪保险，对经批准在市域外投资建设存栏5000头以上生猪标准化规模养殖场的，给予企业一次性补助100万元，努力提高泉州生猪产能。
锦鲤仙子本仙,【#日本寺庙发免费印经文的纸口罩除瘟疫#，来访者：安心且有仪式感】#周刊君与你共同战疫#1日，位于日本京都的世界文化遗产仁和寺向来访民众免费发放约200枚印有经文的纸口罩，祈求新冠肺炎疫情早日结束。口罩由三折的日本纸制成，印有祛除瘟疫的药师佛经文。不少领到口罩的来访民众表示感到安心且富有仪式感。http://t.cn/A67opSbF
江宁发布,:#连线街道#【横溪城管：“城市美容师”变身防疫尖兵坚守战“疫”最前沿】自疫情防控工作开展以来，在江宁区横溪街道防疫一线，随处可见城管队员们的身影，巡查维护街镇管理秩序，做好公共场所消杀，确保疫情防控无死角，有效隔断疫情传播途径。对全街重点区域、背街小巷等地分区域开展常态化集中消杀工作，同时，突出对商场超市、广场、旅游景点周边等公共场所的消杀工作，是横溪街道城管队员们的日常重点工作。随着疫情形势的向好发展，各大商超、农贸市场的陆续复工复市，针对这类人流量大且相对集中的场所，更是疫情防控的重要阵地。#疫情防控江宁在行动#
济南说,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
亭子兒羊,#不下厨也开始挑战紫菜#3月第一天就膨胀了…我竟然成功了，这件事不仅是真的而且超神奇
3724e,:少壮不努力……！我憧憬着未来，拿捏着机会，事实自己还不沉稳，或高或低的情绪，多想把自己尘封几年，一切自己都做好了，再把自己打开，自己熬的自己还有很多，心性慢慢提
中国新闻社,:【全国总工会：#企业职工在家上班照常发工资#】#关注新冠肺炎#全国总工会办公厅日前下发《关于做好新冠肺炎疫情防控期间支持企业安全有序复工复产和劳动关系协调工作的通知》，对于企业安排以灵活方式在家上班的职工，按照正常工作期间的工资收入支付工资。高度关注特殊时期女职工权益问题，结合实际安排孕期、哺乳期女职工居家远程办公、灵活安排休假及工作时间。（李金磊）
衡阳发布,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
隆昌团委,:【加油！#北斗复工冲刺全球组网#】在做好疫情防控的情况下，北斗工程全线有序复工，确保发射任务按时推进。3月、5月将组织最后两次北斗三号卫星发射，#2020年全面建成北斗全球系统#。目前，执行发射任务的长征三号乙运载火箭已运抵西昌卫星发射中心，正在进行测试。央视军事的微博视频
兔兔的小苏晚,:#真果粒#xz#肖战#真假得失自有定论，是非功过沸反盈天。做好自己，清者自清三月，希望所有人都能被温柔以待
苏州市交通运输局,:#公共交通#【关于公交87路等线路恢复运营的公告】为做好复工复产配套工作，2020年3月4日起，公交87、815路恢复运营，具体方案如下：1.87路：恢复运营，发车时间临时调整为：阳澄湖畔花苑首末站06:30、07:00、09:30、12:10、14:30、16:00、17:20、18:30，沪宁城铁园区站08:00、08:30、11:00、13:20、15:40、17:20、18:50、19:30。2.815路：恢复运营，发车时间临时调整为：漕湖花园首末站06:30、07:20、09:20、10:50、12:40、14:00、15:40、17:00，沪宁城铁新区站07:50、08:50、10:50、12:20、14:10、15:30、17:00、18:30。请广大乘客予以注意。
国网河北电力,:#战疫情保供电#3月2日，2020年全市春季重点项目集中开工活动在高新区石药重组蛋白高科技医药产业园区举行。@国网石家庄市栾城区供电公司职工以高度的政治责任感全身心投入到保电工作中，既做好疫情防控，又保障供电服务，为活动的顺利进行贡献了重要力量，为全市春季重点项目的复工复产打下了坚实基础。@国网石家庄供电公司（卞策董京果）
Miss夭姐,:因为对未来把握不住，所以过分相信了命理。但是心存希望总比怨念重生的好，中午知道一些事吧，居然没有特生气，而是很冷静的分析了前后，在朋友的化解之下，嗯，也就没事啦！命盘注定的，请你快点降临吧，我已经做好了准备。可能一个月后，半年后，再去回顾这点点滴滴的心里路程，可能会发笑，但是确实是真实的存在。加油～心有猛虎，细嗅蔷薇……
你恁啥,【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。
晴天一吻,:做好防疫宣传。罗定市
宁津融媒,【全国总工会：#企业应按正常标准向在家上班职工付工资#】中华全国总工会下发《关于做好新冠肺炎疫情防控期间支持企业安全有序复工复产和劳动关系协调工作的通知》。《通知》要求，要切实维护职工合法权益。要监督企业履行依法隔离期、医疗期职工工资支付义务，对于企业安排以灵活方式在家上班的职工，按照正常工作期间的工资收入支付工资。http://t.cn/A67CDVcw
环球时报,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
中国网,:【#湖北回应首家方舱医院休舱#：积极变化，但还要做好打硬仗的充分准备】湖北省人民政府副省长杨云彦表示，湖北的疫情形势依然研究复杂，继续采取最严格的防控措施。当前主要问题有：消化存量的任务，全省还有2万患者仍在救治，有6000多名重症危重症患者加大救治力度。#疫情增量风险仍未根本控制#。疫情防控仍有不确定性，出现无症状检测阳性患者、出院患者复检阳性现象。疫情防控在老旧社区、特殊场所还有薄弱环节。http://t.cn/A67NvF2i
贵港网警巡查执法,:#全民战疫#【不得不乘坐公共交通工具怎么办？】
