瀚晪,:我的抑郁症状表现为打开冰箱要发呆五秒钟
秦安检察,:【湖北#黄石两村民发热打牌致多人感染#与村支书同被立案】日前，湖北黄石太子镇老屋村4人先后被确诊为新冠肺炎。其中一人在出现发热等症状后，恶意隐瞒，聚集村民购物、打牌、垂钓，致多人被感染。因玩忽职守，原老屋村党支部书记、村委会主任王某凤已被撤销党内职务，被罢免村委会主任职务。目前，警方已对3人立案侦查。@湖北日报
囧撤功V,:【世卫组织：#中国境外疫情状况不容乐观#】当地时间2日，世卫组织总干事谭德塞表示，目前中国新冠肺炎病例数持续下降，但中国境外新冠肺炎疫情状况不容乐观。韩国、意大利、伊朗和日本最令人担忧。#世卫组织已派团队抵达伊朗#，支持当地开展防疫措施。目前世卫组织驻伊朗办事处有一名员工确诊，症状轻微。
_泠泠ovo,原创《每一片落叶都知你名姓》B：http://t.cn/A67qLWHS5S：http://t.cn/A67qLWHK网易云：http://t.cn/A67qLWH9的确，每个人都会在某天离开这个世界。或是衰老，或是疾病，或是意外，或是...明知此去危险却依然奋不顾身。我不宣扬大爱，因为这世间许许多多你感受到的或你不曾发现的小小的爱，已足够让人温暖而充满力量！直视死亡也敬畏生命，更不要因此而陷入悲伤、失去希望。或许那个你心里深深怀念着的人，变成了天上某一颗灿烂的星辰，用这种遥远却温暖的存在方式继续守护着你。愿你不消沉，愿你心燃温暖、充满力量，继续勇敢的向前走！
橙-小小小小今,:抗新冠肺炎Day17。昨天晚上接到老爸电话说远房姑爹掉进化粪池里，已治疗几天了还不见好转，意识还在昏迷中。家属陪护没地休息也没吃的包腹！各方打听才拿到幺幺电话，今天弄了一些吃的东西请护士长找人给了送过去！希望是雪中送炭。。。昨天白送班送了两对母子去做CT检查。其中一对小宝四岁，超级可爱，每天和妈妈待在隔离房间不闹也不哭。妈妈进入检查室还能站在门口给妈妈加油嘱咐妈妈要勇敢！另一对母女小宝才一岁，是确诊治愈患者，爸爸和奶奶也是确诊患者，在市三医院治疗期间，妈妈作为陪护一直在病房照顾，后期家人们都住在一个病房。留观期间防止交叉感染分开房间居住管理，妈妈还是照顾着小宝。最近天气变化无常，也可能是心理压力太多，妈妈总自觉有咳嗽和胸痛症状，所以昨天去做了CT检查，其结果也无异常。她还自我调侃属于百毒不侵体质。。。一路上看见我仅仅做了一级防护，并没戴防护口罩，和我聊天时不停抱着小宝往后退，她不停说她危险了，怕传染给我。还不断问我为什么没有穿戴防护服。。。我没有多做解释，我没有不怕死体质，自求多福吧！她的善良在一定程度上让我有了更大动力，愿她的善良能一直保护她百毒不侵！疫情期间，希望家里人能安心宅家，一定要注意安全！
秦安检察,:【湖北#黄石两村民发热打牌致多人感染#与村支书同被立案】日前，湖北黄石太子镇老屋村4人先后被确诊为新冠肺炎。其中一人在出现发热等症状后，恶意隐瞒，聚集村民购物、打牌、垂钓，致多人被感染。因玩忽职守，原老屋村党支部书记、村委会主任王某凤已被撤销党内职务，被罢免村委会主任职务。目前，警方已对3人立案侦查。@湖北日报
囧撤功V,:【世卫组织：#中国境外疫情状况不容乐观#】当地时间2日，世卫组织总干事谭德塞表示，目前中国新冠肺炎病例数持续下降，但中国境外新冠肺炎疫情状况不容乐观。韩国、意大利、伊朗和日本最令人担忧。#世卫组织已派团队抵达伊朗#，支持当地开展防疫措施。目前世卫组织驻伊朗办事处有一名员工确诊，症状轻微。
_泠泠ovo,原创《每一片落叶都知你名姓》B：http://t.cn/A67qLWHS5S：http://t.cn/A67qLWHK网易云：http://t.cn/A67qLWH9的确，每个人都会在某天离开这个世界。或是衰老，或是疾病，或是意外，或是...明知此去危险却依然奋不顾身。我不宣扬大爱，因为这世间许许多多你感受到的或你不曾发现的小小的爱，已足够让人温暖而充满力量！直视死亡也敬畏生命，更不要因此而陷入悲伤、失去希望。或许那个你心里深深怀念着的人，变成了天上某一颗灿烂的星辰，用这种遥远却温暖的存在方式继续守护着你。愿你不消沉，愿你心燃温暖、充满力量，继续勇敢的向前走！
平子5515,:课堂随笔精神病理学分类系统诊断（概念化）行为症状精神动力学生物学……体征观察到（客观）症状主观的特质推断（人格特质泛化）结构轻中重（高低之分）多轴维度（量表）类别+维度临床表现重复的模式间期睡过点了
咪咪脱毛,:#咪宝天天见[超话]#丨#拯救口罩脸#长时间佩戴口罩，脸上又痒又红，还是不是爆个痘你是不是也有类似的“口罩脸”症状呢？皮肤科教授都推荐含积雪草成分的护肤品咪宝第一个推出骨折价的CIPIRICA舒缓修护水
童曦2434,:【爱的代价】体重暴涨，也毁了容，其他身体不适症状不知道将来啥时候突然袭击我。还好，还好，还有欣慰，一个是来自家人的爱，一个是每天感受到的“顾涌顾涌”。这就是，爱的代价吗？
长沙华山皮肤病医院官博,:#白癜风#身上出现白斑和白点就是白癜风疾病吗？其实不一定！身上出现白斑、白点这种症状的皮肤疾病有很多，在治疗的过程之中也有很多需要患者朋友们注意的地方，一旦发现身上出现白斑不要忽视，也不要过度的紧张！#长沙白癜风医院长沙华山[超话]#
MM_田明,:备忘录解释了什么是冠状病毒，如何传播，详细说明了症状，并提供了有关美国当前情况的最新信息以及降低患冠状病毒风险的最佳做法。备忘录说，联盟“正在与各队协调其反应，重点是疾病预防控制中心，当地公共卫生机构和各队传染病顾问所建议的预防措施。”
浮萍晓之,从周五（2月28日）开始，一个周末，美国感染者人数从65升到89，已经波及多个州。89人中，来自钻石公主号的病患为44人，从武汉去的为3人。从川普以下的各大佬继续不鼓励戴口罩，如纽约市当局的“佛系”通告：第3条“如果你感觉良好，无需戴口罩，如果有人戴也无需担心。人们戴口罩的原因多种多样，要尊重。”我的粉丝别听他的，人多的地方戴口罩。尽量不外出。回来勤洗手。其他不要慌，美帝疫情起不来的。抄一下此前建议：http://t.cn/A67CkV8G还有：http://t.cn/A67CkV8y
千年河东,【浙江确诊7例意大利输入性新冠病毒肺炎确诊病例，7人均由浦东机场入境
阴阳平和,:中医治疗肺结核　　　　中医治疗肺结核的方法一：气阴耗伤型肺结核　　症状：面色不华，神疲体软，咳语声微，纳呆便溏，痰多清稀，畏风自汗与颧红盗汗并见，舌淡苔白有齿痕，脉沉细而少力。　　方药：太子参15g，云苓15g，白术15g，山药30g，桔梗12g，百合30g，大枣10g，黄芪20g，莲子15g，当归12g，白及20g，功劳叶12g。　　疗效：益肺健脾。　　中医治疗肺结核的方法二：阴虚火旺型肺结核　　症状：咳嗽气急，痰粘而少，颧红潮热，盗汗少寐，胸疼咯血，遗精，月经不调，消瘦乏力，舌绛苔剥，脉沉细数。　　方药：龟板10g，阿胶12g(烊化)，冬虫夏草12g，胡黄连10g，银柴胡10g，百合30g，生地20g，麦冬12g，桔梗12g，贝母12g，当归12g，青蒿15g，知母12g。　　疗效：滋阴降火。　　中医治疗肺结核的方法三：肺阴亏损型肺结核　　症状：干咳，声音嘶哑，痰中带血丝，胸部隐痛，骨蒸潮热与手足心热，两颧发红午后更着，盗汗，形体消瘦，口干喜冷饮，舌红脉细数。　　方药：沙参12g，麦冬12g，天冬10g，生地18g，百部15g，白及20g，山药30g，云苓15g，川贝12g，菊花10g，阿胶15g(烊化)，三七3g(冲服)。　　疗效：养阴润肺。　　中医治疗肺结核的方法四：阴阳两虚型肺结核　　症状：少气无力，消瘦面黄，声音嘶哑，潮热盗汗，骨蒸痨热，泄溏便急，痰白沫状或血痰，心悸气短，寡言少欲，纳呆，自汗，滑精，闭经，苔黄燥，脉微细或虚大无力。　　方药：太子参15g，白术15g，山药30g，茯苓20g，黄芪30g，紫河车15g，当归15g，鹿角胶10g，龟板12g，白芍12g，白及30g，功劳叶12g。　　疗效：滋阴补阳。
东方医院何明,:【门诊过程中经常会有患者说自己有大便稀溏、不成形，为什么会出现这样的症状呢？】#健康##脾胃虚弱##慢阻肺##新型冠状病毒#不少人会出现大便不成形的问题，大便不成形有可能是脾胃虚弱的原因，也有可能是胃肠功能紊乱的原因，胃肠功能紊乱容易导致消化不良，从而会出现大便不成形的现象，下面我们具体了解大便不成形到底是什么原因呢？长期大便溏稀是什么原因导致的呢?长期大便糖稀原因，就是脾胃虚弱导致的。人的身体进行消化的时候，很多时候会将食物中的营养物质和水分全部都吸收，之后供给身体进行消耗和使用。但是对于很多脾胃不和的人而言，身体的消化就会很容易出问题。这个时候就不仅仅是大便溏稀、不成形的问题了，很有可能导致你的食欲和身体状态都不是很好。那么，你的脾胃为什么会变虚弱呢?生活中的这些事情不能忽视。还有就是不爱运动的人，不爱运动的人，他们的身体的消化和吸收的能力会大大降低，不仅仅是会使你很容易变胖，还会拖垮你的脾胃。当你不经常运动的时候，脾胃的消化的能力就会减弱。这个时候吃进去的东西不能被很好地消化，就会导致大便溏稀，不成形。如何改变你的大便溏稀的状态呢?改变现有的生活方式。但凡脾胃虚弱的人，其实都多多少少体内是有湿气的存在的。而这个时候对于你平常的饮食你或许就需要注意了，有些食物吃了就是会让你的体内的湿气加重。但是其实每一个人会引起湿气加重的食物都不一样，生活中注意区分，哪些食物吃了对你的身体会有影响，以后记得少吃点就好。多吃粗粮。大便溏稀，不成形其实还有一个很重要的原因其实是因为你平时的饮食太过于精细，这样就不容易形成成形的大便。通过介绍，我们了解了大便不成形的几种原因，大便不成形有可能是脾胃功能较弱的原因，也可能是免疫功能低下的问题，还有可能是吃了寒冷的食物引起的，平时大家要注意改变生活方式，尤其对于脾胃虚弱者更需要注意脾胃的调理。@头条文章
楚天都市报,:#共渡难关武汉加油#【#献血大王患新冠康复后再捐血浆#:这次献血意义更大
高岩医美,:黄褐斑发病有何常见症状?黄褐斑的症状主要分布于面部，以颧邪、颊部及鼻、前额、颏部为主。会给患女性患者带来极大的影响，尤其是会带来不自信。它不仅仅是皮肤黑色素的沉着，它很大可能是身体内分泌紊乱的一种外在表现。所以，治疗黄褐斑需要调理内分泌＋皮秒激光治疗，这样就可以达到标本兼治，不复发的功效。#黄褐斑##皮秒#
啊啊啊啊啊六六,:甲状腺里都是结节医生说甲减然后百度症状“表情痴呆反应迟钝”突然明白医生看了报告后看我的表情了“原来如此”
蒲江生态环境,【无症状感染者是如何传播病毒的？】出现无症状感染者，是因为潜伏期长，还是因为个人免疫力导致病毒无法攻击却能存活，又或是因为病毒不攻击与其共生？无症状感染者会不会成为超级传播者？如果无症状感染者一直未被发现会怎样？该如何防控？视频为你解密隐形带“毒”者。#关注新冠肺炎#（央视网）http://t.cn/A67aJAGD
火速头条,:#火速头条#【#黄石两村民发热打牌致多人感染#村支书知情不报还放任自流
艺萱小宝贝呀,:新品✨seegreen鲜萃修护芦荟胶早晚搭配使用昼夜养肤水润呵护肌肤缓解肌肤不适症状熬夜仙女最佳搭档！！
SUNGJAE-SAKURA,:#辽宁新增3例确诊均为丹东病例#丹东这三例都是🔺没有症状🔺才发病的
泸州酒城新报,:【世卫组织：#新冠肺炎重症患者死亡率超过50%#】世卫组织指出，大约80%患者症状较轻，14%左右发展为严重疾病，5%左右属于重症病例。早期研究显示，感染后的严重程度和患者的年龄以及是否患有基础性疾病有关。对于重症患者，氧气治疗是主要的治疗手段，所有国家都应该完善脉搏血氧仪和医用氧气系统的可用性。世卫组织指出，重症患者的死亡率超过50%，因此应优化现行的重症患者治疗措施，如肺保护性通气。世卫组织报告指出，目前尚无针对冠状病毒病（COVID-19）的有效治疗方法，因此世卫组织和研发蓝图（R&DBlueprint）目前将研究治疗方案为优先事项。
不织布大侠,:病毒进入人体后，为什么会有不同的症状呢？http://t.cn/A67oSA42
希CC望,:#浙江新增7例均为意大利输入病例#现在世界很多国家都已发生疫情，所以我觉得只要从有疫情国归国和来华人员都应该医学隔离有发热感冒症状要及时检测确诊是否受病毒感染及时区分治疗。当前国内疫情偏向好转并且控制稳定，我们要警惕病毒外入做好防疫措施。一点都不能忽略一切的不方便都是为了疫情早日结束，大家的工作生活早日步入正常。
经济之声,:【世卫组织：#中国境外疫情状况不容乐观#】当地时间2日，世卫组织总干事谭德塞表示，目前中国新冠肺炎病例数持续下降，但中国境外新冠肺炎疫情状况不容乐观。韩国、意大利、伊朗和日本最令人担忧。#世卫组织已派团队抵达伊朗#，支持当地开展防疫措施。目前世卫组织驻伊朗办事处有一名员工确诊，症状轻微。（via央视新闻）
枯竭通过客观,:【黄豆的美容功效】黄豆在豆类中营养价值最高，百种天然食品中，它名列榜首，含有大量不饱和脂肪酸，多种微量元素，维生素及优质蛋白质;女性每日喝一碗豆浆，其中所含的植物雌激素，可减少面部青春痘，暗疮的发生，使皮肤白皙润泽;还可调节体内激素水平，减轻并改善更年期症状，延缓衰老！为什么别人越来越不把你当回事http://t.cn/RUuRXwT
MV医学微视,:#健康一春##全国爱耳日#在生活中我们具体应该怎样做，才能预防听力下降和耳聋耳鸣呢？
经济之声,:【世卫组织：#中国境外疫情状况不容乐观#】当地时间2日，世卫组织总干事谭德塞表示，目前中国新冠肺炎病例数持续下降，但中国境外新冠肺炎疫情状况不容乐观。韩国、意大利、伊朗和日本最令人担忧。#世卫组织已派团队抵达伊朗#，支持当地开展防疫措施。目前世卫组织驻伊朗办事处有一名员工确诊，症状轻微。（via央视新闻）
枯竭通过客观,:【黄豆的美容功效】黄豆在豆类中营养价值最高，百种天然食品中，它名列榜首，含有大量不饱和脂肪酸，多种微量元素，维生素及优质蛋白质;女性每日喝一碗豆浆，其中所含的植物雌激素，可减少面部青春痘，暗疮的发生，使皮肤白皙润泽;还可调节体内激素水平，减轻并改善更年期症状，延缓衰老！为什么别人越来越不把你当回事http://t.cn/RUuRXwT
MV医学微视,:#健康一春##全国爱耳日#在生活中我们具体应该怎样做，才能预防听力下降和耳聋耳鸣呢？
大精灵之家园,:《安徽合肥发现一例无症状感染者密切接触者达177人》此外，为进一步扩大筛查范围，高新区还组织对安徽国风塑业股份有限公司一分厂另外269名员工开展了第三方快速筛查，结果正常。http://t.cn/A679M5g3
中国网,:【世卫组织：#中国境外疫情状况不容乐观#】当地时间2日，世卫组织总干事谭德塞表示，目前中国新冠肺炎病例数持续下降，但中国境外新冠肺炎疫情状况不容乐观。韩国、意大利、伊朗和日本最令人担忧。#世卫组织已派团队抵达伊朗#，支持当地开展防疫措施。目前世卫组织驻伊朗办事处有一名员工确诊，症状轻微。@央视新闻
世界光明万物欢欣,:无症状感染者不计入确诊病例？？？？
科大大科学家庭育儿,:#在家带娃大作战#产后抑郁症是指产妇分娩后出现的自责、失眠、焦虑、悲伤、哭泣、烦躁，严重者可以出现幻觉或自杀等一系列症状。
圆子同学_UIUI,【#浙江新增7例均为意大利输入病例#，均为丽水报告】2020年3月2日0-24时，浙江省新增新型冠状病毒肺炎确诊病例7例（均为丽水市青田县报告的意大利输入病例），新增出院病例36例。其中：新增出院病例中，杭州市5例、宁波市2例、温州市9例、湖州市1例、绍兴市1例、金华市2例、舟山市2例、台州市4例、省十里丰监狱10例。截至3月2日24时，浙江省累计报告新型冠状病毒肺炎确诊病例1213例（其中境外输入病例8例），现有重症病例8例（其中危重4例），累计死亡1例，累计出院1086例。其中：确诊病例中，杭州市169例、宁波市157例、温州市504例、湖州市10例、嘉兴市45例、绍兴市42例、金华市55例、衢州市14例、舟山市10例、台州市146例、丽水市25例（其中境外输入病例8例）、省十里丰监狱36例；重症病例中，宁波市1例、温州市5例、嘉兴市1例、省十里丰监狱1例；死亡病例中，温州市1例；出院病例中，杭州市170例（其中划归外省病例12例）、宁波市151例、温州市456例、湖州市10例、嘉兴市41例、绍兴市38例、金华市54例、衢州市12例、舟山市10例、台州市112例、丽水市17例、省十里丰监狱15例。全省共追踪到密切接触者41130人，当日解除医学观察118人，尚有580人正在接受医学观察。
想不出ID的Y姑娘,:有个一到晚上就不想睡觉的症状
胃肠肿瘤宗医生,:之前说过新冠肺炎患者出院后有检测返阳情况，所以即使过了出院观察期仍然有可能带病毒，成为潜在传染源。再加上一些病人没有症状，核酸检测也是阴性，这些人没有采取措施治疗（其实现在没有特效药，治疗也是大部分靠自身免疫系统），也是另一个潜在传染源。但可以肯定的是，因为没有症状，就不会有打喷嚏咳嗽等剧烈排出病毒的过程，传染性很低。但不能排除通过唾液鼻涕等分泌物接触传播可能，所以今后一段时间，大家一定注意手卫生，这可能比戴口罩更重要了。#武汉加油##咱们一定可以克服这场疫情##深圳新增由英国途经香港输入病例#http://t.cn/z8U4gg6
广州日报,:【#黄石两村民发热打牌致多人感染#村支书知情不报还放任自流
世界光明万物欢欣,#抗击疫情合肥必胜#【国家卫健委：无症状感染者不属于病例，不需要对外公布】2月14日下午，国新办举行疫情防控最新进展及关爱医务人员举措发布会。国家卫生健康委副主任曾益新介绍，按照《新型冠状病毒肺炎防控方案（第四版）》的相关规定，各级各类医疗卫生机构发现无症状感染者应当对其采取集中隔离14天，并于2个小时内进行网络直报，县（区）级疾控机构在接到无症状感染者报告后，24小时内要完成个案的调查，及时进行密切接触者登记并采取隔离措施，同时将个案调查表和调查报告及时通过网络报告系统进行上报。按照疫情发布的相关规定，仅对外公布新冠肺炎疑似病例和确诊病例。无症状感染者不属于病例，不需要对外公布。如果无症状感染者在集中隔离期间出现了症状，这时候我们可将其作为确诊病例报告，并对外公布。
白城以北,【苹果联合创始人沃兹被感染新冠病毒了？？？】苹果联合创始人沃兹周一在上表示，他和他的妻子可能是美国首批从国外旅行回来后感染新冠病毒的人之一。沃兹说，他妻子1月初从中国返回后咳嗽得很厉害，目前他和妻子正在接受检查。苹果联合创始人：我可能是美国首批新冠病毒患者之一
某男舒立,:肺炎会不会有头巨疼症状？
二郎神-博客元老,:重庆首例无症状感染者是怎样被发现的？--重庆频道--人民网（分享自@人民网）重庆首例无症状感染者是怎样被发现的？
健康传播史继虹,:感觉压力大，睡不好是常见的现象。如果本身没有慢性疾病，短时间这样（2个月内），一般是可以扛得住的。但是如果本身有慢性病那就不一样了，例如本身就有血糖血压血脂问题，只要睡不好几天，马上就会感觉到身体的疲劳、精力和脑力的衰退和各种病痛症状。没有慢性病的，这样睡不好的状态超过2个月，也会出现这样的身体表现。所以，没有什么事可以大过自己的健康。有健康，一生中总有机会，没有健康，什么都不是。面对压力，一方面是找到造成压力大的事件，看看能不能改变；另一方面，可能事件的发生不能改变，那能改变的只有我们自己对这个事件的看法和心态了。和家人朋友聊聊，得到宽慰和情感上的支持很重要，自己转换一下看待事件的角度，看看能不能让自己感觉好一点，外出度个假或者闭关一下也可以。睡眠不好，对心情的恢复和抗压能力本身也有负面影响，不利于自己的思考和调整。所以实在不行，可以请医生开点安眠药，或者尝试一下磷酯酰丝氨酸、GABA这样的膳食补充剂，暂时缓解一下。http://t.cn/A679fdKX
江油公安,:#关注新冠肺炎#【#黄石两村民发热打牌致多人感染#与村支书同被立案】2月21日至23日，湖北黄石太子镇老屋村4人先后被确诊为新冠肺炎。其中，潘某松、王某无视疫情管控规定，2月5日至16日期间频繁出入，在出现发热、咳嗽症状后，潘某松恶意隐瞒，聚集村民购物、打牌、垂钓，导致多名家人和牌友被感染。目前，老屋村确诊人数已达7人。因对村民放任自流，玩忽职守，严重违反防控指令，原老屋村党支部书记、村委会主任王某凤已被撤销党内职务，依法罢免村委会主任职务。3月1日，黄石开发区·铁山区公安分局依法对王某凤、潘某松、王某三人因涉嫌妨害传染病防治罪立案侦查。（湖北日报）
无锡新周刊,:#关注新冠肺炎#【#黄石两村民发热打牌致多人感染#与村支书同被立案】2月21日至23日，湖北黄石太子镇老屋村4人先后被确诊为新冠肺炎。其中，潘某松、王某无视疫情管控规定，2月5日至16日期间频繁出入，在出现发热、咳嗽症状后，潘某松恶意隐瞒，聚集村民购物、打牌、垂钓，导致多名家人和牌友被感染。目前，老屋村确诊人数已达7人。因对村民放任自流，玩忽职守，严重违反防控指令，原老屋村党支部书记、村委会主任王某凤已被撤销党内职务，依法罢免村委会主任职务。3月1日，黄石开发区·铁山区公安分局依法对王某凤、潘某松、王某三人因涉嫌妨害传染病防治罪立案侦查。（湖北日报）
健康来找我521,:耳鸣形简实繁，原因复杂。耳鸣有时候不仅仅指一种单纯的症状，它可能是常见的耳部和全身疾病的早期信号。众人皆知耳鸣耳聋属于神经性疾病，也就是脑部第八对听觉神经受损，但是治疗此疾病并非单一的营养神经就可以的！杨大夫认为标本兼治，病情才会从根本上恢复！简单来说耳鸣是指自觉耳内鸣响，其实外界是没有声音的，耳鸣声音也因病因，体质各有不同，如闻蝉声，潮声，水流声，电流声，甚至会出现幻听！耳聋则是指听力不同程度的减退，甚至消失。
北京晚报北晚新视觉网,:【#黄石两村民发热打牌致多人感染#】潘某松、王某无视疫情管控规定，2月5日至16日期间频繁出入，在出现发热、咳嗽症状后，潘某松恶意隐瞒，聚集村民购物、打牌、垂钓，导致多名家人和牌友被感染。目前，老屋村确诊人数已达7人。原老屋村党支部书记、村委会主任王某凤已被撤销党内职务，依法罢免村委会主任职务。黄石开发区·铁山区公安分局依法对王某凤、潘某松、王某三人立案侦查。http://t.cn/A679fJMK
槐荫检察,:【#黄石两村民发热打牌致多人感染#，与村支书同被立案】2月21日至23日，太子镇老屋村4人先后被确诊为新冠肺炎。其中，潘某松、王某无视疫情管控规定，2月5日至16日期间频繁出入，在出现发热、咳嗽症状后，潘某松恶意隐瞒，聚集村民购物、打牌、垂钓，导致多名家人和牌友被感染。目前，老屋村确诊人数已达7人。因对村民放任自流，玩忽职守，严重违反防控指令，原老屋村党支部书记、村委会主任王某凤已被撤销党内职务，依法罢免村委会主任职务。3月1日，黄石开发区·铁山区公安分局依法对王某凤、潘某松、王某三人因涉嫌妨害传染病防治罪立案侦查。（湖北日报）http://t.cn/A6795lOv
中医杨桢,:【华盛顿州12例中死了5例】世界卫生组织在新闻发布会中谈到：“80%的新冠肺炎患者是轻度症状，能够自愈或治愈，并不会发展为重症。”轻症患者的“自愈”和“治愈”，实际上就是中医所说的“排毒”过程。如果没有中医的介入，“自愈”对于很多基础体质不好的人，是很难实现的——病毒损坏了人的生理机能，生命非常脆弱。中西医护工作者以人为本，联合对抗疫情，才构成了“自愈”的安全轨道。没有中医，轻症患者的占比恐怕不会是80%。
利州交通,:【
三角粥突击队,:我们小区物业还是很负责任的，政府送回来的无症状居家隔离的韩国人，物业不让进，然后就来了一群jc，围着物业不知在协商什么什么？第一次觉得经常和业主打架的物业关键时候还是分得清是非的！#党中央成立应对疫情领导工作小组#
隐2222,:我知道都是为了我好但是真的不要再说想吃啥就多吃一点就买，不要心疼钱我知道，但是我真的啥都吃不下闻到就想吐原来喜欢的牛奶，豆浆现在都不行，奶味太重菜也吃不了多少油烟味真的受不了每个人症状不一样我也不想这样，太难熬了我也想多吃但是真的吃不了
魏氏思语,:《同济医院专家提醒女性：急性腹痛要及早诊治，感染新冠肺炎风险大》最新研究数据显示，全国确诊男女比例为1.06:1，其中以腹痛为主要症状的女性患者为2.2%。http://t.cn/A679fLLR
利州交通,:【
三角粥突击队,:我们小区物业还是很负责任的，政府送回来的无症状居家隔离的韩国人，物业不让进，然后就来了一群jc，围着物业不知在协商什么什么？第一次觉得经常和业主打架的物业关键时候还是分得清是非的！#党中央成立应对疫情领导工作小组#
隐2222,:我知道都是为了我好但是真的不要再说想吃啥就多吃一点就买，不要心疼钱我知道，但是我真的啥都吃不下闻到就想吐原来喜欢的牛奶，豆浆现在都不行，奶味太重菜也吃不了多少油烟味真的受不了每个人症状不一样我也不想这样，太难熬了我也想多吃但是真的吃不了
魏氏思语,:《同济医院专家提醒女性：急性腹痛要及早诊治，感染新冠肺炎风险大》最新研究数据显示，全国确诊男女比例为1.06:1，其中以腹痛为主要症状的女性患者为2.2%。http://t.cn/A679fLLR
新晚报,:#防控疫情#【一家族11人相继感染！千万警惕这类潜在传染源！】当地时间2月28日，国际顶级学术期刊《柳叶刀-传染病》（LancetInfectiousDiseases）在线发表一篇通讯，披露南京一起涉及11人的家族聚集新冠肺炎感染病例，揭示了无症状感染者可能是新冠病毒的潜在传染源。（南方都市报）
小雅YYYami,:下车不关车门就走被好心路人提醒、出门忘带钥匙2次、家门锁上插着钥匙就走被邻居拯救……还有最近有几次想最近发生的事情、想最近经常接触的人名都想不起来……我最近好像经常陷入一种痴呆模式……这是初老症状的表现吗？？但是从另一方面想想……我这种脑子不好的人还都蛮幸运的……最终都会被好心人拯救
嘎大徐xuxu,:焦虑症还没完全好，生气紧张就容易胸闷，好在其他症状基本没有了
揆度奇恒,:咽炎，之前吃辛辣后咽痛，自服头孢好转，但剩下咽痒一直没好，且口苦口臭，大便稀溏不畅。我无意说抗生素药性苦寒如何如何，毕竟中西医体系不同，但是看这个病情，明显是湿热郁闭，气机不畅引起的，与风热客于上焦过用清热解毒的病机类似，用升降散加味四副，今天反馈，药后除下午偶觉咽干外，症状已经轻微。
飞舞的大枭,【日本邮轮上香港乘客血清中验出抗体#香港卫生署称疑似感染者自愈#】3月1日，香港卫生署公布新增两宗新冠肺炎疑似个案。两名疑似患者为“钻石公主”号第二班香港包机撤侨乘客，在返港检测血清时验出抗体。卫生署称，两人可能此前在船上或更早之前已感染，但一般而言，有抗体则可能是没有传染性的，是痊愈的。#聚焦新冠肺炎疫情#http://t.cn/A67aBcoO
腰痛宁研发中心,:常有朋友问颈椎病能彻底治好吗？准确的说颈椎病可以通过矫正坐姿和吃颈复康颗粒缓解症状！病症越轻，吃药＋锻炼恢复的越快！快来跟我一起
颈复康药业,:常有朋友问颈椎病能彻底治好吗？准确的说颈椎病可以通过矫正坐姿和吃颈复康颗粒缓解症状！病症越轻，吃药＋锻炼恢复的越快！快来跟我一起
太和道医,:@微博道学#道家养生#《这种小零食，胜比安眠药，让你一觉到天亮！》大家都知道年龄越大，睡得越少，老年人随着神经细胞的减少，自然引起睡眠障碍，失眠就是最常见的症状。长期失眠后果很严重，可导致肥胖、脱发，引起健忘，导致老年痴呆、精神抑郁等。酸枣仁，胜过安眠药酸枣仁含有生物碱，皂苷和黄酮等多种药理成分。具有镇静、催眠、镇痛、抗惊厥、降血脂、抗血小板聚集、增强免疫功能、降压、抗缺氧、抗心肌缺血、抗心率失常、抗衰老、抗辐射等作用。酸枣仁的作用1维持身体营养平衡酸枣仁还含有非常丰富的维生素C，平时食用可以补充身体所需的维生素C，维持身体营养平衡。2宁心、安神《神农本草经》中很早就有记载，酸枣可以“安五脏，轻身延年”。所以，千万不要小看这种野果，它具有很大的药用价值，可以起到养肝、宁心、安神、敛汗的作用。医学上常用它来治疗神经衰弱、心烦失眠、多梦、盗汗、易惊等病。同时，又能达到一定的滋补强壮效果。3汗生津，用于体虚多汗本品味酸，有收敛止汗生津之功，常用于体虚自汗、盗汗，兼心神不宁者尤宜。如合人参、茯苓各等分为末，米饮调下，治盗汗。4补肝肾，养心安神适用于妇女更年期综合征，及肝肾不足所致的夜寐不安、面部潮红、手足心热、头晕耳鸣、带下、遗尿、小便频数等。5养心安神用于治疗失眠、心悸、抑郁传统的以西药治疗失眠和抑郁症的方法，往往副作用大、容易上瘾。中医药具有安眠药没有的优点，即不会成瘾，也不会产生依赖性。酸枣仁能有效解决失眠，提升睡眠质量，缓解头疼、眩晕、疲惫等现象；它能舒解紧张、焦虑、抑郁、记忆力减退、神经衰弱等不适症状，且无任何毒副作用和依赖性，能帮助人们获得良好的睡眠。其他作用有一定的降压作用；对子宫有兴奋作用。用于阴血不足，心悸怔忡，失眠健忘；体虚多汗。酸枣仁粥把酸枣仁加入白米中煮成粥，对付神经衰弱引起的失眠效果很好，特别适合体质虚弱的人喝。神经衰弱引起的失眠，要多吃。大米100克，酸枣仁50克，白糖适量。1、酸枣仁洗净捣碎，再加适量水捣至稀烂，用纱布将汁绞出。2、大米淘洗干净，加适量清水旺火煮沸，改文火煮至半熟，加酸枣汁再煮，至米烂汤稠，加白糖即可。原来对付失眠还有这么好的方法，一定要给身边的朋友看看。不失眠的人也能安神，让大家睡得更好，身体更棒！
