鱼山蚊,一线疾控医生的心声：请不要再骂我们了！疾控人的心声
央视财经,:【复工复产后，#如何做好用餐防护#？专家：排队用餐戴口罩，保持距离少交流】复工复产后，如何做好公共场所用餐防护？中国疾控中心研究员施小明表示：①在用餐的过程中，摘下口罩时，要注意保持口罩内侧的清洁，避免污染；②避免面对面就坐，可以选择同向而坐，且相隔1米以上；③尽量缩短就餐时间，减少同行人员之间的交流；④如餐厅就餐人员较多，应选择打包带走的方式。http://t.cn/A67CxnGs
迁西气象灾害防御,:迁西县气象台3月3日16时发布天气预报：今天夜间，晴，西北风3到4级，最低气温-6度，明天白天，晴，西北风3到4级，最高气温5度。森林火险气象等级二级，请注意防范。明天夜间到后天，晴。【河北省疾控中心提示您】复工复产后，个人防护请做到：触摸各种公用物品及污物后要洗手；公共场所、公共交通、多人办公场所务必佩戴口罩；居室、办公室经常开窗通风，保持室内空气流通；减少面对面近距离交流，彼此至少保持一米以上距离；不串门、不聚集，利用业余时间多锻炼，保持旺盛的工作精力。
胡晓辉联储证券,:美国疾控中心发出倡议:呼吁美国百姓不要抢购口罩，将口罩留给医护人员
石家庄微博头条,:【#餐厅排队就餐如何做好防护#】中国疾控中心环境所所长施小明：①排队戴好口罩，减少交流，保持距离；②取餐时避免直接触碰频繁接触的物品表面；③尽量选择电子支付；④选择表面清洁的桌椅，最好靠近门窗；⑤摘下口罩时保持口罩内侧清洁；⑥避免面对面就座，#餐厅就餐最好同向而坐间隔1米#；⑦餐厅人多时打包是比较好的选择；⑧就餐完立刻离开餐厅，减少逗留时间。（人民网）http://t.cn/A67aFzvR
京西杂谈官微,:@门头沟人，去超市购物怎么防范？北京疾控中心给出10条建议！北京市25日召开新冠肺炎疫情防控第31场发布会。北京市疾病预防控制中心副主任刘晓峰介绍商超疫情防控指引情况时，提出了去超市购物时要注意的10条事项。刘晓峰说，随着北京新增确诊病例多日为个位数，以及前两天零增长，感觉市民紧张焦虑的情绪得到了放松，逛超市的人也明显多了起来，提醒大家去超市应注意的问题。1、进入超市必须佩戴口罩；2、尽量避开人多拥挤的地方，尽量避免乘坐厢式电梯；3、进入超市前，自觉配合工作人员接受体温检测；4、人与人之间至少保持一米以上的间距；5、尽量使用微信或支付宝等移动支付方式；6、购买足量，减少多次购买，可以戴一次性手套；7、尽量少乘坐公共交通工具，建议步行、骑行或自驾车等交通方式；8、选择通风好、人流量相对较少的商场、超市；9、购物前列好购买清单，不在超市内闲逛、闲聊，缩短选购商品的时间；10、回家后立刻用流动的水和肥皂洗手，带有外包装的物品可以直接去掉包装袋，或用消毒剂喷洒表面进行消毒后再取出，购买的食物彻底做熟方可食用，水果、蔬菜要清洗干净，必要时可用专用清洗剂清洗。
通州次渠健康教育,:#新冠病毒肺炎防控知识#建设项目复工管理和施工现场疫情防控工作指引（本指引由市住建委制定并解释，由市疾控中心归口并发布）为进一步做好我市房屋建筑和市政基础设施工程复工管理，加强施工现场疫情防控工作，指导工程项目各参建单位强化疫情防控主体责任和全面落实疫情防控措施，保障工程项目安全有序复工，特制定本工作指引。一、组织领导各工程项目应建立健全复工管理和疫情防控组织体系，成立疫情防控指挥部，成员单位应包括工程项目建设单位、施工总承包单位、监理单位、专业分包单位、专业承包单位、劳务分包单位和其他有关单位，各单位项目负责人为指挥部成员，指挥部内设专职卫生员、联络员，专职联络员负责对接属地社区（村）、属地卫生健康部门。施工现场疫情防控工作由施工总承包单位统筹管理。工程项目各参建单位分别制定疫情防控工作方案，明确各参建单位疫情防控工作职责，明确疫情防控岗位及人员，完善工程项目疫情防控应急流程，全面细致做好疫情预防、应对及善后工作。施工总承包单位应及时向工程所在社区（村）报到，建立疫情防控信息报送机制，确保施工现场各类疫情防控信息及时、准确报送。
魅力碑林,:#联防联控碑林在行动#【记碑林区疾控中心战“疫”情党员先锋岗】有这样一群人处置疫情时他们穿上防护服、背起消毒桶他们是疫情前线的冲锋战士流调随访时他们一句句关心问候、为患者排忧解难他们是患者最贴心的朋友收集信息、处理指令时他们的工作堪比大脑和心脏发挥中枢关键作用……他们就是碑林区疾控中心疫情防控指挥部疫情流调处置及信息组一个奋战在抗击疫情最前沿的党员先锋岗！详细请戳：http://t.cn/A67CgBt2
酒泉发布,:#战胜疫情酒泉在行动#【防止过度消毒！中国疾控中心研究员：强调六种情况不应消毒】央视网消息：联防联控机制权威发布会上，关于有些地方过度消毒的问题，中国疾控中心研究员张流波表示，2月29日国务院联防联控机制综合组专门下发了《关于进一步规范和加强新冠肺炎流行期间消毒工作的通知》，专门把过度消毒的问题作为重要一点强调，列出了六种情况不应进行消毒。　　一.不对室外环境开展大规模消毒。　　二.雨雪天气不对室外环境进行消毒。　　三.不对外环境进行空气的消毒。　　四.不直接使用消毒剂对人员全身进行喷洒消毒。　　五.不对外环境的水塘、水库、人工湖这些环境投加消毒剂进行消毒。　　六.不在有人的情况下对室内空气进行消毒。（来源：央视网）
约苗,:山东潍坊市昌乐宝都街道社区卫生服务中心、昌乐县立医院预防接种门诊：目前均已开通HPV疫苗预约接种；济南历城疾控中心门诊：HPV疫苗需后续接种（第2、3针）也恢复接种啦！注意事项：疫情期间，限山东居民自驾前往预约，来门诊前请电话预约确认（约苗门诊主主页有电话号码）。务必带上身份证和预约记录，否则不予接种，请小仙女们注意遵守哦~
北京顺义健康教育,:#新冠病毒肺炎防控知识#建设项目复工管理和施工现场疫情防控工作指引（本指引由市住建委制定并解释，由市疾控中心归口并发布）为进一步做好我市房屋建筑和市政基础设施工程复工管理，加强施工现场疫情防控工作，指导工程项目各参建单位强化疫情防控主体责任和全面落实疫情防控措施，保障工程项目安全有序复工，特制定本工作指引。一、组织领导各工程项目应建立健全复工管理和疫情防控组织体系，成立疫情防控指挥部，成员单位应包括工程项目建设单位、施工总承包单位、监理单位、专业分包单位、专业承包单位、劳务分包单位和其他有关单位，各单位项目负责人为指挥部成员，指挥部内设专职卫生员、联络员，专职联络员负责对接属地社区（村）、属地卫生健康部门。施工现场疫情防控工作由施工总承包单位统筹管理。工程项目各参建单位分别制定疫情防控工作方案，明确各参建单位疫情防控工作职责，明确疫情防控岗位及人员，完善工程项目疫情防控应急流程，全面细致做好疫情预防、应对及善后工作。施工总承包单位应及时向工程所在社区（村）报到，建立疫情防控信息报送机制，确保施工现场各类疫情防控信息及时、准确报送。
北京日报都视频,:#京直播#【直播|北京召开疫情防控新闻发布会】3月3日下午4点，在市政府新闻办新闻发布厅召开疫情防控新闻发布会，首都严格进京管理联防联控协调机制办公室、北京新冠肺炎疫情防控领导小组社区防控组、市疾控中心等有关单位将发布信息，并答记者问。北京日报都视频的微博视频.
中新网山西,:【#疫情期如何乘坐出租车网约车#】中国疾控中心研究员张流波表示，出租车、网约车要确保司机没有感染，建立健康申报制度，进行体温检测，司机应全程佩戴口罩；车辆门把手、座位等应清洁消毒；行驶过程中温度合适时尽量开窗保证空气流通；乘客#上出租车前可开门一两分钟通风#；用消毒纸巾对接触处擦拭消毒；乘客全程戴口罩；提倡无接触付费。http://t.cn/A67amZ37
大河报,:【专家复盘：“不明原因肺炎”上报失灵的背后】1月9日早7点，中国疾控中心首席流行病学家曾光坐上北京飞武汉的飞机。因在武汉只待了一天，曾光没有参与现场调查。在地方给包括他在内的专家的汇报中，他听到的是武汉已隔离多少人，密切接触者中没有出现感染者，感染者病症不是太重，和季节性流感差不多……“我们得到的都是这样的信息。”回忆起那次经历时，曾光拍着桌子问，“那时我哪知道还有个李文亮，还有张继先?”更多详情→http://t.cn/A67Cg9Ud
WithXZ-你好呀,:#肖战##和肖战一起成为更好的自己#抗疫期间肖战为前线送去多批紧缺物资，录制人民日报《岁岁平安》、中国电视艺术家协会《坚信爱会赢》、爱奇艺《让世界充满爱》等MV，参与抗疫行动，为疾控中心做防疫宣传、与各卫视一起为武汉加油，顶力支持杂志爱心活动，为专题片三十三天担任旁白
中国网新闻中心,:【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。@人民日报
一步一步一步往前爬,【这5种消毒方式不可取】疫情期间宝宝们都很注重消毒，但也千万要注意不可过度消毒！北京市疾控中心副主任刘晓峰表示：这5种消毒方式有害，其中有一种更是万万不可取！#全民互助共抗肺炎#适当喷一点点酒精，正当防护，不要过度紧张！疫情期间领取小互哥哥家的福利，http://t.cn/A67v1ReXhttp://t.cn/A679Woce
加格达奇区在线,:『【关注】加区疾控中心提醒：从业人员体检（办理健康证）已恢复，需提前预约』【关注】加区疾控中心提醒：从业人员体检（办理健康证）已恢复，需提前预约
上海三农,:【71人全部隔离！上海已追踪到浙江境外输入病例在沪密切接触者】#浙江输入7例未在上海逗留#针对浙江省发布的新确诊7例境外输入型病例的信息，上海市疾控中心启动调查，截至目前已追踪到在沪密切接触者71人，都已落实隔离措施。据悉，该7例从意大利返回病例，从浦东机场直接包车返浙，均未在上海逗留。市政府新闻发言人徐威在新闻发布会上强调，所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，也就是一律隔离14天。via:http://t.cn/A67CdkjY
西北信息报,:#夺取双胜利陕西在行动#【西安市疾控中心对街头共享单车采样299份标本结果均为新冠病毒核酸阴性】3月1日，西安市疾控中心派专业技术人员，在西安市东西南北中各选取人流密集区域使用频率较高的共享单车进行采样监测，对共享单车的把手、车座、车体等多部位进行标本采集，结果均为新冠病毒核酸阴性。当前新型冠状病毒疫情防控的形势下，很多市民会共享单车这种减少人群聚集的出行方式。对于选择共享单车的市民来说，作为公共物品的共享单车是否安全是大家比较关心的一个问题。本次按照东西南北中五个城区开展监测，以城墙内为中间区域，在钟楼地铁站、西华门十字、北大街新世界时尚广场、西大街正学街、银泰百货、丽晶酒店、西安饭店、南大街智选假日酒店、西贝莜面村、西木头市等附近10个共享单车停放点采样。城北区域以城北客运站为中心，在城北客运站、长安医院、地铁二号线凤城五路口、经开区市政共享单车站、经开区EE康城延炼西安小区东门、经开区行政中心地铁站、西安北站等附近7个共享单车停放点采样。城西区域选取劳动南路民航小区、西电集团医院、西安医学院第一附属医院、紫薇臻品小区幼儿园、地铁三号线丈八北路站、地铁三号线鱼化寨站、中国航发西控东门、地铁一号线汉城路站、公交车三桥站、土门坊路与莲湖路十字西南角、公交车水司站、西北大学新区家属院东门等附近12个共享单车停放点采样。城南区域选取大悦城西侧公交站、南三环城南客运站北侧、会展中心西门、长安南路八里村地铁站、小寨赛格停车场入口、小寨西路吉祥村地铁站、市委党校门口等附近7个共享单车停放点采样。城东区域选取城东枢纽华阳城门口、唐都医院东面、辛家庙红星美凯龙、辛家庙地铁站、胡家庙地铁站、康复路商贸广场、金花北路温德姆酒店等附近7个共享单车停放点采样。全市共计布点43个，共涂抹采样标本299份，经西安市疾控中心实验室检测，结果均为新冠病毒核酸阴性。后期还将对全市出租车、公交、地铁进行监测并发布结果。via.华商报
许国1994,:#美疾控中心误放一名新冠患者#不不不这是自由
双流区永安镇,:【专家提醒#疫情期乘坐飞机高铁别到太早#】中国疾控中心研究员张流波提醒#疫情期乘坐飞机高铁注意事项#：一是计算好时间，不要到太早，避免大量人流；二是做好个人防护，全程戴口罩，少和陌生人过多交流，多做手卫生；三是乘坐时保持安静、避免喧哗，咳嗽打喷嚏时讲究文明礼仪；四是和邻座保持距离，条件允许时隔座乘坐。http://t.cn/A67arr7p
贵港宣传,:疫情期间去商场超市如何做好防护?【新型冠状病毒科普知识】（274）中国疾控中心环境所所长施小明去商场、超市购物，做好个人防护非常有必要。主要关注以下四个方面：第一，购物的时间尽量避开商场、超市的客流高峰期，比如选择非周末时间或者是早晨刚营业的时候，这样减少与其他人接触的机会。第二，乘坐电梯时，如果是到楼层比较低的地方购物，推荐走楼梯。如果到楼层比较高的地方购物，建议优先使用扶梯。如果必须乘坐厢式电梯，电梯人多的时候可以等候下一趟电梯。乘坐电梯时要佩戴口罩，而且与其他人员保持一定的安全距离。第三，要全程正确佩戴口罩。第四，做好手卫生。来源：国家卫生健康委员会官网http://t.cn/A67CuJvv
巴渝都市报,:#众志成城抗疫情#【复工复产后如何保证安全就餐？请看这里】复工复产后，如何保证群众的食品安全和就餐安全？乘坐飞机、高铁等交通工具时应该注意什么？涪陵区疾控中心针对市民关心的问题进行了解答。
北京房产,:【#上海已追踪71名浙江输入病例密切接触者#】据@上海发布，今天（3月3日）上午，浙江省发布了新确诊7例境外输入型病例的信息。上海市疾控中心获悉后，主动与浙江省疾控中心等有关部门联系，并立即启动调查。截至目前，已追踪到在沪密切接触者71人，都已落实隔离措施，后续防控措施正在进一步落实中。经调查，浙江新增确诊病例中6人与昨天（3月2日）浙江发布的1例境外输入型病例同行入境，均来自意大利，经莫斯科转机后2月27日晚抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。另有1例浙江新增确诊病例与昨天（3月2日）浙江发布的1例境外输入型病例都在意大利同一餐厅工作，经德国转机后2月29日抵达浦东国际机场，入关时体温等未见异常。从机场直接包车返回浙江省丽水市青田县，没有在本市逗留。#共同战疫#
