中国侨都-台山发布,:【江门保持0新增！】截至3月4日24时，全省累计报告新冠肺炎确诊病例1350例，累计出院1159例，累计死亡7例。3月4日当天全省无新增确诊病例。新增出院30例，2例为危重型病例治愈出院，7例为重型病例治愈出院，其余为普通型或轻型病例治愈出院。无疑似病例。有504名密切接触者正在接受医学观察。累计确诊病例中，深圳市418例、广州市346例、东莞市99例、珠海市98例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市19例、梅州市16例、茂名市14例、阳江市14例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性664例，女性686例，年龄介于2月龄-90岁之间。截至3月4日24时，在院的184例确诊病例中，轻型10例，普通型143例，重型12例，危重型19例。
韶关鹏程万里人才网,:韶关市振华中等职业学校语文1名使用意向：教师，汉语言本科以上学历，有教师资格证（含待领）电子商务1名使用意向：教师，本科以上学历，有中级以上专业行业技术等级证待遇：4000－8000元，免费住宿电话：0751-8219826邮箱：sghr@pcwl.com（请注明公司名+职位）地址：韶关市武江区沐溪大道1号
韶关鹏程万里人才网,:韶关市山水商务酒店有限公司前台收银接待1、年龄18-35岁，初中以上文化；2、身体健康，能吃苦耐劳，熟练操作电脑；3、月休4天，月薪2000-3000元+年薪+全勤+风险金，包食宿。营销副理1、年龄18-35岁，身体健康形象气质佳，沟通能力强，熟练操作电脑，熟练使用办公软件2、月薪2500元-6500元+年薪+全勤奖；包食宿，月休4天，试用期后购买五险3、每年享有11天国家法定假日，工作满一年以上均可享受带薪年假及年度加薪（工龄工资）电话：8219829邮箱：2314849748@qq.com（注明应聘公司、岗位）地址：韶关武江区工业西路26号山水酒店
66花落无声,:发表了博文《市级课题推广活动暨浈江区初中英语教研活动》市级课题推广活动暨浈江区初中英语教研活动为进一步做好2019年韶关市中小学教育教学成果一等奖的课题《词汇导入在初中英语阅读教学中的实践与研究》的成市级课题推广活动暨浈江区初中英语教研活动
童模社区,:姓名：泽泽性别：男身高/衣码：90cm/95码脚长/鞋码：14.5cm/26码体重：13kg地区:广东省韶关市出生年月：201804童模社区会员编号：NO.07381❤️可接寄拍主图详情、平面商拍、买家秀、走秀、影视广告等#童模社区[超话]#@童模社区
韶关鹏程万里人才网,:诚聘司机1、持有C1牌驾照，1-3年相关工作经验；2、上班时间：8:30-5:30（中午有休息时间），包中餐，提供住宿；3、待遇：试用期2800/月，月休4天，试用期后薪资面议；电话：0751-8219830地址：韶关市浈江区南郊四公里华龙山庄路口进800米
韶关鹏程万里人才网,:韶关市载浩医疗器械有限公司销售专员1、20-35岁，药学相关专业或有从事销售类工作经验，熟悉医疗单位工作流程2、拥有医疗渠道优先。工资：5000-10000元电话：0751-8219826邮箱：sghr@pcwl.com（注明应聘公司+岗位）地址：韶关市武江区工业西路88号长城世家维多利亚商业街B9商铺二、三层详情请登录查看：http://t.cn/A6h0w8kQ
韶关鹏程万里人才网,:韶关市好药师医药有限公司营业员执业药师（药师）药房助理电话：0751-8219826邮箱：sghr@pcwl.com（请注明公司名+职位）详情请登录查看：http://t.cn/A6h0wfFa
韶关鹏程万里人才网,:韶关市碧桂园凤凰酒店有限公司1、销售总监/经理：三年及以上星级酒店销售工作经验；熟悉销售客户管理，市场开发方案，熟悉销售相关系统；具有市场拓展开发能力。薪资：4500-6000元/月加提成。2、销售主管/代表：男女不限，形象气质佳，具较强的沟通表达能力，优先营销、金融、商务、酒店管理、旅游等专业；薪资：2800-3500元/月加提成。3、策划经理：男女不限，精通Photoshop等图文设计软件，思维敏捷，工作积极主动，有团队协作精神，沟通能力强；2年以上星级酒店或旅行社策划相关岗位的工作经验；薪资：5000-6000元/月。4、礼宾员：男，172CM以上，五官端正，气质形象佳；有良好的服务意识，热情有礼貌，有同等星级酒店工作经验优先；薪资：2400-2800元/月。5、中厨/西厨厨师：男女不限，身体健康，具有责任心，良好的执行能力和沟通能力。薪资：4000-6000元/月。6、餐饮楼面主管：男女不限，形象气质佳，有熟练的服务技能，熟悉餐厅管理，有较强的应变能力和对客能力。薪资：3000-3500元/月。7、西餐/宴会服务员/咨客：形象气质佳，具有较强的服务意识及沟通能力，较灵活主动，有经验者优先；薪资：2500-2800元/月。电话：0751-8219826邮箱：sghr@pcwl.com（注明应聘公司+岗位）地址：韶关市浈江区五里亭碧桂园内详情请登录：http://t.cn/A6h8LTzo
韶关鹏程万里人才网,:韶关市明珠幼儿园有限公司保健老师从事过幼儿园保健相关工作经验，持有护士资格证、保健医生资格证、月薪2500-3000元以上；保育老师初中以上学历，年龄在50周岁以下；具有幼儿园保育员证及工作经验者优先考虑录用。月薪2000元以上；教师热爱幼教事业，有责任心，团队精神和创新精神；有爱心、耐心、责任心；师范院校毕业或大专以上学历，具有幼儿教师资格证书及相关证书；有幼教经验者优先，月薪2500元以上；电话：0751-8219830邮箱：sghr@pcwl.com（请注明公司名+职位）地址：韶关市武江区惠民北路493号奥园印象奥园小区详情请登录查看：http://t.cn/A6hsD9ij
骄横地盛乄姣妍197,:【丹霞山】丹霞山位于湘、赣、粤三省交界处的仁化县境内，距广东省韶关市45公里
韶城关注,:#韶关[超话]##韶城关注#今天（25日）上午，韶关又有1例新冠肺炎确诊患者治愈出院。截至目前，韶关市新冠肺炎确诊患者已累计治愈出院7例。今天上午出院的患者G，男性，56岁，为我市第一和第二例确诊病例的弟弟，是确诊病例的密切接触者。1月21日该病例被隔离观察，期间无发病症状。1月22日、24日该病例进行核酸检测均呈阴性。2月2日该病例准备结束隔离观察前核酸检测呈阳性，即被送入定点医疗机构隔离复查。2月10日经省市专家根据该病例影像结果及国家、省的最新诊断指引，该病例被确诊为普通病例。在新冠肺炎临床救治专家及医护人员的共同努力、精心救治、悉心护理下，经韶关市疾控中心对患者先后二次间隔24小时以上进行的病毒核酸检测，结果均为阴性，已符合国家卫生健康委办公厅印发的《新型冠状病毒感染的肺炎诊疗方案》中的确诊病例出院标准，今天予以出院。医生叮嘱出院患者需继续隔离观察2周。来源：韶关民声网@广东二家姐@韶关那些事儿@网民老林@凡口老留
新鲜苹果888,【武汉新型冠状病毒感染患者救治均由政府买单】据人民日报，武汉市卫健委表示，凡是确诊的病人，除医保报销外，医疗费全由政府兜底。梅州
广汽丰田荣晖韶南店,:#广汽丰田##威兰达##全新换代雷凌##C-HR#清新空气，舒心驾乘，除异味，去甲醛，过滤PM2.5，咨询热线：0751-8291666，展厅地址：韶关市浈江区韶南大道10号。
广汽丰田荣晖韶南店,:#广汽丰田##威兰达##全新换代雷凌#多一分清新多一份安心，搭载智能PM2.5过滤系统，实时监测显示PM2.5浓度登记，高效净化，净享安心。咨询热线：0751-8291666，展厅地址：韶关市浈江区韶南大道10号。
毛开云623,:《四川宜宾作家陈刚11万字小说《南方故事》连载（47）_手机搜狐网》但还没踏上行程，广州火车站的一幕又一幕就让徐清、凌驰震撼了……接近年关，陆陆续续有不少人聚集广州火车站，准备乘列车踏上返乡过年的旅程。徐清与凌驰在广州会合后，不容多想，两个车队就急匆匆赶往韶关市仁化红山…http://t.cn/A6hsV2To
Miss瓦力,:2020年2月24日周一农历二月初二庚子年【鼠年】戊寅月丁酉日于广东韶关市下午两点半外婆的告别仪式非常时期，未能见最后一面
寻狗官方微博,:狗狗寻主启事：2020-02-24日韶关市曲江区玉麟小学(曲江区238乡道南50米)附近发现灰色迷路流浪狗狗一条。详情访问寻狗小程序:http://t.cn/A6hDz4q8
韶关市生态环境局,:为加快推进韶关市固定污染源清理整顿和2020年排污许可发证登记工作，实现2020年固定污染源排污许可全覆盖，韶关市生态环境局发布了关于2020年全面实施排污许可发证登记工作的通告。详情如下：http://t.cn/A6hDvVUa
韶关那些事儿,:#韶关身边事#【韶关市根据省二级应急响应的要求作出公告】广东省决定自24日9时将重大突发公共卫生事件一级响应调整为二级响应。为确保广大人民群众的健康安全，我市根据二级应急响应的要求作出以下公告：一、各县（市、区）继续保持高度警惕，毫不松懈做好疫情防控各项工作，按照分区分级防控工作要求，根据疫情形势精准施策，统筹推进疫情防控和经济社会发展工作。二、广大市民继续做好个人防护，戴口罩、勤洗手、不聚集、常通风。韶关市新型冠状病毒感染的肺炎疫情防控指挥部办公室2020年2月24日来源：韶关发布http://t.cn/RyhWvRV
韶关那些事儿,:#韶关身边事#【韶关市妇联、市教育局组织爱心企业为韶关学院医学院捐赠防疫物资】2月21日上午，韶关市妇联、市教育局组织爱心企业韶关市华星宇信息科技有限公司为我院捐赠医用口罩等防疫物资一批。市妇联主席汪波、市教育局副局长梁丽娟、我院党委书记、院长曹光誉和华星宇信息科技有限公司总经理等领导出席活动。梁丽娟副局长在2月19日来校调研时得知我院为全力抗击新型冠状病毒肺炎疫情，在过去20天里自筹防疫物资派出120多名志愿者众志成城奔赴一线参与我市疫情防控阻击战，学院防疫物资几乎消耗殆尽，在调研会上当即联系市妇联协调我市爱心企业为我院筹集紧缺的医用口罩等防疫物资。在市妇联的迅速协调，韶关市华星宇信息科技有限公司将自筹的医用口罩一箱（1000只）等防疫物资一批捐赠我院。汪波主席在讲话中对我院为全市疫情防控阻击战所作的努力和贡献表示赞赏，并向我院疫情防控一线工作人员致敬。曹光誉院长代表学院接受韶关市华星宇信息科技有限公司捐赠的防疫物质。市妇联、市教育局和我院相关部门负责同志参加活动。（韶关学院医学院）http://t.cn/RyhWvRV
小小白菜坑,:#韶关[超话]#【停水通知】因应急抢修供水管道，受此影响，芙蓉东路（新华南路路口至芙蓉东路矿产研究所路口路段）、福林路停水，预计2月25日01:00时恢复供水。目前，我公司正组织施工人员抓紧抢修，尽快恢复供水。via：韶关市水务投资集团有限公司
旅游与摄影,:【丹霞山】丹霞山位于湘、赣、粤三省交界处的仁化县境内，距广东省韶关市45公里。是国家级重点风景名胜区，国家地质地貌自然保护区，被誉为“中国红石公园”。方圆319平方公里的红色山群“色如渥丹，灿若明霞”，故称丹霞山。
KISSU婚礼造型馆,:新娘造型|KISSU教学团队敏敏老师简洁利落妆发👰🏻细腻优雅的光泽感以最自然的姿态呈现出来～✨让整个造型气质完美婚礼跟妆预定，欢迎私信来撩🥰#广州专业化妆班课程##专业化妆造型培训##广州深圳佛山东莞清远韶关市化妆师跟妆##广州化妆师培训#
导游小贴士,:【丹霞山】丹霞山位于湘、赣、粤三省交界处的仁化县境内，距广东省韶关市45公里。是国家级重点风景名胜区，国家地质地貌自然保护区，被誉为“中国红石公园”。方圆319平方公里的红色山群“色如渥丹，灿若明霞”，故称丹霞山。
韶关发布,:【战“疫”纪实|市铁路医院：筑起疫情防控坚固“防线”】面对来势汹汹的新冠肺炎疫情，作为韶关市发热门诊重点医院之一的市铁路医院勇挑重担，不仅承担起浈江区发热病人的排查工作，还负责浈江区重点人群咽拭子采集以及火车东站出站口旅客发热分诊工作，在这一特殊时期筑起疫情防控的坚固堡垒。（文章链接：http://t.cn/A6hdPsZG）
韶关交警,:【廖爱平：星夜兼程战疫情扎根城口护平安】“这里肩负着入粤安全重任，每一名执勤人员不敢有丝毫马虎。”武深高速公路韶关城口检疫检查站驻站站长、韶关市交警支队副支队长廖爱平“全副武装”，和同事一起对过往车辆进行检查。他介绍说，武深高速公路经武汉至深圳珠三角一带，有“广东北大门”、环粤“桥头堡”之称，是此次韶关市甚至广东省疫情防控任务的重要阵地。（文章链接：http://t.cn/A6hrF1C4）
韶关发布,:【浈江：驻村帮扶不松劲防疫生产两不误】日前，浈江区扶贫办将韶关市乡村振兴公益基金会捐赠的1000斤84消毒液分别送往该区各镇以及大村村、群丰村、下陂村3条省定贫困村，解了村里消杀物资缺乏的燃眉之急。自新冠肺炎疫情发生以来，浈江区扶贫系统在统筹疫情防控和脱贫攻坚两方面，做到两手抓、两不误，坚决打赢疫情防控阻击战和精准脱贫攻坚战。（文章链接：http://t.cn/A6hrezic）
韶关天气,:#晚间天气#【市区短时天气预报】预计未来三小时，市区晴天间多云，17到20度，北风1到2级。韶关市气象台2月23日19时40分发布
韶司在线,:发布了头条文章：《在疫情防控中诠释使命担当——韶关市浈江区司法局犁市司法所所长林雄》在疫情防控中诠释使命担当——韶关市浈江区司法局犁市司法所所长林雄
韶司在线,:发布了头条文章：《韶关市法治宣传志愿服务大队积极开展“防控疫情志愿同行”活动》韶关市法治宣传志愿服务大队积极开展“防控疫情志愿同行”活动
李振功律师,:发表了博文《广东省韶关市第二建筑工程公司与韶关市坪石发电厂有限公司建设工程施工合同纠纷申诉、申请民事判决书》广东省韶关市第二建筑工程公司与韶关市坪石发电厂有限公司建设工程施工合同纠纷申诉、申请民事判决广东省韶关市第二建筑工程公司与韶关市坪石发电厂有限公司建设工程施工合同纠纷申诉、申请民事判决书
淘金Salon,:根据受害者@女郎沟的描述以及提供的相关证据，本博作为一个正直的普通公民，对于广东韶关始兴水务局公务员李壁烽猥亵强奸受害者深感愤恨，现提供受害人所发资料，包括聊天记录。请为受害者转发。受害人口述：下图此人叫李壁烽，是广东省韶关市始兴县水务局的公务员，其在当地猥亵强奸多名妇女，多名群众拉横幅抗议，报警警察以疑罪从无不处理，发帖贴吧也删除，走检察院也以模糊不清的理由让其逍遥法外，本人是李壁烽的亲戚，被李壁烽以亲戚做客为名骗到家里，然后实施强奸，本人激烈反抗踢了他下体，流血了他才停止强奸，本人报警，警察说他是犯罪中止，明明是因为我正当防卫让他没有能力继续，警察却如此帮他开脱，天理何在，今天的大年三十，谁说假话谁死全家！我要求媒体曝光此案让这个披着羊皮的狼收到法律的制裁！
韶关旅游,:发布了头条文章：#广东省韶关市仁化县#《文明实践在行动！仁化市民为文明加分、为中国加油！》文明实践在行动！仁化市民为文明加分、为中国加油！
用户7391015049,:锗切割抛光粉回收，锗粉回收，运田金属废锗收购韶关市运田金属材料有限公司价　格：￥5000锗切割抛光粉回收，锗粉回收，运田金属废锗收购韶关市运田金属材料有限公司，自主拥有综合回收冶炼厂家固定场所交易（解决了您不安全的担忧2.验货，专业回收多年，手感验货，节省您宝贵时间和担忧3.称重，专业计量称重设备，当场称重4.付款，现金交易，也可以按你的要求打款到你所给的上，或者其他方式都可以。主营锗回收项目种类：高价回收废旧锗料、锗棒、金属锗、纯锗、锗带、锗锭、锗粉、锗片、锗单晶、锗粒、区熔锗、工业锗、废锗、等产品，我厂家直收，派技术人员上门服务，服务快捷，交易安全，欢迎来电咨询。回收含锗物料、二氧化锗、锗渣，锗锭，锗粉，锗棒、锗带、锗条、单晶锗、四氯化锗、废锗片、锗片切割抛光粉，以及锗精矿，锗富集原料等等联系人：李先生联系电话：15219818158【图片】【图片】【图片】【图片】
用户7391015049,:南京锗回收，镇江锗回收，运田锗价格韶关市运田金属材料有限公司上门回收废锗，锗材料回收，价格2000到5000左右根据含量比带票，现货锗市价格今年在缓慢下跌，加上锗锭拍卖，各锗厂纷纷降价出货套利，锗行情维持低迷下跌趋势，已经接近成本价，贸易商都停止采购锗，韶关运田金属继续采购锗金属原料，欢迎有锗客户联系成交，高价回收锗。联系人：李先生联系电话：15219818158
广汽丰田荣晖韶南店,:#全新换代雷凌##威兰达##广汽丰田#暖心在线，全场景服务，足不出户，线上订车尊享199抵2000元（战疫基金），咨询热线：0751-8291666，展厅地址：韶关市浈江区韶南大道10号。
青菜两元一斤,:零八年我三十六岁韶关市的大姨上门问我为什么每个月需要一百元零用那几年自考买书报名都是需钱的她当时给一百元妈说扣零钱我还给了大姨不久妈提前给我一百元我说不能扣零用妈说不要拿去修电脑听香港流行曲必须的花了一百元第二天被爸带两个护士捉进医院
广乔茶叶,:生态茶园编（一）岭南原枝生态茶园位于：广东省韶关市乐昌市九峰镇杨东山自然保护区内，好茶自然离不开好的生态拥抱。茶园周围阔叶林中夹着竹林、藤蔓多种植物共生，自然也是多种动物的栖息地『生态平衡』2020初春！阳光正好！毛毛虫、未知名虫卵、蚂蚁、野峰窝等动物的痕迹随处可见，万物生长，遵循天地自然变化。地衣苔藓是无除草剂的佐证地衣苔藓：抑制土壤中病原菌的繁殖和对植物根部的侵袭，减少植物土传病害，预防多种害虫爆发。改善土壤团粒结构，改良土壤，提高土壤蓄水、蓄能能力，有效增高地温，缓解重茬障碍。促使土壤中的有机质分解成腐殖质，极大的提高土壤肥效。经历虫害的蹂躏、杂草的竞长！茶树茁壮成长。或许就是茶韵天成必然的历程。http://t.cn/RJ771mz
丿仉夏菡Julia,:
韶关天气预报,:韶关市，今夜晴，11℃。明天晴，11~25℃，微风，空气优http://t.cn/EIN86UJ
广汽传祺韶关卓越店,用歌声，盼春来！#歌手·当打之年#官方指定座驾#第二代传祺GS4#与您一起别冬迎春，驭见新春新希望！广汽传祺的微博视频
晋阳胡,:疫情无情人有情今天下午韶关市无偿献血志愿者服务队一行6人到中风在家休养的终身荣誉志愿者叶乾林家中慰问关怀虽戴着口罩但从眼神中都能看到大家发自内心的笑家人们都希望乾哥早日康复尽快回到我们无偿献血志愿者的大家庭中来无偿献血温暖你我太原
公务员就是一个工作,:发布了头条文章：《2020年韶关市始兴县司前镇人民政府招聘乡镇工作人员公告》2020年韶关市始兴县司前镇人民政府招聘乡镇工作人员公告
荆州日报,:#荆粤联合报道#【写在防护服上的“生日快乐”】温智鹏，广东韶关市中医院呼吸内科主治医师。2月21日早上，他让同事在防护服背后写下“温智鹏生日快乐”字样，涂上笑脸符号。“乐观的心态有助提高人体免疫力，增强病人战胜疾病的信心。”温智鹏告诉记者，他巡房查诊发现有的患者亲人不在跟前，或一家数口同时入院，情绪难免有些浮躁，心理状态欠佳。于是，想借他生日这天活跃活跃病房气氛，给他们打打气、鼓鼓劲，也是给自己32岁生日留个纪念。@南方日报http://t.cn/A6hn1fTW
韶关发布,:【我市全面实行市场主体年报“网上报零见面”】记者今日从韶关市市场监管局获悉，2019年度的市场主体年报工作已开始为最大程度减少人员聚集坚决有效遏制疫情蔓延扩散，疫情防控期间，我市全面实行市场主体年度报告公示“网上报、零见面”（文章链接：我市全面实行市场主体年报“网上报零见面”）
韶关那些事儿,:#韶关身边事#【韶关武江禁毒人在行动】#共同战疫#韶关市武江禁毒大队民（辅）警和各镇（街）阳光康复工作站志愿者积极投入毒情、疫情的“双防控”。组织禁毒民（辅）警、禁毒社工、志愿者深入乡镇、街道、社区、交通要道、经营场所等开展疫情排查防控工作，采取实地走访的方式对社区戒毒（康复）人员进行管控、心http://t.cn/A6hRUlDm
韶关天气,:#午间天气#【市区短时预报】预计未来3小时，市区，晴天间多云，北风1-2级，19到24度。韶关市气象台2020年02月22日11时发布
韶关天气预报,:韶关市，今天多云，11~24℃，微风，空气优http://t.cn/EIN86UJ
安思美装饰,:
放慢脚步等,:【乡村振兴】乡镇整治提升“139"行动：韶关市始兴县深渡水乡呈交完美“答卷”http://t.cn/A6hlMbXO
韶关旅游,:#广东省韶关市仁化县##抗疫行动#《致敬最美！“新时代文明•抗疫在行动”寻找感动瞬间网络文明传播活动》致敬最美！“新时代文明•抗疫在行动”寻找感动瞬间网络文明传播活动
韶关廖少,:广东省韶关市乐昌云岩镇出水岩村青莲山风光韶关韶关廖少的微博视频
中国禁毒在线,:【韶关武江禁毒人在行动】#共同战疫#韶关市武江禁毒大队民（辅）警和各镇（街）阳光康复工作站志愿者积极投入毒情、疫情的“双防控”。组织禁毒民（辅）警、禁毒社工、志愿者深入乡镇、街道、社区、交通要道、经营场所等开展疫情排查防控工作，采取实地走访的方式对社区戒毒（康复）人员进行管控、心理辅导和宣传。@平安南粤http://t.cn/A6hRUlDm
韶司在线,:发布了头条文章：《韶关市司法局机关党委慰问战“疫”一线党员志愿者》韶关市司法局机关党委慰问战“疫”一线党员志愿者
韶司在线,:发布了头条文章：《韶关市司法局：奉献爱心助力战“疫”日记》韶关市司法局：奉献爱心助力战“疫”日记
广汽丰田荣晖韶南店,:#广汽丰田##威兰达##全新换代雷凌#暖丰来，寒意去，广汽丰田为暖春增温，老车主增购即享1000元购车补贴，活动详情请来电咨询，咨询热线：0751-8291666，展厅地址：韶关市浈江区韶南大道10号
唯美图,:阳元石坐落在世界地质公园——广东省韶关市丹霞山中，被誉为“天下第一奇石”、“天下第一绝景”。同在丹霞山，还有一个处女渊，堪称世界一绝！
韶关鹏程万里人才网,:韶关市嘉诺点火系统有限公司1、技术员：2名（综合工资3500-5000元/月)：有贴片设备、插件等其它设备的保养，维护；生产中设备故障修复；生产中的不良基板解析、修理；2、质检员：3名（综合工资2500-4000元/月）高中或中专以上学历，有相关品质方面的培训；应届生相关检验专业也可；熟练使用办公软件；3、电工：1名（综合工资2500-4000元/月）持有相关电工证书；在工厂做过者优先考虑。4、焊工：2名（综合工资3000-4500元/月）对需要焊接的产品进行焊接作业；有经验都优先。5、普工：多名（工资：2500-4000元/月）年龄满18-45周岁，身体健康，手脚灵活，无色盲电话：0751-8219826邮箱：sghr@pcwl.com（注明应聘公司+岗位）地址：浈江产业园创业路16号2栋详情请登录：http://t.cn/RtJVHqu
用户7372541624,:【乡村振兴】乡镇整治提升“139"行动：韶关市始兴县深渡水乡呈交完美“答卷”http://t.cn/A6hlMbXO
始兴公安,:#抗击疫情公安在行动##疫情当前警察不退##我在岗位上#【战时表彰聚警心激发斗志抗疫情】为凝聚警心、激发斗志，2月18日，韶关市公安局党委委员、副局长谢玉田在始兴县公安局党委副书记、政委徐于平及党委委员、副局长邓岭的陪同下，到始兴疫情防控一线（高速公路始兴北联合防控检查点），第一时间为在疫情防控阻击战中表现突出的集体和个人送奖到岗，激励全警以更加饱满的热情、高昂的斗志、坚定的信心投入到疫情防控工作中去。
韶关鹏程万里人才网,:韶关市金裕和泰商贸有限公司文员1、40岁以下，会办公软件（word、excel）等2、试用期三个月，薪资2200，转正购买社保3、有跟单经验优先，转正薪资面议仓管员1、40岁以下。有会计知识，懂仓库管理，2500-3000元/月2、有一年工作经验优先考虑跟车员、司机1、年龄20-40岁，有送乳饮工作经验者经验优先录用，薪资3000+2、包午餐，每周有固定休息日，年终双薪，会开五十铃小货车电话：0751-810587513030129422陈小姐地址：韶关市武江区莞韶产业园新阳山5号路15号地块
韶关家园网官方微博,:【刚刚，韶关市第6例患者治愈出院，为湖北来乐昌的无症状感染者】21日上午，韶关市又一例确诊的新冠肺炎患者经过新冠肺炎临床救治专家及医护人员的共同努力、精心救治、悉心护理，治愈出院。截至目前，韶关市共有6例确诊新冠肺炎患者治愈出院！出院患者F，女性，20岁，湖北荆州人，1月24日自驾车到乐昌探亲，期间主要活动范围在乐城街道长迳村亲戚家，1月29日经村居健康排查纳入疫情发生地来韶人员管理，并落实居家隔离，2月7日进行咽拭子采样，2月11日核酸检测呈阳性，立即被送至市定点救治医疗机构粤北第二人民医院隔离医治，并根据国家疾控部门指导意见，对其按照相关规定进行管理。现经市疾控中心对患者先后二次间隔24小时以上进行的病毒核酸检测，结果均为阴性，已符合国家卫生健康委办公厅印发的《新型冠状病毒感染的肺炎诊疗方案》中的确诊病例解除隔离和出院标准，今天予以出院。医院叮嘱出院患者继续隔离观察2周。来源：韶关发布
广东好人吴秀兰,:#乡礼农品[超话]#【乡村振兴】乡镇整治提升“139"行动：韶关市始兴县深渡水乡呈交完美“答卷”http://t.cn/A6hTG2NN#百县千红新农人##我和我的家乡#
中国禁毒在线,:【一壶热茶，一份爱心】#警民连心#连日来，韶关市疫情防控检查站的干警、医护人员纷纷靠前战“疫”，积极投入到防控疫情斗争的第一线，24小时轮班上阵。近日，韶关市禁毒协会的社工和志愿者专门熬制“姜茶”，送至韶关东、韶关良村等高速路口处的疫情防控检查站点，为寒冷中的一线站岗工作人员送去“爱”的温暖。@平安南粤
KISSU婚礼造型馆,:运气不可能持续一辈子，能帮助你持续一辈子的东西只有能力！#广州深圳佛山东莞清远韶关市化妆师跟妆##化妆师进修班##新娘造型教程#@广州化妆师小怡-KISSU婚礼造型馆
淮小号q1无敌7_720,:【丹霞山】丹霞山位于湘、赣、粤三省交界处的仁化县境内，距广东省韶关市45公里。是国家级重点风景名胜区，国家地质地貌自然保护区，被誉为“中国红石公园”。方圆319平方公里的红色山群“色如渥丹，灿若明霞”，故称丹霞山。
万-全区长安网,:哄抬物价骗取捐款非法收购野生动物广东多地公开宣判9起妨害疫情防控刑事案--------------------------------------------------------------------------本报广州2月19日电今天，广东省多地法院公开宣判9起妨害新冠肺炎疫情防控犯罪案件，9名被告人因犯抗拒防疫措施、哄抬物价、骗取捐款、非法收购野生动物等犯罪行为，分别被判处有期徒刑六年六个月至六个月，其中7人被处罚金。1月26日19时许，陈某某酒后欲搭乘公交车，司机见其未戴口罩，劝阻无效后报警求助。陈某某对就近赶来处置的辅警吐口水，用手机击打辅警脸部，并对后续赶到的民警和辅警谩骂推拉。佛山市顺德区人民法院依法以妨害公务罪判处陈某某有期徒刑一年六个月。1月26日，江门市沙堆边防派出所到该镇麻将室进行防疫宣传，劝散在此聚集打牌的吴某某、陈某某（另案处理）等人。吴某某不满民警依法传唤陈某某，采取言语质问、动手拉扯的方式阻挠执法导致陈某某乘机逃脱后，还暴力袭警。江门市新会区人民法院依法以妨害公务罪判处吴某某有期徒刑一年。1月以来，被告人谭某某先后以50元/盒、600元/盒的高价在某电商平台出售进货价格为25元/盒的一次性医用口罩，销售金额达5.1万元。廉江市人民法院依法以非法经营罪判处谭某某有期徒刑一年，并处罚金52000元。1月27日，被告人蔡某利用疫情期间群众爱心捐款的意愿，注册名为“武汉市慈善会”微信公众号，发布“扫码捐款所得款项将全部用于武汉抗疫及疫情人员治疗所用”等虚假信息骗取109名被害人捐款共计8833.03元。揭阳市揭东区人民法院依法以诈骗罪判处蔡某有期徒刑一年，并处罚金3000元。1月29日，市场监管人员在被告人刘某某经营的餐厅厨房冰柜中，查获其新近向邓某某（另案处理）非法收购的两只野生飞禽（收购时已死亡），经鉴定系国家二级保护动物白鹇。韶关市曲江区人民法院依法以非法收购珍贵、濒危野生动物罪判处刘某某有期徒刑一年，并处罚金5000元。同日，深圳市龙华区人民法院、阳江市江城区人民法院、汕头市潮阳区人民法院、怀集县人民法院公开宣判4起诈骗案。（全小晴黄晰明）
肇庆文明网,:【19日广东新增确诊病例1例，新增出院48例】http://t.cn/A6hWsMAU累计报告确诊病例中，深圳市416例、广州市339例、珠海市98例、东莞市92例、佛山市84例、中山市66例、惠州市62例、汕头市25例、江门市23例、湛江市22例、肇庆市18例、梅州市16例、茂名市14例、阳江市13例、清远市12例、韶关市10例、揭阳市8例、汕尾市5例、潮州市5例、河源市4例。男性656例，女性676例，年龄介于2月龄-90岁之间。
文明仁化,:2月19日，韶关市文明办发布《抗击疫情，韶关在行动——致最美逆行者》公益短视频，参与本次公益短视频摄制的道德模范和身边好人等先进典型有：第七届全国道德模范提名奖获得者黄桂祥；中国好人雷洪；感动韶关十佳道德模范刘一鸣、陈燕；广东“新时代好少年”徐靖飏，他们共同为抗击疫情加油鼓劲。http://t.cn/A6hlb4qT
广汽丰田荣晖韶南店,:#全新换代雷凌##威兰达##广汽丰田#暖心在线，全场景服务，足不出户，线上订车尊享199抵2000元（战疫基金），咨询热线：0751-8291666，展厅地址：韶关市浈江区韶南大道10号。
