爱信阳,:#信阳生活#【3月2日信阳新增确诊0例，新增治愈5例！】2020年3月2日0-24时，信阳市（含固始县）无新增新型冠状病毒肺炎确诊病例。无危重症、重症患者。新增治愈患者5例（信阳市第五人民医院3例、潢川县人民医院1例、息县人民医院1例）。新增出院患者5例。无疑似病例。截至3月2日24时，我市累计报告确诊病例274例（浉河区48例，平桥区42例，罗山县40例，光山县32例，固始县31例，潢川县22例、商城县、息县各21例，新县11例，淮滨县6例）；死亡病例2例。累计治愈267例，治愈率97.4%；累计出院患者267例，出院率97.4%；转入郑州大学第一附属医院23例（已出院21例），转入河南省人民医院5例（已出院5例），转入河南省儿童医院1例；现存住院确诊患者2例。目前累计追踪到密切接触者核准2863人，已解除医学观察2702人。（来源：信阳市卫生健康委员会）#新型冠状病毒感染肺炎#http://t.cn/A6hwF3tg
安阳文峰,【全国新增202例新冠肺炎累计确诊80026例、死亡2912例】3月1日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例202例，新增死亡病例42例（湖北42例），新增疑似病例141例。　　当日新增治愈出院病例2837例，解除医学观察的密切接触者8154人，重症病例减少255例。　　截至3月1日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例32652例（其中重症病例7110例），累计治愈出院病例44462例，累计死亡病例2912例，累计报告确诊病例80026例，现有疑似病例715例。累计追踪到密切接触者663240人，尚在医学观察的密切接触者46219人。　　湖北新增确诊病例196例（武汉193例），新增治愈出院病例2570例（武汉1958例），新增死亡病例42例（武汉32例），现有确诊病例30543例（武汉25903例），其中重症病例6872例（武汉6225例）。累计治愈出院病例33757例（武汉21185例），累计死亡病例2803例（武汉2227例），累计确诊病例67103例（武汉49315例）。新增疑似病例80例（武汉70例），现有疑似病例527例（武汉340例）。　　累计收到港澳台地区通报确诊病例148例：香港特别行政区98例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区40例(出院12例，死亡1例)。
平顶山市教体局,:【平顶山市卫健委截至3月1日24时平顶山市新冠肺炎疫情情况（含汝州市）】2020年3月1日0-24时，我市无新增确诊病例和疑似病例。截至3月1日24时，我市连续16天无新增确诊病例、连续12天无新增疑似病例；累积确诊病例58例（含汝州市1例），治愈出院57例，死亡1例；累计追踪到密切接触者1422人，已解除隔离医学观察1421人，正在接受隔离医学观察1人。来源：平顶山市卫健委
平顶山晚报,:【3月1日，平顶山无新增，正接受隔离医学观察1人】3月2日，从市卫健委传来消息，3月1日0-24时，我市无新增确诊病例和疑似病例。截至3月1日24时，我市连续16天无新增确诊病例、连续12天无新增疑似病例；累积确诊病例58例（含汝州市1例），治愈出院57例，死亡1例；累计追踪到密切接触者1422人，已解除隔离医学观察1421人，正在接受隔离医学观察1人。（记者王民峰）
乐陵市融媒体中心,:【3月1日0时至24时我市无新增新型冠状病毒肺炎确诊病例】自德州市卫健委获悉：2020年3月1日0时至24时，德州市无新增新型冠状病毒肺炎确诊病例。截至2020年3月1日24时，德州市累计报告确诊病例37例（含重症病例3例，出院病例18例，死亡病例2例），其中：德城区9例（含重症病例1例，出院病例6例，死亡病例1例）、禹城市3例（含出院病例2例）、乐陵市7例（含出院病例4例）、宁津县3例（含出院病例2例）、武城县13例（含重症病例2例，出院病例2例，死亡病例1例）、庆云县2例（含出院病例2例）。无疑似病例。目前，累计追踪到密切接触者1539人，其中已解除医学观察1529人，尚有10人正在接受医学观察。备注：根据国家卫生健康委关于疫情信息报告新要求，按病例确诊时医院所在县区统计；按省疫情信息统计要求，德州市市级定点医疗机构报告的病例，记入德城区发布。2020年3月2日
平顶山市人民政府,:【平顶山市卫健委截至3月1日24时平顶山市新冠肺炎疫情情况（含汝州市）】2020年3月1日0-24时，我市无新增确诊病例和疑似病例。截至3月1日24时，我市连续16天无新增确诊病例、连续12天无新增疑似病例；累积确诊病例58例（含汝州市1例），治愈出院57例，死亡1例；累计追踪到密切接触者1422人，已解除隔离医学观察1421人，正在接受隔离医学观察1人。来源：平顶山市卫健委
海峡星球,:#意大利新增566例新冠肺炎#意大利累计1694例，捷克确诊首例新冠肺炎，多米尼加确诊首例！中国确诊78974例（含港澳台）
广安日报-,:【疫情速报丨广安连续19天零新增，已治愈出院4/5】2020年2月29日0-24时，广安市无新增新型冠状病毒肺炎确诊病例。截至2月29日24时，我市累计报告新型冠状病毒肺炎确诊病例30例，其中广安区15例（含枣山园区4例）、华蓥市2例、岳池县5例、武胜县6例、邻水县2例；男性15例，女性15例；年龄最大74岁，最小21岁。确诊病例中，治愈出院24人，现有6例病例全部在定点医院隔离治疗。我市现无疑似病例，正在接受医学观察15人。http://t.cn/A67XV3HJ
老吕叨叨,【全国新增202例新冠肺炎累计确诊80026例、死亡2912例】3月1日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例202例，新增死亡病例42例（湖北42例），新增疑似病例141例。　　当日新增治愈出院病例2837例，解除医学观察的密切接触者8154人，重症病例减少255例。　　截至3月1日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例32652例（其中重症病例7110例），累计治愈出院病例44462例，累计死亡病例2912例，累计报告确诊病例80026例，现有疑似病例715例。累计追踪到密切接触者663240人，尚在医学观察的密切接触者46219人。　　湖北新增确诊病例196例（武汉193例），新增治愈出院病例2570例（武汉1958例），新增死亡病例42例（武汉32例），现有确诊病例30543例（武汉25903例），其中重症病例6872例（武汉6225例）。累计治愈出院病例33757例（武汉21185例），累计死亡病例2803例（武汉2227例），累计确诊病例67103例（武汉49315例）。新增疑似病例80例（武汉70例），现有疑似病例527例（武汉340例）。　　累计收到港澳台地区通报确诊病例148例：香港特别行政区98例（出院36例，死亡2例），澳门特别行政区10例（出院8例），台湾地区40例(出院12例，死亡1例)。
黑金船长,:全国新增202例新冠肺炎（不含港澳台）其中湖北新增确诊病例196例（武汉193例）湖北以外新增确诊病例6例
威海卫生健康委,:【2020年3月1日12时至24时威海市新型冠状病毒肺炎疫情情况】2020年3月1日12-24时，威海市报告新型冠状病毒肺炎无新增确诊病例。截至3月1日24时，威海市累计报告新型冠状病毒肺炎确诊病例38例，其中:环翠区（含高区、经区、临港区）22例，文登区7例，荣成市1例，乳山市8例。治愈出院病例33例（环翠区20例、文登区6例、荣成市1例、乳山市6例）。累计追踪到密切接触者1741人，已解除医学观察1727人，尚有14人正在接受医学观察。备注：根据国家卫健委关于疫情信息报告新要求，按病例确诊时医院所在区市统计；按省疫情信息统计要求，高区、经区、临港区医疗机构报告病例计入环翠区发布。
独行骑士·Lwf,:新疆（含兵团）昨日无新增确诊病例，新增出院2例http://t.cn/A67XqoNa
通篇四个字,【#美国新冠肺炎确诊增至74例#】据美国有线电视新闻网报道，截至当地时间3月1日18时，美国累计新冠肺炎确诊病例74例，较24小时前增长5例。其中美国本土确诊病例27例，从日本“钻石公主”号和中国武汉的撤侨人员中分别确诊44例和3例。新增5例中，1例来自罗德岛州，该患者二月份有意大利旅行史；2例来自华盛顿州；1例来自伊利诺伊州；1例来自加州圣克拉拉县，患者为该县此前一确诊病例的家属。（人民日报记者郑琪）
新乡日报,:【新乡连续15天无新增】2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。（来源：河南省卫生健康委员会）
平安安阳,:【截至3月1日24时丨安阳市无新增确诊病例，累计53例（含滑县2例）】河南省卫生健康委3月2日发布《截至3月1日24时河南省新型冠状病毒肺炎疫情最新情况》：2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。
新浪河南,:#河南防控新型肺炎疫情#【#安阳#市无新增确诊病例情况（3月1日0-24时）】3月2日，河南省卫生健康委发布公开信息，3月1日0-24时，我省无新增新型冠状病毒肺炎确诊病例，我市无新增确诊病例。截至3月1日24时，我市累计报告新型冠状病毒肺炎确诊病例53例（含滑县2例），累计治愈病例47例。#抗击疫情我们在一起#
滨州发布,:【滨州连续14天0增长！新增治愈出院1例】2020年3月1日12时-24时，滨州市无新增新冠肺炎确诊及疑似病例，新增治愈出院1例，无重症和死亡病例报告。截至3月1日24时，累计确诊病例15例（含治愈出院13例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（含治愈出院6例）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。
阳光滨州,:2020年3月1日12时-24时，滨州市无新增新冠肺炎确诊及疑似病例，新增治愈出院1例，无重症和死亡病例报告。截至3月1日24时，累计确诊病例15例（含治愈出院13例）。累计追踪到密切接触者373人，解除医学观察370人，正在接受医学观察3人。目前按病例确诊医院所在县市区分布：滨城区1例（已治愈出院）、邹平市7例（含治愈出院6例）、惠民县3例（已全部治愈出院）、阳信县1例（已治愈出院）、无棣县3例（含治愈出院2例）。滨州市卫生健康委员会2020年3月2日
安阳日报,:【权威发布丨安阳市无新增确诊病例情况（3月1日0-24时）】3月2日，河南省卫生健康委发布公开信息，3月1日0-24时，我省无新增新型冠状病毒肺炎确诊病例，我市无新增确诊病例。截至3月1日24时，我市累计报告新型冠状病毒肺炎确诊病例53例（含滑县2例），累计治愈病例47例。⑫
平顶山晚报,:【3月1日，平顶山无新增确诊病例】2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。
郑州音乐广播,:#关注##抗击疫情我们始终在一起#2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。
河南教育,:【河南无新增确诊病例，新增出院病例20例】2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。
河南经济广播,:【继续保持0！！加油！】2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。（大象新闻·河南经济广播记者怡扬）
931郑州经济广播,:2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。
郑说广播,:2020年3月1日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院病例20例。截至3月1日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例2例，累计死亡病例22例，累计出院病例1205例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39211人，3月1日已解除观察166人，共有1176人正在接受医学观察。（来源：河南省卫生健康委员会）
张林1020,:伊朗卫生部规定：所有医院必须收治新冠肺炎患者。据外媒报道，伊朗卫生部发言人贾汉普尔3月1日在国家电视台宣布，过去24小时伊朗新增新冠肺炎感染者385例，累计978例，总确诊数超过日本，累计死亡人数达54例。截至3月1日晚，日本新增新冠肺炎确诊病例6例，累计955例。伊朗再添官员感染，含哈梅内伊密友之子3月1日，据阿拉伯国有电视台报道，伊朗又有多名政府官员确诊感染新冠病毒。其中包括前司法部长穆斯塔法...http://t.cn/A676C1Dh
沐辰儿萱萱儿baby,:2月29日新疆（含兵团）10例新冠肺炎病例治愈出院累计治愈出院62例http://t.cn/A67VgxfY
葭月轻寒,:粉丝把正主害的这么惨的，还真是全网第一例。不痛不痒，含含糊糊，缩在正主身后的道歉毫无诚意。最后一次关注这个事，还会继续支持肖/战，来日方长。
语腾裕跃,:《省台报道！深度揭秘临沂治愈率全省第一的背后……》根据省卫健委发布的数据，截至2月19号，山东累计确诊病例546例，含重症病例8例，危重症病例12例。http://t.cn/A67ipUX7
安阳文惠,【截至2月29日24时丨安阳市无新增确诊病例，累计53例（含滑县2例）】河南省卫生健康委3月1日发布《截至2月29日24时河南省新型冠状病毒肺炎疫情最新情况》：2020年2月29日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院24例、死亡1例。截至2月29日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例4例，累计死亡病例22例，累计出院病例1185例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39199人，2月29日已解除观察226人，共有1328人正在接受医学观察。⑬
潮男爸爸_,【截至2月29日24时丨安阳市无新增确诊病例，累计53例（含滑县2例）】河南省卫生健康委3月1日发布《截至2月29日24时河南省新型冠状病毒肺炎疫情最新情况》：2020年2月29日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院24例、死亡1例。截至2月29日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例4例，累计死亡病例22例，累计出院病例1185例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39199人，2月29日已解除观察226人，共有1328人正在接受医学观察。⑬
荆州发布,:#抗击疫情荆州在行动#【荆州市中心城区新型冠状病毒肺炎确诊病例现住址信息公示（截至2020年2月27日）】截至2020年2月27日24时，我市中心城区累计报告新型冠状病毒肺炎确诊病例542例（含在中心城区就诊的外地病例），现将上述病例住址信息予以公示。↓↓↓http://t.cn/A67iZ92v
微播荆州,:荆州市中心城区新型冠状病毒肺炎确诊病例现住址信息公示截至2020年2月27日24时，我市中心城区累计报告新型冠状病毒肺炎确诊病例542例（含在http://t.cn/A67iZ94n
荆州日报,:#抗击疫情荆州在行动#【荆州市中心城区新型冠状病毒肺炎确诊病例现住址信息公示（截至2020年2月27日）】截至2020年2月27日24时，我市中心城区累计报告新型冠状病毒肺炎确诊病例542例（含在中心城区就诊的外地病例），现将上述病例住址信息予以公示。↓↓↓http://t.cn/A67iZ92v
NOWnews今日新闻,:【#新冠肺炎#累计40例12人确诊个案解除隔离已康复】中央流行疫情指挥中心今(1)日表示，昨(29)日新增87例严重特殊传染性肺炎通报个案，目前累计通报2，192个案，含40名确诊(今日新增案40)、2，059名排除，余隔离检验中(25名初验阴性、其余待检验)。确诊个案中，有1名死亡、12名解除隔离、其余个案持续住院中，状况稳定。指挥中心表示，针对案27相关群聚事件，指挥中心截至目前已掌握接触者820人，并采检183人，其中5人阳性(案28至32)、177人阴性，其余检验中。针对案34相关群聚，截至目前已掌握5名个案接触者312人，并已采检218人，其中192人阴性，其余检验中。另钻石公主号19名返台人，持续于集中检疫所密切观察健康情形。指挥官陈时中指出，案34院内感染的情况，还在持续采检中，虽然危机还没有解除，但第一层把关还守的住。至于发生的病房、地点，目前已经进行消毒、采检，呈现全阴性，请大家不用恐慌。指挥中心指出，依据中国大陆疾控中心通报及各省市区卫生健康委员会公布资料，中国大陆全部31省市区(不含港澳特别行政区)累计确诊79，824例，较前日新增573例，其中7，365例重症，2，870例死亡。国际间累计6，567例确诊病例，分布61个国家/地区；病例数以韩国3，150例、义大利1，049例、国际运输工具(日本钻石公主号)687例、伊朗593例及日本242例为多；病例中106例死亡，其中伊朗43例、义大利29例、韩国17例、钻石公主号6例、日本5例、香港2例、法国2例、菲律宾1例、美国1例。更多精彩报导详见《NOWnews今日新闻》网，本文由NOWnews授权报导欢迎关注NOWnews今日新闻新浪微博#nownews今日新闻#www.nownews.com
墨玉发布,:发布了头条文章：《新疆（含兵团）又有10例新冠肺炎病例治愈出院累计治愈出院62例》新疆（含兵团）又有10例新冠肺炎病例治愈出院累计治愈出院62例
卷卷果然多,【截至2月29日24时丨安阳市无新增确诊病例，累计53例（含滑县2例）】河南省卫生健康委3月1日发布《截至2月29日24时河南省新型冠状病毒肺炎疫情最新情况》：2020年2月29日0-24时，河南省无新增新型冠状病毒肺炎确诊病例，新增出院24例、死亡1例。截至2月29日24时，全省累计报告新型冠状病毒肺炎确诊病例1272例，现有重症病例7例，现有危重病例4例，累计死亡病例22例，累计出院病例1185例。其中：确诊病例中，信阳市274例（含固始县31例）、郑州市157例（含巩义市9例）、南阳市156例（含邓州市17例）、驻马店市139例（含新蔡县10例）、商丘市91例（含永城市14例）、周口市76例（含鹿邑县7例）、平顶山市58例（含汝州市1例）、新乡市57例（含长垣市13例）、安阳市53例（含滑县2例）、许昌市39例、漯河市35例、焦作市32例、洛阳市31例、开封市26例（含兰考县5例）、鹤壁市19例、濮阳市17例、三门峡市7例、济源示范区5例。目前累计追踪到密切接触者39199人，2月29日已解除观察226人，共有1328人正在接受医学观察。⑬
刘常胜不长胜,:2月28日新疆（含兵团）9例新冠肺炎病例治愈出院累计治愈出院52例http://t.cn/A67qtXn6
泰山网1545,:【最新：泰安市新型冠状病毒肺炎疫情情况（3月1日0-12时）】3月1日0-12时，泰安市新增新型冠状病毒肺炎确诊病例0例，疑似病例0例。截至3月1日12时，泰安市累计新型冠状病毒肺炎确诊病例35例（含治愈出院30例，死亡病例2例），其中泰山区25例（泰山区上报，2例居住地为岱岳区，1例居住地为新泰市，6例居住地为泰安高新区，2例居住地为徂汶景区），岱岳区1例，新泰市4例，肥城市2例，宁阳县1例，东平县2例。排除疑似病例17例，其中泰山区9例（泰山区上报，3例居住地为岱岳区，2例居住地为泰安高新区），岱岳区1例，新泰市4例，肥城市1例，宁阳县1例，东平县1例。治愈出院30例，死亡病例2例。目前，已追踪到密切接触者915人，累计解除医学观察753，正在接受医学观察162人。其他密切接触者正在排查。注:1.根据国家卫健委关于疫情信息报告新要求，按病例确诊时医院所在县区统计；2.为便于开展工作，对上报地与居住地不一致的进行标注。http://t.cn/A67xFBeN
三峡日报,:#三峡日报在现场##关注新冠肺炎#【宜昌确诊931例，分布在292个社区（村）】3月1日，宜昌市卫生健康委关于全市新型冠状病毒肺炎疫情分布情况通报。截至2020年2月29日24时，全市累计报告新型冠状病毒肺炎确诊病例931例，分布在14个县市区(含宜昌高新区)、79个街道（乡镇）、292个社区（村）。http://t.cn/A67xke04
今日绥芬河,:牡丹江市2月29日无新增确诊病例2月29日0时-24时，全市无新增确诊病例，无新增疑似病例。截至2月29日24时，累计报告确诊病例14例。累计治愈出院10例（含1例无症状感染者）。追踪密切接触者330人，已解除医学观察316人，尚有5人正在接受医学观察。卫生健康部门请广大市民持续做好个人防护，保持个人卫生，少出门，不聚餐，不聚集，保持积极乐观的心态。如出现发热、咳嗽等症状请及时到发热门诊或定点医疗机构就诊。域外来牡人员继续执行信息登记制度，并严格执行隔离观察14天等有关规定。复工复产企业要严格落实疫情防控相关措施，防止聚集性疫情发生。来源：牡丹江市政府网站
乐陵市融媒体中心,:【2月29日0时至24时我市无新增新型冠状病毒肺炎确诊病例】自德州卫健委获悉：2020年2月29日0时至24时，德州市无新增新型冠状病毒肺炎确诊病例，新增出院病例1例。　　截至2020年2月29日24时，德州市累计报告确诊病例37例（含重症病例3例，出院病例18例，死亡病例2例），其中：德城区9例（含重症病例1例，出院病例6例，死亡病例1例）、禹城市3例（含出院病例2例）、乐陵市7例（含出院病例4例）、宁津县3例（含出院病例2例）、武城县13例（含重症病例2例，出院病例2例，死亡病例1例）、庆云县2例（含出院病例2例）。无疑似病例。　　目前，累计追踪到密切接触者1539人，其中已解除医学观察1510人，尚有29人正在接受医学观察。　　备注：根据国家卫生健康委关于疫情信息报告新要求，按病例确诊时医院所在县区统计；按省疫情信息统计要求，德州市市级定点医疗机构报告的病例，记入德城区发布。2020年3月1日
聊城爆料君,:#聊城爆料#【最新！聊城连续18天无新增！尚有12人接受医学观察】2月29日12时至24时，聊城市无新增新冠肺炎确诊病例和疑似病例，治愈出院1例。累计确诊病例38例(含治愈出院34例)，按病例确诊时医院所在县区统计：东昌府区27例，阳谷县4例，莘县3例，东阿县2例，临清市1例，冠县1例。现无疑似病例。截至目前，追踪到密切接触者830人，已解除医学观察818人，尚有12人正在接受医学观察。（聊城晚报）
乐陵市融媒体中心,:【2月29日0时至24时我市无新增新型冠状病毒肺炎确诊病例】自德州卫健委获悉：2020年2月29日0时至24时，德州市无新增新型冠状病毒肺炎确诊病例，新增出院病例1例。　　截至2020年2月29日24时，德州市累计报告确诊病例37例（含重症病例3例，出院病例18例，死亡病例2例），其中：德城区9例（含重症病例1例，出院病例6例，死亡病例1例）、禹城市3例（含出院病例2例）、乐陵市7例（含出院病例4例）、宁津县3例（含出院病例2例）、武城县13例（含重症病例2例，出院病例2例，死亡病例1例）、庆云县2例（含出院病例2例）。无疑似病例。　　目前，累计追踪到密切接触者1539人，其中已解除医学观察1510人，尚有29人正在接受医学观察。　　备注：根据国家卫生健康委关于疫情信息报告新要求，按病例确诊时医院所在县区统计；按省疫情信息统计要求，德州市市级定点医疗机构报告的病例，记入德城区发布。2020年3月1日
聊城爆料君,:#聊城爆料#【最新！聊城连续18天无新增！尚有12人接受医学观察】2月29日12时至24时，聊城市无新增新冠肺炎确诊病例和疑似病例，治愈出院1例。累计确诊病例38例(含治愈出院34例)，按病例确诊时医院所在县区统计：东昌府区27例，阳谷县4例，莘县3例，东阿县2例，临清市1例，冠县1例。现无疑似病例。截至目前，追踪到密切接触者830人，已解除医学观察818人，尚有12人正在接受医学观察。（聊城晚报）
阜阳同城会,:#阜阳同城#【阜阳连续无新增，累计治愈出院134例】根据省卫健委发布的最新疫情情况，阜阳市2月29日0-24时无新增新冠肺炎确诊病例，无新增疑似病例。新增治愈出院6例，累计治愈出院134例。3月1日预计治愈出院7例（含由亳州转入患者2例）。截至2月29日24时，阜阳市累计报告新冠肺炎确诊病例155例。其中：本地病例154例（临泉县45例，阜南县39例，颍州区18例，颍泉区13例，颍东区14例，太和县7例，颍上县14例，界首市2例、开发区2例），外地病例1例（亳州市1例）；男性87例，女性68例。9岁以下4例，10-19岁10例，20-29岁20例，30-39岁30例，40-49岁45例，50-59岁28例，60岁以上18例。全市累计排查出密切接触者4111人，仍在医学观察24人，已解除4087人。
